,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-1),Corr with auto_vol(-1),student_vol(-1),Corr with student_vol(-1),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(3),Corr with mortgage 90(3),long,lat
0,2010-03,LA,SHREVEPORT,2010-03,4.95,"(-93.7652, 32.5222)",12778.69,Improvements_Additions for Apartments_Coops,0.20298217391304352,-0.17586300726029744,0.22118086956521738,-0.17875370778206123,0.23731173913043485,-0.18877707494225934,0.25031173913043475,-0.2172062096086176,0.2684247826086957,-0.2591538772870318,0.41060652173913054,-0.36319312699194195,0.8732952173913044,-0.4006324482768412,0.11652173913043477,-0.1848694970420883,0.22565217391304354,-0.17663881970078352,0.3956521739130435,-0.14850005409126246,2.433043478260869,0.7004779244367952,3.7273913043478255,0.8186945521480549,4.489130434782608,0.7645768299580132,4.644782608695651,0.7324580197996455,25116521917.8418,-0.17713789181128306,14228362706.5907,-0.3744568924428573,95.78917846656341,-0.16387973242648668,3.9,-0.5991256563269863,3.4,0.2675844018409106,-93.7652,32.5222
1,2010-08,LA,SHREVEPORT,2010-08,3.75,"(-93.70089200000001, 32.41041)",25916.68,Improvements_Additions for Apartments_Coops,0.23101619047619049,-0.17586300726029744,0.2659952380952381,-0.17875370778206123,0.27546238095238096,-0.18877707494225934,0.3123080952380952,-0.2172062096086176,0.3625466666666667,-0.2591538772870318,0.5790957142857143,-0.36319312699194195,0.9435780952380955,-0.4006324482768412,0.15409090909090908,-0.1848694970420883,0.19136363636363637,-0.17663881970078352,0.25909090909090904,-0.14850005409126246,1.4654545454545451,0.7004779244367952,2.6986363636363637,0.8186945521480549,3.516818181818181,0.7645768299580132,3.8031818181818178,0.7324580197996455,28477062769.4533,-0.17713789181128306,10534224377.9144,-0.3744568924428573,92.8594669911348,-0.16387973242648668,4.5,-0.5991256563269863,3.2,0.2675844018409106,-93.70089200000001,32.41041
2,2011-03,LA,SHREVEPORT,2011-03,4.05,"(-93.747869, 32.508165000000005)",5623.29,Improvements_Additions for Apartments_Coops,0.2076739130434783,-0.17586300726029744,0.23889782608695653,-0.17875370778206123,0.2532847826086956,-0.18877707494225934,0.2829456521739131,-0.2172062096086176,0.30843478260869567,-0.2591538772870318,0.4607826086956522,-0.36319312699194195,0.7797065217391305,-0.4006324482768412,0.06478260869565221,-0.1848694970420883,0.15652173913043482,-0.17663881970078352,0.25913043478260867,-0.14850005409126246,2.1134782608695653,0.7004779244367952,3.414347826086956,0.8186945521480549,4.26608695652174,0.7645768299580132,4.5139130434782615,0.7324580197996455,32217867353.4185,-0.17713789181128306,11726514214.1317,-0.3744568924428573,90.24550000965358,-0.16387973242648668,3.3,-0.5991256563269863,2.5,0.2675844018409106,-93.747869,32.508165000000005
3,2011-08,LA,SHREVEPORT,2011-08,4.055,"(-93.699662, 32.414733)",41880.65,Improvements_Additions for Apartments_Coops,0.14468363636363638,-0.17586300726029744,0.18038681818181818,-0.17875370778206123,0.21116590909090904,-0.18877707494225934,0.24895727272727275,-0.2172062096086176,0.29323772727272723,-0.2591538772870318,0.45919454545454547,-0.36319312699194195,0.7783581818181818,-0.4006324482768412,0.017391304347826094,-0.1848694970420883,0.06217391304347828,-0.17663881970078352,0.11478260869565218,-0.14850005409126246,1.021304347826087,0.7004779244367952,2.303043478260869,0.8186945521480549,3.244782608695652,0.7645768299580132,3.6513043478260867,0.7324580197996455,31992172727.7437,-0.17713789181128306,13238482167.5647,-0.3744568924428573,90.35087768078328,-0.16387973242648668,4.3,-0.5991256563269863,3.0,0.2675844018409106,-93.699662,32.414733
4,2012-06,LA,SHREVEPORT,2012-06,3.33,"(-93.810707, 32.459507)",9242.91,Improvements_Additions for Apartments_Coops,0.163,-0.17586300726029744,0.19464736842105262,-0.17875370778206123,0.24319736842105263,-0.18877707494225934,0.3459342105263157,-0.2172062096086176,0.46558684210526313,-0.2591538772870318,0.7364000000000004,-0.36319312699194195,1.0691894736842107,-0.4006324482768412,0.05190476190476193,-0.1848694970420883,0.14809523809523809,-0.17663881970078352,0.18904761904761905,-0.14850005409126246,0.7114285714285714,0.7004779244367952,1.6223809523809525,0.8186945521480549,2.3061904761904763,0.7645768299580132,2.698095238095238,0.7324580197996455,36777908030.9335,-0.17713789181128306,12770391029.1034,-0.3744568924428573,89.513287195688,-0.16387973242648668,4.9,-0.5991256563269863,2.8,0.2675844018409106,-93.810707,32.459507
5,2012-08,LA,SHREVEPORT,2012-08,2.23,"(1.51639, 42.54417)",44674.01,Improvements_Additions for Apartments_Coops,0.15374090909090915,-0.17586300726029744,0.18745454545454548,-0.17875370778206123,0.23783863636363634,-0.18877707494225934,0.3331136363636364,-0.2172062096086176,0.43259999999999993,-0.2591538772870318,0.7177749999999997,-0.36319312699194195,1.0426272727272727,-0.4006324482768412,0.09217391304347829,-0.1848694970420883,0.14043478260869566,-0.17663881970078352,0.18347826086956526,-0.14850005409126246,0.7139130434782609,0.7004779244367952,1.6782608695652175,0.8186945521480549,2.3978260869565218,0.7645768299580132,2.7708695652173914,0.7324580197996455,36601383816.48,-0.17713789181128306,16111780903.4699,-0.3744568924428573,90.2956809830492,-0.16387973242648668,4.8,-0.5991256563269863,2.8,0.2675844018409106,1.51639,42.54417
6,2012-11,LA,SHREVEPORT,2012-11,2.59,"(-118.45429399999999, 34.040578000000004)",52089.32,Improvements_Additions for Apartments_Coops,0.1555,-0.17586300726029744,0.18060909090909089,-0.17875370778206123,0.20888636363636362,-0.18877707494225934,0.25813636363636355,-0.2172062096086176,0.31102272727272723,-0.2591538772870318,0.528347727272727,-0.36319312699194195,0.8631931818181818,-0.4006324482768412,0.12449999999999999,-0.1848694970420883,0.14450000000000002,-0.17663881970078352,0.17850000000000002,-0.14850005409126246,0.665,0.7004779244367952,1.654,0.8186945521480549,2.3894999999999995,0.7645768299580132,2.8034999999999997,0.7324580197996455,37685204803.0042,-0.17713789181128306,12022315813.7363,-0.3744568924428573,88.794109524791,-0.16387973242648668,5.1,-0.5991256563269863,2.6,0.2675844018409106,-118.45429399999999,34.040578000000004
7,2013-01,LA,SHREVEPORT,2013-01,2.71,"(-93.694827, 32.420376)",33090.68,Improvements_Additions for Apartments_Coops,0.16043181818181818,-0.17586300726029744,0.17947272727272726,-0.17875370778206123,0.20497272727272725,-0.18877707494225934,0.2497954545454545,-0.2172062096086176,0.30261363636363625,-0.2591538772870318,0.48810454545454546,-0.36319312699194195,0.8142727272727271,-0.4006324482768412,0.05190476190476192,-0.1848694970420883,0.10761904761904766,-0.17663881970078352,0.14523809523809525,-0.14850005409126246,0.8052380952380951,0.7004779244367952,1.9147619047619049,0.8186945521480549,2.681428571428571,0.7645768299580132,3.0804761904761913,0.7324580197996455,38808856509.5085,-0.17713789181128306,11337096053.4966,-0.3744568924428573,86.5850023909696,-0.16387973242648668,4.9,-0.5991256563269863,2.3,0.2675844018409106,-93.694827,32.420376
8,2013-12,LA,SHREVEPORT,2013-12,4.95,"(-93.812026, 32.459513)",20113.37,Improvements_Additions for Apartments_Coops,0.10022500000000001,-0.17586300726029744,0.1273025,-0.17875370778206123,0.16723,-0.18877707494225934,0.2127325,-0.2172062096086176,0.24389749999999996,-0.2591538772870318,0.34639499999999995,-0.36319312699194195,0.579045,-0.4006324482768412,0.019047619047619053,-0.1848694970420883,0.09523809523809526,-0.17663881970078352,0.13285714285714287,-0.14850005409126246,1.5761904761904764,0.7004779244367952,2.901904761904762,0.8186945521480549,3.6266666666666674,0.7645768299580132,3.889047619047619,0.7324580197996455,41658198449.9001,-0.17713789181128306,10396023519.0372,-0.3744568924428573,80.910251046009,-0.16387973242648668,4.7,-0.5991256563269863,2.6,0.2675844018409106,-93.812026,32.459513
9,2014-01,LA,SHREVEPORT,2014-01,4.29,"(-93.72008199999999, 32.425799)",22740.59,Improvements_Additions for Apartments_Coops,0.09003181818181817,-0.17586300726029744,0.1219931818181818,-0.17875370778206123,0.1597090909090909,-0.18877707494225934,0.204425,-0.2172062096086176,0.23822954545454544,-0.2591538772870318,0.33795909090909093,-0.36319312699194195,0.5752999999999999,-0.4006324482768412,0.017142857142857144,-0.1848694970420883,0.0690476190476191,-0.17663881970078352,0.11619047619047623,-0.14850005409126246,1.6466666666666665,0.7004779244367952,2.858095238095238,0.8186945521480549,3.521904761904762,0.7645768299580132,3.76904761904762,0.7324580197996455,41561863313.5151,-0.17713789181128306,9402239044.86975,-0.3744568924428573,82.56600445924391,-0.16387973242648668,3.7,-0.5991256563269863,2.5,0.2675844018409106,-93.72008199999999,32.425799
