,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(3),Corr with auto_vol(3),student_vol(-4),Corr with student_vol(-4),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(-2),Corr with mortgage 90(-2)
0,NEWPORT,2010-11,7.0,Improvements_Additions for Apartments_Coops,0.22869727272727272,6.771302727272727,-0.18414015403096942,0.24913818181818187,6.750861818181818,-0.18545882692669818,0.2541922727272727,6.7458077272727275,-0.1998875268756455,0.27004181818181816,6.729958181818182,-0.22203158063936693,0.2871204545454545,6.712879545454546,-0.25190154975788626,0.44597000000000014,6.55403,-0.3193533426931945,0.7651345454545454,6.234865454545455,-0.379423891659655,0.13400000000000004,6.866,-0.14666937314740358,0.182,6.818,-0.24122356148810198,0.25200000000000006,6.748,-0.30827638194189394,1.35,5.65,-0.3228727612046858,2.7630000000000003,4.237,0.36035344949704706,3.817999999999999,3.182000000000001,0.6383164916556938,4.186,2.814,0.6612230601967399,32217867353.4185,-0.869765953712238,10534224377.9144,-0.7718637805662129,94.7176548951663,0.7728787581800444,4.2,0.9866404179399829,3.5,0.9061197998493732
1,NEWPORT,2010-11,7.0,Improvements_Additions for Apartments_Coops,0.22869727272727272,6.771302727272727,-0.18414015403096942,0.24913818181818187,6.750861818181818,-0.18545882692669818,0.2541922727272727,6.7458077272727275,-0.1998875268756455,0.27004181818181816,6.729958181818182,-0.22203158063936693,0.2871204545454545,6.712879545454546,-0.25190154975788626,0.44597000000000014,6.55403,-0.3193533426931945,0.7651345454545454,6.234865454545455,-0.379423891659655,0.13400000000000004,6.866,-0.14666937314740358,0.182,6.818,-0.24122356148810198,0.25200000000000006,6.748,-0.30827638194189394,1.35,5.65,-0.3228727612046858,2.7630000000000003,4.237,0.36035344949704706,3.817999999999999,3.182000000000001,0.6383164916556938,4.186,2.814,0.6612230601967399,32217867353.4185,-0.869765953712238,10534224377.9144,-0.7718637805662129,94.7176548951663,0.7728787581800444,4.2,0.9866404179399829,3.3,0.9061197998493732
2,NEWPORT,2010-11,7.0,Improvements_Additions for Apartments_Coops,0.22869727272727272,6.771302727272727,-0.18414015403096942,0.24913818181818187,6.750861818181818,-0.18545882692669818,0.2541922727272727,6.7458077272727275,-0.1998875268756455,0.27004181818181816,6.729958181818182,-0.22203158063936693,0.2871204545454545,6.712879545454546,-0.25190154975788626,0.44597000000000014,6.55403,-0.3193533426931945,0.7651345454545454,6.234865454545455,-0.379423891659655,0.13400000000000004,6.866,-0.14666937314740358,0.182,6.818,-0.24122356148810198,0.25200000000000006,6.748,-0.30827638194189394,1.35,5.65,-0.3228727612046858,2.7630000000000003,4.237,0.36035344949704706,3.817999999999999,3.182000000000001,0.6383164916556938,4.186,2.814,0.6612230601967399,32217867353.4185,-0.869765953712238,10534224377.9144,-0.7718637805662129,94.7176548951663,0.7728787581800444,4.2,0.9866404179399829,3.5,0.9061197998493732
3,NEWPORT,2010-11,7.0,Improvements_Additions for Apartments_Coops,0.22869727272727272,6.771302727272727,-0.18414015403096942,0.24913818181818187,6.750861818181818,-0.18545882692669818,0.2541922727272727,6.7458077272727275,-0.1998875268756455,0.27004181818181816,6.729958181818182,-0.22203158063936693,0.2871204545454545,6.712879545454546,-0.25190154975788626,0.44597000000000014,6.55403,-0.3193533426931945,0.7651345454545454,6.234865454545455,-0.379423891659655,0.13400000000000004,6.866,-0.14666937314740358,0.182,6.818,-0.24122356148810198,0.25200000000000006,6.748,-0.30827638194189394,1.35,5.65,-0.3228727612046858,2.7630000000000003,4.237,0.36035344949704706,3.817999999999999,3.182000000000001,0.6383164916556938,4.186,2.814,0.6612230601967399,32217867353.4185,-0.869765953712238,10534224377.9144,-0.7718637805662129,94.7176548951663,0.7728787581800444,4.2,0.9866404179399829,3.3,0.9061197998493732
4,NEWPORT,2010-11,7.0,Improvements_Additions for Apartments_Coops,0.22869727272727272,6.771302727272727,-0.18414015403096942,0.24913818181818187,6.750861818181818,-0.18545882692669818,0.2541922727272727,6.7458077272727275,-0.1998875268756455,0.27004181818181816,6.729958181818182,-0.22203158063936693,0.2871204545454545,6.712879545454546,-0.25190154975788626,0.44597000000000014,6.55403,-0.3193533426931945,0.7651345454545454,6.234865454545455,-0.379423891659655,0.13400000000000004,6.866,-0.14666937314740358,0.182,6.818,-0.24122356148810198,0.25200000000000006,6.748,-0.30827638194189394,1.35,5.65,-0.3228727612046858,2.7630000000000003,4.237,0.36035344949704706,3.817999999999999,3.182000000000001,0.6383164916556938,4.186,2.814,0.6612230601967399,32217867353.4185,-0.869765953712238,10534224377.9144,-0.7718637805662129,94.7176548951663,0.7728787581800444,4.2,0.9866404179399829,3.5,0.9061197998493732
5,NEWPORT,2010-11,7.0,Improvements_Additions for Apartments_Coops,0.22869727272727272,6.771302727272727,-0.18414015403096942,0.24913818181818187,6.750861818181818,-0.18545882692669818,0.2541922727272727,6.7458077272727275,-0.1998875268756455,0.27004181818181816,6.729958181818182,-0.22203158063936693,0.2871204545454545,6.712879545454546,-0.25190154975788626,0.44597000000000014,6.55403,-0.3193533426931945,0.7651345454545454,6.234865454545455,-0.379423891659655,0.13400000000000004,6.866,-0.14666937314740358,0.182,6.818,-0.24122356148810198,0.25200000000000006,6.748,-0.30827638194189394,1.35,5.65,-0.3228727612046858,2.7630000000000003,4.237,0.36035344949704706,3.817999999999999,3.182000000000001,0.6383164916556938,4.186,2.814,0.6612230601967399,32217867353.4185,-0.869765953712238,10534224377.9144,-0.7718637805662129,94.7176548951663,0.7728787581800444,4.2,0.9866404179399829,3.3,0.9061197998493732
6,NEWPORT,2010-11,7.0,Improvements_Additions for Apartments_Coops,0.22869727272727272,6.771302727272727,-0.18414015403096942,0.24913818181818187,6.750861818181818,-0.18545882692669818,0.2541922727272727,6.7458077272727275,-0.1998875268756455,0.27004181818181816,6.729958181818182,-0.22203158063936693,0.2871204545454545,6.712879545454546,-0.25190154975788626,0.44597000000000014,6.55403,-0.3193533426931945,0.7651345454545454,6.234865454545455,-0.379423891659655,0.13400000000000004,6.866,-0.14666937314740358,0.182,6.818,-0.24122356148810198,0.25200000000000006,6.748,-0.30827638194189394,1.35,5.65,-0.3228727612046858,2.7630000000000003,4.237,0.36035344949704706,3.817999999999999,3.182000000000001,0.6383164916556938,4.186,2.814,0.6612230601967399,32217867353.4185,-0.869765953712238,10534224377.9144,-0.7718637805662129,94.7176548951663,0.7728787581800444,4.2,0.9866404179399829,3.5,0.9061197998493732
7,NEWPORT,2010-11,7.0,Improvements_Additions for Apartments_Coops,0.22869727272727272,6.771302727272727,-0.18414015403096942,0.24913818181818187,6.750861818181818,-0.18545882692669818,0.2541922727272727,6.7458077272727275,-0.1998875268756455,0.27004181818181816,6.729958181818182,-0.22203158063936693,0.2871204545454545,6.712879545454546,-0.25190154975788626,0.44597000000000014,6.55403,-0.3193533426931945,0.7651345454545454,6.234865454545455,-0.379423891659655,0.13400000000000004,6.866,-0.14666937314740358,0.182,6.818,-0.24122356148810198,0.25200000000000006,6.748,-0.30827638194189394,1.35,5.65,-0.3228727612046858,2.7630000000000003,4.237,0.36035344949704706,3.817999999999999,3.182000000000001,0.6383164916556938,4.186,2.814,0.6612230601967399,32217867353.4185,-0.869765953712238,10534224377.9144,-0.7718637805662129,94.7176548951663,0.7728787581800444,4.2,0.9866404179399829,3.3,0.9061197998493732
8,NEWPORT,2011-07,4.75,Improvements_Additions for Apartments_Coops,0.12388095238095237,4.6261190476190475,-0.18414015403096942,0.1598857142857143,4.590114285714286,-0.18545882692669818,0.18661904761904766,4.563380952380952,-0.1998875268756455,0.2182333333333334,4.531766666666667,-0.22203158063936693,0.24991190476190472,4.5000880952380955,-0.25190154975788626,0.41392857142857137,4.336071428571429,-0.3193533426931945,0.7452261904761905,4.00477380952381,-0.379423891659655,0.037500000000000006,4.7125,-0.14666937314740358,0.08400000000000002,4.666,-0.24122356148810198,0.185,4.565,-0.30827638194189394,1.541,3.209,-0.3228727612046858,3.003,1.7469999999999999,0.36035344949704706,3.9475000000000002,0.8024999999999998,0.6383164916556938,4.2705,0.4794999999999998,0.6612230601967399,34623712775.9563,-0.869765953712238,11311909309.5948,-0.7718637805662129,88.33905735772379,0.7728787581800444,3.3,0.9866404179399829,2.9,0.9061197998493732
9,NEWPORT,2011-07,4.75,Improvements_Additions for Apartments_Coops,0.12388095238095237,4.6261190476190475,-0.18414015403096942,0.1598857142857143,4.590114285714286,-0.18545882692669818,0.18661904761904766,4.563380952380952,-0.1998875268756455,0.2182333333333334,4.531766666666667,-0.22203158063936693,0.24991190476190472,4.5000880952380955,-0.25190154975788626,0.41392857142857137,4.336071428571429,-0.3193533426931945,0.7452261904761905,4.00477380952381,-0.379423891659655,0.037500000000000006,4.7125,-0.14666937314740358,0.08400000000000002,4.666,-0.24122356148810198,0.185,4.565,-0.30827638194189394,1.541,3.209,-0.3228727612046858,3.003,1.7469999999999999,0.36035344949704706,3.9475000000000002,0.8024999999999998,0.6383164916556938,4.2705,0.4794999999999998,0.6612230601967399,34623712775.9563,-0.869765953712238,11311909309.5948,-0.7718637805662129,88.33905735772379,0.7728787581800444,3.3,0.9866404179399829,2.8,0.9061197998493732
