,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(2),Corr with auto_vol(2),student_vol(2),Corr with student_vol(2),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2009-12,AZ,PRESCOTT,2009-12,4.29,"(0.630591, 51.367777000000004)",86301,37915.17,Improvements_Additions for Apartments_Coops,0.17885714285714288,-0.1518671839613329,0.2141833333333333,-0.1441439923787696,0.23288904761904766,-0.14656475674496883,0.24197238095238102,-0.16151496648943336,0.2530461904761905,-0.17421211860282892,0.4528776190476191,-0.1766716412657624,0.9993009523809523,-0.07792673838060642,0.03181818181818183,-0.18964911467494142,0.16772727272727275,-0.1456143603962629,0.37136363636363634,-0.053452782893377564,2.3404545454545453,0.7019064140625759,3.589999999999999,0.5666086669689582,4.399545454545455,0.39919112272438245,4.494090909090908,0.3219370192604952,25116521917.8418,-0.3024192791608268,14228362706.5907,0.9376803626469603,99.3021234972081,0.23030481911983477,4.3,0.4395080013832786,5.4,0.44831151202307024,0.630591,51.367777000000004
1,2013-02,AZ,PRESCOTT,2013-02,2.61,"(-112.488748, 34.55543)",86305,31247.35,Improvements_Additions for Apartments_Coops,0.15464999999999998,-0.1518671839613329,0.17315,-0.1441439923787696,0.20129999999999998,-0.14656475674496883,0.2455,-0.16151496648943336,0.29049499999999995,-0.17421211860282892,0.463425,-0.1766716412657624,0.761875,-0.07792673838060642,0.0768421052631579,-0.18964911467494142,0.12421052631578947,-0.1456143603962629,0.15736842105263157,-0.053452782893377564,0.8463157894736841,0.7019064140625759,1.9842105263157896,0.5666086669689582,2.782631578947368,0.39919112272438245,3.165263157894737,0.3219370192604952,40395555554.9932,-0.3024192791608268,9123117418.53368,0.9376803626469603,88.29263433660921,0.23030481911983477,1.8,0.4395080013832786,1.5,0.44831151202307024,-112.488748,34.55543
2,2014-12,AZ,PRESCOTT,2014-12,3.69,"(-112.47570400000001, 34.563365999999995)",86301,17569.09,Improvements_Additions for Apartments_Coops,0.1101,-0.1518671839613329,0.1330809523809524,-0.1441439923787696,0.16305,-0.14656475674496883,0.20744285714285715,-0.16151496648943336,0.2446071428571429,-0.17421211860282892,0.34302142857142864,-0.1766716412657624,0.6021190476190476,-0.07792673838060642,0.02500000000000001,-0.18964911467494142,0.1063636363636364,-0.1456143603962629,0.21454545454545454,-0.053452782893377564,1.64,0.7019064140625759,2.2072727272727275,0.5666086669689582,2.5504545454545453,0.39919112272438245,2.8331818181818185,0.3219370192604952,45758876905.2845,-0.3024192791608268,11837215038.8922,0.9376803626469603,82.23381292700279,0.23030481911983477,1.6,0.4395080013832786,0.8,0.44831151202307024,-112.47570400000001,34.563365999999995
3,2015-02,AZ,PRESCOTT,2015-02,4.05,"(-122.3275491, 37.9841027)",86301,63551.29,Improvements_Additions for Apartments_Coops,0.11784999999999998,-0.1518671839613329,0.13764249999999997,-0.1441439923787696,0.17207499999999998,-0.14656475674496883,0.2121925,-0.16151496648943336,0.25842,-0.17421211860282892,0.37596500000000005,-0.1766716412657624,0.6601375,-0.07792673838060642,0.017894736842105265,-0.18964911467494142,0.07105263157894741,-0.1456143603962629,0.22421052631578947,-0.053452782893377564,1.472631578947368,0.7019064140625759,1.9752631578947366,0.5666086669689582,2.3384210526315794,0.39919112272438245,2.566315789473684,0.3219370192604952,47036055605.935,-0.3024192791608268,11835194000.8273,0.9376803626469603,83.34061286074021,0.23030481911983477,1.4,0.4395080013832786,1.0,0.44831151202307024,-122.3275491,37.9841027
4,2015-08,AZ,PRESCOTT,2015-08,3.69,"(-112.46370300000001, 34.594905)",86301,68663.13,Improvements_Additions for Apartments_Coops,0.13010000000000005,-0.1518671839613329,0.151965,-0.1441439923787696,0.1967275,-0.14656475674496883,0.2610100000000001,-0.16151496648943336,0.3207975,-0.17421211860282892,0.5193599999999999,-0.1766716412657624,0.8364375,-0.07792673838060642,0.03523809523809525,-0.18964911467494142,0.22000000000000006,-0.1456143603962629,0.3757142857142857,-0.053452782893377564,1.5414285714285714,0.7019064140625759,2.167142857142857,0.5666086669689582,2.5466666666666664,0.39919112272438245,2.8557142857142854,0.3219370192604952,48752987466.2114,-0.3024192791608268,11758109185.709,0.9376803626469603,81.9752078939728,0.23030481911983477,1.1,0.4395080013832786,0.6,0.44831151202307024,-112.46370300000001,34.594905
5,2017-12,AZ,PRESCOTT,2017-12,3.45,"(-112.34434399999999, 34.613233)",86314,80438.18,Improvements_Additions for Apartments_Coops,1.3144094736842107,-0.1518671839613329,1.3913115789473685,-0.1441439923787696,1.4850410526315792,-0.14656475674496883,1.5354463157894738,-0.16151496648943336,1.6017521052631578,-0.17421211860282892,1.7680373684210524,-0.1766716412657624,2.0434931578947366,-0.07792673838060642,1.204,-0.18964911467494142,1.4950000000000003,-0.1456143603962629,1.7005,-0.053452782893377564,2.1819999999999995,0.7019064140625759,2.4025,0.5666086669689582,2.5970000000000004,0.39919112272438245,2.768,0.3219370192604952,49574400061.0285,-0.3024192791608268,11318405616.2761,0.9376803626469603,88.50967086025801,0.23030481911983477,0.9,0.4395080013832786,0.2,0.44831151202307024,-112.34434399999999,34.613233
