,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-4),Corr with auto_vol(-4),student_vol(-2),Corr with student_vol(-2),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
0,2010-03,NV,LAS VEGAS,2010-03,4.1,"(-115.32418100000001, 36.223896)",89129,74409.02,Improvements_Additions for Apartments_Coops,0.20298217391304352,0.2594634354739898,0.22118086956521738,0.262526524226767,0.23731173913043485,0.2578642690544184,0.25031173913043475,0.23765110370196438,0.2684247826086957,0.2116267346660986,0.41060652173913054,0.1591416237341842,0.8732952173913044,0.14021004339678825,0.11652173913043477,0.2849492724067929,0.22565217391304354,0.24901519835289077,0.3956521739130435,0.22956777131944603,2.433043478260869,0.392540610883818,3.7273913043478255,0.5217865230266628,4.489130434782608,0.4835310148343686,4.644782608695651,0.43402198435212136,25282528298.0118,-0.22818618911974523,14107591663.4702,-0.42287573964537534,96.8995739482615,0.2873964796196827,5.1,0.24740665195641962,11.3,0.24983613393108658,-115.32418100000001,36.223896
1,2011-07,NV,LAS VEGAS,2011-07,3.7,"(-115.1492, 36.1663)",89106,65796.23,Improvements_Additions for Apartments_Coops,0.12388095238095237,0.2594634354739898,0.1598857142857143,0.262526524226767,0.18661904761904766,0.2578642690544184,0.2182333333333334,0.23765110370196438,0.24991190476190472,0.2116267346660986,0.41392857142857137,0.1591416237341842,0.7452261904761905,0.14021004339678825,0.037500000000000006,0.2849492724067929,0.08400000000000002,0.24901519835289077,0.185,0.22956777131944603,1.541,0.392540610883818,3.003,0.5217865230266628,3.9475000000000002,0.4835310148343686,4.2705,0.43402198435212136,31565012894.7234,-0.22818618911974523,13753511368.0623,-0.42287573964537534,91.59671843464591,0.2873964796196827,3.5,0.24740665195641962,8.2,0.24983613393108658,-115.1492,36.1663
2,2012-09,NV,LAS VEGAS,2012-09,2.65,"(-115.06299999999999, 36.1885)",89142,67267.72,Improvements_Additions for Apartments_Coops,0.15189500000000006,0.2594634354739898,0.183625,0.262526524226767,0.22133750000000002,0.2578642690544184,0.3079875,0.23765110370196438,0.3856325000000001,0.2116267346660986,0.6716749999999999,0.1591416237341842,0.9997750000000002,0.14021004339678825,0.07526315789473685,0.2849492724067929,0.13736842105263158,0.24901519835289077,0.17578947368421055,0.22956777131944603,0.6689473684210526,0.392540610883818,1.7231578947368422,0.5217865230266628,2.488421052631579,0.4835310148343686,2.8815789473684212,0.43402198435212136,36777908030.9335,-0.22818618911974523,16111780903.4699,-0.42287573964537534,89.6038877472871,0.2873964796196827,3.3,0.24740665195641962,7.9,0.24983613393108658,-115.06299999999999,36.1885
3,2013-04,NV,LAS VEGAS,2013-04,3.875,"(-115.226445, 36.187917999999996)",89108,47594.56,Improvements_Additions for Apartments_Coops,0.1539047619047619,0.2594634354739898,0.17210476190476193,0.262526524226767,0.19953333333333334,0.2578642690544184,0.24005714285714277,0.23765110370196438,0.27714285714285714,0.2116267346660986,0.4360190476190476,0.1591416237341842,0.7168333333333334,0.14021004339678825,0.049090909090909116,0.2849492724067929,0.09409090909090913,0.24901519835289077,0.12454545454545456,0.22956777131944603,0.7104545454545454,0.392540610883818,1.7590909090909093,0.5217865230266628,2.5500000000000003,0.4835310148343686,2.9327272727272726,0.43402198435212136,38808856509.5085,-0.22818618911974523,11080080767.5225,-0.42287573964537534,89.2801736441717,0.2873964796196827,3.1,0.24740665195641962,6.8,0.24983613393108658,-115.226445,36.187917999999996
4,2013-07,NV,LAS VEGAS,2013-07,4.75,"(-115.135254, 36.138357)",89109,13098.56,Improvements_Additions for Apartments_Coops,0.12117913043478262,0.2594634354739898,0.15611695652173913,0.262526524226767,0.19111913043478265,0.2578642690544184,0.232388695652174,0.23765110370196438,0.26758260869565215,0.2116267346660986,0.40307869565217386,0.1591416237341842,0.6838491304347826,0.14021004339678825,0.020909090909090912,0.2849492724067929,0.07363636363636367,0.24901519835289077,0.12181818181818184,0.22956777131944603,1.4031818181818183,0.392540610883818,2.5822727272727275,0.5217865230266628,3.3072727272727276,0.4835310148343686,3.605,0.43402198435212136,39298206327.5877,-0.22818618911974523,9498561196.652071,-0.42287573964537534,88.920473853359,0.2873964796196827,2.5,0.24740665195641962,6.5,0.24983613393108658,-115.135254,36.138357
5,2014-02,NV,LAS VEGAS,2014-02,4.25,"(-115.204895, 35.98993)",89141,105610.20499999999,Improvements_Additions for Apartments_Coops,0.08627,0.2594634354739898,0.11939250000000004,0.262526524226767,0.155105,0.2578642690544184,0.19663749999999997,0.23765110370196438,0.23520249999999998,0.2116267346660986,0.3308,0.1591416237341842,0.554605,0.14021004339678825,0.046842105263157914,0.2849492724067929,0.08105263157894738,0.24901519835289077,0.11684210526315793,0.22956777131944603,1.5157894736842106,0.392540610883818,2.7094736842105265,0.5217865230266628,3.3847368421052626,0.4835310148343686,3.6626315789473685,0.43402198435212136,41244159430.5284,-0.22818618911974523,9402239044.86975,-0.42287573964537534,85.7873584996498,0.2873964796196827,2.4,0.24740665195641962,4.2,0.24983613393108658,-115.204895,35.98993
6,2014-03,NV,LAS VEGAS,2014-03,3.8,"(-115.15271680000001, 36.019481899999995)",89123,218013.65,Improvements_Additions for Apartments_Coops,0.0888,0.2594634354739898,0.1207452380952381,0.262526524226767,0.15488333333333335,0.2578642690544184,0.19711666666666672,0.23765110370196438,0.23409761904761903,0.2116267346660986,0.33106666666666673,0.1591416237341842,0.5571428571428573,0.14021004339678825,0.051428571428571455,0.2849492724067929,0.07857142857142858,0.24901519835289077,0.1280952380952381,0.22956777131944603,1.6395238095238096,0.392540610883818,2.7233333333333327,0.5217865230266628,3.3466666666666667,0.4835310148343686,3.6209523809523807,0.43402198435212136,41658198449.9001,-0.22818618911974523,9438159522.248821,-0.42287573964537534,88.4263020205016,0.2873964796196827,2.1,0.24740665195641962,4.3,0.24983613393108658,-115.15271680000001,36.019481899999995
7,2014-09,NV,LAS VEGAS,2014-09,3.55,"(-115.220771, 36.072041)",89118,24722.69,Improvements_Additions for Apartments_Coops,0.09027272727272727,0.2594634354739898,0.12087045454545454,0.262526524226767,0.15410454545454544,0.2578642690544184,0.19699999999999998,0.23765110370196438,0.23403181818181817,0.2116267346660986,0.32999090909090917,0.1591416237341842,0.5770545454545455,0.14021004339678825,0.01142857142857143,0.2849492724067929,0.04380952380952382,0.24901519835289077,0.10952380952380954,0.22956777131944603,1.7738095238095242,0.392540610883818,2.5342857142857147,0.5217865230266628,3.0133333333333328,0.4835310148343686,3.26,0.43402198435212136,44462292713.4678,-0.22818618911974523,10638305940.4607,-0.42287573964537534,82.11515832772571,0.2873964796196827,1.9,0.24740665195641962,3.9,0.24983613393108658,-115.220771,36.072041
8,2015-04,NV,LAS VEGAS,2015-04,3.585,"(-115.09511599999999, 36.189859999999996)",89110,32255.025,Improvements_Additions for Apartments_Coops,0.12200000000000003,0.2594634354739898,0.14605250000000003,0.262526524226767,0.18076750000000003,0.2578642690544184,0.22830999999999996,0.23765110370196438,0.27596,0.2116267346660986,0.404505,0.1591416237341842,0.6969449999999999,0.14021004339678825,0.018181818181818188,0.2849492724067929,0.09363636363636368,0.24901519835289077,0.23363636363636367,0.22956777131944603,1.3545454545454545,0.392540610883818,1.9349999999999996,0.5217865230266628,2.334090909090909,0.4835310148343686,2.5859090909090905,0.43402198435212136,45241950015.4561,-0.22818618911974523,11837215038.8922,-0.42287573964537534,82.4770523961592,0.2873964796196827,2.1,0.24740665195641962,3.3,0.24983613393108658,-115.09511599999999,36.189859999999996
9,2016-03,NV,LAS VEGAS,2016-03,3.38,"(-115.16956499999999, 36.1579)",89102,69992.84,Improvements_Additions for Apartments_Coops,0.3739333333333333,0.2594634354739898,0.39734047619047613,0.262526524226767,0.43639523809523806,0.2578642690544184,0.5204357142857143,0.23765110370196438,0.632,0.2116267346660986,0.9009761904761905,0.1591416237341842,1.2156690476190475,0.14021004339678825,0.2531818181818182,0.2849492724067929,0.47,0.24901519835289077,0.6563636363636364,0.22956777131944603,1.3759090909090912,0.392540610883818,1.889090909090909,0.5217865230266628,2.2759090909090913,0.4835310148343686,2.6845454545454546,0.43402198435212136,48491901272.6637,-0.22818618911974523,11404853913.5663,-0.42287573964537534,81.9752078939728,0.2873964796196827,1.6,0.24740665195641962,2.4,0.24983613393108658,-115.16956499999999,36.1579
10,2016-05,NV,LAS VEGAS,2016-05,3.4,"(-115.1492, 36.1663)",89107,25429.1,Improvements_Additions for Apartments_Coops,0.38527368421052627,0.2594634354739898,0.4053315789473685,0.262526524226767,0.4424947368421052,0.2578642690544184,0.5332263157894737,0.23765110370196438,0.6455710526315791,0.2116267346660986,0.9348736842105263,0.1591416237341842,1.2675078947368421,0.14021004339678825,0.2261904761904762,0.2849492724067929,0.4185714285714286,0.24901519835289077,0.5914285714285713,0.22956777131944603,1.3004761904761903,0.392540610883818,1.8061904761904766,0.5217865230266628,2.2166666666666663,0.4835310148343686,2.627619047619048,0.43402198435212136,48154770296.6926,-0.22818618911974523,11362184412.0981,-0.42287573964537534,83.80897781081251,0.2873964796196827,2.0,0.24740665195641962,2.4,0.24983613393108658,-115.1492,36.1663
