,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(4),Corr with student_vol(4),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-1),Corr with mortgage 30-89(-1),mortgage 90(2),Corr with mortgage 90(2)
10,2013-01,NE,OMAHA,2013-01,2.84,"(-75.1624, 39.8012)",5594.53,Improvements_Additions for Apartments_Coops,0.16043181818181818,0.2488482123787203,0.17947272727272726,0.24557944708718296,0.20497272727272725,0.23565344510239603,0.2497954545454545,0.22150004636174458,0.30261363636363625,0.2047811816686396,0.48810454545454546,0.17722105505418356,0.8142727272727271,0.17112582790119954,0.05190476190476192,0.23264823946926955,0.10761904761904766,0.23950025496754687,0.14523809523809525,0.25259286329847486,0.8052380952380951,0.5392842556083622,1.9147619047619049,0.7788337564460273,2.681428571428571,0.7901108193096461,3.0804761904761913,0.7595082083586137,40995097959.5386,-0.3252822728149184,9498561196.652071,0.4817593902062436,89.513287195688,0.40839432448863183,2.9,0.15683317008027803,1.7,0.19314165189046528
11,2013-03,NE,OMAHA,2013-03,2.68,"(-95.9988813, 41.3132862)",24950.36,Improvements_Additions for Apartments_Coops,0.15505000000000002,0.2488482123787203,0.17309999999999998,0.24557944708718296,0.20345,0.23565344510239603,0.2419,0.22150004636174458,0.28190000000000004,0.2047811816686396,0.44782500000000003,0.17722105505418356,0.7351250000000001,0.17112582790119954,0.07800000000000003,0.23264823946926955,0.11450000000000005,0.23950025496754687,0.14750000000000002,0.25259286329847486,0.8185000000000002,0.5392842556083622,1.9575,0.7788337564460273,2.7840000000000003,0.7901108193096461,3.1625000000000005,0.7595082083586137,41471481477.9035,-0.3252822728149184,8901986132.75728,0.4817593902062436,90.2956809830492,0.40839432448863183,2.3,0.15683317008027803,1.6,0.19314165189046528
12,2013-04,NE,OMAHA,2013-04,3.35,"(-96.006911, 41.312754)",35986.8,Improvements_Additions for Apartments_Coops,0.1539047619047619,0.2488482123787203,0.17210476190476193,0.24557944708718296,0.19953333333333334,0.23565344510239603,0.24005714285714277,0.22150004636174458,0.27714285714285714,0.2047811816686396,0.4360190476190476,0.17722105505418356,0.7168333333333334,0.17112582790119954,0.049090909090909116,0.23264823946926955,0.09409090909090913,0.23950025496754687,0.12454545454545456,0.25259286329847486,0.7104545454545454,0.5392842556083622,1.7590909090909093,0.7788337564460273,2.5500000000000003,0.7901108193096461,2.9327272727272726,0.7595082083586137,41334062733.8549,-0.3252822728149184,10210246554.7955,0.4817593902062436,89.2801736441717,0.40839432448863183,2.5,0.15683317008027803,1.5,0.19314165189046528
13,2013-06,NE,OMAHA,2013-06,3.125,"(-95.954499, 41.191881)",16779.56,Improvements_Additions for Apartments_Coops,0.13074,0.2488482123787203,0.15964599999999998,0.24557944708718296,0.19319250000000002,0.23565344510239603,0.23164600000000002,0.22150004636174458,0.27374,0.2047811816686396,0.4139935,0.17722105505418356,0.6839425000000002,0.17112582790119954,0.0345,0.23264823946926955,0.08750000000000002,0.23950025496754687,0.142,0.25259286329847486,1.2035,0.5392842556083622,2.3000000000000003,0.7788337564460273,3.0740000000000003,0.7901108193096461,3.400000000000001,0.7595082083586137,41244159430.5284,-0.3252822728149184,9473893018.88319,0.4817593902062436,88.794109524791,0.40839432448863183,2.0,0.15683317008027803,1.5,0.19314165189046528
14,2013-08,NE,OMAHA,2013-08,3.7199999999999998,"(-96.118038, 41.222912)",25089.275,Improvements_Additions for Apartments_Coops,0.11782999999999999,0.2488482123787203,0.1493142857142857,0.24557944708718296,0.1840704761904762,0.23565344510239603,0.22633523809523812,0.22150004636174458,0.2633952380952381,0.2047811816686396,0.3949285714285714,0.17722105505418356,0.6679499999999999,0.17112582790119954,0.03681818181818183,0.23264823946926955,0.07181818181818184,0.23950025496754687,0.12681818181818183,0.25259286329847486,1.5204545454545455,0.5392842556083622,2.7372727272727273,0.7788337564460273,3.488181818181818,0.7901108193096461,3.757727272727273,0.7595082083586137,41561863313.5151,-0.3252822728149184,9402239044.86975,0.4817593902062436,86.5850023909696,0.40839432448863183,2.4,0.15683317008027803,1.4,0.19314165189046528
15,2013-11,NE,OMAHA,2013-11,4.54,"(-95.968338, 41.264779)",33517.58,Improvements_Additions for Apartments_Coops,0.10274761904761903,0.2488482123787203,0.12919047619047616,0.24557944708718296,0.1672714285714286,0.23565344510239603,0.20747142857142856,0.22150004636174458,0.2382452380952381,0.2047811816686396,0.35063809523809525,0.17722105505418356,0.5866738095238094,0.17112582790119954,0.046842105263157914,0.23264823946926955,0.09842105263157898,0.23950025496754687,0.12157894736842105,0.25259286329847486,1.3710526315789473,0.5392842556083622,2.7184210526315793,0.7788337564460273,3.503684210526316,0.7901108193096461,3.7999999999999985,0.7595082083586137,44555116847.5878,-0.3252822728149184,10653400066.5467,0.4817593902062436,90.32258801944451,0.40839432448863183,2.5,0.15683317008027803,1.6,0.19314165189046528
16,2014-03,NE,OMAHA,2014-03,2.98,"(-96.13744399999999, 41.286878)",52122.65,Improvements_Additions for Apartments_Coops,0.0888,0.2488482123787203,0.1207452380952381,0.24557944708718296,0.15488333333333335,0.23565344510239603,0.19711666666666672,0.22150004636174458,0.23409761904761903,0.2047811816686396,0.33106666666666673,0.17722105505418356,0.5571428571428573,0.17112582790119954,0.051428571428571455,0.23264823946926955,0.07857142857142858,0.23950025496754687,0.1280952380952381,0.25259286329847486,1.6395238095238096,0.5392842556083622,2.7233333333333327,0.7788337564460273,3.3466666666666667,0.7901108193096461,3.6209523809523807,0.7595082083586137,44931729222.7983,-0.3252822728149184,10638305940.4607,0.4817593902062436,88.4263020205016,0.40839432448863183,1.9,0.15683317008027803,1.2,0.19314165189046528
17,2015-03,NE,OMAHA,2015-03,3.15,"(-95.929955, 41.253228)",137051.51,Improvements_Additions for Apartments_Coops,0.12134999999999999,0.2488482123787203,0.14022954545454547,0.24557944708718296,0.17560000000000003,0.23565344510239603,0.21958181818181813,0.22150004636174458,0.26829772727272727,0.2047811816686396,0.39945,0.17722105505418356,0.700025,0.17112582790119954,0.02272727272727273,0.23264823946926955,0.11000000000000001,0.23950025496754687,0.25363636363636366,0.25259286329847486,1.5190909090909088,0.5392842556083622,2.042727272727273,0.7788337564460273,2.4068181818181817,0.7901108193096461,2.626363636363636,0.7595082083586137,48668534366.8701,-0.3252822728149184,11834405659.8436,0.4817593902062436,82.72786465890579,0.40839432448863183,1.7,0.15683317008027803,1.0,0.19314165189046528
18,2015-11,NE,OMAHA,2015-11,3.6,"(-95.950974, 41.254369)",12673.75,Improvements_Additions for Apartments_Coops,0.13066666666666668,0.2488482123787203,0.1559214285714286,0.24557944708718296,0.20844761904761913,0.23565344510239603,0.286702380952381,0.22150004636174458,0.3709714285714286,0.2047811816686396,0.6063738095238096,0.17722105505418356,0.9343738095238093,0.17112582790119954,0.07105263157894738,0.23264823946926955,0.32789473684210524,0.23950025496754687,0.47684210526315784,0.25259286329847486,1.6710526315789473,0.5392842556083622,2.2631578947368416,0.7788337564460273,2.6863157894736847,0.7901108193096461,3.03,0.7595082083586137,48187387172.2131,-0.3252822728149184,11362184412.0981,0.4817593902062436,81.7923503982947,0.40839432448863183,1.8,0.15683317008027803,0.9,0.19314165189046528
19,2016-04,NE,OMAHA,2016-04,3.48,"(-95.936548, 41.257466)",11836.45,Improvements_Additions for Apartments_Coops,0.38031428571428566,0.2488482123787203,0.39864523809523805,0.24557944708718296,0.4373976190476192,0.23565344510239603,0.5229452380952381,0.22150004636174458,0.6327499999999999,0.2047811816686396,0.9025404761904764,0.17722105505418356,1.2222214285714286,0.17112582790119954,0.18761904761904763,0.23264823946926955,0.37238095238095237,0.23950025496754687,0.5557142857142858,0.25259286329847486,1.2580952380952382,0.5392842556083622,1.8052380952380953,0.7788337564460273,2.2104761904761907,0.7901108193096461,2.6233333333333335,0.7595082083586137,50596067254.1766,-0.3252822728149184,11412820253.2316,0.4817593902062436,82.3313446344394,0.40839432448863183,1.5,0.15683317008027803,0.8,0.19314165189046528
20,2017-06,NE,OMAHA,2017-06,3.3,"(-96.155473, 41.294672)",88071.66,Improvements_Additions for Apartments_Coops,1.0640909090909094,0.2488482123787203,1.1183336363636365,0.24557944708718296,1.1714068181818182,0.23565344510239603,1.2101513636363637,0.22150004636174458,1.2624095454545452,0.2047811816686396,1.4322822727272726,0.17722105505418356,1.7322577272727273,0.17112582790119954,0.8413636363636363,0.23264823946926955,1.1095454545454546,0.23950025496754687,1.200909090909091,0.25259286329847486,1.7740909090909094,0.5392842556083622,2.186818181818182,0.7788337564460273,2.5399999999999996,0.7901108193096461,2.796363636363637,0.7595082083586137,49855182727.6109,-0.3252822728149184,11537595366.1601,0.4817593902062436,84.4501908643932,0.40839432448863183,1.3,0.15683317008027803,0.7,0.19314165189046528
21,2018-03,NE,OMAHA,2018-03,3.79,"(-75.2398347, 39.9723663)",52396.8,Improvements_Additions for Apartments_Coops,1.5183047619047625,0.2488482123787203,1.6006185714285712,0.24557944708718296,1.7991309523809524,0.23565344510239603,1.9184628571428568,0.22150004636174458,2.173357619047619,0.2047811816686396,2.345182380952381,0.17722105505418356,2.596475714285714,0.17112582790119954,1.636666666666667,0.23264823946926955,1.917142857142857,0.23950025496754687,2.0628571428571427,0.25259286329847486,2.6295238095238096,0.5392842556083622,2.8423809523809527,0.7788337564460273,2.9733333333333327,0.7901108193096461,3.0914285714285716,0.7595082083586137,50800995008.8069,-0.3252822728149184,13062636860.3963,0.4817593902062436,87.3618752869242,0.40839432448863183,1.5,0.15683317008027803,0.6,0.19314165189046528
