,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(-4),Corr with student_vol(-4),credit_tightness,Corr with credit_tightness,mortgage 30-89(-1),Corr with mortgage 30-89(-1),mortgage 90(-3),Corr with mortgage 90(-3)
0,LAKEWOOD,2010-01,3.96,Improvements_Additions for Apartments_Coops,0.172129,3.787871,0.35843332420576085,0.207845,3.752155,0.36220348449404716,0.23159750000000004,3.7284025,0.35657940564191026,0.24093950000000003,3.7190605,0.3365636134286297,0.25011950000000005,3.7098804999999997,0.3066521692974653,0.39936099999999997,3.560639,0.2548390760745476,0.8985025,3.0614974999999998,0.24825571993287876,0.022631578947368423,3.9373684210526316,0.38552357960070466,0.14842105263157898,3.811578947368421,0.3460994706900387,0.3457894736842104,3.6142105263157895,0.35161013707966815,2.4842105263157896,1.4757894736842103,0.6088608196134415,3.7331578947368427,0.2268421052631573,0.706290513830923,4.501578947368422,-0.5415789473684223,0.49487123296306645,4.604736842105263,-0.6447368421052628,0.38277730774978647,27396832704.0094,0.16101717473475993,12891808542.898,-0.25639234926648713,97.9962893430168,-0.13695574505382044,3.0,-0.2682969224892867,3.5,-0.15471717802837845
1,LAKEWOOD,2011-06,4.13,Improvements_Additions for Apartments_Coops,0.12706818181818183,4.002931818181818,0.35843332420576085,0.1615431818181819,3.968456818181818,0.36220348449404716,0.18716409090909092,3.942835909090909,0.35657940564191026,0.21923909090909086,3.910760909090909,0.3365636134286297,0.24782409090909094,3.882175909090909,0.3066521692974653,0.39758,3.73242,0.2548390760745476,0.7268749999999999,3.403125,0.24825571993287876,0.0190909090909091,4.11090909090909,0.38552357960070466,0.1013636363636364,4.028636363636363,0.3460994706900387,0.18090909090909094,3.9490909090909088,0.35161013707966815,1.5799999999999998,2.55,0.6088608196134415,3.002272727272727,1.127727272727273,0.706290513830923,3.9145454545454546,0.21545454545454534,0.49487123296306645,4.2327272727272724,-0.10272727272727256,0.38277730774978647,34623712775.9563,0.16101717473475993,11726514214.1317,-0.25639234926648713,90.24550000965358,-0.13695574505382044,2.4,-0.2682969224892867,2.6,-0.15471717802837845
2,LAKEWOOD,2012-01,3.8,Improvements_Additions for Apartments_Coops,0.14564761904761903,3.654352380952381,0.35843332420576085,0.2014238095238095,3.5985761904761904,0.36220348449404716,0.28289523809523814,3.5171047619047617,0.35657940564191026,0.41424761904761903,3.385752380952381,0.3365636134286297,0.5659000000000001,3.2340999999999998,0.3066521692974653,0.7969761904761906,3.003023809523809,0.2548390760745476,1.1145476190476191,2.6854523809523805,0.24825571993287876,0.0245,3.7754999999999996,0.38552357960070466,0.06550000000000003,3.7344999999999997,0.3460994706900387,0.11500000000000003,3.6849999999999996,0.35161013707966815,0.835,2.965,0.6088608196134415,1.9664999999999995,1.8335000000000004,0.706290513830923,2.6950000000000003,1.1049999999999995,0.49487123296306645,3.026,0.774,0.38277730774978647,36777908030.9335,0.16101717473475993,11655650147.2578,-0.25639234926648713,90.7743282432688,-0.13695574505382044,2.4,-0.2682969224892867,2.5,-0.15471717802837845
3,LAKEWOOD,2012-03,3.49,Improvements_Additions for Apartments_Coops,0.14720000000000003,3.3428,0.35843332420576085,0.1893409090909091,3.300659090909091,0.36220348449404716,0.24185227272727275,3.2481477272727273,0.35657940564191026,0.35079999999999995,3.1392,0.3365636134286297,0.4732886363636363,3.016711363636364,0.3066521692974653,0.741275,2.7487250000000003,0.2548390760745476,1.0534477272727274,2.4365522727272726,0.24825571993287876,0.06363636363636366,3.4263636363636367,0.38552357960070466,0.14227272727272727,3.347727272727273,0.3460994706900387,0.19000000000000003,3.3000000000000003,0.35161013707966815,1.0172727272727273,2.4727272727272727,0.6088608196134415,2.1727272727272724,1.3172727272727278,0.706290513830923,2.9404545454545454,0.5495454545454548,0.49487123296306645,3.281363636363636,0.2086363636363644,0.38277730774978647,36601383816.48,0.16101717473475993,11784187253.6333,-0.25639234926648713,90.0868950067716,-0.13695574505382044,2.5,-0.2682969224892867,2.4,-0.15471717802837845
4,LAKEWOOD,2012-05,2.99,Improvements_Additions for Apartments_Coops,0.15161363636363637,2.838386363636364,0.35843332420576085,0.19053181818181822,2.799468181818182,0.36220348449404716,0.23893181818181805,2.7510681818181824,0.35657940564191026,0.3457045454545453,2.644295454545455,0.3365636134286297,0.4665318181818183,2.523468181818182,0.3066521692974653,0.732990909090909,2.257009090909091,0.2548390760745476,1.0615068181818177,1.9284931818181825,0.24825571993287876,0.06590909090909093,2.9240909090909093,0.38552357960070466,0.14545454545454548,2.8445454545454547,0.3460994706900387,0.19181818181818186,2.7981818181818183,0.35161013707966815,0.7618181818181818,2.2281818181818185,0.6088608196134415,1.8031818181818189,1.1868181818181813,0.706290513830923,2.525909090909091,0.46409090909090933,0.49487123296306645,2.930909090909091,0.05909090909090908,0.38277730774978647,37571290060.6541,0.16101717473475993,11510278467.2037,-0.25639234926648713,89.6038877472871,-0.13695574505382044,2.3,-0.2682969224892867,2.2,-0.15471717802837845
5,LAKEWOOD,2013-02,3.1,Improvements_Additions for Apartments_Coops,0.15464999999999998,2.94535,0.35843332420576085,0.17315,2.92685,0.36220348449404716,0.20129999999999998,2.8987000000000003,0.35657940564191026,0.2455,2.8545000000000003,0.3365636134286297,0.29049499999999995,2.809505,0.3066521692974653,0.463425,2.636575,0.2548390760745476,0.761875,2.3381250000000002,0.24825571993287876,0.0768421052631579,3.0231578947368423,0.38552357960070466,0.12421052631578947,2.9757894736842108,0.3460994706900387,0.15736842105263157,2.9426315789473687,0.35161013707966815,0.8463157894736841,2.253684210526316,0.6088608196134415,1.9842105263157896,1.1157894736842104,0.706290513830923,2.782631578947368,0.31736842105263197,0.49487123296306645,3.165263157894737,-0.06526315789473669,0.38277730774978647,41507587847.7023,0.16101717473475993,12022315813.7363,-0.25639234926648713,88.794109524791,-0.13695574505382044,2.2,-0.2682969224892867,1.8,-0.15471717802837845
6,LAKEWOOD,2013-06,3.3,Improvements_Additions for Apartments_Coops,0.13074,3.16926,0.35843332420576085,0.15964599999999998,3.140354,0.36220348449404716,0.19319250000000002,3.1068075,0.35657940564191026,0.23164600000000002,3.068354,0.3365636134286297,0.27374,3.0262599999999997,0.3066521692974653,0.4139935,2.8860064999999997,0.2548390760745476,0.6839425000000002,2.6160574999999997,0.24825571993287876,0.0345,3.2655,0.38552357960070466,0.08750000000000002,3.2125,0.3460994706900387,0.142,3.158,0.35161013707966815,1.2035,2.0965,0.6088608196134415,2.3000000000000003,0.9999999999999996,0.706290513830923,3.0740000000000003,0.22599999999999953,0.49487123296306645,3.400000000000001,-0.10000000000000098,0.38277730774978647,41244159430.5284,0.16101717473475993,11080080767.5225,-0.25639234926648713,89.95115518901541,-0.13695574505382044,1.7,-0.2682969224892867,1.7,-0.15471717802837845
7,LAKEWOOD,2013-08,4.1,Improvements_Additions for Apartments_Coops,0.11782999999999999,3.9821699999999995,0.35843332420576085,0.1493142857142857,3.950685714285714,0.36220348449404716,0.1840704761904762,3.9159295238095235,0.35657940564191026,0.22633523809523812,3.8736647619047617,0.3365636134286297,0.2633952380952381,3.8366047619047614,0.3066521692974653,0.3949285714285714,3.7050714285714283,0.2548390760745476,0.6679499999999999,3.43205,0.24825571993287876,0.03681818181818183,4.063181818181818,0.38552357960070466,0.07181818181818184,4.028181818181817,0.3460994706900387,0.12681818181818183,3.9731818181818177,0.35161013707966815,1.5204545454545455,2.579545454545454,0.6088608196134415,2.7372727272727273,1.3627272727272723,0.706290513830923,3.488181818181818,0.6118181818181818,0.49487123296306645,3.757727272727273,0.34227272727272684,0.38277730774978647,41561863313.5151,0.16101717473475993,9123117418.53368,-0.25639234926648713,88.1059676388142,-0.13695574505382044,1.8,-0.2682969224892867,1.4,-0.15471717802837845
8,LAKEWOOD,2013-10,4.3,Improvements_Additions for Apartments_Coops,0.10426086956521738,4.195739130434783,0.35843332420576085,0.13668260869565219,4.163317391304347,0.36220348449404716,0.17241521739130433,4.127584782608696,0.35657940564191026,0.21265,4.08735,0.3365636134286297,0.2417652173913043,4.058234782608696,0.3066521692974653,0.36121521739130424,3.9387847826086957,0.2548390760745476,0.6177847826086957,3.6822152173913043,0.24825571993287876,0.1059090909090909,4.194090909090909,0.38552357960070466,0.07590909090909094,4.224090909090909,0.3460994706900387,0.12136363636363635,4.178636363636364,0.35161013707966815,1.366818181818182,2.9331818181818177,0.6088608196134415,2.615909090909091,1.6840909090909086,0.706290513830923,3.3795454545454544,0.9204545454545454,0.49487123296306645,3.6759090909090903,0.6240909090909095,0.38277730774978647,43204378466.7468,0.16101717473475993,9260696074.4491,-0.25639234926648713,85.7873584996498,-0.13695574505382044,1.5,-0.2682969224892867,1.4,-0.15471717802837845
9,LAKEWOOD,2014-05,4.05,Improvements_Additions for Apartments_Coops,0.08842000000000001,3.9615799999999997,0.35843332420576085,0.1198375,3.9301625,0.36220348449404716,0.15035749999999998,3.8996424999999997,0.35657940564191026,0.1914675,3.8585325,0.3365636134286297,0.22609000000000004,3.8239099999999997,0.3066521692974653,0.3231200000000001,3.7268799999999995,0.2548390760745476,0.537955,3.5120449999999996,0.24825571993287876,0.026666666666666665,4.023333333333333,0.38552357960070466,0.05190476190476192,3.998095238095238,0.3460994706900387,0.0966666666666667,3.953333333333333,0.35161013707966815,1.5928571428571427,2.4571428571428573,0.6088608196134415,2.559047619047619,1.4909523809523808,0.706290513830923,3.1152380952380954,0.9347619047619045,0.49487123296306645,3.3899999999999997,0.6600000000000001,0.38277730774978647,44885858708.7515,0.16101717473475993,9438159522.248821,-0.25639234926648713,82.11515832772571,-0.13695574505382044,1.3,-0.2682969224892867,1.0,-0.15471717802837845
