,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(2),Corr with auto_vol(2),student_vol(-2),Corr with student_vol(-2),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90,Corr with mortgage 90,long,lat
0,2010-08,TX,EL PASO,2010-08,4.295,"(-106.30323100000001, 31.746033)",79936,48341.505,Improvements_Additions for Apartments_Coops,0.23101619047619049,0.15765554173017224,0.2659952380952381,0.1593034791974245,0.27546238095238096,0.16463275789796256,0.3123080952380952,0.18145628326623242,0.3625466666666667,0.19537953023728383,0.5790957142857143,0.2178559786392882,0.9435780952380955,0.21897910142982757,0.15409090909090908,0.16223819671065065,0.19136363636363637,0.1652229963575565,0.25909090909090904,0.16339616031356144,1.4654545454545451,0.16597477795983487,2.6986363636363637,0.15506016443134735,3.516818181818181,0.09253294421211868,3.8031818181818178,0.05925159010579782,30512069858.4251,0.06941346442191926,11833891080.8667,0.6488080502364202,94.7176548951663,0.2330265311737801,5.8,0.18374961308148777,3.0,0.19364345618719292,-106.30323100000001,31.746033
1,2012-07,TX,EL PASO,2012-07,3.95,"(-106.30308400000001, 31.747835)",79936,84101.41,Improvements_Additions for Apartments_Coops,0.16720454545454547,0.15765554173017224,0.19873636363636368,0.1593034791974245,0.24646136363636365,0.16463275789796256,0.34024999999999994,0.18145628326623242,0.4535545454545455,0.19537953023728383,0.7302181818181818,0.2178559786392882,1.0653181818181816,0.21897910142982757,0.06952380952380956,0.16223819671065065,0.14571428571428574,0.1652229963575565,0.18571428571428572,0.16339616031356144,0.6195238095238095,0.16597477795983487,1.5266666666666664,0.15506016443134735,2.217142857142857,0.09253294421211868,2.5900000000000003,0.05925159010579782,37571290060.6541,0.06941346442191926,12770391029.1034,0.6488080502364202,90.2956809830492,0.2330265311737801,5.5,0.18374961308148777,2.4,0.19364345618719292,-106.30308400000001,31.747835
2,2012-09,TX,EL PASO,2012-09,6.332999999999999,"(-106.529876, 31.813691)",79912,16149.26,Improvements_Additions for Apartments_Coops,0.15189500000000006,0.15765554173017224,0.183625,0.1593034791974245,0.22133750000000002,0.16463275789796256,0.3079875,0.18145628326623242,0.3856325000000001,0.19537953023728383,0.6716749999999999,0.2178559786392882,0.9997750000000002,0.21897910142982757,0.07526315789473685,0.16223819671065065,0.13736842105263158,0.1652229963575565,0.17578947368421055,0.16339616031356144,0.6689473684210526,0.16597477795983487,1.7231578947368422,0.15506016443134735,2.488421052631579,0.09253294421211868,2.8815789473684212,0.05925159010579782,38410438812.4053,0.06941346442191926,16111780903.4699,0.6488080502364202,91.578064558499,0.2330265311737801,5.4,0.18374961308148777,2.5,0.19364345618719292,-106.529876,31.813691
3,2012-10,TX,EL PASO,2012-10,2.943333333333333,"(-76.206549, 43.102003)",79912,59399.51,Improvements_Additions for Apartments_Coops,0.15320434782608702,0.15765554173017224,0.17955217391304346,0.1593034791974245,0.21346521739130433,0.16463275789796256,0.2717391304347827,0.18145628326623242,0.3304891304347827,0.19537953023728383,0.5823021739130435,0.2178559786392882,0.9185760869565219,0.21897910142982757,0.10952380952380951,0.16223819671065065,0.14904761904761904,0.1652229963575565,0.17952380952380956,0.16339616031356144,0.7085714285714285,0.16597477795983487,1.7461904761904758,0.15506016443134735,2.505714285714286,0.09253294421211868,2.90047619047619,0.05925159010579782,38808856509.5085,0.06941346442191926,11986368496.8635,0.6488080502364202,88.794109524791,0.2330265311737801,4.8,0.18374961308148777,2.2,0.19364345618719292,-76.206549,43.102003
4,2012-11,TX,EL PASO,2012-11,2.35,"(-106.35954, 31.763575)",79225,24836.75,Improvements_Additions for Apartments_Coops,0.1555,0.15765554173017224,0.18060909090909089,0.1593034791974245,0.20888636363636362,0.16463275789796256,0.25813636363636355,0.18145628326623242,0.31102272727272723,0.19537953023728383,0.528347727272727,0.2178559786392882,0.8631931818181818,0.21897910142982757,0.12449999999999999,0.16223819671065065,0.14450000000000002,0.1652229963575565,0.17850000000000002,0.16339616031356144,0.665,0.16597477795983487,1.654,0.15506016443134735,2.3894999999999995,0.09253294421211868,2.8034999999999997,0.05925159010579782,39268596272.9965,0.06941346442191926,11631947675.6117,0.6488080502364202,88.920473853359,0.2330265311737801,4.3,0.18374961308148777,2.2,0.19364345618719292,-106.35954,31.763575
5,2013-01,TX,EL PASO,2013-01,3.6,"(-106.27573659999999, 31.7301567)",79936,61049.4,Improvements_Additions for Apartments_Coops,0.16043181818181818,0.15765554173017224,0.17947272727272726,0.1593034791974245,0.20497272727272725,0.16463275789796256,0.2497954545454545,0.18145628326623242,0.30261363636363625,0.19537953023728383,0.48810454545454546,0.2178559786392882,0.8142727272727271,0.21897910142982757,0.05190476190476192,0.16223819671065065,0.10761904761904766,0.1652229963575565,0.14523809523809525,0.16339616031356144,0.8052380952380951,0.16597477795983487,1.9147619047619049,0.15506016443134735,2.681428571428571,0.09253294421211868,3.0804761904761913,0.05925159010579782,39298206327.5877,0.06941346442191926,10740081615.3953,0.6488080502364202,88.29263433660921,0.2330265311737801,4.3,0.18374961308148777,2.5,0.19364345618719292,-106.27573659999999,31.7301567
6,2013-06,TX,EL PASO,2013-06,2.9,"(9.23806, 4.15)",79912,47266.865000000005,Improvements_Additions for Apartments_Coops,0.13074,0.15765554173017224,0.15964599999999998,0.1593034791974245,0.19319250000000002,0.16463275789796256,0.23164600000000002,0.18145628326623242,0.27374,0.19537953023728383,0.4139935,0.2178559786392882,0.6839425000000002,0.21897910142982757,0.0345,0.16223819671065065,0.08750000000000002,0.1652229963575565,0.142,0.16339616031356144,1.2035,0.16597477795983487,2.3000000000000003,0.15506016443134735,3.0740000000000003,0.09253294421211868,3.400000000000001,0.05925159010579782,41334062733.8549,0.06941346442191926,9123117418.53368,0.6488080502364202,85.7873584996498,0.2330265311737801,4.9,0.18374961308148777,1.8,0.19364345618719292,9.23806,4.15
7,2013-07,TX,EL PASO,2013-07,3.55,"(-106.56658600000002, 31.844534000000003)",79912,29299.97,Improvements_Additions for Apartments_Coops,0.12117913043478262,0.15765554173017224,0.15611695652173913,0.1593034791974245,0.19111913043478265,0.16463275789796256,0.232388695652174,0.18145628326623242,0.26758260869565215,0.19537953023728383,0.40307869565217386,0.2178559786392882,0.6838491304347826,0.21897910142982757,0.020909090909090912,0.16223819671065065,0.07363636363636367,0.1652229963575565,0.12181818181818184,0.16339616031356144,1.4031818181818183,0.16597477795983487,2.5822727272727275,0.15506016443134735,3.3072727272727276,0.09253294421211868,3.605,0.05925159010579782,41062625933.5941,0.06941346442191926,9498561196.652071,0.6488080502364202,88.4263020205016,0.2330265311737801,4.7,0.18374961308148777,1.9,0.19364345618719292,-106.56658600000002,31.844534000000003
8,2014-01,TX,EL PASO,2014-01,4.6,"(-106.295076, 31.790609999999997)",79936,47094.08,Improvements_Additions for Apartments_Coops,0.09003181818181817,0.15765554173017224,0.1219931818181818,0.1593034791974245,0.1597090909090909,0.16463275789796256,0.204425,0.18145628326623242,0.23822954545454544,0.19537953023728383,0.33795909090909093,0.2178559786392882,0.5752999999999999,0.21897910142982757,0.017142857142857144,0.16223819671065065,0.0690476190476191,0.1652229963575565,0.11619047619047623,0.16339616031356144,1.6466666666666665,0.16597477795983487,2.858095238095238,0.15506016443134735,3.521904761904762,0.09253294421211868,3.76904761904762,0.05925159010579782,44555116847.5878,0.06941346442191926,10396023519.0372,0.6488080502364202,82.11515832772571,0.2330265311737801,3.9,0.18374961308148777,2.2,0.19364345618719292,-106.295076,31.790609999999997
9,2015-09,TX,EL PASO,2015-09,3.75,"(-106.351441, 31.738551)",79915,18879.68,Improvements_Additions for Apartments_Coops,0.1344409090909091,0.15765554173017224,0.15661363636363634,0.1593034791974245,0.20107727272727274,0.16463275789796256,0.26589318181818195,0.18145628326623242,0.3311113636363637,0.19537953023728383,0.5371681818181817,0.2178559786392882,0.8526636363636364,0.21897910142982757,0.008571428571428572,0.16223819671065065,0.17952380952380947,0.1652229963575565,0.3733333333333333,0.16339616031356144,1.4900000000000002,0.16597477795983487,2.1728571428571435,0.15506016443134735,2.618095238095238,0.09253294421211868,2.9528571428571433,0.05925159010579782,48491901272.6637,0.06941346442191926,11834405659.8436,0.6488080502364202,83.80897781081251,0.2330265311737801,4.3,0.18374961308148777,1.8,0.19364345618719292,-106.351441,31.738551
