,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(4),Corr with student_vol(4),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
10,2013-07,IN,FORT WAYNE,2013-07,2.98,"(-85.15016, 41.014463)",46819,41443.37,Improvements_Additions for Apartments_Coops,0.12117913043478262,-0.01839425505739591,0.15611695652173913,-0.012480641537730418,0.19111913043478265,-0.007831624754618436,0.232388695652174,-0.003271886601682747,0.26758260869565215,0.00761977774947761,0.40307869565217386,0.0154444876044633,0.6838491304347826,0.05476020111971431,0.020909090909090912,-0.004286376119296504,0.07363636363636367,0.004028516124592049,0.12181818181818184,0.03238100049844262,1.4031818181818183,0.46201719723669593,2.5822727272727275,0.6449648129894837,3.3072727272727276,0.5713214224837152,3.605,0.5184979139714162,41244159430.5284,-0.3746863089365676,10396023519.0372,0.4149135045398937,86.5850023909696,0.412391804832144,2.8,0.3256675251883153,2.1,0.2383499136467316,-85.15016,41.014463
11,2013-10,IN,FORT WAYNE,2013-10,4.25,"(-85.09037, 41.18871)",46845,62926.39,Improvements_Additions for Apartments_Coops,0.10426086956521738,-0.01839425505739591,0.13668260869565219,-0.012480641537730418,0.17241521739130433,-0.007831624754618436,0.21265,-0.003271886601682747,0.2417652173913043,0.00761977774947761,0.36121521739130424,0.0154444876044633,0.6177847826086957,0.05476020111971431,0.1059090909090909,-0.004286376119296504,0.07590909090909094,0.004028516124592049,0.12136363636363635,0.03238100049844262,1.366818181818182,0.46201719723669593,2.615909090909091,0.6449648129894837,3.3795454545454544,0.5713214224837152,3.6759090909090903,0.5184979139714162,42151687038.4775,-0.3746863089365676,10011024566.6146,0.4149135045398937,90.32258801944451,0.412391804832144,2.3,0.3256675251883153,1.9,0.2383499136467316,-85.09037,41.18871
12,2013-11,IN,FORT WAYNE,2013-11,3.95,"(-85.143723, 41.079121)",46802,19790.13,Improvements_Additions for Apartments_Coops,0.10274761904761903,-0.01839425505739591,0.12919047619047616,-0.012480641537730418,0.1672714285714286,-0.007831624754618436,0.20747142857142856,-0.003271886601682747,0.2382452380952381,0.00761977774947761,0.35063809523809525,0.0154444876044633,0.5866738095238094,0.05476020111971431,0.046842105263157914,-0.004286376119296504,0.09842105263157898,0.004028516124592049,0.12157894736842105,0.03238100049844262,1.3710526315789473,0.46201719723669593,2.7184210526315793,0.6449648129894837,3.503684210526316,0.5713214224837152,3.7999999999999985,0.5184979139714162,43204378466.7468,-0.3746863089365676,10653400066.5467,0.4149135045398937,88.1059676388142,0.412391804832144,2.0,0.3256675251883153,2.0,0.2383499136467316,-85.143723,41.079121
13,2014-03,IN,FORT WAYNE,2014-03,3.95,"(-85.16497199999999, 41.051491999999996)",46809,5761.13,Improvements_Additions for Apartments_Coops,0.0888,-0.01839425505739591,0.1207452380952381,-0.012480641537730418,0.15488333333333335,-0.007831624754618436,0.19711666666666672,-0.003271886601682747,0.23409761904761903,0.00761977774947761,0.33106666666666673,0.0154444876044633,0.5571428571428573,0.05476020111971431,0.051428571428571455,-0.004286376119296504,0.07857142857142858,0.004028516124592049,0.1280952380952381,0.03238100049844262,1.6395238095238096,0.46201719723669593,2.7233333333333327,0.6449648129894837,3.3466666666666667,0.5713214224837152,3.6209523809523807,0.5184979139714162,43938467193.2505,-0.3746863089365676,10638305940.4607,0.4149135045398937,85.3165844012547,0.412391804832144,2.9,0.3256675251883153,1.9,0.2383499136467316,-85.16497199999999,41.051491999999996
14,2014-04,IN,FORT WAYNE,2014-04,3.98,"(-85.187762, 41.0394)",46809,8689.55,Improvements_Additions for Apartments_Coops,0.08864000000000001,-0.01839425505739591,0.120115,-0.012480641537730418,0.1517,-0.007831624754618436,0.1918625,-0.003271886601682747,0.227495,0.00761977774947761,0.32422500000000004,0.0154444876044633,0.550005,0.05476020111971431,0.023333333333333345,-0.004286376119296504,0.05333333333333336,0.004028516124592049,0.10761904761904763,0.03238100049844262,1.7009523809523805,0.46201719723669593,2.705238095238095,0.6449648129894837,3.265238095238095,0.5713214224837152,3.5176190476190476,0.5184979139714162,44931729222.7983,-0.3746863089365676,11117378455.0815,0.4149135045398937,84.4459748156831,0.412391804832144,3.0,0.3256675251883153,2.0,0.2383499136467316,-85.187762,41.0394
15,2014-07,IN,FORT WAYNE,2014-07,3.465,"(-85.123797, 41.12168)",46825,14911.945,Improvements_Additions for Apartments_Coops,0.09286956521739129,-0.01839425505739591,0.12270652173913045,-0.012480641537730418,0.15438695652173914,-0.007831624754618436,0.1955586956521739,-0.003271886601682747,0.23417391304347826,0.00761977774947761,0.32826086956521744,0.0154444876044633,0.5557695652173912,0.05476020111971431,0.024090909090909093,-0.004286376119296504,0.059545454545454575,0.004028516124592049,0.11136363636363639,0.03238100049844262,1.699545454545455,0.46201719723669593,2.542272727272727,0.6449648129894837,3.071363636363636,0.5713214224837152,3.3318181818181816,0.5184979139714162,44591810060.8257,-0.3746863089365676,11357071284.6333,0.4149135045398937,82.56600445924391,0.412391804832144,2.9,0.3256675251883153,1.8,0.2383499136467316,-85.123797,41.12168
16,2015-04,IN,FORT WAYNE,2015-04,3.27,"(-85.117664, 41.06589)",46803,18443.01,Improvements_Additions for Apartments_Coops,0.12200000000000003,-0.01839425505739591,0.14605250000000003,-0.012480641537730418,0.18076750000000003,-0.007831624754618436,0.22830999999999996,-0.003271886601682747,0.27596,0.00761977774947761,0.404505,0.0154444876044633,0.6969449999999999,0.05476020111971431,0.018181818181818188,-0.004286376119296504,0.09363636363636368,0.004028516124592049,0.23363636363636367,0.03238100049844262,1.3545454545454545,0.46201719723669593,1.9349999999999996,0.6449648129894837,2.334090909090909,0.5713214224837152,2.5859090909090905,0.5184979139714162,48668534366.8701,-0.3746863089365676,10986955735.8103,0.4149135045398937,80.33849809561521,0.412391804832144,2.7,0.3256675251883153,2.0,0.2383499136467316,-85.117664,41.06589
17,2015-06,IN,FORT WAYNE,2015-06,3.14,"(-85.1386, 41.08)",46815,26025.66,Improvements_Additions for Apartments_Coops,0.12293636363636364,-0.01839425505739591,0.14681590909090908,-0.012480641537730418,0.1858840909090909,-0.007831624754618436,0.23472954545454539,-0.003271886601682747,0.2827113636363637,0.00761977774947761,0.43974545454545466,0.0154444876044633,0.7702659090909093,0.05476020111971431,0.007727272727272728,-0.004286376119296504,0.08681818181818185,0.004028516124592049,0.2754545454545455,0.03238100049844262,1.6836363636363636,0.46201719723669593,2.3636363636363638,0.6449648129894837,2.8454545454545452,0.5713214224837152,3.1118181818181814,0.5184979139714162,49379202635.7798,-0.3746863089365676,11758109185.709,0.4149135045398937,82.23381292700279,0.412391804832144,2.8,0.3256675251883153,1.9,0.2383499136467316,-85.1386,41.08
18,2016-07,IN,FORT WAYNE,2016-07,3.35,"(-85.130274, 41.171167)",46825,36903.8,Improvements_Additions for Apartments_Coops,0.41380476190476195,-0.01839425505739591,0.43819285714285716,-0.012480641537730418,0.4828833333333333,-0.007831624754618436,0.5734595238095239,-0.003271886601682747,0.6963095238095237,0.00761977774947761,0.9990666666666668,0.0154444876044633,1.31707619047619,0.05476020111971431,0.2635000000000001,-0.004286376119296504,0.4040000000000001,0.004028516124592049,0.5135000000000001,0.03238100049844262,1.0715,0.46201719723669593,1.504,0.6449648129894837,1.8224999999999998,0.5713214224837152,2.227,0.5184979139714162,50034086230.3872,-0.3746863089365676,12137144620.0221,0.4149135045398937,84.0267577476249,0.412391804832144,2.0,0.3256675251883153,1.3,0.2383499136467316,-85.130274,41.171167
19,2017-09,IN,FORT WAYNE,2017-09,3.15,"(-85.2379, 41.0201)",46825,46799.15,Improvements_Additions for Apartments_Coops,1.1784444999999997,-0.01839425505739591,1.1967471428571432,-0.012480641537730418,1.23492,-0.007831624754618436,1.2721638095238097,-0.003271886601682747,1.3232957142857147,0.00761977774947761,1.4732157142857143,0.0154444876044633,1.738246666666667,0.05476020111971431,0.9940000000000001,-0.004286376119296504,1.171,0.004028516124592049,1.2799999999999998,0.03238100049844262,1.7975,0.46201719723669593,2.2020000000000004,0.6449648129894837,2.5300000000000002,0.5713214224837152,2.7764999999999995,0.5184979139714162,50617906919.2487,-0.3746863089365676,11226317067.5623,0.4149135045398937,88.94830277813108,0.412391804832144,2.6,0.3256675251883153,1.2,0.2383499136467316,-85.2379,41.0201
20,2018-02,IN,FORT WAYNE,2018-02,3.68,"(-85.169288, 41.045688)",46809,19313.67,Improvements_Additions for Apartments_Coops,1.4432573684210526,-0.01839425505739591,1.4712210000000003,-0.012480641537730418,1.6018225000000001,-0.007831624754618436,1.722691,-0.003271886601682747,1.874672,0.00761977774947761,2.0893395000000003,0.0154444876044633,2.3701375000000002,0.05476020111971431,1.3805263157894736,-0.004286376119296504,1.7857894736842108,0.004028516124592049,1.9636842105263155,0.03238100049844262,2.599473684210526,0.46201719723669593,2.8589473684210525,0.6449648129894837,3.016842105263158,0.5713214224837152,3.1310526315789478,0.5184979139714162,50407042046.8076,-0.3746863089365676,12484889768.5791,0.4149135045398937,87.3618752869242,0.412391804832144,2.2,0.3256675251883153,0.9,0.2383499136467316,-85.169288,41.045688
21,2018-07,IN,FORT WAYNE,2018-07,4.05,"(-85.112212, 41.132089)",46825,135271.58,Improvements_Additions for Apartments_Coops,1.918467142857143,-0.01839425505739591,1.9587813636363633,-0.012480641537730418,2.0789990909090905,-0.007831624754618436,2.1733236363636363,-0.003271886601682747,2.3391181818181823,0.00761977774947761,2.519525454545455,0.0154444876044633,2.7944931818181815,0.05476020111971431,1.8933333333333329,-0.004286376119296504,2.1680952380952383,0.004028516124592049,2.3876190476190478,0.03238100049844262,2.7776190476190483,0.46201719723669593,2.8890476190476195,0.6449648129894837,2.944761904761905,0.5713214224837152,3.006666666666667,0.5184979139714162,51507450037.54,-0.3746863089365676,14022336972.3533,0.4149135045398937,88.437943439718,0.412391804832144,2.0,0.3256675251883153,0.7,0.2383499136467316,-85.112212,41.132089
