,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-4),Corr with auto_vol(-4),student_vol(-2),Corr with student_vol(-2),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-4),Corr with mortgage 90(-4)
0,LAS VEGAS,2010-03,4.1,Improvements_Additions for Apartments_Coops,0.20298217391304352,3.897017826086956,0.30312924872058944,0.22118086956521738,3.878819130434782,0.3060858210857812,0.23731173913043485,3.862688260869565,0.3014821046367126,0.25031173913043475,3.849688260869565,0.2832548735334368,0.2684247826086957,3.831575217391304,0.2581147154533482,0.41060652173913054,3.689393478260869,0.20617899924077213,0.8732952173913044,3.226704782608695,0.1865235263232982,0.11652173913043477,3.983478260869565,0.33111034669931094,0.22565217391304354,3.874347826086956,0.2915808752616521,0.3956521739130435,3.704347826086956,0.27326482094617516,2.433043478260869,1.6669565217391304,0.41405972402939106,3.7273913043478255,0.37260869565217414,0.5282172634736018,4.489130434782608,-0.3891304347826088,0.47813747083252006,4.644782608695651,-0.5447826086956518,0.4235949608280551,25282528298.0118,-0.2418205298397904,14107591663.4702,-0.4298440167137067,96.8995739482615,0.2823275680836511,5.1,0.25470260588663024,11.3,0.263508419308251
1,LAS VEGAS,2011-07,3.7,Improvements_Additions for Apartments_Coops,0.12388095238095237,3.5761190476190476,0.30312924872058944,0.1598857142857143,3.540114285714286,0.3060858210857812,0.18661904761904766,3.5133809523809525,0.3014821046367126,0.2182333333333334,3.4817666666666667,0.2832548735334368,0.24991190476190472,3.4500880952380957,0.2581147154533482,0.41392857142857137,3.2860714285714288,0.20617899924077213,0.7452261904761905,2.9547738095238096,0.1865235263232982,0.037500000000000006,3.6625,0.33111034669931094,0.08400000000000002,3.616,0.2915808752616521,0.185,3.515,0.27326482094617516,1.541,2.1590000000000003,0.41405972402939106,3.003,0.6970000000000001,0.5282172634736018,3.9475000000000002,-0.24750000000000005,0.47813747083252006,4.2705,-0.5705,0.4235949608280551,31565012894.7234,-0.2418205298397904,13753511368.0623,-0.4298440167137067,91.59671843464591,0.2823275680836511,3.5,0.25470260588663024,8.2,0.263508419308251
2,LAS VEGAS,2012-09,2.65,Improvements_Additions for Apartments_Coops,0.15189500000000006,2.498105,0.30312924872058944,0.183625,2.4663749999999998,0.3060858210857812,0.22133750000000002,2.4286624999999997,0.3014821046367126,0.3079875,2.3420125,0.2832548735334368,0.3856325000000001,2.2643674999999996,0.2581147154533482,0.6716749999999999,1.978325,0.20617899924077213,0.9997750000000002,1.6502249999999998,0.1865235263232982,0.07526315789473685,2.574736842105263,0.33111034669931094,0.13736842105263158,2.512631578947368,0.2915808752616521,0.17578947368421055,2.4742105263157894,0.27326482094617516,0.6689473684210526,1.9810526315789474,0.41405972402939106,1.7231578947368422,0.9268421052631577,0.5282172634736018,2.488421052631579,0.16157894736842104,0.47813747083252006,2.8815789473684212,-0.23157894736842133,0.4235949608280551,36777908030.9335,-0.2418205298397904,16111780903.4699,-0.4298440167137067,89.6038877472871,0.2823275680836511,3.3,0.25470260588663024,7.9,0.263508419308251
3,LAS VEGAS,2013-04,3.875,Improvements_Additions for Apartments_Coops,0.1539047619047619,3.7210952380952382,0.30312924872058944,0.17210476190476193,3.702895238095238,0.3060858210857812,0.19953333333333334,3.675466666666667,0.3014821046367126,0.24005714285714277,3.6349428571428573,0.2832548735334368,0.27714285714285714,3.597857142857143,0.2581147154533482,0.4360190476190476,3.4389809523809522,0.20617899924077213,0.7168333333333334,3.1581666666666663,0.1865235263232982,0.049090909090909116,3.8259090909090907,0.33111034669931094,0.09409090909090913,3.7809090909090908,0.2915808752616521,0.12454545454545456,3.7504545454545455,0.27326482094617516,0.7104545454545454,3.1645454545454546,0.41405972402939106,1.7590909090909093,2.1159090909090907,0.5282172634736018,2.5500000000000003,1.3249999999999997,0.47813747083252006,2.9327272727272726,0.9422727272727274,0.4235949608280551,38808856509.5085,-0.2418205298397904,11080080767.5225,-0.4298440167137067,89.2801736441717,0.2823275680836511,3.1,0.25470260588663024,6.8,0.263508419308251
4,LAS VEGAS,2013-07,4.75,Improvements_Additions for Apartments_Coops,0.12117913043478262,4.628820869565217,0.30312924872058944,0.15611695652173913,4.593883043478261,0.3060858210857812,0.19111913043478265,4.558880869565217,0.3014821046367126,0.232388695652174,4.517611304347826,0.2832548735334368,0.26758260869565215,4.482417391304348,0.2581147154533482,0.40307869565217386,4.346921304347826,0.20617899924077213,0.6838491304347826,4.0661508695652175,0.1865235263232982,0.020909090909090912,4.7290909090909095,0.33111034669931094,0.07363636363636367,4.676363636363637,0.2915808752616521,0.12181818181818184,4.628181818181818,0.27326482094617516,1.4031818181818183,3.3468181818181817,0.41405972402939106,2.5822727272727275,2.1677272727272725,0.5282172634736018,3.3072727272727276,1.4427272727272724,0.47813747083252006,3.605,1.145,0.4235949608280551,39298206327.5877,-0.2418205298397904,9498561196.652071,-0.4298440167137067,88.920473853359,0.2823275680836511,2.5,0.25470260588663024,6.5,0.263508419308251
5,LAS VEGAS,2014-02,4.25,Improvements_Additions for Apartments_Coops,0.08627,4.16373,0.30312924872058944,0.11939250000000004,4.1306075,0.3060858210857812,0.155105,4.094895,0.3014821046367126,0.19663749999999997,4.0533625,0.2832548735334368,0.23520249999999998,4.0147975,0.2581147154533482,0.3308,3.9192,0.20617899924077213,0.554605,3.695395,0.1865235263232982,0.046842105263157914,4.203157894736842,0.33111034669931094,0.08105263157894738,4.168947368421053,0.2915808752616521,0.11684210526315793,4.133157894736842,0.27326482094617516,1.5157894736842106,2.734210526315789,0.41405972402939106,2.7094736842105265,1.5405263157894735,0.5282172634736018,3.3847368421052626,0.8652631578947374,0.47813747083252006,3.6626315789473685,0.5873684210526315,0.4235949608280551,41244159430.5284,-0.2418205298397904,9402239044.86975,-0.4298440167137067,85.7873584996498,0.2823275680836511,2.4,0.25470260588663024,4.2,0.263508419308251
6,LAS VEGAS,2014-03,3.8,Improvements_Additions for Apartments_Coops,0.0888,3.7112,0.30312924872058944,0.1207452380952381,3.6792547619047618,0.3060858210857812,0.15488333333333335,3.6451166666666666,0.3014821046367126,0.19711666666666672,3.602883333333333,0.2832548735334368,0.23409761904761903,3.5659023809523807,0.2581147154533482,0.33106666666666673,3.468933333333333,0.20617899924077213,0.5571428571428573,3.2428571428571424,0.1865235263232982,0.051428571428571455,3.748571428571428,0.33111034669931094,0.07857142857142858,3.721428571428571,0.2915808752616521,0.1280952380952381,3.6719047619047616,0.27326482094617516,1.6395238095238096,2.1604761904761904,0.41405972402939106,2.7233333333333327,1.076666666666667,0.5282172634736018,3.3466666666666667,0.45333333333333314,0.47813747083252006,3.6209523809523807,0.17904761904761912,0.4235949608280551,41658198449.9001,-0.2418205298397904,9438159522.248821,-0.4298440167137067,88.4263020205016,0.2823275680836511,2.1,0.25470260588663024,4.3,0.263508419308251
7,LAS VEGAS,2014-09,3.55,Improvements_Additions for Apartments_Coops,0.09027272727272727,3.4597272727272728,0.30312924872058944,0.12087045454545454,3.429129545454545,0.3060858210857812,0.15410454545454544,3.3958954545454545,0.3014821046367126,0.19699999999999998,3.3529999999999998,0.2832548735334368,0.23403181818181817,3.3159681818181816,0.2581147154533482,0.32999090909090917,3.2200090909090906,0.20617899924077213,0.5770545454545455,2.9729454545454543,0.1865235263232982,0.01142857142857143,3.5385714285714283,0.33111034669931094,0.04380952380952382,3.506190476190476,0.2915808752616521,0.10952380952380954,3.4404761904761902,0.27326482094617516,1.7738095238095242,1.7761904761904757,0.41405972402939106,2.5342857142857147,1.0157142857142851,0.5282172634736018,3.0133333333333328,0.5366666666666671,0.47813747083252006,3.26,0.29000000000000004,0.4235949608280551,44462292713.4678,-0.2418205298397904,10638305940.4607,-0.4298440167137067,82.11515832772571,0.2823275680836511,1.9,0.25470260588663024,3.9,0.263508419308251
8,LAS VEGAS,2015-04,3.585,Improvements_Additions for Apartments_Coops,0.12200000000000003,3.463,0.30312924872058944,0.14605250000000003,3.4389475,0.3060858210857812,0.18076750000000003,3.4042325,0.3014821046367126,0.22830999999999996,3.35669,0.2832548735334368,0.27596,3.30904,0.2581147154533482,0.404505,3.180495,0.20617899924077213,0.6969449999999999,2.888055,0.1865235263232982,0.018181818181818188,3.566818181818182,0.33111034669931094,0.09363636363636368,3.4913636363636362,0.2915808752616521,0.23363636363636367,3.351363636363636,0.27326482094617516,1.3545454545454545,2.2304545454545455,0.41405972402939106,1.9349999999999996,1.6500000000000004,0.5282172634736018,2.334090909090909,1.250909090909091,0.47813747083252006,2.5859090909090905,0.9990909090909095,0.4235949608280551,45241950015.4561,-0.2418205298397904,11837215038.8922,-0.4298440167137067,82.4770523961592,0.2823275680836511,2.1,0.25470260588663024,3.3,0.263508419308251
9,LAS VEGAS,2016-03,3.38,Improvements_Additions for Apartments_Coops,0.3739333333333333,3.0060666666666664,0.30312924872058944,0.39734047619047613,2.9826595238095237,0.3060858210857812,0.43639523809523806,2.943604761904762,0.3014821046367126,0.5204357142857143,2.859564285714286,0.2832548735334368,0.632,2.7479999999999998,0.2581147154533482,0.9009761904761905,2.4790238095238095,0.20617899924077213,1.2156690476190475,2.1643309523809524,0.1865235263232982,0.2531818181818182,3.126818181818182,0.33111034669931094,0.47,2.91,0.2915808752616521,0.6563636363636364,2.7236363636363636,0.27326482094617516,1.3759090909090912,2.004090909090909,0.41405972402939106,1.889090909090909,1.490909090909091,0.5282172634736018,2.2759090909090913,1.1040909090909086,0.47813747083252006,2.6845454545454546,0.6954545454545453,0.4235949608280551,48491901272.6637,-0.2418205298397904,11404853913.5663,-0.4298440167137067,81.9752078939728,0.2823275680836511,1.6,0.25470260588663024,2.4,0.263508419308251
