,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(1),Corr with auto_vol(1),student_vol(4),Corr with student_vol(4),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(4),Corr with mortgage 90(4)
0,DAYTON,2009-10,5.75,Improvements_Additions for Apartments_Coops,0.18474166666666667,5.565258333333333,-0.17090680447365175,0.22661833333333328,5.523381666666666,-0.15789464614125406,0.24403166666666665,5.505968333333334,-0.1704200910681321,0.2545108333333333,5.495489166666666,-0.2159792728674765,0.2821075,5.4678925,-0.24024185114113145,0.5802633333333334,5.169736666666667,-0.20348191616779324,1.2295858333333334,4.520414166666667,-0.03861967550653921,0.04,5.71,-0.21111180878392116,0.16833333333333333,5.581666666666667,-0.1965000710602605,0.3858333333333334,5.364166666666667,-0.1152657125350093,2.394166666666667,3.355833333333333,0.5678760227644679,3.459166666666667,2.290833333333333,0.8435145425563697,4.238333333333332,1.5116666666666676,0.8695521560072871,4.263333333333333,1.4866666666666672,0.8293464604823112,25282528298.0118,-0.5806079631125138,14228362706.5907,0.6242722466371796,107.19210553972401,0.7465592099753818,4.0,0.5640549305844312,3.5,0.2564193956185383
1,DAYTON,2009-10,5.75,Improvements_Additions for Apartments_Coops,0.18474166666666667,5.565258333333333,-0.17090680447365175,0.22661833333333328,5.523381666666666,-0.15789464614125406,0.24403166666666665,5.505968333333334,-0.1704200910681321,0.2545108333333333,5.495489166666666,-0.2159792728674765,0.2821075,5.4678925,-0.24024185114113145,0.5802633333333334,5.169736666666667,-0.20348191616779324,1.2295858333333334,4.520414166666667,-0.03861967550653921,0.04,5.71,-0.21111180878392116,0.16833333333333333,5.581666666666667,-0.1965000710602605,0.3858333333333334,5.364166666666667,-0.1152657125350093,2.394166666666667,3.355833333333333,0.5678760227644679,3.459166666666667,2.290833333333333,0.8435145425563697,4.238333333333332,1.5116666666666676,0.8695521560072871,4.263333333333333,1.4866666666666672,0.8293464604823112,25282528298.0118,-0.5806079631125138,14228362706.5907,0.6242722466371796,107.19210553972401,0.7465592099753818,4.0,0.5640549305844312,3.5,0.2564193956185383
2,DAYTON,2009-10,5.75,Improvements_Additions for Apartments_Coops,0.18474166666666667,5.565258333333333,-0.17090680447365175,0.22661833333333328,5.523381666666666,-0.15789464614125406,0.24403166666666665,5.505968333333334,-0.1704200910681321,0.2545108333333333,5.495489166666666,-0.2159792728674765,0.2821075,5.4678925,-0.24024185114113145,0.5802633333333334,5.169736666666667,-0.20348191616779324,1.2295858333333334,4.520414166666667,-0.03861967550653921,0.04,5.71,-0.21111180878392116,0.16833333333333333,5.581666666666667,-0.1965000710602605,0.3858333333333334,5.364166666666667,-0.1152657125350093,2.394166666666667,3.355833333333333,0.5678760227644679,3.459166666666667,2.290833333333333,0.8435145425563697,4.238333333333332,1.5116666666666676,0.8695521560072871,4.263333333333333,1.4866666666666672,0.8293464604823112,25282528298.0118,-0.5806079631125138,14228362706.5907,0.6242722466371796,107.19210553972401,0.7465592099753818,4.0,0.5640549305844312,7.6,0.2564193956185383
3,DAYTON,2009-10,5.75,Improvements_Additions for Apartments_Coops,0.18474166666666667,5.565258333333333,-0.17090680447365175,0.22661833333333328,5.523381666666666,-0.15789464614125406,0.24403166666666665,5.505968333333334,-0.1704200910681321,0.2545108333333333,5.495489166666666,-0.2159792728674765,0.2821075,5.4678925,-0.24024185114113145,0.5802633333333334,5.169736666666667,-0.20348191616779324,1.2295858333333334,4.520414166666667,-0.03861967550653921,0.04,5.71,-0.21111180878392116,0.16833333333333333,5.581666666666667,-0.1965000710602605,0.3858333333333334,5.364166666666667,-0.1152657125350093,2.394166666666667,3.355833333333333,0.5678760227644679,3.459166666666667,2.290833333333333,0.8435145425563697,4.238333333333332,1.5116666666666676,0.8695521560072871,4.263333333333333,1.4866666666666672,0.8293464604823112,25282528298.0118,-0.5806079631125138,14228362706.5907,0.6242722466371796,107.19210553972401,0.7465592099753818,4.0,0.5640549305844312,7.2,0.2564193956185383
4,DAYTON,2009-10,5.75,Improvements_Additions for Apartments_Coops,0.18474166666666667,5.565258333333333,-0.17090680447365175,0.22661833333333328,5.523381666666666,-0.15789464614125406,0.24403166666666665,5.505968333333334,-0.1704200910681321,0.2545108333333333,5.495489166666666,-0.2159792728674765,0.2821075,5.4678925,-0.24024185114113145,0.5802633333333334,5.169736666666667,-0.20348191616779324,1.2295858333333334,4.520414166666667,-0.03861967550653921,0.04,5.71,-0.21111180878392116,0.16833333333333333,5.581666666666667,-0.1965000710602605,0.3858333333333334,5.364166666666667,-0.1152657125350093,2.394166666666667,3.355833333333333,0.5678760227644679,3.459166666666667,2.290833333333333,0.8435145425563697,4.238333333333332,1.5116666666666676,0.8695521560072871,4.263333333333333,1.4866666666666672,0.8293464604823112,25282528298.0118,-0.5806079631125138,14228362706.5907,0.6242722466371796,107.19210553972401,0.7465592099753818,4.9,0.5640549305844312,3.5,0.2564193956185383
5,DAYTON,2009-10,5.75,Improvements_Additions for Apartments_Coops,0.18474166666666667,5.565258333333333,-0.17090680447365175,0.22661833333333328,5.523381666666666,-0.15789464614125406,0.24403166666666665,5.505968333333334,-0.1704200910681321,0.2545108333333333,5.495489166666666,-0.2159792728674765,0.2821075,5.4678925,-0.24024185114113145,0.5802633333333334,5.169736666666667,-0.20348191616779324,1.2295858333333334,4.520414166666667,-0.03861967550653921,0.04,5.71,-0.21111180878392116,0.16833333333333333,5.581666666666667,-0.1965000710602605,0.3858333333333334,5.364166666666667,-0.1152657125350093,2.394166666666667,3.355833333333333,0.5678760227644679,3.459166666666667,2.290833333333333,0.8435145425563697,4.238333333333332,1.5116666666666676,0.8695521560072871,4.263333333333333,1.4866666666666672,0.8293464604823112,25282528298.0118,-0.5806079631125138,14228362706.5907,0.6242722466371796,107.19210553972401,0.7465592099753818,4.9,0.5640549305844312,3.5,0.2564193956185383
6,DAYTON,2009-10,5.75,Improvements_Additions for Apartments_Coops,0.18474166666666667,5.565258333333333,-0.17090680447365175,0.22661833333333328,5.523381666666666,-0.15789464614125406,0.24403166666666665,5.505968333333334,-0.1704200910681321,0.2545108333333333,5.495489166666666,-0.2159792728674765,0.2821075,5.4678925,-0.24024185114113145,0.5802633333333334,5.169736666666667,-0.20348191616779324,1.2295858333333334,4.520414166666667,-0.03861967550653921,0.04,5.71,-0.21111180878392116,0.16833333333333333,5.581666666666667,-0.1965000710602605,0.3858333333333334,5.364166666666667,-0.1152657125350093,2.394166666666667,3.355833333333333,0.5678760227644679,3.459166666666667,2.290833333333333,0.8435145425563697,4.238333333333332,1.5116666666666676,0.8695521560072871,4.263333333333333,1.4866666666666672,0.8293464604823112,25282528298.0118,-0.5806079631125138,14228362706.5907,0.6242722466371796,107.19210553972401,0.7465592099753818,4.9,0.5640549305844312,7.6,0.2564193956185383
7,DAYTON,2009-10,5.75,Improvements_Additions for Apartments_Coops,0.18474166666666667,5.565258333333333,-0.17090680447365175,0.22661833333333328,5.523381666666666,-0.15789464614125406,0.24403166666666665,5.505968333333334,-0.1704200910681321,0.2545108333333333,5.495489166666666,-0.2159792728674765,0.2821075,5.4678925,-0.24024185114113145,0.5802633333333334,5.169736666666667,-0.20348191616779324,1.2295858333333334,4.520414166666667,-0.03861967550653921,0.04,5.71,-0.21111180878392116,0.16833333333333333,5.581666666666667,-0.1965000710602605,0.3858333333333334,5.364166666666667,-0.1152657125350093,2.394166666666667,3.355833333333333,0.5678760227644679,3.459166666666667,2.290833333333333,0.8435145425563697,4.238333333333332,1.5116666666666676,0.8695521560072871,4.263333333333333,1.4866666666666672,0.8293464604823112,25282528298.0118,-0.5806079631125138,14228362706.5907,0.6242722466371796,107.19210553972401,0.7465592099753818,4.9,0.5640549305844312,7.2,0.2564193956185383
8,DAYTON,2011-09,3.95,Improvements_Additions for Apartments_Coops,0.14525181818181823,3.804748181818182,-0.17090680447365175,0.1884,3.7616,-0.15789464614125406,0.23085045454545455,3.719149545454546,-0.1704200910681321,0.2845913636363636,3.6654086363636367,-0.2159792728674765,0.3502268181818181,3.599773181818182,-0.24024185114113145,0.5222018181818182,3.427798181818182,-0.20348191616779324,0.8332045454545454,3.116795454545455,-0.03861967550653921,0.005714285714285713,3.9442857142857144,-0.21111180878392116,0.04333333333333335,3.9066666666666667,-0.1965000710602605,0.10476190476190479,3.8452380952380953,-0.1152657125350093,0.9004761904761904,3.0495238095238095,0.5678760227644679,1.9752380952380955,1.9747619047619047,0.8435145425563697,2.8271428571428574,1.1228571428571428,0.8695521560072871,3.182380952380953,0.7676190476190472,0.8293464604823112,34623712775.9563,-0.5806079631125138,11510278467.2037,0.6242722466371796,91.13289228397959,0.7465592099753818,3.0,0.5640549305844312,3.2,0.2564193956185383
9,DAYTON,2011-09,3.95,Improvements_Additions for Apartments_Coops,0.14525181818181823,3.804748181818182,-0.17090680447365175,0.1884,3.7616,-0.15789464614125406,0.23085045454545455,3.719149545454546,-0.1704200910681321,0.2845913636363636,3.6654086363636367,-0.2159792728674765,0.3502268181818181,3.599773181818182,-0.24024185114113145,0.5222018181818182,3.427798181818182,-0.20348191616779324,0.8332045454545454,3.116795454545455,-0.03861967550653921,0.005714285714285713,3.9442857142857144,-0.21111180878392116,0.04333333333333335,3.9066666666666667,-0.1965000710602605,0.10476190476190479,3.8452380952380953,-0.1152657125350093,0.9004761904761904,3.0495238095238095,0.5678760227644679,1.9752380952380955,1.9747619047619047,0.8435145425563697,2.8271428571428574,1.1228571428571428,0.8695521560072871,3.182380952380953,0.7676190476190472,0.8293464604823112,34623712775.9563,-0.5806079631125138,11510278467.2037,0.6242722466371796,91.13289228397959,0.7465592099753818,3.0,0.5640549305844312,3.3,0.2564193956185383
