,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(2),Corr with auto_vol(2),student_vol(4),Corr with student_vol(4),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90,Corr with mortgage 90
0,IA,SIOUX CITY,2010-05,3.95,Improvements_Additions for Apartments_Coops,0.2957715789473684,3.6542284210526317,-0.033662642962729604,0.3152057894736842,3.634794210526316,-0.02861772701372524,0.3354642105263158,3.6145357894736843,-0.0327788694753398,0.39242105263157895,3.5575789473684214,-0.0364795186505339,0.45851421052631586,3.491485789473684,-0.04163231383527215,0.6592468421052632,3.290753157894737,-0.06240559198678215,1.129987894736842,2.8200121052631584,-0.06599520018011329,0.147,3.8030000000000004,-0.025517680986969757,0.22350000000000003,3.7265,-0.062353676122861364,0.37099999999999994,3.579,-0.04552979887908643,2.1799999999999997,1.7700000000000005,0.37623287696370317,3.4199999999999995,0.5300000000000007,0.609946605216983,4.1145,-0.16449999999999942,0.6443624034427622,4.286,-0.3359999999999994,0.6235419670202826,28477062769.4533,-0.26936330667999586,12342273869.2704,0.29630914833922306,97.9962893430168,0.38299272879324453,3.3,0.40586589138115153,2.3,0.29033343632768105
1,IA,SIOUX CITY,2010-08,5.0,Improvements_Additions for Apartments_Coops,0.23101619047619049,4.768983809523809,-0.033662642962729604,0.2659952380952381,4.734004761904762,-0.02861772701372524,0.27546238095238096,4.724537619047619,-0.0327788694753398,0.3123080952380952,4.687691904761905,-0.0364795186505339,0.3625466666666667,4.637453333333333,-0.04163231383527215,0.5790957142857143,4.420904285714286,-0.06240559198678215,0.9435780952380955,4.056421904761905,-0.06599520018011329,0.15409090909090908,4.845909090909091,-0.025517680986969757,0.19136363636363637,4.808636363636364,-0.062353676122861364,0.25909090909090904,4.740909090909091,-0.04552979887908643,1.4654545454545451,3.534545454545455,0.37623287696370317,2.6986363636363637,2.3013636363636363,0.609946605216983,3.516818181818181,1.4831818181818188,0.6443624034427622,3.8031818181818178,1.1968181818181822,0.6235419670202826,30512069858.4251,-0.26936330667999586,10792773250.4017,0.29630914833922306,99.0214107435932,0.38299272879324453,3.4,0.40586589138115153,2.0,0.29033343632768105
2,IA,SIOUX CITY,2011-10,4.05,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.9083647619047617,-0.033662642962729604,0.19074095238095234,3.8592590476190476,-0.02861772701372524,0.24373904761904758,3.8062609523809523,-0.0327788694753398,0.3185252380952381,3.731474761904762,-0.0364795186505339,0.4064785714285714,3.6435214285714284,-0.04163231383527215,0.59521,3.45479,-0.06240559198678215,0.9086428571428572,3.1413571428571427,-0.06599520018011329,0.013500000000000003,4.0365,-0.025517680986969757,0.05450000000000003,3.9955,-0.062353676122861364,0.1145,3.9354999999999998,-0.04552979887908643,1.0614999999999999,2.9885,0.37623287696370317,2.1519999999999997,1.8980000000000001,0.609946605216983,2.8695,1.1804999999999999,0.6443624034427622,3.128,0.9219999999999997,0.6235419670202826,35344521679.5642,-0.26936330667999586,10728874885.7875,0.29630914833922306,90.24550000965358,0.38299272879324453,3.4,0.40586589138115153,1.8,0.29033343632768105
3,IA,SIOUX CITY,2011-11,3.88,Improvements_Additions for Apartments_Coops,0.14255090909090912,3.7374490909090907,-0.033662642962729604,0.19244863636363635,3.6875513636363637,-0.02861772701372524,0.2536463636363637,3.6263536363636364,-0.0327788694753398,0.3593790909090909,3.520620909090909,-0.0364795186505339,0.47529181818181826,3.4047081818181817,-0.04163231383527215,0.6805422727272729,3.199457727272727,-0.06240559198678215,1.000305,2.879695,-0.06599520018011329,0.013999999999999999,3.866,-0.025517680986969757,0.04650000000000002,3.8335,-0.062353676122861364,0.11200000000000002,3.768,-0.04552979887908643,0.908,2.972,0.37623287696370317,2.0134999999999996,1.8665000000000003,0.609946605216983,2.7180000000000004,1.1619999999999995,0.6443624034427622,3.0155000000000003,0.8644999999999996,0.6235419670202826,35385458151.3724,-0.26936330667999586,11251067892.2966,0.29630914833922306,90.5649414475864,0.38299272879324453,2.6,0.40586589138115153,1.8,0.29033343632768105
4,IA,SIOUX CITY,2012-11,2.77,Improvements_Additions for Apartments_Coops,0.1555,2.6145,-0.033662642962729604,0.18060909090909089,2.589390909090909,-0.02861772701372524,0.20888636363636362,2.561113636363636,-0.0327788694753398,0.25813636363636355,2.5118636363636364,-0.0364795186505339,0.31102272727272723,2.4589772727272727,-0.04163231383527215,0.528347727272727,2.241652272727273,-0.06240559198678215,0.8631931818181818,1.9068068181818183,-0.06599520018011329,0.12449999999999999,2.6455,-0.025517680986969757,0.14450000000000002,2.6255,-0.062353676122861364,0.17850000000000002,2.5915,-0.04552979887908643,0.665,2.105,0.37623287696370317,1.654,1.116,0.609946605216983,2.3894999999999995,0.3805000000000005,0.6443624034427622,2.8034999999999997,-0.03349999999999964,0.6235419670202826,39268596272.9965,-0.26936330667999586,9855625468.0504,0.29630914833922306,89.02745876405929,0.38299272879324453,2.3,0.40586589138115153,1.2,0.29033343632768105
5,IA,SIOUX CITY,2012-12,2.41,Improvements_Additions for Apartments_Coops,0.1631578947368421,2.246842105263158,-0.033662642962729604,0.1875157894736842,2.222484210526316,-0.02861772701372524,0.21092631578947374,2.1990736842105263,-0.0327788694753398,0.2552894736842105,2.1547105263157897,-0.0364795186505339,0.30947368421052623,2.100526315789474,-0.04163231383527215,0.5145657894736843,1.8954342105263158,-0.06240559198678215,0.8483157894736841,1.561684210526316,-0.06599520018011329,0.039500000000000014,2.3705000000000003,-0.025517680986969757,0.11950000000000005,2.2905,-0.062353676122861364,0.1585,2.2515,-0.04552979887908643,0.6960000000000001,1.714,0.37623287696370317,1.7189999999999999,0.6910000000000003,0.609946605216983,2.4675000000000002,-0.05750000000000011,0.6443624034427622,2.8835,-0.47350000000000003,0.6235419670202826,39658399389.4891,-0.26936330667999586,9123117418.53368,0.29630914833922306,89.6061116730853,0.38299272879324453,2.7,0.40586589138115153,1.3,0.29033343632768105
6,IA,SIOUX CITY,2013-08,4.0,Improvements_Additions for Apartments_Coops,0.11782999999999999,3.88217,-0.033662642962729604,0.1493142857142857,3.8506857142857145,-0.02861772701372524,0.1840704761904762,3.815929523809524,-0.0327788694753398,0.22633523809523812,3.773664761904762,-0.0364795186505339,0.2633952380952381,3.7366047619047618,-0.04163231383527215,0.3949285714285714,3.6050714285714287,-0.06240559198678215,0.6679499999999999,3.33205,-0.06599520018011329,0.03681818181818183,3.9631818181818184,-0.025517680986969757,0.07181818181818184,3.928181818181818,-0.062353676122861364,0.12681818181818183,3.873181818181818,-0.04552979887908643,1.5204545454545455,2.4795454545454545,0.37623287696370317,2.7372727272727273,1.2627272727272727,0.609946605216983,3.488181818181818,0.5118181818181822,0.6443624034427622,3.757727272727273,0.2422727272727272,0.6235419670202826,41244159430.5284,-0.26936330667999586,9402239044.86975,0.29630914833922306,86.5850023909696,0.38299272879324453,2.4,0.40586589138115153,1.2,0.29033343632768105
7,IA,SIOUX CITY,2013-10,4.5,Improvements_Additions for Apartments_Coops,0.10426086956521738,4.395739130434783,-0.033662642962729604,0.13668260869565219,4.3633173913043475,-0.02861772701372524,0.17241521739130433,4.327584782608696,-0.0327788694753398,0.21265,4.28735,-0.0364795186505339,0.2417652173913043,4.258234782608696,-0.04163231383527215,0.36121521739130424,4.138784782608695,-0.06240559198678215,0.6177847826086957,3.8822152173913045,-0.06599520018011329,0.1059090909090909,4.3940909090909095,-0.025517680986969757,0.07590909090909094,4.424090909090909,-0.062353676122861364,0.12136363636363635,4.378636363636364,-0.04552979887908643,1.366818181818182,3.133181818181818,0.37623287696370317,2.615909090909091,1.8840909090909088,0.609946605216983,3.3795454545454544,1.1204545454545456,0.6443624034427622,3.6759090909090903,0.8240909090909097,0.6235419670202826,41561863313.5151,-0.26936330667999586,10011024566.6146,0.29630914833922306,89.95115518901541,0.38299272879324453,2.6,0.40586589138115153,1.0,0.29033343632768105
8,IA,SIOUX CITY,2015-09,3.95,Improvements_Additions for Apartments_Coops,0.1344409090909091,3.8155590909090913,-0.033662642962729604,0.15661363636363634,3.7933863636363636,-0.02861772701372524,0.20107727272727274,3.7489227272727272,-0.0327788694753398,0.26589318181818195,3.684106818181818,-0.0364795186505339,0.3311113636363637,3.6188886363636366,-0.04163231383527215,0.5371681818181817,3.4128318181818185,-0.06240559198678215,0.8526636363636364,3.097336363636364,-0.06599520018011329,0.008571428571428572,3.9414285714285717,-0.025517680986969757,0.17952380952380947,3.7704761904761908,-0.062353676122861364,0.3733333333333333,3.576666666666667,-0.04552979887908643,1.4900000000000002,2.46,0.37623287696370317,2.1728571428571435,1.7771428571428567,0.609946605216983,2.618095238095238,1.3319047619047621,0.6443624034427622,2.9528571428571433,0.9971428571428569,0.6235419670202826,48491901272.6637,-0.26936330667999586,11404853913.5663,0.29630914833922306,83.34061286074021,0.38299272879324453,2.4,0.40586589138115153,0.8,0.29033343632768105
9,IA,SIOUX CITY,2015-12,3.55,Improvements_Additions for Apartments_Coops,0.2286238095238095,3.3213761904761903,-0.033662642962729604,0.289352380952381,3.260647619047619,-0.02861772701372524,0.3523071428571429,3.197692857142857,-0.0327788694753398,0.44092857142857156,3.1090714285714283,-0.0364795186505339,0.5332357142857143,3.0167642857142853,-0.04163231383527215,0.7638285714285715,2.7861714285714285,-0.06240559198678215,1.0841380952380955,2.4658619047619044,-0.06599520018011329,0.17181818181818184,3.378181818181818,-0.025517680986969757,0.4990909090909091,3.050909090909091,-0.062353676122861364,0.6536363636363638,2.896363636363636,-0.04552979887908643,1.6986363636363635,1.8513636363636363,0.37623287696370317,2.2427272727272736,1.3072727272727263,0.609946605216983,2.6072727272727274,0.9427272727272724,0.6443624034427622,2.97,0.5799999999999996,0.6235419670202826,48927223434.2447,-0.26936330667999586,10916249757.9916,0.29630914833922306,82.89218119322959,0.38299272879324453,1.6,0.40586589138115153,1.0,0.29033343632768105
10,IA,SIOUX CITY,2018-03,3.7,Improvements_Additions for Apartments_Coops,1.5183047619047625,2.1816952380952377,-0.033662642962729604,1.6006185714285712,2.099381428571429,-0.02861772701372524,1.7991309523809524,1.9008690476190477,-0.0327788694753398,1.9184628571428568,1.7815371428571434,-0.0364795186505339,2.173357619047619,1.526642380952381,-0.04163231383527215,2.345182380952381,1.354817619047619,-0.06240559198678215,2.596475714285714,1.1035242857142862,-0.06599520018011329,1.636666666666667,2.0633333333333335,-0.025517680986969757,1.917142857142857,1.7828571428571431,-0.062353676122861364,2.0628571428571427,1.6371428571428575,-0.04552979887908643,2.6295238095238096,1.0704761904761906,0.37623287696370317,2.8423809523809527,0.8576190476190475,0.609946605216983,2.9733333333333327,0.7266666666666675,0.6443624034427622,3.0914285714285716,0.6085714285714285,0.6235419670202826,50407042046.8076,-0.26936330667999586,13062636860.3963,0.29630914833922306,87.3618752869242,0.38299272879324453,2.0,0.40586589138115153,0.7,0.29033343632768105
