,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol,Corr with student_vol,credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2011-01,NJ,JERSEY CITY,2011-01,3.71,"(-74.030928, 40.727713)",309969.76,Improvements_Additions for Apartments_Coops,0.2391115000000001,-0.0994066187550291,0.25406500000000004,-0.1029241597870181,0.2606254999999999,-0.10597727535111905,0.2827834999999999,-0.11723979813821483,0.30341049999999997,-0.1515472330339932,0.4554005000000002,-0.22099819614178332,0.7818229999999999,-0.25316266694311,0.14099999999999996,-0.10429480304693899,0.1815,-0.11637384446669555,0.27349999999999997,-0.10542293993459828,1.9944999999999997,0.33327524582473006,3.3940000000000006,0.2868918602546085,4.281000000000001,0.21765490500545268,4.5230000000000015,0.17922064679174093,31252070876.7547,0.18166116932548257,11568364841.7538,-0.2079821851314665,91.13289228397959,-0.7782534162531575,3.2,-0.29443308758235087,5.5,-0.09762129151256844,-74.030928,40.727713
1,2011-11,NJ,JERSEY CITY,2011-11,3.83,"(-74.063342, 40.730511)",19658.97,Improvements_Additions for Apartments_Coops,0.14255090909090912,-0.0994066187550291,0.19244863636363635,-0.1029241597870181,0.2536463636363637,-0.10597727535111905,0.3593790909090909,-0.11723979813821483,0.47529181818181826,-0.1515472330339932,0.6805422727272729,-0.22099819614178332,1.000305,-0.25316266694311,0.013999999999999999,-0.10429480304693899,0.04650000000000002,-0.11637384446669555,0.11200000000000002,-0.10542293993459828,0.908,0.33327524582473006,2.0134999999999996,0.2868918602546085,2.7180000000000004,0.21765490500545268,3.0155000000000003,0.17922064679174093,35532707747.113,0.18166116932548257,11784187253.6333,-0.2079821851314665,90.0868950067716,-0.7782534162531575,3.0,-0.29443308758235087,6.1,-0.09762129151256844,-74.063342,40.730511
2,2013-02,NJ,JERSEY CITY,2013-02,2.6,"(-74.030937, 40.726715999999996)",268529.36,Improvements_Additions for Apartments_Coops,0.15464999999999998,-0.0994066187550291,0.17315,-0.1029241597870181,0.20129999999999998,-0.10597727535111905,0.2455,-0.11723979813821483,0.29049499999999995,-0.1515472330339932,0.463425,-0.22099819614178332,0.761875,-0.25316266694311,0.0768421052631579,-0.10429480304693899,0.12421052631578947,-0.11637384446669555,0.15736842105263157,-0.10542293993459828,0.8463157894736841,0.33327524582473006,1.9842105263157896,0.2868918602546085,2.782631578947368,0.21765490500545268,3.165263157894737,0.17922064679174093,40995097959.5386,0.18166116932548257,11080080767.5225,-0.2079821851314665,89.95115518901541,-0.7782534162531575,3.0,-0.29443308758235087,5.3,-0.09762129151256844,-74.030937,40.726715999999996
3,2013-09,NJ,JERSEY CITY,2013-09,4.08,"(-90.41403199999999, 45.701937)",78785.89,Improvements_Additions for Apartments_Coops,0.11272380952380952,-0.0994066187550291,0.14323238095238094,-0.1029241597870181,0.18057476190476196,-0.10597727535111905,0.22133904761904755,-0.11723979813821483,0.2531785714285715,-0.1515472330339932,0.38033809523809525,-0.22099819614178332,0.6526857142857143,-0.25316266694311,0.017500000000000005,-0.10429480304693899,0.04150000000000001,-0.11637384446669555,0.11850000000000002,-0.10542293993459828,1.5959999999999999,0.33327524582473006,2.8095,0.2868918602546085,3.526,0.21765490500545268,3.7870000000000004,0.17922064679174093,41561863313.5151,0.18166116932548257,10216278752.7557,-0.2079821851314665,84.4459748156831,-0.7782534162531575,2.5,-0.29443308758235087,4.6,-0.09762129151256844,-90.41403199999999,45.701937
4,2013-12,NJ,JERSEY CITY,2013-12,4.475,"(-74.09335, 40.69359)",37677.55,Improvements_Additions for Apartments_Coops,0.10022500000000001,-0.0994066187550291,0.1273025,-0.1029241597870181,0.16723,-0.10597727535111905,0.2127325,-0.11723979813821483,0.24389749999999996,-0.1515472330339932,0.34639499999999995,-0.22099819614178332,0.579045,-0.25316266694311,0.019047619047619053,-0.10429480304693899,0.09523809523809526,-0.11637384446669555,0.13285714285714287,-0.10542293993459828,1.5761904761904764,0.33327524582473006,2.901904761904762,0.2868918602546085,3.6266666666666674,0.21765490500545268,3.889047619047619,0.17922064679174093,44555116847.5878,0.18166116932548257,9402239044.86975,-0.2079821851314665,82.56600445924391,-0.7782534162531575,2.5,-0.29443308758235087,4.2,-0.09762129151256844,-74.09335,40.69359
5,2015-06,NJ,JERSEY CITY,2015-06,5.74,"(-74.08363609999999, 40.719992)",53942.45,Improvements_Additions for Apartments_Coops,0.12293636363636364,-0.0994066187550291,0.14681590909090908,-0.1029241597870181,0.1858840909090909,-0.10597727535111905,0.23472954545454539,-0.11723979813821483,0.2827113636363637,-0.1515472330339932,0.43974545454545466,-0.22099819614178332,0.7702659090909093,-0.25316266694311,0.007727272727272728,-0.10429480304693899,0.08681818181818185,-0.11637384446669555,0.2754545454545455,-0.10542293993459828,1.6836363636363636,0.33327524582473006,2.3636363636363638,0.2868918602546085,2.8454545454545452,0.21765490500545268,3.1118181818181814,0.17922064679174093,49379202635.7798,0.18166116932548257,11517159733.1957,-0.2079821851314665,82.4529898168143,-0.7782534162531575,2.1,-0.29443308758235087,3.2,-0.09762129151256844,-74.08363609999999,40.719992
6,2016-07,NJ,JERSEY CITY,2016-07,3.13,"(-74.07252199999999, 40.715784)",30547.07,Improvements_Additions for Apartments_Coops,0.41380476190476195,-0.0994066187550291,0.43819285714285716,-0.1029241597870181,0.4828833333333333,-0.10597727535111905,0.5734595238095239,-0.11723979813821483,0.6963095238095237,-0.1515472330339932,0.9990666666666668,-0.22099819614178332,1.31707619047619,-0.25316266694311,0.2635000000000001,-0.10429480304693899,0.4040000000000001,-0.11637384446669555,0.5135000000000001,-0.10542293993459828,1.0715,0.33327524582473006,1.504,0.2868918602546085,1.8224999999999998,0.21765490500545268,2.227,0.17922064679174093,50034086230.3872,0.18166116932548257,11531266279.4831,-0.2079821851314665,89.2057504560787,-0.7782534162531575,2.0,-0.29443308758235087,2.5,-0.09762129151256844,-74.07252199999999,40.715784
7,2016-12,NJ,JERSEY CITY,2016-12,2.95,"(-74.058887, 40.736049)",362961.94,Improvements_Additions for Apartments_Coops,0.5606285,-0.0994066187550291,0.6315605,-0.1029241597870181,0.7119585,-0.10597727535111905,0.7883325000000001,-0.11723979813821483,0.9753284999999998,-0.1515472330339932,1.3063339999999999,-0.22099819614178332,1.6692235,-0.25316266694311,0.42333333333333334,-0.10429480304693899,0.638095238095238,-0.11637384446669555,0.8661904761904763,-0.10542293993459828,1.9590476190476194,0.33327524582473006,2.491904761904762,0.2868918602546085,2.835238095238095,0.21765490500545268,3.1133333333333324,0.17922064679174093,48441183549.9275,0.18166116932548257,12605986919.9069,-0.2079821851314665,89.1200725980081,-0.7782534162531575,2.2,-0.29443308758235087,2.2,-0.09762129151256844,-74.058887,40.736049
8,2017-06,NJ,JERSEY CITY,2017-06,4.19,"(-74.0776, 40.7282)",54360.35,Improvements_Additions for Apartments_Coops,1.0640909090909094,-0.0994066187550291,1.1183336363636365,-0.1029241597870181,1.1714068181818182,-0.10597727535111905,1.2101513636363637,-0.11723979813821483,1.2624095454545452,-0.1515472330339932,1.4322822727272726,-0.22099819614178332,1.7322577272727273,-0.25316266694311,0.8413636363636363,-0.10429480304693899,1.1095454545454546,-0.11637384446669555,1.200909090909091,-0.10542293993459828,1.7740909090909094,0.33327524582473006,2.186818181818182,0.2868918602546085,2.5399999999999996,0.21765490500545268,2.796363636363637,0.17922064679174093,49256214828.7987,0.18166116932548257,12745337772.3068,-0.2079821851314665,87.46440959377459,-0.7782534162531575,1.9,-0.29443308758235087,1.9,-0.09762129151256844,-74.0776,40.7282
