,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(4),Corr with student_vol(4),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
0,2011-12,IN,ELKHART,2011-12,3.6,"(-85.959815, 41.660326)",20666.16,Improvements_Additions for Apartments_Coops,0.1499335,0.4304017148269099,0.2029985,0.4466431015595783,0.2836085,0.4859802310646539,0.40829250000000006,0.506162893768625,0.5557375,0.5365469158414271,0.7798775000000001,0.5418134857024107,1.1003555000000003,0.5481896787560366,0.0033333333333333335,0.4822284137280618,0.048571428571428585,0.525762162534801,0.11523809523809528,0.5516448193097705,0.8914285714285713,0.7088226411428357,1.9780952380952384,0.6647917079431918,2.6676190476190476,0.3469971509562911,2.9823809523809524,0.15502598309020485,35385458151.3724,0.5724051929494433,11641401212.0971,0.5228887315120085,90.6452366150782,-0.49545114559284154,4.1,-0.4274895180226407,3.9,-0.5651184342995428,-85.959815,41.660326
1,2012-11,IN,ELKHART,2012-11,2.54,"(-86.019211, 41.699864)",6595.94,Improvements_Additions for Apartments_Coops,0.1555,0.4304017148269099,0.18060909090909089,0.4466431015595783,0.20888636363636362,0.4859802310646539,0.25813636363636355,0.506162893768625,0.31102272727272723,0.5365469158414271,0.528347727272727,0.5418134857024107,0.8631931818181818,0.5481896787560366,0.12449999999999999,0.4822284137280618,0.14450000000000002,0.525762162534801,0.17850000000000002,0.5516448193097705,0.665,0.7088226411428357,1.654,0.6647917079431918,2.3894999999999995,0.3469971509562911,2.8034999999999997,0.15502598309020485,38808856509.5085,0.5724051929494433,9855625468.0504,0.5228887315120085,91.578064558499,-0.49545114559284154,3.9,-0.4274895180226407,3.6,-0.5651184342995428,-86.019211,41.699864
2,2013-04,IN,ELKHART,2013-04,3.53,"(-85.94425600000001, 41.712241999999996)",44991.4,Improvements_Additions for Apartments_Coops,0.1539047619047619,0.4304017148269099,0.17210476190476193,0.4466431015595783,0.19953333333333334,0.4859802310646539,0.24005714285714277,0.506162893768625,0.27714285714285714,0.5365469158414271,0.4360190476190476,0.5418134857024107,0.7168333333333334,0.5481896787560366,0.049090909090909116,0.4822284137280618,0.09409090909090913,0.525762162534801,0.12454545454545456,0.5516448193097705,0.7104545454545454,0.7088226411428357,1.7590909090909093,0.6647917079431918,2.5500000000000003,0.3469971509562911,2.9327272727272726,0.15502598309020485,40995097959.5386,0.5724051929494433,10210246554.7955,0.5228887315120085,89.95115518901541,-0.49545114559284154,3.1,-0.4274895180226407,3.2,-0.5651184342995428,-85.94425600000001,41.712241999999996
3,2013-05,IN,ELKHART,2013-05,2.9,"(-96.354794, 41.386136)",51687.66,Improvements_Additions for Apartments_Coops,0.1435047619047619,0.4304017148269099,0.1638380952380952,0.4466431015595783,0.19670952380952378,0.4859802310646539,0.23396000000000003,0.506162893768625,0.27416904761904765,0.5365469158414271,0.42137333333333327,0.5418134857024107,0.6936104761904763,0.5481896787560366,0.020454545454545458,0.4822284137280618,0.08090909090909093,0.525762162534801,0.11863636363636366,0.5516448193097705,0.840909090909091,0.7088226411428357,1.9281818181818182,0.6647917079431918,2.7286363636363635,0.3469971509562911,3.112727272727273,0.15502598309020485,41507587847.7023,0.5724051929494433,10216278752.7557,0.5228887315120085,90.32258801944451,-0.49545114559284154,3.0,-0.4274895180226407,3.0,-0.5651184342995428,-96.354794,41.386136
4,2013-06,IN,ELKHART,2013-06,2.85,"(-85.96426857, 41.70514331)",11904.66,Improvements_Additions for Apartments_Coops,0.13074,0.4304017148269099,0.15964599999999998,0.4466431015595783,0.19319250000000002,0.4859802310646539,0.23164600000000002,0.506162893768625,0.27374,0.5365469158414271,0.4139935,0.5418134857024107,0.6839425000000002,0.5481896787560366,0.0345,0.4822284137280618,0.08750000000000002,0.525762162534801,0.142,0.5516448193097705,1.2035,0.7088226411428357,2.3000000000000003,0.6647917079431918,3.0740000000000003,0.3469971509562911,3.400000000000001,0.15502598309020485,41471481477.9035,0.5724051929494433,9473893018.88319,0.5228887315120085,88.1059676388142,-0.49545114559284154,3.5,-0.4274895180226407,2.6,-0.5651184342995428,-85.96426857,41.70514331
5,2013-08,IN,ELKHART,2013-08,2.94,"(-85.926579, 41.711581)",31912.82,Improvements_Additions for Apartments_Coops,0.11782999999999999,0.4304017148269099,0.1493142857142857,0.4466431015595783,0.1840704761904762,0.4859802310646539,0.22633523809523812,0.506162893768625,0.2633952380952381,0.5365469158414271,0.3949285714285714,0.5418134857024107,0.6679499999999999,0.5481896787560366,0.03681818181818183,0.4822284137280618,0.07181818181818184,0.525762162534801,0.12681818181818183,0.5516448193097705,1.5204545454545455,0.7088226411428357,2.7372727272727273,0.6647917079431918,3.488181818181818,0.3469971509562911,3.757727272727273,0.15502598309020485,41062625933.5941,0.5724051929494433,9402239044.86975,0.5228887315120085,85.7873584996498,-0.49545114559284154,3.4,-0.4274895180226407,2.6,-0.5651184342995428,-85.926579,41.711581
6,2014-01,IN,ELKHART,2014-01,4.25,"(-85.984756, 41.661376000000004)",8896.73,Improvements_Additions for Apartments_Coops,0.09003181818181817,0.4304017148269099,0.1219931818181818,0.4466431015595783,0.1597090909090909,0.4859802310646539,0.204425,0.506162893768625,0.23822954545454544,0.5365469158414271,0.33795909090909093,0.5418134857024107,0.5752999999999999,0.5481896787560366,0.017142857142857144,0.4822284137280618,0.0690476190476191,0.525762162534801,0.11619047619047623,0.5516448193097705,1.6466666666666665,0.7088226411428357,2.858095238095238,0.6647917079431918,3.521904761904762,0.3469971509562911,3.76904761904762,0.15502598309020485,43204378466.7468,0.5724051929494433,9507943209.106209,0.5228887315120085,80.910251046009,-0.49545114559284154,3.1,-0.4274895180226407,1.6,-0.5651184342995428,-85.984756,41.661376000000004
7,2014-09,IN,ELKHART,2014-09,3.8,"(-85.9767, 41.681999999999995)",55384.6,Improvements_Additions for Apartments_Coops,0.09027272727272727,0.4304017148269099,0.12087045454545454,0.4466431015595783,0.15410454545454544,0.4859802310646539,0.19699999999999998,0.506162893768625,0.23403181818181817,0.5365469158414271,0.32999090909090917,0.5418134857024107,0.5770545454545455,0.5481896787560366,0.01142857142857143,0.4822284137280618,0.04380952380952382,0.525762162534801,0.10952380952380954,0.5516448193097705,1.7738095238095242,0.7088226411428357,2.5342857142857147,0.6647917079431918,3.0133333333333328,0.3469971509562911,3.26,0.15502598309020485,44591810060.8257,0.5724051929494433,11733364706.6996,0.5228887315120085,82.72786465890579,-0.49545114559284154,3.6,-0.4274895180226407,2.0,-0.5651184342995428,-85.9767,41.681999999999995
8,2015-11,IN,ELKHART,2015-11,3.25,"(-85.964743, 41.681197)",19761.96,Improvements_Additions for Apartments_Coops,0.13066666666666668,0.4304017148269099,0.1559214285714286,0.4466431015595783,0.20844761904761913,0.4859802310646539,0.286702380952381,0.506162893768625,0.3709714285714286,0.5365469158414271,0.6063738095238096,0.5418134857024107,0.9343738095238093,0.5481896787560366,0.07105263157894738,0.4822284137280618,0.32789473684210524,0.525762162534801,0.47684210526315784,0.5516448193097705,1.6710526315789473,0.7088226411428357,2.2631578947368416,0.6647917079431918,2.6863157894736847,0.3469971509562911,3.03,0.15502598309020485,48291644449.3811,0.5724051929494433,11362184412.0981,0.5228887315120085,83.80897781081251,-0.49545114559284154,3.0,-0.4274895180226407,1.4,-0.5651184342995428,-85.964743,41.681197
9,2017-01,IN,ELKHART,2017-01,3.23,"(-86.007078, 41.682776000000004)",27549.67,Improvements_Additions for Apartments_Coops,0.6908933333333332,0.4304017148269099,0.720819523809524,0.4466431015595783,0.7713747619047617,0.4859802310646539,0.8375133333333332,0.506162893768625,1.0256928571428574,0.5365469158414271,1.3400880952380954,0.5418134857024107,1.7079285714285712,0.5481896787560366,0.496,0.4822284137280618,0.617,0.525762162534801,0.8255000000000002,0.5516448193097705,1.9164999999999996,0.7088226411428357,2.4325,0.6647917079431918,2.7475,0.3469971509562911,3.0189999999999997,0.15502598309020485,48913265551.9221,0.5724051929494433,12747516848.3499,0.5228887315120085,88.7707153640316,-0.49545114559284154,1.9,-0.4274895180226407,1.2,-0.5651184342995428,-86.007078,41.682776000000004
