,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-2),Corr with auto_vol(-2),student_vol(4),Corr with student_vol(4),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-1),Corr with mortgage 90(-1),long,lat
0,2009-12,AL,MOBILE,2009-12,2.4,"(15.75, 48.33333)",95635.14,Improvements_Additions for Apartments_Coops,0.17885714285714288,0.28268481749159075,0.2141833333333333,0.2855590776976179,0.23288904761904766,0.28390721746011194,0.24197238095238102,0.27952671243257504,0.2530461904761905,0.26996949418828503,0.4528776190476191,0.23112866615055536,0.9993009523809523,0.1665294217192941,0.03181818181818183,0.2863185557308381,0.16772727272727275,0.27709237703611617,0.37136363636363634,0.2746848277524454,2.3404545454545453,0.523056013095164,3.589999999999999,0.37442516457082575,4.399545454545455,0.23287374499040084,4.494090909090908,0.2018236328263402,23715763008.5817,0.173591168865661,13493693756.3064,0.4146865908526002,99.3021234972081,-0.44060546204277884,6.4,-0.4815613895308231,4.9,-0.4070518296592604,15.75,48.33333
1,2010-12,AL,MOBILE,2010-12,4.0,"(-88.1946, 30.6488)",67909.73,Improvements_Additions for Apartments_Coops,0.24122190476190472,0.28268481749159075,0.25412380952380953,0.2855590776976179,0.26178857142857137,0.28390721746011194,0.28196571428571415,0.27952671243257504,0.30272333333333334,0.26996949418828503,0.4583942857142857,0.23112866615055536,0.7839004761904763,0.1665294217192941,0.0854166666666667,0.2863185557308381,0.19333333333333338,0.27709237703611617,0.2937499999999999,0.2746848277524454,1.9429166666666664,0.523056013095164,3.2949999999999995,0.37442516457082575,4.173333333333333,0.23287374499040084,4.415,0.2018236328263402,30512069858.4251,0.173591168865661,15995126134.7035,0.4146865908526002,91.59671843464591,-0.44060546204277884,6.6,-0.4815613895308231,4.3,-0.4070518296592604,-88.1946,30.6488
2,2011-03,AL,MOBILE,2011-03,4.285,"(-88.230313, 30.662132)",27217.65,Improvements_Additions for Apartments_Coops,0.2076739130434783,0.28268481749159075,0.23889782608695653,0.2855590776976179,0.2532847826086956,0.28390721746011194,0.2829456521739131,0.27952671243257504,0.30843478260869567,0.26996949418828503,0.4607826086956522,0.23112866615055536,0.7797065217391305,0.1665294217192941,0.06478260869565221,0.2863185557308381,0.15652173913043482,0.27709237703611617,0.25913043478260867,0.2746848277524454,2.1134782608695653,0.523056013095164,3.414347826086956,0.37442516457082575,4.26608695652174,0.23287374499040084,4.5139130434782615,0.2018236328263402,31618591270.7387,0.173591168865661,13238482167.5647,0.4146865908526002,90.24550000965358,-0.44060546204277884,5.2,-0.4815613895308231,4.2,-0.4070518296592604,-88.230313,30.662132
3,2011-04,AL,MOBILE,2011-04,4.62,"(-88.119955, 30.692225)",24918.86,Improvements_Additions for Apartments_Coops,0.14759444444444447,0.28268481749159075,0.19237777777777781,0.2855590776976179,0.22143500000000005,0.28390721746011194,0.25190277777777786,0.27952671243257504,0.28138222222222226,0.26996949418828503,0.44229888888888896,0.23112866615055536,0.7700555555555555,0.1665294217192941,0.029500000000000005,0.2863185557308381,0.11950000000000002,0.27709237703611617,0.24650000000000002,0.2746848277524454,2.169,0.523056013095164,3.4549999999999996,0.37442516457082575,4.276000000000001,0.23287374499040084,4.5015,0.2018236328263402,32217867353.4185,0.173591168865661,12477113046.1263,0.4146865908526002,90.5649414475864,-0.44060546204277884,4.7,-0.4815613895308231,4.2,-0.4070518296592604,-88.119955,30.692225
4,2011-10,AL,MOBILE,2011-10,3.6,"(-73.256529, 40.725778999999996)",6078.7,Improvements_Additions for Apartments_Coops,0.1416352380952381,0.28268481749159075,0.19074095238095234,0.2855590776976179,0.24373904761904758,0.28390721746011194,0.3185252380952381,0.27952671243257504,0.4064785714285714,0.26996949418828503,0.59521,0.23112866615055536,0.9086428571428572,0.1665294217192941,0.013500000000000003,0.2863185557308381,0.05450000000000003,0.27709237703611617,0.1145,0.2746848277524454,1.0614999999999999,0.523056013095164,2.1519999999999997,0.37442516457082575,2.8695,0.23287374499040084,3.128,0.2018236328263402,31754785132.2305,0.173591168865661,10728874885.7875,0.4146865908526002,90.7743282432688,-0.44060546204277884,5.2,-0.4815613895308231,4.2,-0.4070518296592604,-73.256529,40.725778999999996
5,2012-04,AL,MOBILE,2012-04,3.03,"(-88.204527, 30.657915000000003)",32645.63,Improvements_Additions for Apartments_Coops,0.14868421052631575,0.28268481749159075,0.18980526315789473,0.2855590776976179,0.23982894736842097,0.28390721746011194,0.34777368421052635,0.27952671243257504,0.46680789473684203,0.26996949418828503,0.7313999999999999,0.23112866615055536,1.048621052631579,0.1665294217192941,0.0666666666666667,0.2863185557308381,0.13904761904761903,0.27709237703611617,0.18333333333333335,0.2746848277524454,0.8947619047619045,0.523056013095164,2.0528571428571425,0.37442516457082575,2.8166666666666664,0.23287374499040084,3.1842857142857137,0.2018236328263402,35532707747.113,0.173591168865661,11986368496.8635,0.4146865908526002,89.02745876405929,-0.44060546204277884,4.5,-0.4815613895308231,5.3,-0.4070518296592604,-88.204527,30.657915000000003
6,2012-12,AL,MOBILE,2012-12,2.25,"(-88.19869399999999, 30.660059999999998)",14943.72,Improvements_Additions for Apartments_Coops,0.1631578947368421,0.28268481749159075,0.1875157894736842,0.2855590776976179,0.21092631578947374,0.28390721746011194,0.2552894736842105,0.27952671243257504,0.30947368421052623,0.26996949418828503,0.5145657894736843,0.23112866615055536,0.8483157894736841,0.1665294217192941,0.039500000000000014,0.2863185557308381,0.11950000000000005,0.27709237703611617,0.1585,0.2746848277524454,0.6960000000000001,0.523056013095164,1.7189999999999999,0.37442516457082575,2.4675000000000002,0.23287374499040084,2.8835,0.2018236328263402,37685204803.0042,0.173591168865661,9123117418.53368,0.4146865908526002,88.920473853359,-0.44060546204277884,5.7,-0.4815613895308231,4.5,-0.4070518296592604,-88.19869399999999,30.660059999999998
7,2013-04,AL,MOBILE,2013-04,2.45,"(-88.30235400000001, 30.793968)",9435.11,Improvements_Additions for Apartments_Coops,0.1539047619047619,0.28268481749159075,0.17210476190476193,0.2855590776976179,0.19953333333333334,0.28390721746011194,0.24005714285714277,0.27952671243257504,0.27714285714285714,0.26996949418828503,0.4360190476190476,0.23112866615055536,0.7168333333333334,0.1665294217192941,0.049090909090909116,0.2863185557308381,0.09409090909090913,0.27709237703611617,0.12454545454545456,0.2746848277524454,0.7104545454545454,0.523056013095164,1.7590909090909093,0.37442516457082575,2.5500000000000003,0.23287374499040084,2.9327272727272726,0.2018236328263402,39658399389.4891,0.173591168865661,10210246554.7955,0.4146865908526002,90.32258801944451,-0.44060546204277884,5.4,-0.4815613895308231,4.2,-0.4070518296592604,-88.30235400000001,30.793968
8,2013-08,AL,MOBILE,2013-08,2.9,"(-88.191862, 30.638807)",16308.76,Improvements_Additions for Apartments_Coops,0.11782999999999999,0.28268481749159075,0.1493142857142857,0.2855590776976179,0.1840704761904762,0.28390721746011194,0.22633523809523812,0.27952671243257504,0.2633952380952381,0.26996949418828503,0.3949285714285714,0.23112866615055536,0.6679499999999999,0.1665294217192941,0.03681818181818183,0.2863185557308381,0.07181818181818184,0.27709237703611617,0.12681818181818183,0.2746848277524454,1.5204545454545455,0.523056013095164,2.7372727272727273,0.37442516457082575,3.488181818181818,0.23287374499040084,3.757727272727273,0.2018236328263402,41507587847.7023,0.173591168865661,9402239044.86975,0.4146865908526002,88.4263020205016,-0.44060546204277884,5.4,-0.4815613895308231,3.8,-0.4070518296592604,-88.191862,30.638807
9,2014-04,AL,MOBILE,2014-04,4.0,"(-88.1946, 30.6488)",10405.21,Improvements_Additions for Apartments_Coops,0.08864000000000001,0.28268481749159075,0.120115,0.2855590776976179,0.1517,0.28390721746011194,0.1918625,0.27952671243257504,0.227495,0.26996949418828503,0.32422500000000004,0.23112866615055536,0.550005,0.1665294217192941,0.023333333333333345,0.2863185557308381,0.05333333333333336,0.27709237703611617,0.10761904761904763,0.2746848277524454,1.7009523809523805,0.523056013095164,2.705238095238095,0.37442516457082575,3.265238095238095,0.23287374499040084,3.5176190476190476,0.2018236328263402,43204378466.7468,0.173591168865661,11117378455.0815,0.4146865908526002,81.64661519553,-0.44060546204277884,3.7,-0.4815613895308231,3.3,-0.4070518296592604,-88.1946,30.6488
