,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(3),Corr with auto_vol(3),student_vol,Corr with student_vol,credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-4),Corr with mortgage 90(-4)
0,NC,RALEIGH,2010-08,3.98,Improvements_Additions for Apartments_Coops,0.23101619047619049,3.7489838095238097,0.5487930118384633,0.2659952380952381,3.714004761904762,0.5532477661363291,0.27546238095238096,3.704537619047619,0.5514933141580574,0.3123080952380952,3.667691904761905,0.5502638967365802,0.3625466666666667,3.617453333333333,0.5458950593892555,0.5790957142857143,3.4009042857142857,0.5273126326272775,0.9435780952380955,3.0364219047619043,0.5179122566061479,0.15409090909090908,3.8259090909090907,0.5480482869980824,0.19136363636363637,3.7886363636363636,0.5238474728764466,0.25909090909090904,3.7209090909090907,0.5209324620743296,1.4654545454545451,2.5145454545454546,0.5096909609201004,2.6986363636363637,1.2813636363636363,0.4565350841240712,3.516818181818181,0.4631818181818188,0.1643901563376345,3.8031818181818178,0.1768181818181822,0.02298447971466798,30207558860.6451,-0.07874101825993168,11556490165.0911,0.5902971012271248,92.4549564204629,0.19278186833348018,3.2,-0.24083160647419352,3.0,-0.12201290819273314
1,NC,RALEIGH,2011-08,4.5,Improvements_Additions for Apartments_Coops,0.14468363636363638,4.355316363636364,0.5487930118384633,0.18038681818181818,4.319613181818182,0.5532477661363291,0.21116590909090904,4.288834090909091,0.5514933141580574,0.24895727272727275,4.251042727272727,0.5502638967365802,0.29323772727272723,4.206762272727273,0.5458950593892555,0.45919454545454547,4.040805454545454,0.5273126326272775,0.7783581818181818,3.7216418181818183,0.5179122566061479,0.017391304347826094,4.482608695652174,0.5480482869980824,0.06217391304347828,4.437826086956521,0.5238474728764466,0.11478260869565218,4.385217391304348,0.5209324620743296,1.021304347826087,3.478695652173913,0.5096909609201004,2.303043478260869,2.196956521739131,0.4565350841240712,3.244782608695652,1.255217391304348,0.1643901563376345,3.6513043478260867,0.8486956521739133,0.02298447971466798,34825519831.2788,-0.07874101825993168,12477113046.1263,0.5902971012271248,91.3646878868074,0.19278186833348018,2.8,-0.24083160647419352,2.7,-0.12201290819273314
2,NC,RALEIGH,2011-12,4.05,Improvements_Additions for Apartments_Coops,0.1499335,3.9000665,0.5487930118384633,0.2029985,3.8470014999999997,0.5532477661363291,0.2836085,3.7663914999999997,0.5514933141580574,0.40829250000000006,3.6417075,0.5502638967365802,0.5557375,3.4942624999999996,0.5458950593892555,0.7798775000000001,3.2701225,0.5273126326272775,1.1003555000000003,2.9496445,0.5179122566061479,0.0033333333333333335,4.046666666666667,0.5480482869980824,0.048571428571428585,4.001428571428571,0.5238474728764466,0.11523809523809528,3.9347619047619045,0.5209324620743296,0.8914285714285713,3.1585714285714284,0.5096909609201004,1.9780952380952384,2.0719047619047615,0.4565350841240712,2.6676190476190476,1.3823809523809523,0.1643901563376345,2.9823809523809524,1.0676190476190475,0.02298447971466798,35767585536.868996,-0.07874101825993168,11508699084.1195,0.5902971012271248,90.6452366150782,0.19278186833348018,3.3,-0.24083160647419352,2.7,-0.12201290819273314
3,NC,RALEIGH,2013-02,2.29,Improvements_Additions for Apartments_Coops,0.15464999999999998,2.13535,0.5487930118384633,0.17315,2.11685,0.5532477661363291,0.20129999999999998,2.0887000000000002,0.5514933141580574,0.2455,2.0445,0.5502638967365802,0.29049499999999995,1.999505,0.5458950593892555,0.463425,1.826575,0.5273126326272775,0.761875,1.5281250000000002,0.5179122566061479,0.0768421052631579,2.213157894736842,0.5480482869980824,0.12421052631578947,2.1657894736842107,0.5238474728764466,0.15736842105263157,2.1326315789473687,0.5209324620743296,0.8463157894736841,1.443684210526316,0.5096909609201004,1.9842105263157896,0.3057894736842104,0.4565350841240712,2.782631578947368,-0.4926315789473681,0.1643901563376345,3.165263157894737,-0.8752631578947367,0.02298447971466798,40995097959.5386,-0.07874101825993168,11080080767.5225,0.5902971012271248,86.5850023909696,0.19278186833348018,3.1,-0.24083160647419352,2.6,-0.12201290819273314
4,NC,RALEIGH,2013-03,2.75,Improvements_Additions for Apartments_Coops,0.15505000000000002,2.59495,0.5487930118384633,0.17309999999999998,2.5769,0.5532477661363291,0.20345,2.54655,0.5514933141580574,0.2419,2.5080999999999998,0.5502638967365802,0.28190000000000004,2.4680999999999997,0.5458950593892555,0.44782500000000003,2.302175,0.5273126326272775,0.7351250000000001,2.014875,0.5179122566061479,0.07800000000000003,2.672,0.5480482869980824,0.11450000000000005,2.6355,0.5238474728764466,0.14750000000000002,2.6025,0.5209324620743296,0.8185000000000002,1.9314999999999998,0.5096909609201004,1.9575,0.7925,0.4565350841240712,2.7840000000000003,-0.03400000000000025,0.1643901563376345,3.1625000000000005,-0.41250000000000053,0.02298447971466798,41507587847.7023,-0.07874101825993168,9855625468.0504,0.5902971012271248,88.29263433660921,0.19278186833348018,3.1,-0.24083160647419352,2.5,-0.12201290819273314
5,NC,RALEIGH,2013-06,3.2,Improvements_Additions for Apartments_Coops,0.13074,3.0692600000000003,0.5487930118384633,0.15964599999999998,3.0403540000000002,0.5532477661363291,0.19319250000000002,3.0068075000000003,0.5514933141580574,0.23164600000000002,2.968354,0.5502638967365802,0.27374,2.92626,0.5458950593892555,0.4139935,2.7860065,0.5273126326272775,0.6839425000000002,2.5160575,0.5179122566061479,0.0345,3.1655,0.5480482869980824,0.08750000000000002,3.1125000000000003,0.5238474728764466,0.142,3.0580000000000003,0.5209324620743296,1.2035,1.9965000000000002,0.5096909609201004,2.3000000000000003,0.8999999999999999,0.4565350841240712,3.0740000000000003,0.1259999999999999,0.1643901563376345,3.400000000000001,-0.20000000000000062,0.02298447971466798,41062625933.5941,-0.07874101825993168,9260696074.4491,0.5902971012271248,88.1059676388142,0.19278186833348018,3.2,-0.24083160647419352,2.3,-0.12201290819273314
6,NC,RALEIGH,2013-07,2.88,Improvements_Additions for Apartments_Coops,0.12117913043478262,2.758820869565217,0.5487930118384633,0.15611695652173913,2.723883043478261,0.5532477661363291,0.19111913043478265,2.6888808695652173,0.5514933141580574,0.232388695652174,2.647611304347826,0.5502638967365802,0.26758260869565215,2.612417391304348,0.5458950593892555,0.40307869565217386,2.476921304347826,0.5273126326272775,0.6838491304347826,2.1961508695652174,0.5179122566061479,0.020909090909090912,2.859090909090909,0.5480482869980824,0.07363636363636367,2.806363636363636,0.5238474728764466,0.12181818181818184,2.758181818181818,0.5209324620743296,1.4031818181818183,1.4768181818181816,0.5096909609201004,2.5822727272727275,0.2977272727272724,0.4565350841240712,3.3072727272727276,-0.4272727272727277,0.1643901563376345,3.605,-0.7250000000000001,0.02298447971466798,41244159430.5284,-0.07874101825993168,8901986132.75728,0.5902971012271248,86.47441597957871,0.19278186833348018,3.1,-0.24083160647419352,2.2,-0.12201290819273314
7,NC,RALEIGH,2013-08,2.98,Improvements_Additions for Apartments_Coops,0.11782999999999999,2.86217,0.5487930118384633,0.1493142857142857,2.8306857142857145,0.5532477661363291,0.1840704761904762,2.795929523809524,0.5514933141580574,0.22633523809523812,2.753664761904762,0.5502638967365802,0.2633952380952381,2.7166047619047617,0.5458950593892555,0.3949285714285714,2.5850714285714287,0.5273126326272775,0.6679499999999999,2.31205,0.5179122566061479,0.03681818181818183,2.9431818181818183,0.5480482869980824,0.07181818181818184,2.908181818181818,0.5238474728764466,0.12681818181818183,2.853181818181818,0.5209324620743296,1.5204545454545455,1.4595454545454545,0.5096909609201004,2.7372727272727273,0.24272727272727268,0.4565350841240712,3.488181818181818,-0.5081818181818178,0.1643901563376345,3.757727272727273,-0.7777272727272728,0.02298447971466798,41658198449.9001,-0.07874101825993168,10210246554.7955,0.5902971012271248,85.7873584996498,0.19278186833348018,3.0,-0.24083160647419352,2.1,-0.12201290819273314
8,NC,RALEIGH,2014-03,4.03,Improvements_Additions for Apartments_Coops,0.0888,3.9412000000000003,0.5487930118384633,0.1207452380952381,3.909254761904762,0.5532477661363291,0.15488333333333335,3.875116666666667,0.5514933141580574,0.19711666666666672,3.8328833333333336,0.5502638967365802,0.23409761904761903,3.795902380952381,0.5458950593892555,0.33106666666666673,3.6989333333333336,0.5273126326272775,0.5571428571428573,3.472857142857143,0.5179122566061479,0.051428571428571455,3.9785714285714286,0.5480482869980824,0.07857142857142858,3.9514285714285715,0.5238474728764466,0.1280952380952381,3.901904761904762,0.5209324620743296,1.6395238095238096,2.390476190476191,0.5096909609201004,2.7233333333333327,1.3066666666666675,0.4565350841240712,3.3466666666666667,0.6833333333333336,0.1643901563376345,3.6209523809523807,0.40904761904761955,0.02298447971466798,43938467193.2505,-0.07874101825993168,10653400066.5467,0.5902971012271248,82.11515832772571,0.19278186833348018,2.4,-0.24083160647419352,1.8,-0.12201290819273314
9,NC,RALEIGH,2014-08,3.59,Improvements_Additions for Apartments_Coops,0.090785,3.499215,0.5487930118384633,0.121725,3.4682749999999998,0.5532477661363291,0.15602,3.43398,0.5514933141580574,0.19527250000000002,3.3947274999999997,0.5502638967365802,0.23465000000000003,3.3553499999999996,0.5458950593892555,0.32965500000000003,3.260345,0.5273126326272775,0.55889,3.03111,0.5179122566061479,0.030000000000000006,3.56,0.5480482869980824,0.0523809523809524,3.5376190476190477,0.5238474728764466,0.10714285714285714,3.4828571428571427,0.5209324620743296,1.6314285714285717,1.9585714285714282,0.5096909609201004,2.42,1.17,0.4565350841240712,2.9366666666666665,0.6533333333333333,0.1643901563376345,3.2009523809523808,0.3890476190476191,0.02298447971466798,44940573200.2924,-0.07874101825993168,11117378455.0815,0.5902971012271248,82.08517590205541,0.19278186833348018,2.2,-0.24083160647419352,1.5,-0.12201290819273314
