,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-2),Corr with auto_vol(-2),student_vol(2),Corr with student_vol(2),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(3),Corr with mortgage 90(3)
0,CA,SUNNYVALE,2010-11,3.88,Improvements_Additions for Apartments_Coops,0.22869727272727272,3.651302727272727,-0.04118225809051826,0.24913818181818187,3.630861818181818,-0.053641771690634464,0.2541922727272727,3.6258077272727274,-0.1532120939790633,0.27004181818181816,3.6099581818181816,-0.3110137930620664,0.2871204545454545,3.5928795454545455,-0.5789077263325537,0.44597000000000014,3.43403,-0.5357621861593805,0.7651345454545454,3.1148654545454546,-0.5653611184654803,0.13400000000000004,3.746,0.4541040953235975,0.182,3.698,0.18624545800546455,0.25200000000000006,3.6279999999999997,-0.17077187672439045,1.35,2.53,0.48011243562064754,2.7630000000000003,1.1169999999999995,0.6562516815154036,3.817999999999999,0.06200000000000072,0.48814609347523374,4.186,-0.30600000000000005,0.45729404640424937,29826615528.9652,-0.28872976718734095,11568364841.7538,-0.47018630719826887,95.21340255359091,0.344777657396138,1.9,0.2649897339445522,4.3,0.21595244740991557
1,CA,SUNNYVALE,2013-07,3.1,Improvements_Additions for Apartments_Coops,0.12117913043478262,2.9788208695652174,-0.04118225809051826,0.15611695652173913,2.943883043478261,-0.053641771690634464,0.19111913043478265,2.9088808695652175,-0.1532120939790633,0.232388695652174,2.867611304347826,-0.3110137930620664,0.26758260869565215,2.832417391304348,-0.5789077263325537,0.40307869565217386,2.696921304347826,-0.5357621861593805,0.6838491304347826,2.4161508695652176,-0.5653611184654803,0.020909090909090912,3.079090909090909,0.4541040953235975,0.07363636363636367,3.0263636363636364,0.18624545800546455,0.12181818181818184,2.978181818181818,-0.17077187672439045,1.4031818181818183,1.6968181818181818,0.48011243562064754,2.5822727272727275,0.5177272727272726,0.6562516815154036,3.3072727272727276,-0.2072727272727275,0.48814609347523374,3.605,-0.5049999999999999,0.45729404640424937,40995097959.5386,-0.28872976718734095,10216278752.7557,-0.47018630719826887,88.920473853359,0.344777657396138,1.2,0.2649897339445522,1.2,0.21595244740991557
2,CA,SUNNYVALE,2013-08,3.95,Improvements_Additions for Apartments_Coops,0.11782999999999999,3.83217,-0.04118225809051826,0.1493142857142857,3.8006857142857147,-0.053641771690634464,0.1840704761904762,3.765929523809524,-0.1532120939790633,0.22633523809523812,3.7236647619047623,-0.3110137930620664,0.2633952380952381,3.686604761904762,-0.5789077263325537,0.3949285714285714,3.555071428571429,-0.5357621861593805,0.6679499999999999,3.2820500000000004,-0.5653611184654803,0.03681818181818183,3.9131818181818185,0.4541040953235975,0.07181818181818184,3.8781818181818184,0.18624545800546455,0.12681818181818183,3.8231818181818182,-0.17077187672439045,1.5204545454545455,2.4295454545454547,0.48011243562064754,2.7372727272727273,1.2127272727272729,0.6562516815154036,3.488181818181818,0.46181818181818235,0.48814609347523374,3.757727272727273,0.19227272727272737,0.45729404640424937,41507587847.7023,-0.28872976718734095,9473893018.88319,-0.47018630719826887,86.5850023909696,0.344777657396138,1.2,0.2649897339445522,1.3,0.21595244740991557
3,CA,SUNNYVALE,2014-03,4.35,Improvements_Additions for Apartments_Coops,0.0888,4.2612,-0.04118225809051826,0.1207452380952381,4.229254761904762,-0.053641771690634464,0.15488333333333335,4.195116666666666,-0.1532120939790633,0.19711666666666672,4.152883333333333,-0.3110137930620664,0.23409761904761903,4.115902380952381,-0.5789077263325537,0.33106666666666673,4.018933333333333,-0.5357621861593805,0.5571428571428573,3.7928571428571423,-0.5653611184654803,0.051428571428571455,4.298571428571428,0.4541040953235975,0.07857142857142858,4.271428571428571,0.18624545800546455,0.1280952380952381,4.221904761904762,-0.17077187672439045,1.6395238095238096,2.7104761904761903,0.48011243562064754,2.7233333333333327,1.626666666666667,0.6562516815154036,3.3466666666666667,1.003333333333333,0.48814609347523374,3.6209523809523807,0.7290476190476189,0.45729404640424937,42151687038.4775,-0.28872976718734095,9507943209.106209,-0.47018630719826887,88.4263020205016,0.344777657396138,1.1,0.2649897339445522,1.0,0.21595244740991557
4,CA,SUNNYVALE,2015-05,3.3,Improvements_Additions for Apartments_Coops,0.12315789473684212,3.176842105263158,-0.04118225809051826,0.14795,3.15205,-0.053641771690634464,0.1842289473684211,3.1157710526315787,-0.1532120939790633,0.2296,3.0704,-0.3110137930620664,0.2795368421052632,3.0204631578947367,-0.5789077263325537,0.41659473684210524,2.8834052631578944,-0.5357621861593805,0.7346236842105265,2.5653763157894733,-0.5653611184654803,0.013000000000000001,3.287,0.4541040953235975,0.07950000000000002,3.2205,0.18624545800546455,0.24100000000000002,3.0589999999999997,-0.17077187672439045,1.5385000000000002,1.7614999999999996,0.48011243562064754,2.1975000000000002,1.1024999999999996,0.6562516815154036,2.692,0.6079999999999997,0.48814609347523374,2.9550000000000005,0.3449999999999993,0.45729404640424937,47944164595.1044,-0.28872976718734095,11834405659.8436,-0.47018630719826887,80.33849809561521,0.344777657396138,0.8,0.2649897339445522,0.6,0.21595244740991557
