,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(1),Corr with auto_vol(1),student_vol(1),Corr with student_vol(1),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(-4),Corr with mortgage 90(-4)
0,HENDERSON,2010-06,4.73,Improvements_Additions for Apartments_Coops,0.29840136363636366,4.431598636363637,-0.01312623611438594,0.3291213636363637,4.400878636363637,-0.006984251401252817,0.3487363636363637,4.381263636363637,-0.015326701889833408,0.4336950000000001,4.296305,-0.027304510803066444,0.5368986363636363,4.193101363636364,-0.04335223627904516,0.7518195454545455,3.9781804545454547,-0.0938772871151365,1.187955909090909,3.5420440909090916,-0.10586956234434104,0.07954545454545457,4.650454545454546,-0.02300651105121381,0.19090909090909092,4.539090909090909,-0.05218768213244142,0.3181818181818181,4.411818181818182,-0.06873974996237692,1.9963636363636363,2.7336363636363643,0.28521537248166545,3.2040909090909095,1.5259090909090909,0.39785093840751906,3.9499999999999997,0.7800000000000007,0.3651580121586027,4.127727272727272,0.6022727272727284,0.33296234581000766,28477062769.4533,-0.2603367281947769,10534224377.9144,-0.4512835672445265,99.3021234972081,0.3030654882911917,4.1,0.17710681803050402,12.0,0.2383779233040514
1,HENDERSON,2011-01,2.9,Improvements_Additions for Apartments_Coops,0.2391115000000001,2.6608885,-0.01312623611438594,0.25406500000000004,2.6459349999999997,-0.006984251401252817,0.2606254999999999,2.6393745,-0.015326701889833408,0.2827834999999999,2.6172165,-0.027304510803066444,0.30341049999999997,2.5965895,-0.04335223627904516,0.4554005000000002,2.4445995,-0.0938772871151365,0.7818229999999999,2.118177,-0.10586956234434104,0.14099999999999996,2.759,-0.02300651105121381,0.1815,2.7184999999999997,-0.05218768213244142,0.27349999999999997,2.6265,-0.06873974996237692,1.9944999999999997,0.9055000000000002,0.28521537248166545,3.3940000000000006,-0.49400000000000066,0.39785093840751906,4.281000000000001,-1.3810000000000007,0.3651580121586027,4.5230000000000015,-1.6230000000000016,0.33296234581000766,32217867353.4185,-0.2603367281947769,11726514214.1317,-0.4512835672445265,92.4549564204629,0.3030654882911917,3.5,0.17710681803050402,9.3,0.2383779233040514
2,HENDERSON,2011-02,3.75,Improvements_Additions for Apartments_Coops,0.23214,3.5178599999999998,-0.01312623611438594,0.25165,3.49835,-0.006984251401252817,0.26292499999999996,3.487075,-0.015326701889833408,0.28731249999999997,3.4626875,-0.027304510803066444,0.31189999999999996,3.4381,-0.04335223627904516,0.46404500000000004,3.285955,-0.0938772871151365,0.7933949999999999,2.956605,-0.10586956234434104,0.11473684210526319,3.635263157894737,-0.02300651105121381,0.16842105263157894,3.581578947368421,-0.05218768213244142,0.2863157894736842,3.4636842105263157,-0.06873974996237692,2.257894736842106,1.4921052631578942,0.28521537248166545,3.5763157894736834,0.17368421052631655,0.39785093840751906,4.423684210526316,-0.6736842105263161,0.3651580121586027,4.652105263157895,-0.9021052631578952,0.33296234581000766,31565012894.7234,-0.2603367281947769,11311909309.5948,-0.4512835672445265,92.8594669911348,0.3030654882911917,3.5,0.17710681803050402,9.0,0.2383779233040514
3,HENDERSON,2011-05,4.14,Improvements_Additions for Apartments_Coops,0.130775,4.009225,-0.01312623611438594,0.16787249999999998,3.9721274999999996,-0.006984251401252817,0.1978005,3.9421994999999996,-0.015326701889833408,0.23078799999999994,3.9092119999999997,-0.027304510803066444,0.260713,3.8792869999999997,-0.04335223627904516,0.41407550000000004,3.7259244999999996,-0.0938772871151365,0.7391499999999999,3.4008499999999997,-0.10586956234434104,0.024285714285714285,4.115714285714286,-0.02300651105121381,0.0866666666666667,4.053333333333333,-0.05218768213244142,0.18809523809523812,3.9519047619047614,-0.06873974996237692,1.8423809523809527,2.297619047619047,0.28521537248166545,3.168571428571429,0.9714285714285706,0.39785093840751906,4.011428571428572,0.12857142857142811,0.3651580121586027,4.293333333333333,-0.15333333333333332,0.33296234581000766,31300541846.2612,-0.2603367281947769,12472473242.0863,-0.4512835672445265,93.74313363440879,0.3030654882911917,3.2,0.17710681803050402,8.6,0.2383779233040514
4,HENDERSON,2011-08,3.75,Improvements_Additions for Apartments_Coops,0.14468363636363638,3.6053163636363634,-0.01312623611438594,0.18038681818181818,3.5696131818181818,-0.006984251401252817,0.21116590909090904,3.538834090909091,-0.015326701889833408,0.24895727272727275,3.5010427272727274,-0.027304510803066444,0.29323772727272723,3.4567622727272727,-0.04335223627904516,0.45919454545454547,3.2908054545454544,-0.0938772871151365,0.7783581818181818,2.9716418181818183,-0.10586956234434104,0.017391304347826094,3.732608695652174,-0.02300651105121381,0.06217391304347828,3.687826086956522,-0.05218768213244142,0.11478260869565218,3.635217391304348,-0.06873974996237692,1.021304347826087,2.728695652173913,0.28521537248166545,2.303043478260869,1.4469565217391311,0.39785093840751906,3.244782608695652,0.5052173913043481,0.3651580121586027,3.6513043478260867,0.0986956521739133,0.33296234581000766,33690910289.8878,-0.2603367281947769,11655650147.2578,-0.4512835672445265,91.13289228397959,0.3030654882911917,3.2,0.17710681803050402,8.1,0.2383779233040514
5,HENDERSON,2011-12,3.64,Improvements_Additions for Apartments_Coops,0.1499335,3.4900665,-0.01312623611438594,0.2029985,3.4370015,-0.006984251401252817,0.2836085,3.3563915,-0.015326701889833408,0.40829250000000006,3.2317075,-0.027304510803066444,0.5557375,3.0842625000000004,-0.04335223627904516,0.7798775000000001,2.8601225,-0.0938772871151365,1.1003555000000003,2.5396444999999996,-0.10586956234434104,0.0033333333333333335,3.6366666666666667,-0.02300651105121381,0.048571428571428585,3.5914285714285716,-0.05218768213244142,0.11523809523809528,3.5247619047619048,-0.06873974996237692,0.8914285714285713,2.7485714285714287,0.28521537248166545,1.9780952380952384,1.6619047619047618,0.39785093840751906,2.6676190476190476,0.9723809523809526,0.3651580121586027,2.9823809523809524,0.6576190476190478,0.33296234581000766,35385458151.3724,-0.2603367281947769,11510278467.2037,-0.4512835672445265,90.4806728327692,0.3030654882911917,3.6,0.17710681803050402,7.7,0.2383779233040514
6,HENDERSON,2012-06,2.99,Improvements_Additions for Apartments_Coops,0.163,2.8270000000000004,-0.01312623611438594,0.19464736842105262,2.7953526315789476,-0.006984251401252817,0.24319736842105263,2.7468026315789476,-0.015326701889833408,0.3459342105263157,2.6440657894736845,-0.027304510803066444,0.46558684210526313,2.5244131578947373,-0.04335223627904516,0.7364000000000004,2.2535999999999996,-0.0938772871151365,1.0691894736842107,1.9208105263157895,-0.10586956234434104,0.05190476190476193,2.9380952380952383,-0.02300651105121381,0.14809523809523809,2.841904761904762,-0.05218768213244142,0.18904761904761905,2.8009523809523813,-0.06873974996237692,0.7114285714285714,2.278571428571429,0.28521537248166545,1.6223809523809525,1.3676190476190477,0.39785093840751906,2.3061904761904763,0.6838095238095239,0.3651580121586027,2.698095238095238,0.2919047619047621,0.33296234581000766,36601383816.48,-0.2603367281947769,16111780903.4699,-0.4512835672445265,90.0868950067716,0.3030654882911917,3.3,0.17710681803050402,7.6,0.2383779233040514
7,HENDERSON,2013-02,3.35,Improvements_Additions for Apartments_Coops,0.15464999999999998,3.19535,-0.01312623611438594,0.17315,3.17685,-0.006984251401252817,0.20129999999999998,3.1487000000000003,-0.015326701889833408,0.2455,3.1045000000000003,-0.027304510803066444,0.29049499999999995,3.059505,-0.04335223627904516,0.463425,2.886575,-0.0938772871151365,0.761875,2.5881250000000002,-0.10586956234434104,0.0768421052631579,3.2731578947368423,-0.02300651105121381,0.12421052631578947,3.2257894736842108,-0.05218768213244142,0.15736842105263157,3.1926315789473687,-0.06873974996237692,0.8463157894736841,2.503684210526316,0.28521537248166545,1.9842105263157896,1.3657894736842104,0.39785093840751906,2.782631578947368,0.567368421052632,0.3651580121586027,3.165263157894737,0.1847368421052633,0.33296234581000766,39298206327.5877,-0.2603367281947769,9855625468.0504,-0.4512835672445265,90.2956809830492,0.3030654882911917,2.5,0.17710681803050402,7.4,0.2383779233040514
8,HENDERSON,2013-12,4.41,Improvements_Additions for Apartments_Coops,0.10022500000000001,4.309775,-0.01312623611438594,0.1273025,4.2826975,-0.006984251401252817,0.16723,4.24277,-0.015326701889833408,0.2127325,4.197267500000001,-0.027304510803066444,0.24389749999999996,4.1661025,-0.04335223627904516,0.34639499999999995,4.063605,-0.0938772871151365,0.579045,3.8309550000000003,-0.10586956234434104,0.019047619047619053,4.390952380952381,-0.02300651105121381,0.09523809523809526,4.314761904761905,-0.05218768213244142,0.13285714285714287,4.277142857142858,-0.06873974996237692,1.5761904761904764,2.833809523809524,0.28521537248166545,2.901904761904762,1.5080952380952382,0.39785093840751906,3.6266666666666674,0.7833333333333328,0.3651580121586027,3.889047619047619,0.5209523809523811,0.33296234581000766,42151687038.4775,-0.2603367281947769,9438159522.248821,-0.4512835672445265,86.47441597957871,0.3030654882911917,2.4,0.17710681803050402,5.0,0.2383779233040514
9,HENDERSON,2014-03,4.03,Improvements_Additions for Apartments_Coops,0.0888,3.9412000000000003,-0.01312623611438594,0.1207452380952381,3.909254761904762,-0.006984251401252817,0.15488333333333335,3.875116666666667,-0.015326701889833408,0.19711666666666672,3.8328833333333336,-0.027304510803066444,0.23409761904761903,3.795902380952381,-0.04335223627904516,0.33106666666666673,3.6989333333333336,-0.0938772871151365,0.5571428571428573,3.472857142857143,-0.10586956234434104,0.051428571428571455,3.9785714285714286,-0.02300651105121381,0.07857142857142858,3.9514285714285715,-0.05218768213244142,0.1280952380952381,3.901904761904762,-0.06873974996237692,1.6395238095238096,2.390476190476191,0.28521537248166545,2.7233333333333327,1.3066666666666675,0.39785093840751906,3.3466666666666667,0.6833333333333336,0.3651580121586027,3.6209523809523807,0.40904761904761955,0.33296234581000766,44109559396.2995,-0.2603367281947769,11032404366.8063,-0.4512835672445265,85.3165844012547,0.3030654882911917,1.8,0.17710681803050402,4.3,0.2383779233040514
