,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(-3),Corr with student_vol(-3),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-2),Corr with mortgage 30-89(-2),mortgage 90(-3),Corr with mortgage 90(-3),long,lat
0,2010-10,OH,CINCINNATI,2010-10,4.54,"(-84.39905999999999, 39.160013)",4493.27,Improvements_Additions for Apartments_Coops,0.22598619047619048,0.3213785407360679,0.25051619047619045,0.3248944600591068,0.25605714285714287,0.32469747962452195,0.2720304761904762,0.3105526897835762,0.28884,0.30250871476015656,0.45499142857142844,0.26115675998153826,0.7680966666666665,0.2417276454075614,0.14050000000000004,0.3204661294590522,0.17650000000000005,0.31748842841603186,0.22800000000000006,0.30785545031683176,1.1824999999999999,0.4996679368876148,2.54,0.6092126830461152,3.524,0.48366115347286803,3.8724999999999996,0.40986037710996,30207558860.6451,-0.11693034902570384,10534224377.9144,-0.44406384655033376,95.78917846656341,0.28400548365802913,3.8,0.10618287875073708,3.0,-0.11770974539792288,-84.39905999999999,39.160013
1,2010-11,OH,CINCINNATI,2010-11,3.7350000000000003,"(-84.619412, 39.094553000000005)",27682.969999999998,Improvements_Additions for Apartments_Coops,0.22869727272727272,0.3213785407360679,0.24913818181818187,0.3248944600591068,0.2541922727272727,0.32469747962452195,0.27004181818181816,0.3105526897835762,0.2871204545454545,0.30250871476015656,0.44597000000000014,0.26115675998153826,0.7651345454545454,0.2417276454075614,0.13400000000000004,0.3204661294590522,0.182,0.31748842841603186,0.25200000000000006,0.30785545031683176,1.35,0.4996679368876148,2.7630000000000003,0.6092126830461152,3.817999999999999,0.48366115347286803,4.186,0.40986037710996,31044830349.9256,-0.11693034902570384,11556490165.0911,-0.44406384655033376,95.21340255359091,0.28400548365802913,3.8,0.10618287875073708,2.8,-0.11770974539792288,-84.619412,39.094553000000005
2,2011-03,OH,CINCINNATI,2011-03,4.31,"(-84.369476, 39.291931)",73217.58,Improvements_Additions for Apartments_Coops,0.2076739130434783,0.3213785407360679,0.23889782608695653,0.3248944600591068,0.2532847826086956,0.32469747962452195,0.2829456521739131,0.3105526897835762,0.30843478260869567,0.30250871476015656,0.4607826086956522,0.26115675998153826,0.7797065217391305,0.2417276454075614,0.06478260869565221,0.3204661294590522,0.15652173913043482,0.31748842841603186,0.25913043478260867,0.30785545031683176,2.1134782608695653,0.4996679368876148,3.414347826086956,0.6092126830461152,4.26608695652174,0.48366115347286803,4.5139130434782615,0.40986037710996,31252070876.7547,-0.11693034902570384,10792773250.4017,-0.44406384655033376,92.8594669911348,0.28400548365802913,3.6,0.10618287875073708,3.1,-0.11770974539792288,-84.369476,39.291931
3,2011-12,OH,CINCINNATI,2011-12,3.53,"(-84.459005, 39.189768)",10317.71,Improvements_Additions for Apartments_Coops,0.1499335,0.3213785407360679,0.2029985,0.3248944600591068,0.2836085,0.32469747962452195,0.40829250000000006,0.3105526897835762,0.5557375,0.30250871476015656,0.7798775000000001,0.26115675998153826,1.1003555000000003,0.2417276454075614,0.0033333333333333335,0.3204661294590522,0.048571428571428585,0.31748842841603186,0.11523809523809528,0.30785545031683176,0.8914285714285713,0.4996679368876148,1.9780952380952384,0.6092126830461152,2.6676190476190476,0.48366115347286803,2.9823809523809524,0.40986037710996,35385458151.3724,-0.11693034902570384,11655650147.2578,-0.44406384655033376,88.33905735772379,0.28400548365802913,3.3,0.10618287875073708,2.9,-0.11770974539792288,-84.459005,39.189768
4,2012-01,OH,CINCINNATI,2012-01,4.24,"(-84.39905999999999, 39.160013)",16791.27,Improvements_Additions for Apartments_Coops,0.14564761904761903,0.3213785407360679,0.2014238095238095,0.3248944600591068,0.28289523809523814,0.32469747962452195,0.41424761904761903,0.3105526897835762,0.5659000000000001,0.30250871476015656,0.7969761904761906,0.26115675998153826,1.1145476190476191,0.2417276454075614,0.0245,0.3204661294590522,0.06550000000000003,0.31748842841603186,0.11500000000000003,0.30785545031683176,0.835,0.4996679368876148,1.9664999999999995,0.6092126830461152,2.6950000000000003,0.48366115347286803,3.026,0.40986037710996,35532707747.113,-0.11693034902570384,10258833668.6773,-0.44406384655033376,90.4806728327692,0.28400548365802913,3.3,0.10618287875073708,2.9,-0.11770974539792288,-84.39905999999999,39.160013
5,2012-03,OH,CINCINNATI,2012-03,3.39,"(-84.54669799999999, 39.239812)",17167.485,Improvements_Additions for Apartments_Coops,0.14720000000000003,0.3213785407360679,0.1893409090909091,0.3248944600591068,0.24185227272727275,0.32469747962452195,0.35079999999999995,0.3105526897835762,0.4732886363636363,0.30250871476015656,0.741275,0.26115675998153826,1.0534477272727274,0.2417276454075614,0.06363636363636366,0.3204661294590522,0.14227272727272727,0.31748842841603186,0.19000000000000003,0.30785545031683176,1.0172727272727273,0.4996679368876148,2.1727272727272724,0.6092126830461152,2.9404545454545454,0.48366115347286803,3.281363636363636,0.40986037710996,36623269866.4569,-0.11693034902570384,11508699084.1195,-0.44406384655033376,90.35087768078328,0.28400548365802913,3.8,0.10618287875073708,2.9,-0.11770974539792288,-84.54669799999999,39.239812
6,2012-04,OH,CINCINNATI,2012-04,3.285,"(-84.5940122, 39.1202939)",15259.685,Improvements_Additions for Apartments_Coops,0.14868421052631575,0.3213785407360679,0.18980526315789473,0.3248944600591068,0.23982894736842097,0.32469747962452195,0.34777368421052635,0.3105526897835762,0.46680789473684203,0.30250871476015656,0.7313999999999999,0.26115675998153826,1.048621052631579,0.2417276454075614,0.0666666666666667,0.3204661294590522,0.13904761904761903,0.31748842841603186,0.18333333333333335,0.30785545031683176,0.8947619047619045,0.4996679368876148,2.0528571428571425,0.6092126830461152,2.8166666666666664,0.48366115347286803,3.1842857142857137,0.40986037710996,36777908030.9335,-0.11693034902570384,11510278467.2037,-0.44406384655033376,90.48744874686929,0.28400548365802913,3.4,0.10618287875073708,3.0,-0.11770974539792288,-84.5940122,39.1202939
7,2012-08,OH,CINCINNATI,2012-08,2.65,"(-84.492115, 39.141782)",24518.16,Improvements_Additions for Apartments_Coops,0.15374090909090915,0.3213785407360679,0.18745454545454548,0.3248944600591068,0.23783863636363634,0.32469747962452195,0.3331136363636364,0.3105526897835762,0.43259999999999993,0.30250871476015656,0.7177749999999997,0.26115675998153826,1.0426272727272727,0.2417276454075614,0.09217391304347829,0.3204661294590522,0.14043478260869566,0.31748842841603186,0.18347826086956526,0.30785545031683176,0.7139130434782609,0.4996679368876148,1.6782608695652175,0.6092126830461152,2.3978260869565218,0.48366115347286803,2.7708695652173914,0.40986037710996,37571290060.6541,-0.11693034902570384,12770391029.1034,-0.44406384655033376,89.00857713430821,0.28400548365802913,3.0,0.10618287875073708,3.0,-0.11770974539792288,-84.492115,39.141782
8,2013-01,OH,CINCINNATI,2013-01,2.88,"(-84.527878, 39.267067)",45203.35,Improvements_Additions for Apartments_Coops,0.16043181818181818,0.3213785407360679,0.17947272727272726,0.3248944600591068,0.20497272727272725,0.32469747962452195,0.2497954545454545,0.3105526897835762,0.30261363636363625,0.30250871476015656,0.48810454545454546,0.26115675998153826,0.8142727272727271,0.2417276454075614,0.05190476190476192,0.3204661294590522,0.10761904761904766,0.31748842841603186,0.14523809523809525,0.30785545031683176,0.8052380952380951,0.4996679368876148,1.9147619047619049,0.6092126830461152,2.681428571428571,0.48366115347286803,3.0804761904761913,0.40986037710996,39658399389.4891,-0.11693034902570384,12022315813.7363,-0.44406384655033376,89.513287195688,0.28400548365802913,3.1,0.10618287875073708,2.7,-0.11770974539792288,-84.527878,39.267067
9,2013-04,OH,CINCINNATI,2013-04,3.5,"(-72.89, 41.42)",4602.71,Improvements_Additions for Apartments_Coops,0.1539047619047619,0.3213785407360679,0.17210476190476193,0.3248944600591068,0.19953333333333334,0.32469747962452195,0.24005714285714277,0.3105526897835762,0.27714285714285714,0.30250871476015656,0.4360190476190476,0.26115675998153826,0.7168333333333334,0.2417276454075614,0.049090909090909116,0.3204661294590522,0.09409090909090913,0.31748842841603186,0.12454545454545456,0.30785545031683176,0.7104545454545454,0.4996679368876148,1.7590909090909093,0.6092126830461152,2.5500000000000003,0.48366115347286803,2.9327272727272726,0.40986037710996,40995097959.5386,-0.11693034902570384,11154944519.578999,-0.44406384655033376,89.2801736441717,0.28400548365802913,3.0,0.10618287875073708,2.8,-0.11770974539792288,-72.89,41.42
