,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-2),Corr with auto_vol(-2),student_vol(3),Corr with student_vol(3),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(4),Corr with mortgage 90(4)
0,2010-12,FL,MIAMI,2010-12,3.815,"(-80.38291, 25.769485)",24819.095,Improvements_Additions for Apartments_Coops,0.24122190476190472,-0.15269447660538948,0.25412380952380953,-0.15002912205134422,0.26178857142857137,-0.14653253172242073,0.28196571428571415,-0.14849409890310933,0.30272333333333334,-0.14469650640408188,0.4583942857142857,-0.13110642640278541,0.7839004761904763,-0.10173736198256349,0.0854166666666667,-0.1481654282908354,0.19333333333333338,-0.12136663433231874,0.2937499999999999,-0.10850504466666115,1.9429166666666664,0.17799984800649737,3.2949999999999995,0.5053070807383263,4.173333333333333,0.5600146737507122,4.415,0.5582477189865174,30512069858.4251,-0.3158484213997591,11311909309.5948,-0.29733041412158834,94.51558950569391,0.3681298211148324,4.0,0.3037214644885874,11.1,0.28538305670024844
1,2011-03,FL,MIAMI,2011-03,4.15,"(-80.1937, 25.7743)",198839.41,Improvements_Additions for Apartments_Coops,0.2076739130434783,-0.15269447660538948,0.23889782608695653,-0.15002912205134422,0.2532847826086956,-0.14653253172242073,0.2829456521739131,-0.14849409890310933,0.30843478260869567,-0.14469650640408188,0.4607826086956522,-0.13110642640278541,0.7797065217391305,-0.10173736198256349,0.06478260869565221,-0.1481654282908354,0.15652173913043482,-0.12136663433231874,0.25913043478260867,-0.10850504466666115,2.1134782608695653,0.17799984800649737,3.414347826086956,0.5053070807383263,4.26608695652174,0.5600146737507122,4.5139130434782615,0.5582477189865174,31618591270.7387,-0.3158484213997591,12472473242.0863,-0.29733041412158834,94.7176548951663,0.3681298211148324,3.3,0.3037214644885874,10.7,0.28538305670024844
2,2011-07,FL,MIAMI,2011-07,4.46,"(-80.207347, 25.830169)",15017.96,Improvements_Additions for Apartments_Coops,0.12388095238095237,-0.15269447660538948,0.1598857142857143,-0.15002912205134422,0.18661904761904766,-0.14653253172242073,0.2182333333333334,-0.14849409890310933,0.24991190476190472,-0.14469650640408188,0.41392857142857137,-0.13110642640278541,0.7452261904761905,-0.10173736198256349,0.037500000000000006,-0.1481654282908354,0.08400000000000002,-0.12136663433231874,0.185,-0.10850504466666115,1.541,0.17799984800649737,3.003,0.5053070807383263,3.9475000000000002,0.5600146737507122,4.2705,0.5582477189865174,31041077337.2648,-0.3158484213997591,10258833668.6773,-0.29733041412158834,92.5881563190625,0.3681298211148324,3.6,0.3037214644885874,11.4,0.28538305670024844
3,2011-08,FL,MIAMI,2011-08,4.17,"(-80.226201, 25.808783)",83228.23,Improvements_Additions for Apartments_Coops,0.14468363636363638,-0.15269447660538948,0.18038681818181818,-0.15002912205134422,0.21116590909090904,-0.14653253172242073,0.24895727272727275,-0.14849409890310933,0.29323772727272723,-0.14469650640408188,0.45919454545454547,-0.13110642640278541,0.7783581818181818,-0.10173736198256349,0.017391304347826094,-0.1481654282908354,0.06217391304347828,-0.12136663433231874,0.11478260869565218,-0.10850504466666115,1.021304347826087,0.17799984800649737,2.303043478260869,0.5053070807383263,3.244782608695652,0.5600146737507122,3.6513043478260867,0.5582477189865174,31300541846.2612,-0.3158484213997591,11784187253.6333,-0.29733041412158834,91.13289228397959,0.3681298211148324,3.8,0.3037214644885874,11.2,0.28538305670024844
4,2011-11,FL,MIAMI,2011-11,3.75,"(-122.64424029999999, 45.7515463)",52163.1,Improvements_Additions for Apartments_Coops,0.14255090909090912,-0.15269447660538948,0.19244863636363635,-0.15002912205134422,0.2536463636363637,-0.14653253172242073,0.3593790909090909,-0.14849409890310933,0.47529181818181826,-0.14469650640408188,0.6805422727272729,-0.13110642640278541,1.000305,-0.10173736198256349,0.013999999999999999,-0.1481654282908354,0.04650000000000002,-0.12136663433231874,0.11200000000000002,-0.10850504466666115,0.908,0.17799984800649737,2.0134999999999996,0.5053070807383263,2.7180000000000004,0.5600146737507122,3.0155000000000003,0.5582477189865174,33690910289.8878,-0.3158484213997591,10728874885.7875,-0.29733041412158834,88.33905735772379,0.3681298211148324,3.5,0.3037214644885874,10.9,0.28538305670024844
5,2012-03,FL,MIAMI,2012-03,3.35,"(-80.352889, 25.687479)",89629.3,Improvements_Additions for Apartments_Coops,0.14720000000000003,-0.15269447660538948,0.1893409090909091,-0.15002912205134422,0.24185227272727275,-0.14653253172242073,0.35079999999999995,-0.14849409890310933,0.4732886363636363,-0.14469650640408188,0.741275,-0.13110642640278541,1.0534477272727274,-0.10173736198256349,0.06363636363636366,-0.1481654282908354,0.14227272727272727,-0.12136663433231874,0.19000000000000003,-0.10850504466666115,1.0172727272727273,0.17799984800649737,2.1727272727272724,0.5053070807383263,2.9404545454545454,0.5600146737507122,3.281363636363636,0.5582477189865174,35385458151.3724,-0.3158484213997591,14585937143.4485,-0.29733041412158834,90.48744874686929,0.3681298211148324,3.4,0.3037214644885874,10.4,0.28538305670024844
6,2012-04,FL,MIAMI,2012-04,3.18,"(-85.396244, 42.81261)",59024.87,Improvements_Additions for Apartments_Coops,0.14868421052631575,-0.15269447660538948,0.18980526315789473,-0.15002912205134422,0.23982894736842097,-0.14653253172242073,0.34777368421052635,-0.14849409890310933,0.46680789473684203,-0.14469650640408188,0.7313999999999999,-0.13110642640278541,1.048621052631579,-0.10173736198256349,0.0666666666666667,-0.1481654282908354,0.13904761904761903,-0.12136663433231874,0.18333333333333335,-0.10850504466666115,0.8947619047619045,0.17799984800649737,2.0528571428571425,0.5053070807383263,2.8166666666666664,0.5600146737507122,3.1842857142857137,0.5582477189865174,35532707747.113,-0.3158484213997591,16111780903.4699,-0.29733041412158834,90.7743282432688,0.3681298211148324,3.3,0.3037214644885874,10.1,0.28538305670024844
7,2012-05,FL,MIAMI,2012-05,4.05,"(-80.240666, 25.880103)",66670.42,Improvements_Additions for Apartments_Coops,0.15161363636363637,-0.15269447660538948,0.19053181818181822,-0.15002912205134422,0.23893181818181805,-0.14653253172242073,0.3457045454545453,-0.14849409890310933,0.4665318181818183,-0.14469650640408188,0.732990909090909,-0.13110642640278541,1.0615068181818177,-0.10173736198256349,0.06590909090909093,-0.1481654282908354,0.14545454545454548,-0.12136663433231874,0.19181818181818186,-0.10850504466666115,0.7618181818181818,0.17799984800649737,1.8031818181818189,0.5053070807383263,2.525909090909091,0.5600146737507122,2.930909090909091,0.5582477189865174,35767585536.868996,-0.3158484213997591,11986368496.8635,-0.29733041412158834,90.6452366150782,0.3681298211148324,3.3,0.3037214644885874,9.8,0.28538305670024844
8,2012-08,FL,MIAMI,2012-08,3.9410000000000003,"(-80.23021899999999, 25.83241)",58498.09,Improvements_Additions for Apartments_Coops,0.15374090909090915,-0.15269447660538948,0.18745454545454548,-0.15002912205134422,0.23783863636363634,-0.14653253172242073,0.3331136363636364,-0.14849409890310933,0.43259999999999993,-0.14469650640408188,0.7177749999999997,-0.13110642640278541,1.0426272727272727,-0.10173736198256349,0.09217391304347829,-0.1481654282908354,0.14043478260869566,-0.12136663433231874,0.18347826086956526,-0.10850504466666115,0.7139130434782609,0.17799984800649737,1.6782608695652175,0.5053070807383263,2.3978260869565218,0.5600146737507122,2.7708695652173914,0.5582477189865174,36186315501.0541,-0.3158484213997591,10740081615.3953,-0.29733041412158834,89.6038877472871,0.3681298211148324,3.5,0.3037214644885874,8.9,0.28538305670024844
9,2012-10,FL,MIAMI,2012-10,3.55,"(-80.208546, 25.793633)",55736.54,Improvements_Additions for Apartments_Coops,0.15320434782608702,-0.15269447660538948,0.17955217391304346,-0.15002912205134422,0.21346521739130433,-0.14653253172242073,0.2717391304347827,-0.14849409890310933,0.3304891304347827,-0.14469650640408188,0.5823021739130435,-0.13110642640278541,0.9185760869565219,-0.10173736198256349,0.10952380952380951,-0.1481654282908354,0.14904761904761904,-0.12136663433231874,0.17952380952380956,-0.10850504466666115,0.7085714285714285,0.17799984800649737,1.7461904761904758,0.5053070807383263,2.505714285714286,0.5600146737507122,2.90047619047619,0.5582477189865174,37160101000.5239,-0.3158484213997591,11154944519.578999,-0.29733041412158834,89.02745876405929,0.3681298211148324,3.6,0.3037214644885874,8.6,0.28538305670024844
