,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(1),Corr with auto_vol(1),student_vol(4),Corr with student_vol(4),credit_tightness(-1),Corr with credit_tightness(-1),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-4),Corr with mortgage 90(-4)
0,KALAMAZOO,2010-12,4.35,Improvements_Additions for Apartments_Coops,0.24122190476190472,4.108778095238095,0.49281831528373593,0.25412380952380953,4.09587619047619,0.4943600005187446,0.26178857142857137,4.088211428571428,0.48965829213700734,0.28196571428571415,4.068034285714285,0.47473496059304177,0.30272333333333334,4.047276666666666,0.448898501118135,0.4583942857142857,3.891605714285714,0.38873660478614286,0.7839004761904763,3.566099523809523,0.3623405559303703,0.0854166666666667,4.2645833333333325,0.49835815545498463,0.19333333333333338,4.156666666666666,0.49672395639384875,0.2937499999999999,4.0562499999999995,0.5119238840308445,1.9429166666666664,2.4070833333333335,0.8540381147901656,3.2949999999999995,1.0550000000000002,0.7323030622242945,4.173333333333333,0.17666666666666675,0.5172480640402408,4.415,-0.06500000000000039,0.43165393454067386,31618591270.7387,0.24884567308787475,15995126134.7035,0.5820474178054376,92.8594669911348,-0.3900290297923653,4.2,-0.22989852586510673,2.7,-0.28013839699492904
1,KALAMAZOO,2011-06,3.58,Improvements_Additions for Apartments_Coops,0.12706818181818183,3.4529318181818183,0.49281831528373593,0.1615431818181819,3.4184568181818182,0.4943600005187446,0.18716409090909092,3.392835909090909,0.48965829213700734,0.21923909090909086,3.360760909090909,0.47473496059304177,0.24782409090909094,3.332175909090909,0.448898501118135,0.39758,3.18242,0.38873660478614286,0.7268749999999999,2.8531250000000004,0.3623405559303703,0.0190909090909091,3.560909090909091,0.49835815545498463,0.1013636363636364,3.4786363636363635,0.49672395639384875,0.18090909090909094,3.399090909090909,0.5119238840308445,1.5799999999999998,2.0,0.8540381147901656,3.002272727272727,0.5777272727272731,0.7323030622242945,3.9145454545454546,-0.3345454545454545,0.5172480640402408,4.2327272727272724,-0.6527272727272724,0.43165393454067386,31992172727.7437,0.24884567308787475,10258833668.6773,0.5820474178054376,91.13289228397959,-0.3900290297923653,3.5,-0.22989852586510673,3.1,-0.28013839699492904
2,KALAMAZOO,2012-04,3.55,Improvements_Additions for Apartments_Coops,0.14868421052631575,3.401315789473684,0.49281831528373593,0.18980526315789473,3.360194736842105,0.4943600005187446,0.23982894736842097,3.3101710526315786,0.48965829213700734,0.34777368421052635,3.2022263157894733,0.47473496059304177,0.46680789473684203,3.0831921052631577,0.448898501118135,0.7313999999999999,2.8186,0.38873660478614286,1.048621052631579,2.501378947368421,0.3623405559303703,0.0666666666666667,3.483333333333333,0.49835815545498463,0.13904761904761903,3.4109523809523807,0.49672395639384875,0.18333333333333335,3.3666666666666663,0.5119238840308445,0.8947619047619045,2.6552380952380954,0.8540381147901656,2.0528571428571425,1.4971428571428573,0.7323030622242945,2.8166666666666664,0.7333333333333334,0.5172480640402408,3.1842857142857137,0.3657142857142861,0.43165393454067386,36777908030.9335,0.24884567308787475,11986368496.8635,0.5820474178054376,90.0868950067716,-0.3900290297923653,3.1,-0.22989852586510673,3.0,-0.28013839699492904
3,KALAMAZOO,2012-07,2.95,Improvements_Additions for Apartments_Coops,0.16720454545454547,2.7827954545454547,0.49281831528373593,0.19873636363636368,2.7512636363636367,0.4943600005187446,0.24646136363636365,2.7035386363636364,0.48965829213700734,0.34024999999999994,2.60975,0.47473496059304177,0.4535545454545455,2.4964454545454546,0.448898501118135,0.7302181818181818,2.2197818181818185,0.38873660478614286,1.0653181818181816,1.8846818181818186,0.3623405559303703,0.06952380952380956,2.8804761904761906,0.49835815545498463,0.14571428571428574,2.8042857142857143,0.49672395639384875,0.18571428571428572,2.7642857142857142,0.5119238840308445,0.6195238095238095,2.330476190476191,0.8540381147901656,1.5266666666666664,1.4233333333333338,0.7323030622242945,2.217142857142857,0.7328571428571431,0.5172480640402408,2.5900000000000003,0.3599999999999999,0.43165393454067386,37160101000.5239,0.24884567308787475,10740081615.3953,0.5820474178054376,89.56768058609659,-0.3900290297923653,3.6,-0.22989852586510673,2.5,-0.28013839699492904
4,KALAMAZOO,2012-11,3.03,Improvements_Additions for Apartments_Coops,0.1555,2.8745,0.49281831528373593,0.18060909090909089,2.849390909090909,0.4943600005187446,0.20888636363636362,2.821113636363636,0.48965829213700734,0.25813636363636355,2.771863636363636,0.47473496059304177,0.31102272727272723,2.7189772727272725,0.448898501118135,0.528347727272727,2.5016522727272728,0.38873660478614286,0.8631931818181818,2.166806818181818,0.3623405559303703,0.12449999999999999,2.9055,0.49835815545498463,0.14450000000000002,2.8855,0.49672395639384875,0.17850000000000002,2.8514999999999997,0.5119238840308445,0.665,2.3649999999999998,0.8540381147901656,1.654,1.376,0.7323030622242945,2.3894999999999995,0.6405000000000003,0.5172480640402408,2.8034999999999997,0.22650000000000015,0.43165393454067386,38808856509.5085,0.24884567308787475,9855625468.0504,0.5820474178054376,90.37816904639429,-0.3900290297923653,3.3,-0.22989852586510673,2.8,-0.28013839699492904
5,KALAMAZOO,2013-01,2.7,Improvements_Additions for Apartments_Coops,0.16043181818181818,2.539568181818182,0.49281831528373593,0.17947272727272726,2.5205272727272727,0.4943600005187446,0.20497272727272725,2.495027272727273,0.48965829213700734,0.2497954545454545,2.450204545454546,0.47473496059304177,0.30261363636363625,2.3973863636363637,0.448898501118135,0.48810454545454546,2.2118954545454548,0.38873660478614286,0.8142727272727271,1.885727272727273,0.3623405559303703,0.05190476190476192,2.6480952380952383,0.49835815545498463,0.10761904761904766,2.5923809523809527,0.49672395639384875,0.14523809523809525,2.554761904761905,0.5119238840308445,0.8052380952380951,1.894761904761905,0.8540381147901656,1.9147619047619049,0.7852380952380953,0.7323030622242945,2.681428571428571,0.018571428571429127,0.5172480640402408,3.0804761904761913,-0.3804761904761911,0.43165393454067386,39658399389.4891,0.24884567308787475,9498561196.652071,0.5820474178054376,89.2801736441717,-0.3900290297923653,3.7,-0.22989852586510673,3.2,-0.28013839699492904
6,KALAMAZOO,2013-02,2.5,Improvements_Additions for Apartments_Coops,0.15464999999999998,2.34535,0.49281831528373593,0.17315,2.32685,0.4943600005187446,0.20129999999999998,2.2987,0.48965829213700734,0.2455,2.2545,0.47473496059304177,0.29049499999999995,2.209505,0.448898501118135,0.463425,2.036575,0.38873660478614286,0.761875,1.7381250000000001,0.3623405559303703,0.0768421052631579,2.423157894736842,0.49835815545498463,0.12421052631578947,2.3757894736842107,0.49672395639384875,0.15736842105263157,2.3426315789473686,0.5119238840308445,0.8463157894736841,1.6536842105263159,0.8540381147901656,1.9842105263157896,0.5157894736842104,0.7323030622242945,2.782631578947368,-0.2826315789473681,0.5172480640402408,3.165263157894737,-0.6652631578947368,0.43165393454067386,39298206327.5877,0.24884567308787475,9260696074.4491,0.5820474178054376,91.578064558499,-0.3900290297923653,3.4,-0.22989852586510673,3.0,-0.28013839699492904
7,KALAMAZOO,2013-06,3.25,Improvements_Additions for Apartments_Coops,0.13074,3.11926,0.49281831528373593,0.15964599999999998,3.090354,0.4943600005187446,0.19319250000000002,3.0568075,0.48965829213700734,0.23164600000000002,3.018354,0.47473496059304177,0.27374,2.97626,0.448898501118135,0.4139935,2.8360065,0.38873660478614286,0.6839425000000002,2.5660575,0.3623405559303703,0.0345,3.2155,0.49835815545498463,0.08750000000000002,3.1625,0.49672395639384875,0.142,3.108,0.5119238840308445,1.2035,2.0465,0.8540381147901656,2.3000000000000003,0.9499999999999997,0.7323030622242945,3.0740000000000003,0.1759999999999997,0.5172480640402408,3.400000000000001,-0.1500000000000008,0.43165393454067386,41471481477.9035,0.24884567308787475,9473893018.88319,0.5820474178054376,88.29263433660921,-0.3900290297923653,2.8,-0.22989852586510673,2.3,-0.28013839699492904
8,KALAMAZOO,2013-07,3.1,Improvements_Additions for Apartments_Coops,0.12117913043478262,2.9788208695652174,0.49281831528373593,0.15611695652173913,2.943883043478261,0.4943600005187446,0.19111913043478265,2.9088808695652175,0.48965829213700734,0.232388695652174,2.867611304347826,0.47473496059304177,0.26758260869565215,2.832417391304348,0.448898501118135,0.40307869565217386,2.696921304347826,0.38873660478614286,0.6838491304347826,2.4161508695652176,0.3623405559303703,0.020909090909090912,3.079090909090909,0.49835815545498463,0.07363636363636367,3.0263636363636364,0.49672395639384875,0.12181818181818184,2.978181818181818,0.5119238840308445,1.4031818181818183,1.6968181818181818,0.8540381147901656,2.5822727272727275,0.5177272727272726,0.7323030622242945,3.3072727272727276,-0.2072727272727275,0.5172480640402408,3.605,-0.5049999999999999,0.43165393454067386,41334062733.8549,0.24884567308787475,10396023519.0372,0.5820474178054376,89.95115518901541,-0.3900290297923653,3.1,-0.22989852586510673,2.2,-0.28013839699492904
9,KALAMAZOO,2013-09,3.375,Improvements_Additions for Apartments_Coops,0.11272380952380952,3.2622761904761903,0.49281831528373593,0.14323238095238094,3.231767619047619,0.4943600005187446,0.18057476190476196,3.194425238095238,0.48965829213700734,0.22133904761904755,3.1536609523809522,0.47473496059304177,0.2531785714285715,3.1218214285714287,0.448898501118135,0.38033809523809525,2.9946619047619047,0.38873660478614286,0.6526857142857143,2.722314285714286,0.3623405559303703,0.017500000000000005,3.3575,0.49835815545498463,0.04150000000000001,3.3335,0.49672395639384875,0.11850000000000002,3.2565,0.5119238840308445,1.5959999999999999,1.7790000000000001,0.8540381147901656,2.8095,0.5655000000000001,0.7323030622242945,3.526,-0.1509999999999998,0.5172480640402408,3.7870000000000004,-0.41200000000000037,0.43165393454067386,41244159430.5284,0.24884567308787475,9438159522.248821,0.5820474178054376,88.1059676388142,-0.3900290297923653,2.3,-0.22989852586510673,2.0,-0.28013839699492904
