,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(1),Corr with auto_vol(1),student_vol(3),Corr with student_vol(3),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-4),Corr with mortgage 90(-4)
0,MN,ST. PAUL,2011-12,3.5,Improvements_Additions for Apartments_Coops,0.1499335,3.3500665,0.321307937156813,0.2029985,3.2970015,0.31948697949593924,0.2836085,3.2163915,0.33844908090252424,0.40829250000000006,3.0917075,0.3621098215639267,0.5557375,2.9442625,0.4006040193256776,0.7798775000000001,2.7201225,0.42213763856499875,1.1003555000000003,2.3996445,0.4101964294921251,0.0033333333333333335,3.4966666666666666,0.31355121713151174,0.048571428571428585,3.4514285714285715,0.36350328229931894,0.11523809523809528,3.3847619047619046,0.3873819997580046,0.8914285714285713,2.6085714285714285,0.5551462398315131,1.9780952380952384,1.5219047619047616,0.40249678998502375,2.6676190476190476,0.8323809523809524,0.1039258640560016,2.9823809523809524,0.5176190476190476,0.013551755714929534,35385458151.3724,0.6610904613164612,11251067892.2966,0.6989301352967227,90.0868950067716,-0.25282763749432347,2.3,-0.6887853176191677,2.5,-0.6542563405940579
1,MN,ST. PAUL,2012-08,2.25,Improvements_Additions for Apartments_Coops,0.15374090909090915,2.096259090909091,0.321307937156813,0.18745454545454548,2.0625454545454547,0.31948697949593924,0.23783863636363634,2.0121613636363636,0.33844908090252424,0.3331136363636364,1.9168863636363636,0.3621098215639267,0.43259999999999993,1.8174000000000001,0.4006040193256776,0.7177749999999997,1.5322250000000004,0.42213763856499875,1.0426272727272727,1.2073727272727273,0.4101964294921251,0.09217391304347829,2.1578260869565216,0.31355121713151174,0.14043478260869566,2.1095652173913044,0.36350328229931894,0.18347826086956526,2.066521739130435,0.3873819997580046,0.7139130434782609,1.5360869565217392,0.5551462398315131,1.6782608695652175,0.5717391304347825,0.40249678998502375,2.3978260869565218,-0.14782608695652177,0.1039258640560016,2.7708695652173914,-0.5208695652173914,0.013551755714929534,37571290060.6541,0.6610904613164612,10740081615.3953,0.6989301352967227,90.2956809830492,-0.25282763749432347,2.1,-0.6887853176191677,2.3,-0.6542563405940579
2,MN,ST. PAUL,2012-12,2.215,Improvements_Additions for Apartments_Coops,0.1631578947368421,2.051842105263158,0.321307937156813,0.1875157894736842,2.0274842105263158,0.31948697949593924,0.21092631578947374,2.004073684210526,0.33844908090252424,0.2552894736842105,1.9597105263157895,0.3621098215639267,0.30947368421052623,1.9055263157894737,0.4006040193256776,0.5145657894736843,1.7004342105263155,0.42213763856499875,0.8483157894736841,1.3666842105263157,0.4101964294921251,0.039500000000000014,2.1755,0.31355121713151174,0.11950000000000005,2.0955,0.36350328229931894,0.1585,2.0564999999999998,0.3873819997580046,0.6960000000000001,1.5189999999999997,0.5551462398315131,1.7189999999999999,0.496,0.40249678998502375,2.4675000000000002,-0.2525000000000004,0.1039258640560016,2.8835,-0.6685000000000003,0.013551755714929534,39268596272.9965,0.6610904613164612,9855625468.0504,0.6989301352967227,88.920473853359,-0.25282763749432347,2.1,-0.6887853176191677,2.1,-0.6542563405940579
3,MN,ST. PAUL,2013-06,3.07,Improvements_Additions for Apartments_Coops,0.13074,2.93926,0.321307937156813,0.15964599999999998,2.910354,0.31948697949593924,0.19319250000000002,2.8768075,0.33844908090252424,0.23164600000000002,2.838354,0.3621098215639267,0.27374,2.7962599999999997,0.4006040193256776,0.4139935,2.6560064999999997,0.42213763856499875,0.6839425000000002,2.3860574999999997,0.4101964294921251,0.0345,3.0355,0.31355121713151174,0.08750000000000002,2.9825,0.36350328229931894,0.142,2.928,0.3873819997580046,1.2035,1.8664999999999998,0.5551462398315131,2.3000000000000003,0.7699999999999996,0.40249678998502375,3.0740000000000003,-0.004000000000000448,0.1039258640560016,3.400000000000001,-0.33000000000000096,0.013551755714929534,41471481477.9035,0.6610904613164612,10216278752.7557,0.6989301352967227,86.47441597957871,-0.25282763749432347,1.9,-0.6887853176191677,1.8,-0.6542563405940579
4,MN,ST. PAUL,2014-03,3.83,Improvements_Additions for Apartments_Coops,0.0888,3.7412,0.321307937156813,0.1207452380952381,3.709254761904762,0.31948697949593924,0.15488333333333335,3.675116666666667,0.33844908090252424,0.19711666666666672,3.6328833333333335,0.3621098215639267,0.23409761904761903,3.595902380952381,0.4006040193256776,0.33106666666666673,3.4989333333333335,0.42213763856499875,0.5571428571428573,3.2728571428571427,0.4101964294921251,0.051428571428571455,3.7785714285714285,0.31355121713151174,0.07857142857142858,3.7514285714285713,0.36350328229931894,0.1280952380952381,3.701904761904762,0.3873819997580046,1.6395238095238096,2.1904761904761907,0.5551462398315131,2.7233333333333327,1.1066666666666674,0.40249678998502375,3.3466666666666667,0.4833333333333334,0.1039258640560016,3.6209523809523807,0.20904761904761937,0.013551755714929534,44109559396.2995,0.6610904613164612,10121843859.6075,0.6989301352967227,81.9669757663089,-0.25282763749432347,1.5,-0.6887853176191677,1.4,-0.6542563405940579
5,MN,ST. PAUL,2014-05,3.8,Improvements_Additions for Apartments_Coops,0.08842000000000001,3.7115799999999997,0.321307937156813,0.1198375,3.6801625,0.31948697949593924,0.15035749999999998,3.6496424999999997,0.33844908090252424,0.1914675,3.6085325,0.3621098215639267,0.22609000000000004,3.5739099999999997,0.4006040193256776,0.3231200000000001,3.4768799999999995,0.42213763856499875,0.537955,3.2620449999999996,0.4101964294921251,0.026666666666666665,3.773333333333333,0.31355121713151174,0.05190476190476192,3.748095238095238,0.36350328229931894,0.0966666666666667,3.703333333333333,0.3873819997580046,1.5928571428571427,2.2071428571428573,0.5551462398315131,2.559047619047619,1.2409523809523808,0.40249678998502375,3.1152380952380954,0.6847619047619045,0.1039258640560016,3.3899999999999997,0.41000000000000014,0.013551755714929534,43938467193.2505,0.6610904613164612,11117378455.0815,0.6989301352967227,81.06604477988621,-0.25282763749432347,1.5,-0.6887853176191677,1.3,-0.6542563405940579
6,MN,ST. PAUL,2014-11,3.51,Improvements_Additions for Apartments_Coops,0.09656999999999999,3.41343,0.321307937156813,0.12222499999999999,3.387775,0.31948697949593924,0.1548075,3.3551925,0.33844908090252424,0.20246,3.30754,0.3621098215639267,0.23286250000000003,3.2771375,0.4006040193256776,0.32679500000000006,3.1832049999999996,0.42213763856499875,0.56206,2.94794,0.4101964294921251,0.04166666666666668,3.4683333333333333,0.31355121713151174,0.06944444444444448,3.440555555555555,0.36350328229931894,0.13444444444444448,3.375555555555555,0.3873819997580046,1.6205555555555557,1.889444444444444,0.5551462398315131,2.325555555555556,1.184444444444444,0.40249678998502375,2.7644444444444445,0.7455555555555553,0.1039258640560016,3.038333333333333,0.4716666666666667,0.013551755714929534,45241950015.4561,0.6610904613164612,11837215038.8922,0.6989301352967227,82.122236078369,-0.25282763749432347,1.5,-0.6887853176191677,1.2,-0.6542563405940579
7,MN,ST. PAUL,2015-08,3.32,Improvements_Additions for Apartments_Coops,0.13010000000000005,3.1898999999999997,0.321307937156813,0.151965,3.1680349999999997,0.31948697949593924,0.1967275,3.1232724999999997,0.33844908090252424,0.2610100000000001,3.0589899999999997,0.3621098215639267,0.3207975,2.9992025,0.4006040193256776,0.5193599999999999,2.80064,0.42213763856499875,0.8364375,2.4835624999999997,0.4101964294921251,0.03523809523809525,3.2847619047619045,0.31355121713151174,0.22000000000000006,3.0999999999999996,0.36350328229931894,0.3757142857142857,2.944285714285714,0.3873819997580046,1.5414285714285714,1.7785714285714285,0.5551462398315131,2.167142857142857,1.152857142857143,0.40249678998502375,2.5466666666666664,0.7733333333333334,0.1039258640560016,2.8557142857142854,0.4642857142857144,0.013551755714929534,49379202635.7798,0.6610904613164612,10798655053.3939,0.6989301352967227,81.9752078939728,-0.25282763749432347,1.5,-0.6887853176191677,0.9,-0.6542563405940579
8,MN,ST. PAUL,2015-12,3.48,Improvements_Additions for Apartments_Coops,0.2286238095238095,3.2513761904761904,0.321307937156813,0.289352380952381,3.1906476190476187,0.31948697949593924,0.3523071428571429,3.1276928571428573,0.33844908090252424,0.44092857142857156,3.0390714285714284,0.3621098215639267,0.5332357142857143,2.946764285714286,0.4006040193256776,0.7638285714285715,2.7161714285714282,0.42213763856499875,1.0841380952380955,2.3958619047619045,0.4101964294921251,0.17181818181818184,3.308181818181818,0.31355121713151174,0.4990909090909091,2.980909090909091,0.36350328229931894,0.6536363636363638,2.826363636363636,0.3873819997580046,1.6986363636363635,1.7813636363636365,0.5551462398315131,2.2427272727272736,1.2372727272727264,0.40249678998502375,2.6072727272727274,0.8727272727272726,0.1039258640560016,2.97,0.5099999999999998,0.013551755714929534,48154770296.6926,0.6610904613164612,11362184412.0981,0.6989301352967227,83.5754036116387,-0.25282763749432347,1.5,-0.6887853176191677,0.9,-0.6542563405940579
9,MN,ST. PAUL,2016-05,3.67,Improvements_Additions for Apartments_Coops,0.38527368421052627,3.2847263157894737,0.321307937156813,0.4053315789473685,3.2646684210526313,0.31948697949593924,0.4424947368421052,3.227505263157895,0.33844908090252424,0.5332263157894737,3.1367736842105263,0.3621098215639267,0.6455710526315791,3.024428947368421,0.4006040193256776,0.9348736842105263,2.735126315789474,0.42213763856499875,1.2675078947368421,2.402492105263158,0.4101964294921251,0.2261904761904762,3.4438095238095237,0.31355121713151174,0.4185714285714286,3.2514285714285713,0.36350328229931894,0.5914285714285713,3.0785714285714287,0.3873819997580046,1.3004761904761903,2.36952380952381,0.5551462398315131,1.8061904761904766,1.8638095238095234,0.40249678998502375,2.2166666666666663,1.4533333333333336,0.1039258640560016,2.627619047619048,1.042380952380952,0.013551755714929534,49206523977.8161,0.6610904613164612,11412820253.2316,0.6989301352967227,88.1942388876454,-0.25282763749432347,1.3,-0.6887853176191677,0.9,-0.6542563405940579
10,MN,ST. PAUL,2016-06,3.85,Improvements_Additions for Apartments_Coops,0.3904409090909091,3.459559090909091,0.321307937156813,0.41572500000000007,3.434275,0.31948697949593924,0.4527090909090909,3.397290909090909,0.33844908090252424,0.5394386363636363,3.3105613636363636,0.3621098215639267,0.6516204545454546,3.1983795454545456,0.4006040193256776,0.9360386363636366,2.9139613636363633,0.42213763856499875,1.2592227272727274,2.590777272727273,0.4101964294921251,0.22136363636363632,3.628636363636364,0.31355121713151174,0.40409090909090906,3.4459090909090913,0.36350328229931894,0.5522727272727272,3.297727272727273,0.3873819997580046,1.1663636363636367,2.6836363636363636,0.5551462398315131,1.6440909090909095,2.2059090909090906,0.40249678998502375,2.019090909090909,1.830909090909091,0.1039258640560016,2.452272727272727,1.397727272727273,0.013551755714929534,49692544708.3448,0.6610904613164612,11482367114.4991,0.6989301352967227,88.3913281030881,-0.25282763749432347,1.3,-0.6887853176191677,0.8,-0.6542563405940579
11,MN,ST. PAUL,2016-10,3.85,Improvements_Additions for Apartments_Coops,0.4307719047619048,3.419228095238095,0.321307937156813,0.457582380952381,3.392417619047619,0.31948697949593924,0.5307795238095238,3.3192204761904764,0.33844908090252424,0.6609890476190475,3.1890109523809524,0.3621098215639267,0.8786828571428573,2.971317142857143,0.4006040193256776,1.258856666666667,2.591143333333333,0.42213763856499875,1.577814761904762,2.272185238095238,0.4101964294921251,0.24400000000000005,3.606,0.31355121713151174,0.47700000000000004,3.373,0.36350328229931894,0.6595000000000001,3.1905,0.3873819997580046,1.2719999999999998,2.5780000000000003,0.5551462398315131,1.7645000000000004,2.0854999999999997,0.40249678998502375,2.1705,1.6795,0.1039258640560016,2.5004999999999997,1.3495000000000004,0.013551755714929534,49971382532.5922,0.6610904613164612,12351593318.9066,0.6989301352967227,87.62096056152771,-0.25282763749432347,1.4,-0.6887853176191677,0.7,-0.6542563405940579
12,MN,ST. PAUL,2016-11,5.25,Improvements_Additions for Apartments_Coops,0.4339245454545454,4.816075454545454,0.321307937156813,0.45880500000000013,4.791195,0.31948697949593924,0.5631090909090911,4.686890909090909,0.33844908090252424,0.7006386363636362,4.549361363636364,0.3621098215639267,0.9084640909090909,4.34153590909091,0.4006040193256776,1.2693081818181815,3.9806918181818185,0.42213763856499875,1.6029650000000002,3.647035,0.4101964294921251,0.29999999999999993,4.95,0.31355121713151174,0.5834999999999999,4.6665,0.36350328229931894,0.736,4.514,0.3873819997580046,1.596,3.654,0.5551462398315131,2.142,3.108,0.40249678998502375,2.5369999999999995,2.7130000000000005,0.1039258640560016,2.8620000000000005,2.3879999999999995,0.013551755714929534,51124149514.2735,0.6610904613164612,12722317795.1324,0.6989301352967227,84.4501908643932,-0.25282763749432347,1.3,-0.6887853176191677,0.7,-0.6542563405940579
13,MN,ST. PAUL,2017-03,3.79,Improvements_Additions for Apartments_Coops,0.8095565217391305,2.9804434782608693,0.321307937156813,0.8706386956521739,2.9193613043478264,0.31948697949593924,0.9286352173913045,2.8613647826086956,0.33844908090252424,0.982656956521739,2.807343043478261,0.3621098215639267,1.134713043478261,2.655286956521739,0.4006040193256776,1.4258673913043478,2.3641326086956522,0.42213763856499875,1.8069104347826086,1.9830895652173914,0.4101964294921251,0.662608695652174,3.1273913043478263,0.31355121713151174,0.8856521739130436,2.9043478260869566,0.36350328229931894,1.0104347826086957,2.7795652173913044,0.3873819997580046,2.013478260869565,1.7765217391304349,0.5551462398315131,2.4817391304347827,1.3082608695652174,0.40249678998502375,2.8317391304347823,0.9582608695652177,0.1039258640560016,3.0813043478260873,0.7086956521739127,0.013551755714929534,47316214443.3566,0.6610904613164612,12745337772.3068,0.6989301352967227,88.94830277813108,-0.25282763749432347,1.2,-0.6887853176191677,0.7,-0.6542563405940579
14,MN,ST. PAUL,2017-08,3.5,Improvements_Additions for Apartments_Coops,1.1775518181818179,2.3224481818181824,0.321307937156813,1.197803181818182,2.3021968181818178,0.31948697949593924,1.2317690909090908,2.268230909090909,0.33844908090252424,1.264191818181818,2.2358081818181823,0.3621098215639267,1.314176818181818,2.185823181818182,0.4006040193256776,1.453699090909091,2.046300909090909,0.42213763856499875,1.7253381818181814,1.7746618181818186,0.4101964294921251,0.9795652173913042,2.520434782608696,0.31355121713151174,1.1291304347826083,2.370869565217392,0.36350328229931894,1.2291304347826086,2.2708695652173914,0.3873819997580046,1.7765217391304353,1.7234782608695647,0.5551462398315131,2.209130434782609,1.290869565217391,0.40249678998502375,2.552173913043478,0.947826086956522,0.1039258640560016,2.795217391304348,0.7047826086956519,0.013551755714929534,49256214828.7987,0.6610904613164612,11707722927.962,0.6989301352967227,87.3618752869242,-0.25282763749432347,1.3,-0.6887853176191677,0.7,-0.6542563405940579
15,MN,ST. PAUL,2017-12,3.64,Improvements_Additions for Apartments_Coops,1.3144094736842107,2.325590526315789,0.321307937156813,1.3913115789473685,2.2486884210526314,0.31948697949593924,1.4850410526315792,2.1549589473684208,0.33844908090252424,1.5354463157894738,2.1045536842105266,0.3621098215639267,1.6017521052631578,2.038247894736842,0.4006040193256776,1.7680373684210524,1.8719626315789477,0.42213763856499875,2.0434931578947366,1.5965068421052635,0.4101964294921251,1.204,2.436,0.31355121713151174,1.4950000000000003,2.1449999999999996,0.36350328229931894,1.7005,1.9395000000000002,0.3873819997580046,2.1819999999999995,1.4580000000000006,0.5551462398315131,2.4025,1.2375000000000003,0.40249678998502375,2.5970000000000004,1.0429999999999997,0.1039258640560016,2.768,0.8720000000000003,0.013551755714929534,49589347299.2381,0.6610904613164612,11725018303.5706,0.6989301352967227,88.50967086025801,-0.25282763749432347,1.4,-0.6887853176191677,0.6,-0.6542563405940579
16,MN,ST. PAUL,2018-01,3.73,Improvements_Additions for Apartments_Coops,1.4378880952380952,2.2921119047619047,0.321307937156813,1.467563181818182,2.262436818181818,0.31948697949593924,1.5610881818181819,2.168911818181818,0.33844908090252424,1.6355336363636364,2.0944663636363634,0.3621098215639267,1.733970909090909,1.996029090909091,0.4006040193256776,1.9067609090909092,1.8232390909090908,0.42213763856499875,2.196459545454545,1.533540454545455,0.4101964294921251,1.3000000000000003,2.4299999999999997,0.31355121713151174,1.6199999999999994,2.1100000000000003,0.36350328229931894,1.8028571428571425,1.9271428571428575,0.3873819997580046,2.381904761904762,1.348095238095238,0.5551462398315131,2.5838095238095242,1.1461904761904758,0.40249678998502375,2.7342857142857144,0.9957142857142856,0.1039258640560016,2.8776190476190475,0.8523809523809525,0.013551755714929534,49574400061.0285,0.6610904613164612,12344213844.2875,0.6989301352967227,88.437943439718,-0.25282763749432347,1.6,-0.6887853176191677,0.6,-0.6542563405940579
17,MN,ST. PAUL,2018-04,4.25,Improvements_Additions for Apartments_Coops,1.7027510000000003,2.547249,0.321307937156813,1.7432829999999995,2.5067170000000005,0.31948697949593924,1.896724,2.353276,0.33844908090252424,2.0408605,2.2091395,0.3621098215639267,2.349426,1.9005740000000002,0.4006040193256776,2.493657999999999,1.756342000000001,0.42213763856499875,2.7355454999999997,1.5144545000000003,0.4101964294921251,1.6604761904761904,2.5895238095238096,0.31355121713151174,1.9780952380952381,2.2719047619047616,0.36350328229931894,2.153809523809524,2.096190476190476,0.3873819997580046,2.701904761904762,1.5480952380952382,0.5551462398315131,2.869047619047619,1.380952380952381,0.40249678998502375,2.9595238095238092,1.2904761904761908,0.1039258640560016,3.0719047619047624,1.1780952380952376,0.013551755714929534,50407042046.8076,0.6610904613164612,13062636860.3963,0.6989301352967227,89.25060298401242,-0.25282763749432347,1.0,-0.6887853176191677,0.6,-0.6542563405940579
