,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(1),Corr with auto_vol(1),student_vol(-2),Corr with student_vol(-2),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-3),Corr with mortgage 90(-3)
0,SAN DIEGO,2010-08,3.76,Improvements_Additions for Apartments_Coops,0.23101619047619049,3.528983809523809,0.24603472084805877,0.2659952380952381,3.494004761904762,0.2496512290419353,0.27546238095238096,3.484537619047619,0.24881675078106916,0.3123080952380952,3.4476919047619043,0.24134830094598228,0.3625466666666667,3.397453333333333,0.22864531171791852,0.5790957142857143,3.1809042857142855,0.17467817229377602,0.9435780952380955,2.816421904761904,0.13731186517239857,0.15409090909090908,3.6059090909090905,0.27717072008080335,0.19136363636363637,3.5686363636363634,0.25403122565003944,0.25909090909090904,3.500909090909091,0.2587305893916856,1.4654545454545451,2.294545454545455,0.5805232431443546,2.6986363636363637,1.061363636363636,0.49313694200187413,3.516818181818181,0.2431818181818186,0.26962635390698997,3.8031818181818178,-0.04318181818181799,0.2158965489906785,29826615528.9652,0.3000142657068062,11833891080.8667,-0.46274172270351516,92.4549564204629,-0.38832412820132706,2.6,-0.3411209004349992,5.8,-0.18978477841035293
1,SAN DIEGO,2010-09,3.65,Improvements_Additions for Apartments_Coops,0.22657136363636363,3.4234286363636364,0.24603472084805877,0.251059090909091,3.398940909090909,0.2496512290419353,0.25699454545454536,3.3930054545454547,0.24881675078106916,0.2738163636363636,3.376183636363636,0.24134830094598228,0.2913659090909092,3.358634090909091,0.22864531171791852,0.4777727272727273,3.1722272727272727,0.17467817229377602,0.8043745454545456,2.8456254545454542,0.13731186517239857,0.1166666666666667,3.533333333333333,0.27717072008080335,0.19333333333333336,3.4566666666666666,0.25403122565003944,0.2566666666666666,3.3933333333333335,0.2587305893916856,1.4104761904761904,2.2395238095238095,0.5805232431443546,2.6476190476190475,1.0023809523809524,0.49313694200187413,3.4690476190476183,0.18095238095238164,0.26962635390698997,3.773333333333333,-0.12333333333333307,0.2158965489906785,30512069858.4251,0.3000142657068062,10534224377.9144,-0.46274172270351516,92.8594669911348,-0.38832412820132706,2.6,-0.3411209004349992,5.5,-0.18978477841035293
2,SAN DIEGO,2012-08,2.73,Improvements_Additions for Apartments_Coops,0.15374090909090915,2.5762590909090908,0.24603472084805877,0.18745454545454548,2.5425454545454547,0.2496512290419353,0.23783863636363634,2.4921613636363635,0.24881675078106916,0.3331136363636364,2.3968863636363635,0.24134830094598228,0.43259999999999993,2.2974,0.22864531171791852,0.7177749999999997,2.0122250000000004,0.17467817229377602,1.0426272727272727,1.6873727272727272,0.13731186517239857,0.09217391304347829,2.6378260869565215,0.27717072008080335,0.14043478260869566,2.5895652173913044,0.25403122565003944,0.18347826086956526,2.546521739130435,0.2587305893916856,0.7139130434782609,2.016086956521739,0.5805232431443546,1.6782608695652175,1.0517391304347825,0.49313694200187413,2.3978260869565218,0.3321739130434782,0.26962635390698997,2.7708695652173914,-0.04086956521739138,0.2158965489906785,37571290060.6541,0.3000142657068062,14585937143.4485,-0.46274172270351516,90.37816904639429,-0.38832412820132706,2.2,-0.3411209004349992,3.2,-0.18978477841035293
3,SAN DIEGO,2012-12,2.63,Improvements_Additions for Apartments_Coops,0.1631578947368421,2.466842105263158,0.24603472084805877,0.1875157894736842,2.442484210526316,0.2496512290419353,0.21092631578947374,2.419073684210526,0.24881675078106916,0.2552894736842105,2.3747105263157895,0.24134830094598228,0.30947368421052623,2.3205263157894738,0.22864531171791852,0.5145657894736843,2.1154342105263155,0.17467817229377602,0.8483157894736841,1.7816842105263158,0.13731186517239857,0.039500000000000014,2.5905,0.27717072008080335,0.11950000000000005,2.5105,0.25403122565003944,0.1585,2.4715,0.2587305893916856,0.6960000000000001,1.9339999999999997,0.5805232431443546,1.7189999999999999,0.911,0.49313694200187413,2.4675000000000002,0.16249999999999964,0.26962635390698997,2.8835,-0.2535000000000003,0.2158965489906785,39268596272.9965,0.3000142657068062,12022315813.7363,-0.46274172270351516,88.794109524791,-0.38832412820132706,2.2,-0.3411209004349992,2.8,-0.18978477841035293
4,SAN DIEGO,2013-10,3.79,Improvements_Additions for Apartments_Coops,0.10426086956521738,3.685739130434783,0.24603472084805877,0.13668260869565219,3.653317391304348,0.2496512290419353,0.17241521739130433,3.6175847826086955,0.24881675078106916,0.21265,3.57735,0.24134830094598228,0.2417652173913043,3.548234782608696,0.22864531171791852,0.36121521739130424,3.428784782608696,0.17467817229377602,0.6177847826086957,3.1722152173913045,0.13731186517239857,0.1059090909090909,3.684090909090909,0.27717072008080335,0.07590909090909094,3.714090909090909,0.25403122565003944,0.12136363636363635,3.6686363636363635,0.2587305893916856,1.366818181818182,2.423181818181818,0.5805232431443546,2.615909090909091,1.1740909090909089,0.49313694200187413,3.3795454545454544,0.4104545454545456,0.26962635390698997,3.6759090909090903,0.11409090909090969,0.2158965489906785,41658198449.9001,0.3000142657068062,10210246554.7955,-0.46274172270351516,85.3165844012547,-0.38832412820132706,1.7,-0.3411209004349992,1.6,-0.18978477841035293
5,SAN DIEGO,2014-02,4.205,Improvements_Additions for Apartments_Coops,0.08627,4.11873,0.24603472084805877,0.11939250000000004,4.0856075,0.2496512290419353,0.155105,4.049895,0.24881675078106916,0.19663749999999997,4.0083625000000005,0.24134830094598228,0.23520249999999998,3.9697975000000003,0.22864531171791852,0.3308,3.8742,0.17467817229377602,0.554605,3.650395,0.13731186517239857,0.046842105263157914,4.158157894736842,0.27717072008080335,0.08105263157894738,4.123947368421053,0.25403122565003944,0.11684210526315793,4.088157894736842,0.2587305893916856,1.5157894736842106,2.6892105263157893,0.5805232431443546,2.7094736842105265,1.4955263157894736,0.49313694200187413,3.3847368421052626,0.8202631578947375,0.26962635390698997,3.6626315789473685,0.5423684210526316,0.2158965489906785,44555116847.5878,0.3000142657068062,9402239044.86975,-0.46274172270351516,82.56600445924391,-0.38832412820132706,1.4,-0.3411209004349992,1.6,-0.18978477841035293
6,SAN DIEGO,2014-05,3.65,Improvements_Additions for Apartments_Coops,0.08842000000000001,3.5615799999999997,0.24603472084805877,0.1198375,3.5301625,0.2496512290419353,0.15035749999999998,3.4996424999999998,0.24881675078106916,0.1914675,3.4585325,0.24134830094598228,0.22609000000000004,3.42391,0.22864531171791852,0.3231200000000001,3.32688,0.17467817229377602,0.537955,3.112045,0.13731186517239857,0.026666666666666665,3.623333333333333,0.27717072008080335,0.05190476190476192,3.598095238095238,0.25403122565003944,0.0966666666666667,3.5533333333333332,0.2587305893916856,1.5928571428571427,2.057142857142857,0.5805232431443546,2.559047619047619,1.090952380952381,0.49313694200187413,3.1152380952380954,0.5347619047619045,0.26962635390698997,3.3899999999999997,0.26000000000000023,0.2158965489906785,43938467193.2505,0.3000142657068062,10653400066.5467,-0.46274172270351516,81.64661519553,-0.38832412820132706,1.5,-0.3411209004349992,1.4,-0.18978477841035293
7,SAN DIEGO,2014-06,3.88,Improvements_Additions for Apartments_Coops,0.09278571428571428,3.7872142857142856,0.24603472084805877,0.12241428571428574,3.7575857142857143,0.2496512290419353,0.1523738095238095,3.7276261904761903,0.24881675078106916,0.19377380952380954,3.6862261904761904,0.24134830094598228,0.2309452380952381,3.649054761904762,0.22864531171791852,0.32388809523809525,3.5561119047619045,0.17467817229377602,0.5421714285714285,3.337828571428571,0.13731186517239857,0.024285714285714296,3.8557142857142854,0.27717072008080335,0.06047619047619051,3.8195238095238095,0.25403122565003944,0.10476190476190479,3.775238095238095,0.2587305893916856,1.679047619047619,2.2009523809523808,0.5805232431443546,2.5985714285714288,1.2814285714285711,0.49313694200187413,3.1533333333333333,0.7266666666666666,0.26962635390698997,3.4199999999999995,0.4600000000000004,0.2158965489906785,44931729222.7983,0.3000142657068062,11032404366.8063,-0.46274172270351516,81.06604477988621,-0.38832412820132706,1.2,-0.3411209004349992,1.3,-0.18978477841035293
8,SAN DIEGO,2014-11,4.1,Improvements_Additions for Apartments_Coops,0.09656999999999999,4.00343,0.24603472084805877,0.12222499999999999,3.977775,0.2496512290419353,0.1548075,3.9451924999999997,0.24881675078106916,0.20246,3.89754,0.24134830094598228,0.23286250000000003,3.8671374999999997,0.22864531171791852,0.32679500000000006,3.7732049999999995,0.17467817229377602,0.56206,3.53794,0.13731186517239857,0.04166666666666668,4.058333333333333,0.27717072008080335,0.06944444444444448,4.030555555555555,0.25403122565003944,0.13444444444444448,3.965555555555555,0.2587305893916856,1.6205555555555557,2.479444444444444,0.5805232431443546,2.325555555555556,1.7744444444444438,0.49313694200187413,2.7644444444444445,1.3355555555555552,0.26962635390698997,3.038333333333333,1.0616666666666665,0.2158965489906785,45241950015.4561,0.3000142657068062,11159124696.1814,-0.46274172270351516,80.33849809561521,-0.38832412820132706,1.4,-0.3411209004349992,1.3,-0.18978477841035293
9,SAN DIEGO,2015-06,3.3875,Improvements_Additions for Apartments_Coops,0.12293636363636364,3.2645636363636363,0.24603472084805877,0.14681590909090908,3.2406840909090913,0.2496512290419353,0.1858840909090909,3.201615909090909,0.24881675078106916,0.23472954545454539,3.152770454545455,0.24134830094598228,0.2827113636363637,3.1047886363636366,0.22864531171791852,0.43974545454545466,2.9477545454545453,0.17467817229377602,0.7702659090909093,2.6172340909090908,0.13731186517239857,0.007727272727272728,3.3797727272727274,0.27717072008080335,0.08681818181818185,3.3006818181818183,0.25403122565003944,0.2754545454545455,3.112045454545455,0.2587305893916856,1.6836363636363636,1.7038636363636366,0.5805232431443546,2.3636363636363638,1.0238636363636364,0.49313694200187413,2.8454545454545452,0.5420454545454549,0.26962635390698997,3.1118181818181814,0.2756818181818188,0.2158965489906785,48668534366.8701,0.3000142657068062,11835194000.8273,-0.46274172270351516,82.89218119322959,-0.38832412820132706,1.1,-0.3411209004349992,1.1,-0.18978477841035293
