,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(2),Corr with auto_vol(2),student_vol(1),Corr with student_vol(1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90,Corr with mortgage 90
0,TX,AUSTIN,2010-02,5.56,Improvements_Additions for Apartments_Coops,0.172487,5.387512999999999,0.43160302022968267,0.20809400000000006,5.351906,0.43222273918568,0.22906349999999992,5.3309365,0.42617520300123773,0.23978050000000012,5.320219499999999,0.40884879898917525,0.25051950000000006,5.309480499999999,0.3837833490064672,0.38779850000000005,5.1722015,0.325540817599476,0.8515799999999999,4.708419999999999,0.32070615223238597,0.05736842105263157,5.502631578947368,0.4444218599532519,0.18105263157894735,5.378947368421052,0.42597859708023716,0.34578947368421054,5.214210526315789,0.4234952844330036,2.363684210526315,3.1963157894736844,0.6569052311341484,3.691052631578947,1.8689473684210527,0.7540493702739711,4.481052631578947,1.0789473684210522,0.6451768885484426,4.619473684210526,0.9405263157894739,0.5354340489271826,27606233351.339,-0.1668079285529292,14217328271.8582,0.3873924317290041,101.129830992893,0.36320212171975047,3.6,0.12690167452796025,2.7,0.09786200767881206
1,TX,AUSTIN,2011-12,3.6199999999999997,Improvements_Additions for Apartments_Coops,0.1499335,3.4700664999999997,0.43160302022968267,0.2029985,3.4170014999999996,0.43222273918568,0.2836085,3.3363914999999995,0.42617520300123773,0.40829250000000006,3.2117074999999997,0.40884879898917525,0.5557375,3.0642625,0.3837833490064672,0.7798775000000001,2.8401224999999997,0.325540817599476,1.1003555000000003,2.519644499999999,0.32070615223238597,0.0033333333333333335,3.6166666666666663,0.4444218599532519,0.048571428571428585,3.571428571428571,0.42597859708023716,0.11523809523809528,3.5047619047619043,0.4234952844330036,0.8914285714285713,2.728571428571428,0.6569052311341484,1.9780952380952384,1.6419047619047613,0.7540493702739711,2.6676190476190476,0.9523809523809521,0.6451768885484426,2.9823809523809524,0.6376190476190473,0.5354340489271826,35532707747.113,-0.1668079285529292,11510278467.2037,0.3873924317290041,88.33905735772379,0.36320212171975047,3.1,0.12690167452796025,2.2,0.09786200767881206
2,TX,AUSTIN,2012-07,2.88,Improvements_Additions for Apartments_Coops,0.16720454545454547,2.7127954545454545,0.43160302022968267,0.19873636363636368,2.6812636363636364,0.43222273918568,0.24646136363636365,2.633538636363636,0.42617520300123773,0.34024999999999994,2.5397499999999997,0.40884879898917525,0.4535545454545455,2.4264454545454543,0.3837833490064672,0.7302181818181818,2.1497818181818182,0.325540817599476,1.0653181818181816,1.8146818181818183,0.32070615223238597,0.06952380952380956,2.8104761904761904,0.4444218599532519,0.14571428571428574,2.734285714285714,0.42597859708023716,0.18571428571428572,2.694285714285714,0.4234952844330036,0.6195238095238095,2.2604761904761905,0.6569052311341484,1.5266666666666664,1.3533333333333335,0.7540493702739711,2.217142857142857,0.6628571428571428,0.6451768885484426,2.5900000000000003,0.2899999999999996,0.5354340489271826,37571290060.6541,-0.1668079285529292,11986368496.8635,0.3873924317290041,90.0868950067716,0.36320212171975047,2.5,0.12690167452796025,2.0,0.09786200767881206
3,TX,AUSTIN,2012-08,2.41,Improvements_Additions for Apartments_Coops,0.15374090909090915,2.256259090909091,0.43160302022968267,0.18745454545454548,2.222545454545455,0.43222273918568,0.23783863636363634,2.1721613636363637,0.42617520300123773,0.3331136363636364,2.0768863636363637,0.40884879898917525,0.43259999999999993,1.9774000000000003,0.3837833490064672,0.7177749999999997,1.6922250000000005,0.325540817599476,1.0426272727272727,1.3673727272727274,0.32070615223238597,0.09217391304347829,2.3178260869565217,0.4444218599532519,0.14043478260869566,2.2695652173913046,0.42597859708023716,0.18347826086956526,2.226521739130435,0.4234952844330036,0.7139130434782609,1.6960869565217394,0.6569052311341484,1.6782608695652175,0.7317391304347827,0.7540493702739711,2.3978260869565218,0.012173913043478368,0.6451768885484426,2.7708695652173914,-0.3608695652173912,0.5354340489271826,37685204803.0042,-0.1668079285529292,11631947675.6117,0.3873924317290041,89.00857713430821,0.36320212171975047,2.8,0.12690167452796025,1.8,0.09786200767881206
4,TX,AUSTIN,2012-09,2.89,Improvements_Additions for Apartments_Coops,0.15189500000000006,2.738105,0.43160302022968267,0.183625,2.706375,0.43222273918568,0.22133750000000002,2.6686625,0.42617520300123773,0.3079875,2.5820125000000003,0.40884879898917525,0.3856325000000001,2.5043675,0.3837833490064672,0.6716749999999999,2.218325,0.325540817599476,0.9997750000000002,1.890225,0.32070615223238597,0.07526315789473685,2.814736842105263,0.4444218599532519,0.13736842105263158,2.7526315789473683,0.42597859708023716,0.17578947368421055,2.7142105263157896,0.4234952844330036,0.6689473684210526,2.2210526315789476,0.6569052311341484,1.7231578947368422,1.166842105263158,0.7540493702739711,2.488421052631579,0.40157894736842126,0.6451768885484426,2.8815789473684212,0.008421052631578885,0.5354340489271826,38410438812.4053,-0.1668079285529292,12022315813.7363,0.3873924317290041,89.6038877472871,0.36320212171975047,2.6,0.12690167452796025,1.7,0.09786200767881206
5,TX,AUSTIN,2012-10,3.35,Improvements_Additions for Apartments_Coops,0.15320434782608702,3.196795652173913,0.43160302022968267,0.17955217391304346,3.1704478260869564,0.43222273918568,0.21346521739130433,3.136534782608696,0.42617520300123773,0.2717391304347827,3.0782608695652174,0.40884879898917525,0.3304891304347827,3.0195108695652175,0.3837833490064672,0.5823021739130435,2.7676978260869567,0.325540817599476,0.9185760869565219,2.4314239130434783,0.32070615223238597,0.10952380952380951,3.2404761904761905,0.4444218599532519,0.14904761904761904,3.200952380952381,0.42597859708023716,0.17952380952380956,3.1704761904761907,0.4234952844330036,0.7085714285714285,2.6414285714285715,0.6569052311341484,1.7461904761904758,1.6038095238095242,0.7540493702739711,2.505714285714286,0.8442857142857143,0.6451768885484426,2.90047619047619,0.4495238095238099,0.5354340489271826,38808856509.5085,-0.1668079285529292,10740081615.3953,0.3873924317290041,89.56768058609659,0.36320212171975047,2.8,0.12690167452796025,1.7,0.09786200767881206
6,TX,AUSTIN,2013-02,3.75,Improvements_Additions for Apartments_Coops,0.15464999999999998,3.59535,0.43160302022968267,0.17315,3.57685,0.43222273918568,0.20129999999999998,3.5487,0.42617520300123773,0.2455,3.5045,0.40884879898917525,0.29049499999999995,3.459505,0.3837833490064672,0.463425,3.286575,0.325540817599476,0.761875,2.988125,0.32070615223238597,0.0768421052631579,3.673157894736842,0.4444218599532519,0.12421052631578947,3.6257894736842107,0.42597859708023716,0.15736842105263157,3.5926315789473686,0.4234952844330036,0.8463157894736841,2.9036842105263156,0.6569052311341484,1.9842105263157896,1.7657894736842104,0.7540493702739711,2.782631578947368,0.9673684210526319,0.6451768885484426,3.165263157894737,0.5847368421052632,0.5354340489271826,40395555554.9932,-0.1668079285529292,9855625468.0504,0.3873924317290041,90.37816904639429,0.36320212171975047,2.9,0.12690167452796025,1.6,0.09786200767881206
7,TX,AUSTIN,2013-04,3.03,Improvements_Additions for Apartments_Coops,0.1539047619047619,2.876095238095238,0.43160302022968267,0.17210476190476193,2.857895238095238,0.43222273918568,0.19953333333333334,2.8304666666666662,0.42617520300123773,0.24005714285714277,2.789942857142857,0.40884879898917525,0.27714285714285714,2.7528571428571427,0.3837833490064672,0.4360190476190476,2.593980952380952,0.325540817599476,0.7168333333333334,2.3131666666666666,0.32070615223238597,0.049090909090909116,2.9809090909090905,0.4444218599532519,0.09409090909090913,2.9359090909090906,0.42597859708023716,0.12454545454545456,2.9054545454545453,0.4234952844330036,0.7104545454545454,2.3195454545454544,0.6569052311341484,1.7590909090909093,1.2709090909090905,0.7540493702739711,2.5500000000000003,0.47999999999999954,0.6451768885484426,2.9327272727272726,0.09727272727272718,0.5354340489271826,41507587847.7023,-0.1668079285529292,9498561196.652071,0.3873924317290041,89.2801736441717,0.36320212171975047,2.8,0.12690167452796025,1.5,0.09786200767881206
8,TX,AUSTIN,2013-05,3.25,Improvements_Additions for Apartments_Coops,0.1435047619047619,3.106495238095238,0.43160302022968267,0.1638380952380952,3.0861619047619047,0.43222273918568,0.19670952380952378,3.053290476190476,0.42617520300123773,0.23396000000000003,3.01604,0.40884879898917525,0.27416904761904765,2.9758309523809525,0.3837833490064672,0.42137333333333327,2.8286266666666666,0.325540817599476,0.6936104761904763,2.5563895238095236,0.32070615223238597,0.020454545454545458,3.2295454545454545,0.4444218599532519,0.08090909090909093,3.169090909090909,0.42597859708023716,0.11863636363636366,3.1313636363636363,0.4234952844330036,0.840909090909091,2.409090909090909,0.6569052311341484,1.9281818181818182,1.3218181818181818,0.7540493702739711,2.7286363636363635,0.5213636363636365,0.6451768885484426,3.112727272727273,0.1372727272727272,0.5354340489271826,41471481477.9035,-0.1668079285529292,9260696074.4491,0.3873924317290041,91.578064558499,0.36320212171975047,2.7,0.12690167452796025,1.4,0.09786200767881206
9,TX,AUSTIN,2013-07,3.5999999999999996,Improvements_Additions for Apartments_Coops,0.12117913043478262,3.478820869565217,0.43160302022968267,0.15611695652173913,3.4438830434782606,0.43222273918568,0.19111913043478265,3.408880869565217,0.42617520300123773,0.232388695652174,3.3676113043478257,0.40884879898917525,0.26758260869565215,3.3324173913043476,0.3837833490064672,0.40307869565217386,3.1969213043478257,0.325540817599476,0.6838491304347826,2.916150869565217,0.32070615223238597,0.020909090909090912,3.5790909090909087,0.4444218599532519,0.07363636363636367,3.526363636363636,0.42597859708023716,0.12181818181818184,3.4781818181818176,0.4234952844330036,1.4031818181818183,2.1968181818181813,0.6569052311341484,2.5822727272727275,1.0177272727272721,0.7540493702739711,3.3072727272727276,0.29272727272727206,0.6451768885484426,3.605,-0.0050000000000003375,0.5354340489271826,41062625933.5941,-0.1668079285529292,10210246554.7955,0.3873924317290041,88.920473853359,0.36320212171975047,2.3,0.12690167452796025,1.3,0.09786200767881206
