,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(2),Corr with auto_vol(2),student_vol(4),Corr with student_vol(4),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-2),Corr with mortgage 30-89(-2),mortgage 90(-1),Corr with mortgage 90(-1)
0,BATON ROUGE,2010-01,5.08,Improvements_Additions for Apartments_Coops,0.172129,4.907871,0.3228829245331617,0.207845,4.872155,0.3290166690133243,0.23159750000000004,4.8484025,0.3341596183187946,0.24093950000000003,4.8390605,0.3210215780172252,0.25011950000000005,4.8298805,0.3091040438279394,0.39936099999999997,4.680639,0.2519793473068623,0.8985025,4.1814975,0.24654779326429008,0.022631578947368423,5.057368421052631,0.3479160850633976,0.14842105263157898,4.931578947368421,0.3285680744162699,0.3457894736842104,4.73421052631579,0.336420248210896,2.4842105263157896,2.5957894736842104,0.6535156012642581,3.7331578947368427,1.3468421052631574,0.7204823665841622,4.501578947368422,0.5784210526315778,0.5684549504361133,4.604736842105263,0.4752631578947373,0.47040969097404894,27482962505.147003,-0.08914149692292911,11978266411.3233,0.30128838413901,103.99632208797199,0.22776267396378672,5.0,0.08518307121727324,3.8,0.1169574790570947
1,BATON ROUGE,2011-07,3.4,Improvements_Additions for Apartments_Coops,0.12388095238095237,3.2761190476190474,0.3228829245331617,0.1598857142857143,3.2401142857142857,0.3290166690133243,0.18661904761904766,3.2133809523809522,0.3341596183187946,0.2182333333333334,3.1817666666666664,0.3210215780172252,0.24991190476190472,3.150088095238095,0.3091040438279394,0.41392857142857137,2.9860714285714285,0.2519793473068623,0.7452261904761905,2.6547738095238094,0.24654779326429008,0.037500000000000006,3.3625,0.3479160850633976,0.08400000000000002,3.316,0.3285680744162699,0.185,3.215,0.336420248210896,1.541,1.859,0.6535156012642581,3.003,0.3969999999999998,0.7204823665841622,3.9475000000000002,-0.5475000000000003,0.5684549504361133,4.2705,-0.8705000000000003,0.47040969097404894,33690910289.8878,-0.08914149692292911,11784187253.6333,0.30128838413901,91.59671843464591,0.22776267396378672,3.9,0.08518307121727324,3.5,0.1169574790570947
2,BATON ROUGE,2012-05,3.74,Improvements_Additions for Apartments_Coops,0.15161363636363637,3.588386363636364,0.3228829245331617,0.19053181818181822,3.549468181818182,0.3290166690133243,0.23893181818181805,3.5010681818181824,0.3341596183187946,0.3457045454545453,3.394295454545455,0.3210215780172252,0.4665318181818183,3.273468181818182,0.3091040438279394,0.732990909090909,3.007009090909091,0.2519793473068623,1.0615068181818177,2.6784931818181823,0.24654779326429008,0.06590909090909093,3.6740909090909093,0.3479160850633976,0.14545454545454548,3.5945454545454547,0.3285680744162699,0.19181818181818186,3.5481818181818183,0.336420248210896,0.7618181818181818,2.9781818181818185,0.6535156012642581,1.8031818181818189,1.9368181818181813,0.7204823665841622,2.525909090909091,1.2140909090909093,0.5684549504361133,2.930909090909091,0.8090909090909091,0.47040969097404894,36601383816.48,-0.08914149692292911,11631947675.6117,0.30128838413901,90.7743282432688,0.22776267396378672,4.3,0.08518307121727324,3.0,0.1169574790570947
3,BATON ROUGE,2012-09,2.35,Improvements_Additions for Apartments_Coops,0.15189500000000006,2.198105,0.3228829245331617,0.183625,2.166375,0.3290166690133243,0.22133750000000002,2.1286625,0.3341596183187946,0.3079875,2.0420125000000002,0.3210215780172252,0.3856325000000001,1.9643675,0.3091040438279394,0.6716749999999999,1.678325,0.2519793473068623,0.9997750000000002,1.350225,0.24654779326429008,0.07526315789473685,2.274736842105263,0.3479160850633976,0.13736842105263158,2.2126315789473683,0.3285680744162699,0.17578947368421055,2.1742105263157896,0.336420248210896,0.6689473684210526,1.6810526315789476,0.6535156012642581,1.7231578947368422,0.6268421052631579,0.7204823665841622,2.488421052631579,-0.13842105263157878,0.5684549504361133,2.8815789473684212,-0.5315789473684212,0.47040969097404894,38410438812.4053,-0.08914149692292911,11154944519.578999,0.30128838413901,89.6038877472871,0.22776267396378672,4.7,0.08518307121727324,3.1,0.1169574790570947
4,BATON ROUGE,2012-12,2.83,Improvements_Additions for Apartments_Coops,0.1631578947368421,2.666842105263158,0.3228829245331617,0.1875157894736842,2.642484210526316,0.3290166690133243,0.21092631578947374,2.619073684210526,0.3341596183187946,0.2552894736842105,2.5747105263157897,0.3210215780172252,0.30947368421052623,2.520526315789474,0.3091040438279394,0.5145657894736843,2.3154342105263157,0.2519793473068623,0.8483157894736841,1.981684210526316,0.24654779326429008,0.039500000000000014,2.7905,0.3479160850633976,0.11950000000000005,2.7105,0.3285680744162699,0.1585,2.6715,0.336420248210896,0.6960000000000001,2.134,0.6535156012642581,1.7189999999999999,1.1110000000000002,0.7204823665841622,2.4675000000000002,0.3624999999999998,0.5684549504361133,2.8835,-0.0535000000000001,0.47040969097404894,39658399389.4891,-0.08914149692292911,9123117418.53368,0.30128838413901,89.6061116730853,0.22776267396378672,4.5,0.08518307121727324,3.0,0.1169574790570947
5,BATON ROUGE,2013-05,3.57,Improvements_Additions for Apartments_Coops,0.1435047619047619,3.426495238095238,0.3228829245331617,0.1638380952380952,3.4061619047619045,0.3290166690133243,0.19670952380952378,3.3732904761904763,0.3341596183187946,0.23396000000000003,3.3360399999999997,0.3210215780172252,0.27416904761904765,3.2958309523809524,0.3091040438279394,0.42137333333333327,3.1486266666666665,0.2519793473068623,0.6936104761904763,2.8763895238095234,0.24654779326429008,0.020454545454545458,3.5495454545454543,0.3479160850633976,0.08090909090909093,3.489090909090909,0.3285680744162699,0.11863636363636366,3.451363636363636,0.336420248210896,0.840909090909091,2.7290909090909086,0.6535156012642581,1.9281818181818182,1.6418181818181816,0.7204823665841622,2.7286363636363635,0.8413636363636363,0.5684549504361133,3.112727272727273,0.45727272727272705,0.47040969097404894,41471481477.9035,-0.08914149692292911,10216278752.7557,0.30128838413901,91.578064558499,0.22776267396378672,4.0,0.08518307121727324,2.8,0.1169574790570947
6,BATON ROUGE,2013-07,3.84,Improvements_Additions for Apartments_Coops,0.12117913043478262,3.718820869565217,0.3228829245331617,0.15611695652173913,3.683883043478261,0.3290166690133243,0.19111913043478265,3.6488808695652173,0.3341596183187946,0.232388695652174,3.607611304347826,0.3210215780172252,0.26758260869565215,3.5724173913043478,0.3091040438279394,0.40307869565217386,3.436921304347826,0.2519793473068623,0.6838491304347826,3.1561508695652174,0.24654779326429008,0.020909090909090912,3.819090909090909,0.3479160850633976,0.07363636363636367,3.766363636363636,0.3285680744162699,0.12181818181818184,3.718181818181818,0.336420248210896,1.4031818181818183,2.4368181818181816,0.6535156012642581,2.5822727272727275,1.2577272727272724,0.7204823665841622,3.3072727272727276,0.5327272727272723,0.5684549504361133,3.605,0.23499999999999988,0.47040969097404894,41062625933.5941,-0.08914149692292911,10396023519.0372,0.30128838413901,88.920473853359,0.22776267396378672,4.0,0.08518307121727324,2.5,0.1169574790570947
7,BATON ROUGE,2013-12,5.15,Improvements_Additions for Apartments_Coops,0.10022500000000001,5.049775,0.3228829245331617,0.1273025,5.0226975000000005,0.3290166690133243,0.16723,4.98277,0.3341596183187946,0.2127325,4.937267500000001,0.3210215780172252,0.24389749999999996,4.9061025,0.3091040438279394,0.34639499999999995,4.803605,0.2519793473068623,0.579045,4.5709550000000005,0.24654779326429008,0.019047619047619053,5.130952380952381,0.3479160850633976,0.09523809523809526,5.0547619047619055,0.3285680744162699,0.13285714285714287,5.017142857142858,0.336420248210896,1.5761904761904764,3.573809523809524,0.6535156012642581,2.901904761904762,2.2480952380952384,0.7204823665841622,3.6266666666666674,1.523333333333333,0.5684549504361133,3.889047619047619,1.2609523809523813,0.47040969097404894,43204378466.7468,-0.08914149692292911,11032404366.8063,0.30128838413901,88.1059676388142,0.22776267396378672,4.1,0.08518307121727324,2.7,0.1169574790570947
8,BATON ROUGE,2014-07,3.875,Improvements_Additions for Apartments_Coops,0.09286956521739129,3.7821304347826086,0.3228829245331617,0.12270652173913045,3.7522934782608695,0.3290166690133243,0.15438695652173914,3.7206130434782607,0.3341596183187946,0.1955586956521739,3.6794413043478262,0.3210215780172252,0.23417391304347826,3.6408260869565217,0.3091040438279394,0.32826086956521744,3.5467391304347826,0.2519793473068623,0.5557695652173912,3.3192304347826087,0.24654779326429008,0.024090909090909093,3.850909090909091,0.3479160850633976,0.059545454545454575,3.8154545454545454,0.3285680744162699,0.11136363636363639,3.7636363636363637,0.336420248210896,1.699545454545455,2.175454545454545,0.6535156012642581,2.542272727272727,1.332727272727273,0.7204823665841622,3.071363636363636,0.8036363636363641,0.5684549504361133,3.3318181818181816,0.5431818181818184,0.47040969097404894,44885858708.7515,-0.08914149692292911,11357071284.6333,0.30128838413901,80.910251046009,0.22776267396378672,3.6,0.08518307121727324,2.3,0.1169574790570947
9,BATON ROUGE,2014-10,4.08,Improvements_Additions for Apartments_Coops,0.09059565217391304,3.989404347826087,0.3228829245331617,0.11953260869565213,3.960467391304348,0.3290166690133243,0.15351739130434783,3.926482608695652,0.3341596183187946,0.1974043478260869,3.8825956521739133,0.3210215780172252,0.2313760869565217,3.8486239130434785,0.3091040438279394,0.3236195652173913,3.7563804347826086,0.2519793473068623,0.5523869565217392,3.5276130434782607,0.24654779326429008,0.020909090909090912,4.0590909090909095,0.3479160850633976,0.05045454545454548,4.029545454545454,0.3285680744162699,0.10454545454545458,3.9754545454545456,0.336420248210896,1.5459090909090911,2.534090909090909,0.6535156012642581,2.304090909090909,1.7759090909090909,0.7204823665841622,2.7731818181818184,1.3068181818181817,0.5684549504361133,3.039999999999999,1.040000000000001,0.47040969097404894,45241950015.4561,-0.08914149692292911,11837215038.8922,0.30128838413901,81.9669757663089,0.22776267396378672,3.8,0.08518307121727324,2.6,0.1169574790570947
