,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(4),Corr with student_vol(4),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-3),Corr with mortgage 90(-3),long,lat
0,2010-03,NC,CHARLOTTE,2010-03,4.29,"(-80.8181276, 35.2222027)",129411.6,Improvements_Additions for Apartments_Coops,0.20298217391304352,0.29149121952092666,0.22118086956521738,0.291161548215533,0.23731173913043485,0.2928016608099188,0.25031173913043475,0.2916469176842284,0.2684247826086957,0.28061550107562516,0.41060652173913054,0.2405680024518395,0.8732952173913044,0.22562252848553022,0.11652173913043477,0.2999140745090344,0.22565217391304354,0.2867929193685194,0.3956521739130435,0.28539295877270676,2.433043478260869,0.49505966886028363,3.7273913043478255,0.5304648108162549,4.489130434782608,0.4084958495185558,4.644782608695651,0.33292916186202604,28389074974.2894,-0.0827058002515327,10534224377.9144,0.29389247417600994,96.8995739482615,0.15655276847230665,5.2,-0.15209998782553755,4.6,-0.1784452511123107,-80.8181276,35.2222027
1,2010-07,NC,CHARLOTTE,2010-07,4.59,"(-80.810824, 35.282621999999996)",10669.16,Improvements_Additions for Apartments_Coops,0.26711500000000005,0.29149121952092666,0.31483090909090916,0.291161548215533,0.3341213636363637,0.2928016608099188,0.41480272727272727,0.2916469176842284,0.5103277272727272,0.28061550107562516,0.7185045454545452,0.2405680024518395,1.117797727272727,0.22562252848553022,0.15666666666666668,0.2999140745090344,0.20047619047619053,0.2867929193685194,0.2914285714285714,0.28539295877270676,1.7628571428571433,0.49505966886028363,3.0114285714285716,0.5304648108162549,3.796190476190476,0.4084958495185558,3.994285714285714,0.33292916186202604,30512069858.4251,-0.0827058002515327,11082139451.8714,0.29389247417600994,99.3021234972081,0.15655276847230665,4.4,-0.15209998782553755,4.4,-0.1784452511123107,-80.810824,35.282621999999996
2,2010-08,NC,CHARLOTTE,2010-08,4.08,"(-72.628763, 44.492787)",90015.09,Improvements_Additions for Apartments_Coops,0.23101619047619049,0.29149121952092666,0.2659952380952381,0.291161548215533,0.27546238095238096,0.2928016608099188,0.3123080952380952,0.2916469176842284,0.3625466666666667,0.28061550107562516,0.5790957142857143,0.2405680024518395,0.9435780952380955,0.22562252848553022,0.15409090909090908,0.2999140745090344,0.19136363636363637,0.2867929193685194,0.25909090909090904,0.28539295877270676,1.4654545454545451,0.49505966886028363,2.6986363636363637,0.5304648108162549,3.516818181818181,0.4084958495185558,3.8031818181818178,0.33292916186202604,30207558860.6451,-0.0827058002515327,10792773250.4017,0.29389247417600994,99.0214107435932,0.15655276847230665,4.4,-0.15209998782553755,4.3,-0.1784452511123107,-72.628763,44.492787
3,2011-02,NC,CHARLOTTE,2011-02,3.85,"(-80.744375, 35.223358000000005)",6992.79,Improvements_Additions for Apartments_Coops,0.23214,0.29149121952092666,0.25165,0.291161548215533,0.26292499999999996,0.2928016608099188,0.28731249999999997,0.2916469176842284,0.31189999999999996,0.28061550107562516,0.46404500000000004,0.2405680024518395,0.7933949999999999,0.22562252848553022,0.11473684210526319,0.2999140745090344,0.16842105263157894,0.2867929193685194,0.2863157894736842,0.28539295877270676,2.257894736842106,0.49505966886028363,3.5763157894736834,0.5304648108162549,4.423684210526316,0.4084958495185558,4.652105263157895,0.33292916186202604,31041077337.2648,-0.0827058002515327,12472473242.0863,0.29389247417600994,92.4549564204629,0.15655276847230665,4.8,-0.15209998782553755,4.0,-0.1784452511123107,-80.744375,35.223358000000005
4,2012-04,NC,CHARLOTTE,2012-04,3.19,"(-90.125713, 29.939176)",46640.51,Improvements_Additions for Apartments_Coops,0.14868421052631575,0.29149121952092666,0.18980526315789473,0.291161548215533,0.23982894736842097,0.2928016608099188,0.34777368421052635,0.2916469176842284,0.46680789473684203,0.28061550107562516,0.7313999999999999,0.2405680024518395,1.048621052631579,0.22562252848553022,0.0666666666666667,0.2999140745090344,0.13904761904761903,0.2867929193685194,0.18333333333333335,0.28539295877270676,0.8947619047619045,0.49505966886028363,2.0528571428571425,0.5304648108162549,2.8166666666666664,0.4084958495185558,3.1842857142857137,0.33292916186202604,36601383816.48,-0.0827058002515327,11986368496.8635,0.29389247417600994,90.48744874686929,0.15655276847230665,4.5,-0.15209998782553755,4.0,-0.1784452511123107,-90.125713,29.939176
5,2012-06,NC,CHARLOTTE,2012-06,3.115,"(-80.90538000000001, 35.163447)",59073.44,Improvements_Additions for Apartments_Coops,0.163,0.29149121952092666,0.19464736842105262,0.291161548215533,0.24319736842105263,0.2928016608099188,0.3459342105263157,0.2916469176842284,0.46558684210526313,0.28061550107562516,0.7364000000000004,0.2405680024518395,1.0691894736842107,0.22562252848553022,0.05190476190476193,0.2999140745090344,0.14809523809523809,0.2867929193685194,0.18904761904761905,0.28539295877270676,0.7114285714285714,0.49505966886028363,1.6223809523809525,0.5304648108162549,2.3061904761904763,0.4084958495185558,2.698095238095238,0.33292916186202604,37571290060.6541,-0.0827058002515327,12022315813.7363,0.29389247417600994,90.6452366150782,0.15655276847230665,4.4,-0.15209998782553755,3.7,-0.1784452511123107,-80.90538000000001,35.163447
6,2012-07,NC,CHARLOTTE,2012-07,3.5,"(-91.668644, 45.323336)",13901.53,Improvements_Additions for Apartments_Coops,0.16720454545454547,0.29149121952092666,0.19873636363636368,0.291161548215533,0.24646136363636365,0.2928016608099188,0.34024999999999994,0.2916469176842284,0.4535545454545455,0.28061550107562516,0.7302181818181818,0.2405680024518395,1.0653181818181816,0.22562252848553022,0.06952380952380956,0.2999140745090344,0.14571428571428574,0.2867929193685194,0.18571428571428572,0.28539295877270676,0.6195238095238095,0.49505966886028363,1.5266666666666664,0.5304648108162549,2.217142857142857,0.4084958495185558,2.5900000000000003,0.33292916186202604,37685204803.0042,-0.0827058002515327,10740081615.3953,0.29389247417600994,90.0868950067716,0.15655276847230665,4.1,-0.15209998782553755,3.6,-0.1784452511123107,-91.668644,45.323336
7,2012-10,NC,CHARLOTTE,2012-10,2.66,"(-91.0271931, 30.697966100000002)",60244.69,Improvements_Additions for Apartments_Coops,0.15320434782608702,0.29149121952092666,0.17955217391304346,0.291161548215533,0.21346521739130433,0.2928016608099188,0.2717391304347827,0.2916469176842284,0.3304891304347827,0.28061550107562516,0.5823021739130435,0.2405680024518395,0.9185760869565219,0.22562252848553022,0.10952380952380951,0.2999140745090344,0.14904761904761904,0.2867929193685194,0.17952380952380956,0.28539295877270676,0.7085714285714285,0.49505966886028363,1.7461904761904758,0.5304648108162549,2.505714285714286,0.4084958495185558,2.90047619047619,0.33292916186202604,39268596272.9965,-0.0827058002515327,11080080767.5225,0.29389247417600994,89.56768058609659,0.15655276847230665,4.3,-0.15209998782553755,3.8,-0.1784452511123107,-91.0271931,30.697966100000002
8,2012-11,NC,CHARLOTTE,2012-11,2.33,"(-80.941447, 35.135905)",11506.65,Improvements_Additions for Apartments_Coops,0.1555,0.29149121952092666,0.18060909090909089,0.291161548215533,0.20888636363636362,0.2928016608099188,0.25813636363636355,0.2916469176842284,0.31102272727272723,0.28061550107562516,0.528347727272727,0.2405680024518395,0.8631931818181818,0.22562252848553022,0.12449999999999999,0.2999140745090344,0.14450000000000002,0.2867929193685194,0.17850000000000002,0.28539295877270676,0.665,0.49505966886028363,1.654,0.5304648108162549,2.3894999999999995,0.4084958495185558,2.8034999999999997,0.33292916186202604,39658399389.4891,-0.0827058002515327,9855625468.0504,0.29389247417600994,89.02745876405929,0.15655276847230665,4.3,-0.15209998782553755,3.7,-0.1784452511123107,-80.941447,35.135905
9,2013-02,NC,CHARLOTTE,2013-02,2.79,"(-80.8431, 35.2271)",17511.79,Improvements_Additions for Apartments_Coops,0.15464999999999998,0.29149121952092666,0.17315,0.291161548215533,0.20129999999999998,0.2928016608099188,0.2455,0.2916469176842284,0.29049499999999995,0.28061550107562516,0.463425,0.2405680024518395,0.761875,0.22562252848553022,0.0768421052631579,0.2999140745090344,0.12421052631578947,0.2867929193685194,0.15736842105263157,0.28539295877270676,0.8463157894736841,0.49505966886028363,1.9842105263157896,0.5304648108162549,2.782631578947368,0.4084958495185558,3.165263157894737,0.33292916186202604,40995097959.5386,-0.0827058002515327,9260696074.4491,0.29389247417600994,90.37816904639429,0.15655276847230665,4.4,-0.15209998782553755,3.6,-0.1784452511123107,-80.8431,35.2271
