,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(1),Corr with student_vol(1),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(-1),Corr with mortgage 90(-1),long,lat
0,2010-01,CO,COLORADO SPRINGS,2010-01,6.0,"(-104.79219599999999, 38.795795)",80910,5923.56,Improvements_Additions for Apartments_Coops,0.172129,0.23235674109222862,0.207845,0.2356525331980279,0.23159750000000004,0.234775800995151,0.24093950000000003,0.22270098840138883,0.25011950000000005,0.20814372516163504,0.39936099999999997,0.19089339707212488,0.8985025,0.23021865173421285,0.022631578947368423,0.22847151940017266,0.14842105263157898,0.23960808141271567,0.3457894736842104,0.27295996271975953,2.4842105263157896,0.6059673116683528,3.7331578947368427,0.6600626685534954,4.501578947368422,0.570423467594876,4.604736842105263,0.48256162710039313,25116521917.8418,-0.14799615433718585,14228362706.5907,0.8469311921213838,98.6449594200431,0.6919448255044297,2.5,0.23489591228093928,2.7,0.11213406678878957,-104.79219599999999,38.795795
1,2010-04,CO,COLORADO SPRINGS,2010-04,4.125,"(-73.91667, 3.81667)",80918,21199.66,Improvements_Additions for Apartments_Coops,0.24183250000000003,0.23235674109222862,0.2495495,0.2356525331980279,0.2597455000000001,0.234775800995151,0.2840375,0.22270098840138883,0.3116065,0.20814372516163504,0.4758610000000001,0.19089339707212488,0.9598030000000002,0.23021865173421285,0.15045454545454548,0.22847151940017266,0.2440909090909091,0.23960808141271567,0.44499999999999995,0.27295996271975953,2.581363636363637,0.6059673116683528,3.8468181818181817,0.6600626685534954,4.531363636363637,0.570423467594876,4.693181818181819,0.48256162710039313,27396832704.0094,-0.14799615433718585,11978266411.3233,0.8469311921213838,95.6415096715633,0.6919448255044297,2.6,0.23489591228093928,2.6,0.11213406678878957,-73.91667,3.81667
2,2011-12,CO,COLORADO SPRINGS,2011-12,3.89,"(9.08333, 45.81667)",80906,58256.18,Improvements_Additions for Apartments_Coops,0.1499335,0.23235674109222862,0.2029985,0.2356525331980279,0.2836085,0.234775800995151,0.40829250000000006,0.22270098840138883,0.5557375,0.20814372516163504,0.7798775000000001,0.19089339707212488,1.1003555000000003,0.23021865173421285,0.0033333333333333335,0.22847151940017266,0.048571428571428585,0.23960808141271567,0.11523809523809528,0.27295996271975953,0.8914285714285713,0.6059673116683528,1.9780952380952384,0.6600626685534954,2.6676190476190476,0.570423467594876,2.9823809523809524,0.48256162710039313,35385458151.3724,-0.14799615433718585,11510278467.2037,0.8469311921213838,89.00857713430821,0.6919448255044297,1.9,0.23489591228093928,2.3,0.11213406678878957,9.08333,45.81667
3,2012-04,CO,COLORADO SPRINGS,2012-04,3.79,"(-104.713128, 38.910831)",80923,78578.64,Improvements_Additions for Apartments_Coops,0.14868421052631575,0.23235674109222862,0.18980526315789473,0.2356525331980279,0.23982894736842097,0.234775800995151,0.34777368421052635,0.22270098840138883,0.46680789473684203,0.20814372516163504,0.7313999999999999,0.19089339707212488,1.048621052631579,0.23021865173421285,0.0666666666666667,0.22847151940017266,0.13904761904761903,0.23960808141271567,0.18333333333333335,0.27295996271975953,0.8947619047619045,0.6059673116683528,2.0528571428571425,0.6600626685534954,2.8166666666666664,0.570423467594876,3.1842857142857137,0.48256162710039313,36777908030.9335,-0.14799615433718585,12770391029.1034,0.8469311921213838,89.6061116730853,0.6919448255044297,2.2,0.23489591228093928,2.0,0.11213406678878957,-104.713128,38.910831
4,2012-08,CO,COLORADO SPRINGS,2012-08,3.5,"(-104.803139, 38.854081)",80903,6829.63,Improvements_Additions for Apartments_Coops,0.15374090909090915,0.23235674109222862,0.18745454545454548,0.2356525331980279,0.23783863636363634,0.234775800995151,0.3331136363636364,0.22270098840138883,0.43259999999999993,0.20814372516163504,0.7177749999999997,0.19089339707212488,1.0426272727272727,0.23021865173421285,0.09217391304347829,0.22847151940017266,0.14043478260869566,0.23960808141271567,0.18347826086956526,0.27295996271975953,0.7139130434782609,0.6059673116683528,1.6782608695652175,0.6600626685534954,2.3978260869565218,0.570423467594876,2.7708695652173914,0.48256162710039313,37571290060.6541,-0.14799615433718585,11631947675.6117,0.8469311921213838,89.2801736441717,0.6919448255044297,2.0,0.23489591228093928,1.7,0.11213406678878957,-104.803139,38.854081
5,2012-12,CO,COLORADO SPRINGS,2012-12,2.12,"(-104.8253, 38.834)",80906,22509.79,Improvements_Additions for Apartments_Coops,0.1631578947368421,0.23235674109222862,0.1875157894736842,0.2356525331980279,0.21092631578947374,0.234775800995151,0.2552894736842105,0.22270098840138883,0.30947368421052623,0.20814372516163504,0.5145657894736843,0.19089339707212488,0.8483157894736841,0.23021865173421285,0.039500000000000014,0.22847151940017266,0.11950000000000005,0.23960808141271567,0.1585,0.27295996271975953,0.6960000000000001,0.6059673116683528,1.7189999999999999,0.6600626685534954,2.4675000000000002,0.570423467594876,2.8835,0.48256162710039313,39268596272.9965,-0.14799615433718585,11154944519.578999,0.8469311921213838,86.5850023909696,0.6919448255044297,1.6,0.23489591228093928,1.8,0.11213406678878957,-104.8253,38.834
6,2018-03,CO,COLORADO SPRINGS,2018-03,4.1,"(-104.714764, 38.882936)",80922,156680.39,Improvements_Additions for Apartments_Coops,1.5183047619047625,0.23235674109222862,1.6006185714285712,0.2356525331980279,1.7991309523809524,0.234775800995151,1.9184628571428568,0.22270098840138883,2.173357619047619,0.20814372516163504,2.345182380952381,0.19089339707212488,2.596475714285714,0.23021865173421285,1.636666666666667,0.22847151940017266,1.917142857142857,0.23960808141271567,2.0628571428571427,0.27295996271975953,2.6295238095238096,0.6059673116683528,2.8423809523809527,0.6600626685534954,2.9733333333333327,0.570423467594876,3.0914285714285716,0.48256162710039313,50505964400.0098,-0.14799615433718585,12344213844.2875,0.8469311921213838,89.25060298401242,0.6919448255044297,1.3,0.23489591228093928,0.5,0.11213406678878957,-104.714764,38.882936
7,2018-04,CO,COLORADO SPRINGS,2018-04,4.48,"(9.08333, 45.81667)",80924,144099.87,Improvements_Additions for Apartments_Coops,1.7027510000000003,0.23235674109222862,1.7432829999999995,0.2356525331980279,1.896724,0.234775800995151,2.0408605,0.22270098840138883,2.349426,0.20814372516163504,2.493657999999999,0.19089339707212488,2.7355454999999997,0.23021865173421285,1.6604761904761904,0.22847151940017266,1.9780952380952381,0.23960808141271567,2.153809523809524,0.27295996271975953,2.701904761904762,0.6059673116683528,2.869047619047619,0.6600626685534954,2.9595238095238092,0.570423467594876,3.0719047619047624,0.48256162710039313,50407042046.8076,-0.14799615433718585,12109088557.0787,0.8469311921213838,85.8866598662335,0.6919448255044297,1.2,0.23489591228093928,0.5,0.11213406678878957,9.08333,45.81667
8,2018-05,CO,COLORADO SPRINGS,2018-05,3.77,"(-104.775724, 38.931548)",80918,171280.97,Improvements_Additions for Apartments_Coops,1.7065971428571427,0.23235674109222862,1.7524533333333332,0.2356525331980279,1.94629,0.234775800995151,2.0937409523809523,0.22270098840138883,2.3356085714285713,0.20814372516163504,2.499740476190476,0.19089339707212488,2.754757142857143,0.23021865173421285,1.706818181818182,0.22847151940017266,2.0731818181818187,0.23960808141271567,2.2736363636363635,0.27295996271975953,2.816818181818181,0.6059673116683528,2.977727272727273,0.6600626685534954,3.0518181818181818,0.570423467594876,3.1318181818181827,0.48256162710039313,50165072031.0326,-0.14799615433718585,12484889768.5791,0.8469311921213838,,0.6919448255044297,1.1,0.23489591228093928,0.4,0.11213406678878957,-104.775724,38.931548
9,2018-07,CO,COLORADO SPRINGS,2018-07,4.5,"(-104.782156, 38.829944)",80910,36884.16,Improvements_Additions for Apartments_Coops,1.918467142857143,0.23235674109222862,1.9587813636363633,0.2356525331980279,2.0789990909090905,0.234775800995151,2.1733236363636363,0.22270098840138883,2.3391181818181823,0.20814372516163504,2.519525454545455,0.19089339707212488,2.7944931818181815,0.23021865173421285,1.8933333333333329,0.22847151940017266,2.1680952380952383,0.23960808141271567,2.3876190476190478,0.27295996271975953,2.7776190476190483,0.6059673116683528,2.8890476190476195,0.6600626685534954,2.944761904761905,0.570423467594876,3.006666666666667,0.48256162710039313,50563742345.0186,-0.14799615433718585,12917630009.557,0.8469311921213838,,0.6919448255044297,1.1,0.23489591228093928,0.6,0.11213406678878957,-104.782156,38.829944
