,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(-4),Corr with student_vol(-4),credit_tightness(-1),Corr with credit_tightness(-1),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(4),Corr with mortgage 90(4)
0,FLORENCE,2011-01,4.75,Improvements_Additions for Apartments_Coops,0.2391115000000001,4.5108885,0.39561513530344233,0.25406500000000004,4.495935,0.39462184290804225,0.2606254999999999,4.4893745,0.38615450403117557,0.2827834999999999,4.4672165,0.3673490103778945,0.30341049999999997,4.4465895,0.34799713573406327,0.4554005000000002,4.2945994999999995,0.3113982595076997,0.7818229999999999,3.968177,0.3049664716166478,0.14099999999999996,4.609,0.40763046607429493,0.1815,4.5685,0.38213039575918734,0.27349999999999997,4.4765,0.3906908851211223,1.9944999999999997,2.7555000000000005,0.7211413878704865,3.3940000000000006,1.3559999999999994,0.9243436264811313,4.281000000000001,0.4689999999999994,0.8472283487118379,4.5230000000000015,0.22699999999999854,0.750243609057265,31041077337.2648,-0.21382139530186303,12342273869.2704,0.5194568025793299,94.7176548951663,0.24849685535596916,6.0,0.4436428255973918,2.0,-0.5869177935686252
1,FLORENCE,2011-05,4.375,Improvements_Additions for Apartments_Coops,0.130775,4.244225,0.39561513530344233,0.16787249999999998,4.2071275,0.39462184290804225,0.1978005,4.1771995,0.38615450403117557,0.23078799999999994,4.1442120000000005,0.3673490103778945,0.260713,4.114287,0.34799713573406327,0.41407550000000004,3.9609245,0.3113982595076997,0.7391499999999999,3.63585,0.3049664716166478,0.024285714285714285,4.350714285714286,0.40763046607429493,0.0866666666666667,4.288333333333333,0.38213039575918734,0.18809523809523812,4.186904761904762,0.3906908851211223,1.8423809523809527,2.5326190476190473,0.7211413878704865,3.168571428571429,1.206428571428571,0.9243436264811313,4.011428571428572,0.36357142857142843,0.8472283487118379,4.293333333333333,0.081666666666667,0.750243609057265,33690910289.8878,-0.21382139530186303,11568364841.7538,0.5194568025793299,92.5881563190625,0.24849685535596916,6.6,0.4436428255973918,2.9,-0.5869177935686252
2,FLORENCE,2012-04,3.03,Improvements_Additions for Apartments_Coops,0.14868421052631575,2.881315789473684,0.39561513530344233,0.18980526315789473,2.840194736842105,0.39462184290804225,0.23982894736842097,2.790171052631579,0.38615450403117557,0.34777368421052635,2.6822263157894737,0.3673490103778945,0.46680789473684203,2.5631921052631577,0.34799713573406327,0.7313999999999999,2.2986,0.3113982595076997,1.048621052631579,1.981378947368421,0.3049664716166478,0.0666666666666667,2.963333333333333,0.40763046607429493,0.13904761904761903,2.8909523809523807,0.38213039575918734,0.18333333333333335,2.8466666666666667,0.3906908851211223,0.8947619047619045,2.1352380952380954,0.7211413878704865,2.0528571428571425,0.9771428571428573,0.9243436264811313,2.8166666666666664,0.21333333333333337,0.8472283487118379,3.1842857142857137,-0.15428571428571392,0.750243609057265,37160101000.5239,-0.21382139530186303,11508699084.1195,0.5194568025793299,90.0868950067716,0.24849685535596916,5.3,0.4436428255973918,3.1,-0.5869177935686252
3,FLORENCE,2012-05,3.19,Improvements_Additions for Apartments_Coops,0.15161363636363637,3.0383863636363637,0.39561513530344233,0.19053181818181822,2.9994681818181816,0.39462184290804225,0.23893181818181805,2.951068181818182,0.38615450403117557,0.3457045454545453,2.8442954545454544,0.3673490103778945,0.4665318181818183,2.7234681818181814,0.34799713573406327,0.732990909090909,2.457009090909091,0.3113982595076997,1.0615068181818177,2.1284931818181825,0.3049664716166478,0.06590909090909093,3.124090909090909,0.40763046607429493,0.14545454545454548,3.0445454545454544,0.38213039575918734,0.19181818181818186,2.998181818181818,0.3906908851211223,0.7618181818181818,2.428181818181818,0.7211413878704865,1.8031818181818189,1.386818181818181,0.9243436264811313,2.525909090909091,0.6640909090909091,0.8472283487118379,2.930909090909091,0.2590909090909088,0.750243609057265,37571290060.6541,-0.21382139530186303,11510278467.2037,0.5194568025793299,89.00857713430821,0.24849685535596916,5.5,0.4436428255973918,2.9,-0.5869177935686252
4,FLORENCE,2012-07,2.77,Improvements_Additions for Apartments_Coops,0.16720454545454547,2.6027954545454546,0.39561513530344233,0.19873636363636368,2.5712636363636365,0.39462184290804225,0.24646136363636365,2.5235386363636363,0.38615450403117557,0.34024999999999994,2.4297500000000003,0.3673490103778945,0.4535545454545455,2.3164454545454545,0.34799713573406327,0.7302181818181818,2.0397818181818184,0.3113982595076997,1.0653181818181816,1.7046818181818184,0.3049664716166478,0.06952380952380956,2.7004761904761905,0.40763046607429493,0.14571428571428574,2.624285714285714,0.38213039575918734,0.18571428571428572,2.5842857142857145,0.3906908851211223,0.6195238095238095,2.1504761904761907,0.7211413878704865,1.5266666666666664,1.2433333333333336,0.9243436264811313,2.217142857142857,0.5528571428571429,0.8472283487118379,2.5900000000000003,0.17999999999999972,0.750243609057265,38410438812.4053,-0.21382139530186303,11251067892.2966,0.5194568025793299,89.56768058609659,0.24849685535596916,4.7,0.4436428255973918,2.9,-0.5869177935686252
5,FLORENCE,2013-03,3.5,Improvements_Additions for Apartments_Coops,0.15505000000000002,3.34495,0.39561513530344233,0.17309999999999998,3.3269,0.39462184290804225,0.20345,3.29655,0.38615450403117557,0.2419,3.2580999999999998,0.3673490103778945,0.28190000000000004,3.2180999999999997,0.34799713573406327,0.44782500000000003,3.052175,0.3113982595076997,0.7351250000000001,2.764875,0.3049664716166478,0.07800000000000003,3.422,0.40763046607429493,0.11450000000000005,3.3855,0.38213039575918734,0.14750000000000002,3.3525,0.3906908851211223,0.8185000000000002,2.6814999999999998,0.7211413878704865,1.9575,1.5425,0.9243436264811313,2.7840000000000003,0.7159999999999997,0.8472283487118379,3.1625000000000005,0.33749999999999947,0.750243609057265,41471481477.9035,-0.21382139530186303,10740081615.3953,0.5194568025793299,88.794109524791,0.24849685535596916,5.3,0.4436428255973918,2.5,-0.5869177935686252
6,FLORENCE,2014-08,3.85,Improvements_Additions for Apartments_Coops,0.090785,3.759215,0.39561513530344233,0.121725,3.728275,0.39462184290804225,0.15602,3.6939800000000003,0.38615450403117557,0.19527250000000002,3.6547275,0.3673490103778945,0.23465000000000003,3.6153500000000003,0.34799713573406327,0.32965500000000003,3.520345,0.3113982595076997,0.55889,3.29111,0.3049664716166478,0.030000000000000006,3.8200000000000003,0.40763046607429493,0.0523809523809524,3.797619047619048,0.38213039575918734,0.10714285714285714,3.742857142857143,0.3906908851211223,1.6314285714285717,2.2185714285714284,0.7211413878704865,2.42,1.4300000000000002,0.9243436264811313,2.9366666666666665,0.9133333333333336,0.8472283487118379,3.2009523809523808,0.6490476190476193,0.750243609057265,45241950015.4561,-0.21382139530186303,11032404366.8063,0.5194568025793299,81.64661519553,0.24849685535596916,5.4,0.4436428255973918,2.8,-0.5869177935686252
7,FLORENCE,2015-06,3.83,Improvements_Additions for Apartments_Coops,0.12293636363636364,3.7070636363636362,0.39561513530344233,0.14681590909090908,3.683184090909091,0.39462184290804225,0.1858840909090909,3.644115909090909,0.38615450403117557,0.23472954545454539,3.595270454545455,0.3673490103778945,0.2827113636363637,3.5472886363636364,0.34799713573406327,0.43974545454545466,3.390254545454545,0.3113982595076997,0.7702659090909093,3.0597340909090907,0.3049664716166478,0.007727272727272728,3.8222727272727273,0.40763046607429493,0.08681818181818185,3.743181818181818,0.38213039575918734,0.2754545454545455,3.5545454545454547,0.3906908851211223,1.6836363636363636,2.1463636363636365,0.7211413878704865,2.3636363636363638,1.4663636363636363,0.9243436264811313,2.8454545454545452,0.9845454545454548,0.8472283487118379,3.1118181818181814,0.7181818181818187,0.750243609057265,48752987466.2114,-0.21382139530186303,11837215038.8922,0.5194568025793299,83.34061286074021,0.24849685535596916,4.5,0.4436428255973918,2.5,-0.5869177935686252
8,FLORENCE,2017-10,3.5,Improvements_Additions for Apartments_Coops,1.1834895238095235,2.3165104761904765,0.39561513530344233,1.2040609090909093,2.2959390909090907,0.39462184290804225,1.2385486363636362,2.261451363636364,0.38615450403117557,1.287584090909091,2.2124159090909092,0.3673490103778945,1.3607931818181818,2.139206818181818,0.34799713573406327,1.541957272727273,1.958042727272727,0.3113982595076997,1.8208568181818179,1.6791431818181821,0.3049664716166478,0.9957142857142858,2.5042857142857144,0.40763046607429493,1.2495238095238093,2.2504761904761907,0.38213039575918734,1.3976190476190478,2.102380952380952,0.3906908851211223,1.9809523809523806,1.5190476190476194,0.7211413878704865,2.3600000000000003,1.1399999999999997,0.9243436264811313,2.649047619047619,0.8509523809523811,0.8472283487118379,2.8780952380952383,0.6219047619047617,0.750243609057265,49574400061.0285,-0.21382139530186303,12745337772.3068,0.5194568025793299,89.9213768261837,0.24849685535596916,5.1,0.4436428255973918,2.4,-0.5869177935686252
9,FLORENCE,2017-11,3.48,Improvements_Additions for Apartments_Coops,1.183300476190476,2.296699523809524,0.39561513530344233,1.2036563636363637,2.2763436363636362,0.39462184290804225,1.2878790909090911,2.192120909090909,0.38615450403117557,1.3757831818181818,2.1042168181818184,0.3673490103778945,1.4342040909090912,2.045795909090909,0.34799713573406327,1.6264599999999996,1.8535400000000004,0.3113982595076997,1.9015695454545458,1.5784304545454542,0.3049664716166478,1.09,2.3899999999999997,0.40763046607429493,1.3895238095238096,2.09047619047619,0.38213039575918734,1.5600000000000003,1.9199999999999997,0.3906908851211223,2.05,1.4300000000000002,0.7211413878704865,2.353333333333333,1.126666666666667,0.9243436264811313,2.6023809523809525,0.8776190476190475,0.8472283487118379,2.801904761904762,0.6780952380952381,0.750243609057265,50828048870.0026,-0.21382139530186303,11814606928.6527,0.5194568025793299,87.46440959377459,0.24849685535596916,3.5,0.4436428255973918,2.4,-0.5869177935686252
