,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-4),Corr with auto_vol(-4),student_vol,Corr with student_vol,credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(-4),Corr with mortgage 90(-4)
0,CO,GRAND JUNCTION,2011-06,3.95,Improvements_Additions for Apartments_Coops,0.12706818181818183,3.8229318181818184,-0.7394567074216718,0.1615431818181819,3.7884568181818183,-0.6007300751101107,0.18716409090909092,3.762835909090909,-0.5551339018051005,0.21923909090909086,3.7307609090909093,-0.5948856875960062,0.24782409090909094,3.702175909090909,-0.6148616154428596,0.39758,3.55242,-0.6637221848859249,0.7268749999999999,3.2231250000000005,-0.6582795298943804,0.0190909090909091,3.930909090909091,-0.5809156165991386,0.1013636363636364,3.8486363636363636,-0.3757128237517484,0.18090909090909094,3.769090909090909,-0.07792911180334959,1.5799999999999998,2.37,0.7450585807832483,3.002272727272727,0.9477272727272732,0.7932056258193572,3.9145454545454546,0.03545454545454563,0.6732662493362344,4.2327272727272724,-0.28272727272727227,0.6258795285812265,32217867353.4185,0.28601815589382495,12472473242.0863,-0.8632843650761398,91.3646878868074,-0.44125484967197326,3.1,0.3337271463235565,3.9,-0.17040437605943995
1,CO,GRAND JUNCTION,2011-11,3.58,Improvements_Additions for Apartments_Coops,0.14255090909090912,3.437449090909091,-0.7394567074216718,0.19244863636363635,3.387551363636364,-0.6007300751101107,0.2536463636363637,3.3263536363636366,-0.5551339018051005,0.3593790909090909,3.220620909090909,-0.5948856875960062,0.47529181818181826,3.104708181818182,-0.6148616154428596,0.6805422727272729,2.8994577272727273,-0.6637221848859249,1.000305,2.579695,-0.6582795298943804,0.013999999999999999,3.5660000000000003,-0.5809156165991386,0.04650000000000002,3.5335,-0.3757128237517484,0.11200000000000002,3.468,-0.07792911180334959,0.908,2.672,0.7450585807832483,2.0134999999999996,1.5665000000000004,0.7932056258193572,2.7180000000000004,0.8619999999999997,0.6732662493362344,3.0155000000000003,0.5644999999999998,0.6258795285812265,31992172727.7437,0.28601815589382495,11784187253.6333,-0.8632843650761398,90.0868950067716,-0.44125484967197326,3.2,0.3337271463235565,3.9,-0.17040437605943995
2,CO,GRAND JUNCTION,2012-02,3.46,Improvements_Additions for Apartments_Coops,0.1410714285714286,3.3189285714285712,-0.7394567074216718,0.19146190476190478,3.268538095238095,-0.6007300751101107,0.2500238095238095,3.2099761904761905,-0.5551339018051005,0.3686547619047619,3.091345238095238,-0.5948856875960062,0.5032404761904763,2.9567595238095237,-0.6148616154428596,0.7572880952380953,2.702711904761905,-0.6637221848859249,1.0711880952380954,2.3888119047619045,-0.6582795298943804,0.06350000000000003,3.3965,-0.5809156165991386,0.124,3.336,-0.3757128237517484,0.161,3.299,-0.07792911180334959,0.8310000000000001,2.629,0.7450585807832483,1.9674999999999998,1.4925000000000002,0.7932056258193572,2.7479999999999998,0.7120000000000002,0.6732662493362344,3.109,0.351,0.6258795285812265,34623712775.9563,0.28601815589382495,10728874885.7875,-0.8632843650761398,89.56768058609659,-0.44125484967197326,3.0,0.3337271463235565,3.6,-0.17040437605943995
3,CO,GRAND JUNCTION,2012-06,1.75,Improvements_Additions for Apartments_Coops,0.163,1.587,-0.7394567074216718,0.19464736842105262,1.5553526315789474,-0.6007300751101107,0.24319736842105263,1.5068026315789473,-0.5551339018051005,0.3459342105263157,1.4040657894736843,-0.5948856875960062,0.46558684210526313,1.2844131578947369,-0.6148616154428596,0.7364000000000004,1.0135999999999996,-0.6637221848859249,1.0691894736842107,0.6808105263157893,-0.6582795298943804,0.05190476190476193,1.698095238095238,-0.5809156165991386,0.14809523809523809,1.601904761904762,-0.3757128237517484,0.18904761904761905,1.5609523809523809,-0.07792911180334959,0.7114285714285714,1.0385714285714287,0.7450585807832483,1.6223809523809525,0.12761904761904752,0.7932056258193572,2.3061904761904763,-0.5561904761904763,0.6732662493362344,2.698095238095238,-0.9480952380952381,0.6258795285812265,35532707747.113,0.28601815589382495,14585937143.4485,-0.8632843650761398,90.37816904639429,-0.44125484967197326,2.5,0.3337271463235565,2.9,-0.17040437605943995
4,CO,GRAND JUNCTION,2013-09,4.75,Improvements_Additions for Apartments_Coops,0.11272380952380952,4.63727619047619,-0.7394567074216718,0.14323238095238094,4.606767619047619,-0.6007300751101107,0.18057476190476196,4.5694252380952385,-0.5551339018051005,0.22133904761904755,4.528660952380952,-0.5948856875960062,0.2531785714285715,4.496821428571429,-0.6148616154428596,0.38033809523809525,4.369661904761905,-0.6637221848859249,0.6526857142857143,4.097314285714286,-0.6582795298943804,0.017500000000000005,4.7325,-0.5809156165991386,0.04150000000000001,4.7085,-0.3757128237517484,0.11850000000000002,4.6315,-0.07792911180334959,1.5959999999999999,3.154,0.7450585807832483,2.8095,1.9405000000000001,0.7932056258193572,3.526,1.2240000000000002,0.6732662493362344,3.7870000000000004,0.9629999999999996,0.6258795285812265,40995097959.5386,0.28601815589382495,10216278752.7557,-0.8632843650761398,84.4459748156831,-0.44125484967197326,3.1,0.3337271463235565,2.3,-0.17040437605943995
5,CO,GRAND JUNCTION,2014-11,3.7,Improvements_Additions for Apartments_Coops,0.09656999999999999,3.6034300000000004,-0.7394567074216718,0.12222499999999999,3.5777750000000004,-0.6007300751101107,0.1548075,3.5451925,-0.5551339018051005,0.20246,3.4975400000000003,-0.5948856875960062,0.23286250000000003,3.4671375,-0.6148616154428596,0.32679500000000006,3.373205,-0.6637221848859249,0.56206,3.1379400000000004,-0.6582795298943804,0.04166666666666668,3.6583333333333337,-0.5809156165991386,0.06944444444444448,3.6305555555555555,-0.3757128237517484,0.13444444444444448,3.5655555555555556,-0.07792911180334959,1.6205555555555557,2.0794444444444444,0.7450585807832483,2.325555555555556,1.3744444444444444,0.7932056258193572,2.7644444444444445,0.9355555555555557,0.6732662493362344,3.038333333333333,0.6616666666666671,0.6258795285812265,44931729222.7983,0.28601815589382495,11357071284.6333,-0.8632843650761398,82.23381292700279,-0.44125484967197326,3.6,0.3337271463235565,2.2,-0.17040437605943995
6,CO,GRAND JUNCTION,2015-08,3.85,Improvements_Additions for Apartments_Coops,0.13010000000000005,3.7199,-0.7394567074216718,0.151965,3.698035,-0.6007300751101107,0.1967275,3.6532725,-0.5551339018051005,0.2610100000000001,3.58899,-0.5948856875960062,0.3207975,3.5292025000000002,-0.6148616154428596,0.5193599999999999,3.3306400000000003,-0.6637221848859249,0.8364375,3.0135625,-0.6582795298943804,0.03523809523809525,3.814761904761905,-0.5809156165991386,0.22000000000000006,3.63,-0.3757128237517484,0.3757142857142857,3.474285714285714,-0.07792911180334959,1.5414285714285714,2.3085714285714287,0.7450585807832483,2.167142857142857,1.6828571428571433,0.7932056258193572,2.5466666666666664,1.3033333333333337,0.6732662493362344,2.8557142857142854,0.9942857142857147,0.6258795285812265,47036055605.935,0.28601815589382495,10986955735.8103,-0.8632843650761398,82.3313446344394,-0.44125484967197326,2.1,0.3337271463235565,1.6,-0.17040437605943995
