,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(2),Corr with auto_vol(2),student_vol(3),Corr with student_vol(3),credit_tightness,Corr with credit_tightness,mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(2),Corr with mortgage 90(2)
0,CONCORD,2011-01,4.125,Improvements_Additions for Apartments_Coops,0.2391115000000001,3.8858885,0.41298465371969934,0.25406500000000004,3.870935,0.4216114221031733,0.2606254999999999,3.8643745000000003,0.42948519411096164,0.2827834999999999,3.8422165,0.4343075226127833,0.30341049999999997,3.8215895,0.42584183869788295,0.4554005000000002,3.6695995,0.3792712578888717,0.7818229999999999,3.343177,0.35870859371237884,0.14099999999999996,3.984,0.4899604079876184,0.1815,3.9435000000000002,0.4245345587969489,0.27349999999999997,3.8515,0.3905437091836323,1.9944999999999997,2.1305000000000005,0.4444275801116903,3.3940000000000006,0.7309999999999994,0.6356860495794119,4.281000000000001,-0.15600000000000058,0.584985758871933,4.5230000000000015,-0.39800000000000146,0.5420660473517691,31565012894.7234,-0.9707548061842282,15995126134.7035,0.8863823044897454,94.0022251537174,0.6293667991854628,4.8,0.9870964000922543,4.1,0.9434273065513795
1,CONCORD,2011-01,4.125,Improvements_Additions for Apartments_Coops,0.2391115000000001,3.8858885,0.41298465371969934,0.25406500000000004,3.870935,0.4216114221031733,0.2606254999999999,3.8643745000000003,0.42948519411096164,0.2827834999999999,3.8422165,0.4343075226127833,0.30341049999999997,3.8215895,0.42584183869788295,0.4554005000000002,3.6695995,0.3792712578888717,0.7818229999999999,3.343177,0.35870859371237884,0.14099999999999996,3.984,0.4899604079876184,0.1815,3.9435000000000002,0.4245345587969489,0.27349999999999997,3.8515,0.3905437091836323,1.9944999999999997,2.1305000000000005,0.4444275801116903,3.3940000000000006,0.7309999999999994,0.6356860495794119,4.281000000000001,-0.15600000000000058,0.584985758871933,4.5230000000000015,-0.39800000000000146,0.5420660473517691,31565012894.7234,-0.9707548061842282,15995126134.7035,0.8863823044897454,94.0022251537174,0.6293667991854628,4.8,0.9870964000922543,3.9,0.9434273065513795
2,CONCORD,2011-01,4.125,Improvements_Additions for Apartments_Coops,0.2391115000000001,3.8858885,0.41298465371969934,0.25406500000000004,3.870935,0.4216114221031733,0.2606254999999999,3.8643745000000003,0.42948519411096164,0.2827834999999999,3.8422165,0.4343075226127833,0.30341049999999997,3.8215895,0.42584183869788295,0.4554005000000002,3.6695995,0.3792712578888717,0.7818229999999999,3.343177,0.35870859371237884,0.14099999999999996,3.984,0.4899604079876184,0.1815,3.9435000000000002,0.4245345587969489,0.27349999999999997,3.8515,0.3905437091836323,1.9944999999999997,2.1305000000000005,0.4444275801116903,3.3940000000000006,0.7309999999999994,0.6356860495794119,4.281000000000001,-0.15600000000000058,0.584985758871933,4.5230000000000015,-0.39800000000000146,0.5420660473517691,31565012894.7234,-0.9707548061842282,15995126134.7035,0.8863823044897454,94.0022251537174,0.6293667991854628,4.8,0.9870964000922543,4.1,0.9434273065513795
3,CONCORD,2011-01,4.125,Improvements_Additions for Apartments_Coops,0.2391115000000001,3.8858885,0.41298465371969934,0.25406500000000004,3.870935,0.4216114221031733,0.2606254999999999,3.8643745000000003,0.42948519411096164,0.2827834999999999,3.8422165,0.4343075226127833,0.30341049999999997,3.8215895,0.42584183869788295,0.4554005000000002,3.6695995,0.3792712578888717,0.7818229999999999,3.343177,0.35870859371237884,0.14099999999999996,3.984,0.4899604079876184,0.1815,3.9435000000000002,0.4245345587969489,0.27349999999999997,3.8515,0.3905437091836323,1.9944999999999997,2.1305000000000005,0.4444275801116903,3.3940000000000006,0.7309999999999994,0.6356860495794119,4.281000000000001,-0.15600000000000058,0.584985758871933,4.5230000000000015,-0.39800000000000146,0.5420660473517691,31565012894.7234,-0.9707548061842282,15995126134.7035,0.8863823044897454,94.0022251537174,0.6293667991854628,4.8,0.9870964000922543,3.9,0.9434273065513795
4,CONCORD,2011-01,4.125,Improvements_Additions for Apartments_Coops,0.2391115000000001,3.8858885,0.41298465371969934,0.25406500000000004,3.870935,0.4216114221031733,0.2606254999999999,3.8643745000000003,0.42948519411096164,0.2827834999999999,3.8422165,0.4343075226127833,0.30341049999999997,3.8215895,0.42584183869788295,0.4554005000000002,3.6695995,0.3792712578888717,0.7818229999999999,3.343177,0.35870859371237884,0.14099999999999996,3.984,0.4899604079876184,0.1815,3.9435000000000002,0.4245345587969489,0.27349999999999997,3.8515,0.3905437091836323,1.9944999999999997,2.1305000000000005,0.4444275801116903,3.3940000000000006,0.7309999999999994,0.6356860495794119,4.281000000000001,-0.15600000000000058,0.584985758871933,4.5230000000000015,-0.39800000000000146,0.5420660473517691,31565012894.7234,-0.9707548061842282,15995126134.7035,0.8863823044897454,94.0022251537174,0.6293667991854628,4.8,0.9870964000922543,4.1,0.9434273065513795
5,CONCORD,2011-01,4.125,Improvements_Additions for Apartments_Coops,0.2391115000000001,3.8858885,0.41298465371969934,0.25406500000000004,3.870935,0.4216114221031733,0.2606254999999999,3.8643745000000003,0.42948519411096164,0.2827834999999999,3.8422165,0.4343075226127833,0.30341049999999997,3.8215895,0.42584183869788295,0.4554005000000002,3.6695995,0.3792712578888717,0.7818229999999999,3.343177,0.35870859371237884,0.14099999999999996,3.984,0.4899604079876184,0.1815,3.9435000000000002,0.4245345587969489,0.27349999999999997,3.8515,0.3905437091836323,1.9944999999999997,2.1305000000000005,0.4444275801116903,3.3940000000000006,0.7309999999999994,0.6356860495794119,4.281000000000001,-0.15600000000000058,0.584985758871933,4.5230000000000015,-0.39800000000000146,0.5420660473517691,31565012894.7234,-0.9707548061842282,15995126134.7035,0.8863823044897454,94.0022251537174,0.6293667991854628,4.8,0.9870964000922543,3.9,0.9434273065513795
6,CONCORD,2011-01,4.125,Improvements_Additions for Apartments_Coops,0.2391115000000001,3.8858885,0.41298465371969934,0.25406500000000004,3.870935,0.4216114221031733,0.2606254999999999,3.8643745000000003,0.42948519411096164,0.2827834999999999,3.8422165,0.4343075226127833,0.30341049999999997,3.8215895,0.42584183869788295,0.4554005000000002,3.6695995,0.3792712578888717,0.7818229999999999,3.343177,0.35870859371237884,0.14099999999999996,3.984,0.4899604079876184,0.1815,3.9435000000000002,0.4245345587969489,0.27349999999999997,3.8515,0.3905437091836323,1.9944999999999997,2.1305000000000005,0.4444275801116903,3.3940000000000006,0.7309999999999994,0.6356860495794119,4.281000000000001,-0.15600000000000058,0.584985758871933,4.5230000000000015,-0.39800000000000146,0.5420660473517691,31565012894.7234,-0.9707548061842282,15995126134.7035,0.8863823044897454,94.0022251537174,0.6293667991854628,4.8,0.9870964000922543,4.1,0.9434273065513795
7,CONCORD,2011-01,4.125,Improvements_Additions for Apartments_Coops,0.2391115000000001,3.8858885,0.41298465371969934,0.25406500000000004,3.870935,0.4216114221031733,0.2606254999999999,3.8643745000000003,0.42948519411096164,0.2827834999999999,3.8422165,0.4343075226127833,0.30341049999999997,3.8215895,0.42584183869788295,0.4554005000000002,3.6695995,0.3792712578888717,0.7818229999999999,3.343177,0.35870859371237884,0.14099999999999996,3.984,0.4899604079876184,0.1815,3.9435000000000002,0.4245345587969489,0.27349999999999997,3.8515,0.3905437091836323,1.9944999999999997,2.1305000000000005,0.4444275801116903,3.3940000000000006,0.7309999999999994,0.6356860495794119,4.281000000000001,-0.15600000000000058,0.584985758871933,4.5230000000000015,-0.39800000000000146,0.5420660473517691,31565012894.7234,-0.9707548061842282,15995126134.7035,0.8863823044897454,94.0022251537174,0.6293667991854628,4.8,0.9870964000922543,3.9,0.9434273065513795
8,CONCORD,2012-02,3.85,Improvements_Additions for Apartments_Coops,0.1410714285714286,3.7089285714285714,0.41298465371969934,0.19146190476190478,3.6585380952380953,0.4216114221031733,0.2500238095238095,3.5999761904761907,0.42948519411096164,0.3686547619047619,3.4813452380952383,0.4343075226127833,0.5032404761904763,3.346759523809524,0.42584183869788295,0.7572880952380953,3.092711904761905,0.3792712578888717,1.0711880952380954,2.7788119047619046,0.35870859371237884,0.06350000000000003,3.7865,0.4899604079876184,0.124,3.726,0.4245345587969489,0.161,3.689,0.3905437091836323,0.8310000000000001,3.019,0.4444275801116903,1.9674999999999998,1.8825000000000003,0.6356860495794119,2.7479999999999998,1.1020000000000003,0.584985758871933,3.109,0.7410000000000001,0.5420660473517691,36623269866.4569,-0.9707548061842282,12770391029.1034,0.8863823044897454,90.6452366150782,0.6293667991854628,4.4,0.9870964000922543,3.7,0.9434273065513795
9,CONCORD,2012-02,3.85,Improvements_Additions for Apartments_Coops,0.1410714285714286,3.7089285714285714,0.41298465371969934,0.19146190476190478,3.6585380952380953,0.4216114221031733,0.2500238095238095,3.5999761904761907,0.42948519411096164,0.3686547619047619,3.4813452380952383,0.4343075226127833,0.5032404761904763,3.346759523809524,0.42584183869788295,0.7572880952380953,3.092711904761905,0.3792712578888717,1.0711880952380954,2.7788119047619046,0.35870859371237884,0.06350000000000003,3.7865,0.4899604079876184,0.124,3.726,0.4245345587969489,0.161,3.689,0.3905437091836323,0.8310000000000001,3.019,0.4444275801116903,1.9674999999999998,1.8825000000000003,0.6356860495794119,2.7479999999999998,1.1020000000000003,0.584985758871933,3.109,0.7410000000000001,0.5420660473517691,36623269866.4569,-0.9707548061842282,12770391029.1034,0.8863823044897454,90.6452366150782,0.6293667991854628,4.4,0.9870964000922543,3.6,0.9434273065513795
