,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(3),Corr with auto_vol(3),student_vol(-3),Corr with student_vol(-3),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(1),Corr with mortgage 90(1)
0,PEORIA,2011-12,3.91,Improvements_Additions for Apartments_Coops,0.1499335,3.7600665,-0.023520893190418644,0.2029985,3.7070015,-0.024225491670645846,0.2836085,3.6263915,-0.023755467592914938,0.40829250000000006,3.5017075,-0.0346018307900317,0.5557375,3.3542625,-0.05387686005970543,0.7798775000000001,3.1301225,-0.14520011003034497,1.1003555000000003,2.8096445,-0.23215825112684635,0.0033333333333333335,3.9066666666666667,-0.033603340045463274,0.048571428571428585,3.8614285714285717,-0.0517494755214805,0.11523809523809528,3.794761904761905,-0.07347125700988275,0.8914285714285713,3.0185714285714287,0.44361281125722357,1.9780952380952384,1.9319047619047618,0.7819002347861286,2.6676190476190476,1.2423809523809526,0.7768494148649856,2.9823809523809524,0.9276190476190478,0.7371046543488032,35767585536.868996,0.15718051811908854,11655650147.2578,-0.8489000455205599,90.0868950067716,-0.5791151959875568,2.3,-0.6871613690467888,2.2,0.2249334813208823
1,PEORIA,2012-01,3.75,Improvements_Additions for Apartments_Coops,0.14564761904761903,3.604352380952381,-0.023520893190418644,0.2014238095238095,3.5485761904761906,-0.024225491670645846,0.28289523809523814,3.467104761904762,-0.023755467592914938,0.41424761904761903,3.335752380952381,-0.0346018307900317,0.5659000000000001,3.1841,-0.05387686005970543,0.7969761904761906,2.9530238095238093,-0.14520011003034497,1.1145476190476191,2.6354523809523807,-0.23215825112684635,0.0245,3.7255,-0.033603340045463274,0.06550000000000003,3.6845,-0.0517494755214805,0.11500000000000003,3.635,-0.07347125700988275,0.835,2.915,0.44361281125722357,1.9664999999999995,1.7835000000000005,0.7819002347861286,2.6950000000000003,1.0549999999999997,0.7768494148649856,3.026,0.7240000000000002,0.7371046543488032,36623269866.4569,0.15718051811908854,10258833668.6773,-0.8489000455205599,89.00857713430821,-0.5791151959875568,2.3,-0.6871613690467888,2.2,0.2249334813208823
2,PEORIA,2012-07,3.38,Improvements_Additions for Apartments_Coops,0.16720454545454547,3.2127954545454545,-0.023520893190418644,0.19873636363636368,3.1812636363636364,-0.024225491670645846,0.24646136363636365,3.133538636363636,-0.023755467592914938,0.34024999999999994,3.0397499999999997,-0.0346018307900317,0.4535545454545455,2.9264454545454543,-0.05387686005970543,0.7302181818181818,2.6497818181818182,-0.14520011003034497,1.0653181818181816,2.3146818181818185,-0.23215825112684635,0.06952380952380956,3.3104761904761904,-0.033603340045463274,0.14571428571428574,3.234285714285714,-0.0517494755214805,0.18571428571428572,3.194285714285714,-0.07347125700988275,0.6195238095238095,2.7604761904761905,0.44361281125722357,1.5266666666666664,1.8533333333333335,0.7819002347861286,2.217142857142857,1.1628571428571428,0.7768494148649856,2.5900000000000003,0.7899999999999996,0.7371046543488032,37685204803.0042,0.15718051811908854,11641401212.0971,-0.8489000455205599,90.37816904639429,-0.5791151959875568,3.1,-0.6871613690467888,2.0,0.2249334813208823
3,PEORIA,2012-10,2.85,Improvements_Additions for Apartments_Coops,0.15320434782608702,2.696795652173913,-0.023520893190418644,0.17955217391304346,2.6704478260869564,-0.024225491670645846,0.21346521739130433,2.636534782608696,-0.023755467592914938,0.2717391304347827,2.5782608695652174,-0.0346018307900317,0.3304891304347827,2.5195108695652175,-0.05387686005970543,0.5823021739130435,2.2676978260869567,-0.14520011003034497,0.9185760869565219,1.9314239130434783,-0.23215825112684635,0.10952380952380951,2.7404761904761905,-0.033603340045463274,0.14904761904761904,2.700952380952381,-0.0517494755214805,0.17952380952380956,2.6704761904761907,-0.07347125700988275,0.7085714285714285,2.1414285714285715,0.44361281125722357,1.7461904761904758,1.1038095238095242,0.7819002347861286,2.505714285714286,0.3442857142857143,0.7768494148649856,2.90047619047619,-0.05047619047619012,0.7371046543488032,39268596272.9965,0.15718051811908854,16111780903.4699,-0.8489000455205599,91.578064558499,-0.5791151959875568,3.2,-0.6871613690467888,1.9,0.2249334813208823
4,PEORIA,2013-11,4.35,Improvements_Additions for Apartments_Coops,0.10274761904761903,4.24725238095238,-0.023520893190418644,0.12919047619047616,4.220809523809524,-0.024225491670645846,0.1672714285714286,4.182728571428571,-0.023755467592914938,0.20747142857142856,4.142528571428571,-0.0346018307900317,0.2382452380952381,4.111754761904762,-0.05387686005970543,0.35063809523809525,3.9993619047619045,-0.14520011003034497,0.5866738095238094,3.76332619047619,-0.23215825112684635,0.046842105263157914,4.303157894736842,-0.033603340045463274,0.09842105263157898,4.2515789473684205,-0.0517494755214805,0.12157894736842105,4.228421052631578,-0.07347125700988275,1.3710526315789473,2.9789473684210526,0.44361281125722357,2.7184210526315793,1.6315789473684204,0.7819002347861286,3.503684210526316,0.8463157894736835,0.7768494148649856,3.7999999999999985,0.5500000000000012,0.7371046543488032,43204378466.7468,0.15718051811908854,10210246554.7955,-0.8489000455205599,83.69462947740479,-0.5791151959875568,2.1,-0.6871613690467888,2.0,0.2249334813208823
5,PEORIA,2013-12,4.2,Improvements_Additions for Apartments_Coops,0.10022500000000001,4.099775,-0.023520893190418644,0.1273025,4.0726975,-0.024225491670645846,0.16723,4.03277,-0.023755467592914938,0.2127325,3.9872675,-0.0346018307900317,0.24389749999999996,3.9561025,-0.05387686005970543,0.34639499999999995,3.8536050000000004,-0.14520011003034497,0.579045,3.6209550000000004,-0.23215825112684635,0.019047619047619053,4.180952380952381,-0.033603340045463274,0.09523809523809526,4.104761904761905,-0.0517494755214805,0.13285714285714287,4.067142857142858,-0.07347125700988275,1.5761904761904764,2.623809523809524,0.44361281125722357,2.901904761904762,1.2980952380952382,0.7819002347861286,3.6266666666666674,0.5733333333333328,0.7768494148649856,3.889047619047619,0.3109523809523811,0.7371046543488032,44555116847.5878,0.15718051811908854,10216278752.7557,-0.8489000455205599,80.910251046009,-0.5791151959875568,1.7,-0.6871613690467888,2.0,0.2249334813208823
6,PEORIA,2014-01,4.15,Improvements_Additions for Apartments_Coops,0.09003181818181817,4.059968181818182,-0.023520893190418644,0.1219931818181818,4.028006818181819,-0.024225491670645846,0.1597090909090909,3.9902909090909096,-0.023755467592914938,0.204425,3.9455750000000003,-0.0346018307900317,0.23822954545454544,3.911770454545455,-0.05387686005970543,0.33795909090909093,3.8120409090909093,-0.14520011003034497,0.5752999999999999,3.5747000000000004,-0.23215825112684635,0.017142857142857144,4.1328571428571435,-0.033603340045463274,0.0690476190476191,4.0809523809523816,-0.0517494755214805,0.11619047619047623,4.033809523809524,-0.07347125700988275,1.6466666666666665,2.503333333333334,0.44361281125722357,2.858095238095238,1.2919047619047626,0.7819002347861286,3.521904761904762,0.6280952380952383,0.7768494148649856,3.76904761904762,0.3809523809523805,0.7371046543488032,44109559396.2995,0.15718051811908854,9473893018.88319,-0.8489000455205599,82.56600445924391,-0.5791151959875568,1.4,-0.6871613690467888,1.8,0.2249334813208823
7,PEORIA,2014-09,3.75,Improvements_Additions for Apartments_Coops,0.09027272727272727,3.659727272727273,-0.023520893190418644,0.12087045454545454,3.6291295454545454,-0.024225491670645846,0.15410454545454544,3.5958954545454547,-0.023755467592914938,0.19699999999999998,3.553,-0.0346018307900317,0.23403181818181817,3.515968181818182,-0.05387686005970543,0.32999090909090917,3.4200090909090908,-0.14520011003034497,0.5770545454545455,3.1729454545454545,-0.23215825112684635,0.01142857142857143,3.7385714285714284,-0.033603340045463274,0.04380952380952382,3.7061904761904763,-0.0517494755214805,0.10952380952380954,3.6404761904761904,-0.07347125700988275,1.7738095238095242,1.9761904761904758,0.44361281125722357,2.5342857142857147,1.2157142857142853,0.7819002347861286,3.0133333333333328,0.7366666666666672,0.7768494148649856,3.26,0.4900000000000002,0.7371046543488032,45241950015.4561,0.15718051811908854,10121843859.6075,-0.8489000455205599,82.4770523961592,-0.5791151959875568,2.3,-0.6871613690467888,1.5,0.2249334813208823
8,PEORIA,2014-11,3.65,Improvements_Additions for Apartments_Coops,0.09656999999999999,3.55343,-0.023520893190418644,0.12222499999999999,3.527775,-0.024225491670645846,0.1548075,3.4951925,-0.023755467592914938,0.20246,3.44754,-0.0346018307900317,0.23286250000000003,3.4171375,-0.05387686005970543,0.32679500000000006,3.3232049999999997,-0.14520011003034497,0.56206,3.0879399999999997,-0.23215825112684635,0.04166666666666668,3.6083333333333334,-0.033603340045463274,0.06944444444444448,3.5805555555555553,-0.0517494755214805,0.13444444444444448,3.5155555555555553,-0.07347125700988275,1.6205555555555557,2.029444444444444,0.44361281125722357,2.325555555555556,1.324444444444444,0.7819002347861286,2.7644444444444445,0.8855555555555554,0.7768494148649856,3.038333333333333,0.6116666666666668,0.7371046543488032,45758876905.2845,0.15718051811908854,11117378455.0815,-0.8489000455205599,82.122236078369,-0.5791151959875568,1.7,-0.6871613690467888,1.5,0.2249334813208823
9,PEORIA,2015-05,3.5733333333333337,Improvements_Additions for Apartments_Coops,0.12315789473684212,3.450175438596492,-0.023520893190418644,0.14795,3.425383333333334,-0.024225491670645846,0.1842289473684211,3.3891043859649126,-0.023755467592914938,0.2296,3.3437333333333337,-0.0346018307900317,0.2795368421052632,3.2937964912280706,-0.05387686005970543,0.41659473684210524,3.1567385964912287,-0.14520011003034497,0.7346236842105265,2.838709649122807,-0.23215825112684635,0.013000000000000001,3.560333333333334,-0.033603340045463274,0.07950000000000002,3.493833333333334,-0.0517494755214805,0.24100000000000002,3.3323333333333336,-0.07347125700988275,1.5385000000000002,2.0348333333333333,0.44361281125722357,2.1975000000000002,1.3758333333333335,0.7819002347861286,2.692,0.8813333333333335,0.7768494148649856,2.9550000000000005,0.6183333333333332,0.7371046543488032,48836554747.323,0.15718051811908854,11837215038.8922,-0.8489000455205599,82.89218119322959,-0.5791151959875568,1.9,-0.6871613690467888,1.4,0.2249334813208823
10,PEORIA,2015-12,3.55,Improvements_Additions for Apartments_Coops,0.2286238095238095,3.3213761904761903,-0.023520893190418644,0.289352380952381,3.260647619047619,-0.024225491670645846,0.3523071428571429,3.197692857142857,-0.023755467592914938,0.44092857142857156,3.1090714285714283,-0.0346018307900317,0.5332357142857143,3.0167642857142853,-0.05387686005970543,0.7638285714285715,2.7861714285714285,-0.14520011003034497,1.0841380952380955,2.4658619047619044,-0.23215825112684635,0.17181818181818184,3.378181818181818,-0.033603340045463274,0.4990909090909091,3.050909090909091,-0.0517494755214805,0.6536363636363638,2.896363636363636,-0.07347125700988275,1.6986363636363635,1.8513636363636363,0.44361281125722357,2.2427272727272736,1.3072727272727263,0.7819002347861286,2.6072727272727274,0.9427272727272724,0.7768494148649856,2.97,0.5799999999999996,0.7371046543488032,48187387172.2131,0.15718051811908854,11492007418.0579,-0.8489000455205599,83.5754036116387,-0.5791151959875568,1.8,-0.6871613690467888,1.4,0.2249334813208823
