month,date,vol,vol_unadj
199,2016-08,50596067254.1766,54928232304
200,2016-09,50249654907.7038,50442105732
201,2016-10,50034086230.3872,47950574760
202,2016-11,49971382532.5922,46318972776
203,2016-12,51124149514.2735,50762410368
204,2017-01,49588706606.1033,43129248756
205,2017-02,48913265551.9221,44375575620
206,2017-03,48441183549.9275,52813383228
207,2017-04,47316214443.3566,47253138804
208,2017-05,48693341763.9087,52633875048
209,2017-06,49068548953.9206,50543281512
210,2017-07,48416221734.2909,50959069656
211,2017-08,47520522623.6854,51630277988
212,2017-09,49256214828.7987,49324814268
213,2017-10,49855182727.6109,47683938576
214,2017-11,50938614889.0817,47456800344
215,2017-12,50617906919.2487,49623966120
216,2018-01,49589347299.2381,43896573528
217,2018-02,49574400061.0285,44991886860
218,2018-03,50828048870.0026,55493004649
219,2018-04,50505964400.0098,50494362322
220,2018-05,50407042046.8076,54230083069
221,2018-06,50165072031.0326,51625288050
222,2018-07,50800995008.8069,53110593981
223,2018-08,50563742345.0186,54775503472
224,2018-09,50593420247.4287,49544879788
225,2018-10,51507450037.54,50038111843
226,2018-11,52055589128.0929,48956218188
227,2018-12,52638985994.1642,51816201775
228,2019-01,54053069327.694,48340385166
