,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(-2),Corr with student_vol(-2),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-3),Corr with mortgage 90(-3),long,lat
0,2010-08,CA,SAN DIEGO,2010-08,3.76,"(-117.1628, 32.7174)",91092.23999999999,Refinancing_Purchase of Apartments_Coops,0.23101619047619049,0.24603472084805877,0.2659952380952381,0.2496512290419353,0.27546238095238096,0.24881675078106916,0.3123080952380952,0.24134830094598228,0.3625466666666667,0.22864531171791852,0.5790957142857143,0.17467817229377602,0.9435780952380955,0.13731186517239857,0.15409090909090908,0.27717072008080335,0.19136363636363637,0.25403122565003944,0.25909090909090904,0.2587305893916856,1.4654545454545451,0.5805232431443546,2.6986363636363637,0.49313694200187413,3.516818181818181,0.26962635390698997,3.8031818181818178,0.2158965489906785,29826615528.9652,0.3000142657068062,11833891080.8667,-0.46274172270351516,92.4549564204629,-0.38832412820132706,2.6,-0.3411209004349992,5.8,-0.18978477841035293,-117.1628,32.7174
1,2010-09,CA,SAN DIEGO,2010-09,3.65,"(-117.048975, 32.771005800000005)",66368.59,Refinancing_Purchase of Apartments_Coops,0.22657136363636363,0.24603472084805877,0.251059090909091,0.2496512290419353,0.25699454545454536,0.24881675078106916,0.2738163636363636,0.24134830094598228,0.2913659090909092,0.22864531171791852,0.4777727272727273,0.17467817229377602,0.8043745454545456,0.13731186517239857,0.1166666666666667,0.27717072008080335,0.19333333333333336,0.25403122565003944,0.2566666666666666,0.2587305893916856,1.4104761904761904,0.5805232431443546,2.6476190476190475,0.49313694200187413,3.4690476190476183,0.26962635390698997,3.773333333333333,0.2158965489906785,30512069858.4251,0.3000142657068062,10534224377.9144,-0.46274172270351516,92.8594669911348,-0.38832412820132706,2.6,-0.3411209004349992,5.5,-0.18978477841035293,-117.048975,32.771005800000005
2,2012-08,CA,SAN DIEGO,2012-08,2.73,"(-117.080816, 32.758998)",14661.51,Refinancing_Purchase of Apartments_Coops,0.15374090909090915,0.24603472084805877,0.18745454545454548,0.2496512290419353,0.23783863636363634,0.24881675078106916,0.3331136363636364,0.24134830094598228,0.43259999999999993,0.22864531171791852,0.7177749999999997,0.17467817229377602,1.0426272727272727,0.13731186517239857,0.09217391304347829,0.27717072008080335,0.14043478260869566,0.25403122565003944,0.18347826086956526,0.2587305893916856,0.7139130434782609,0.5805232431443546,1.6782608695652175,0.49313694200187413,2.3978260869565218,0.26962635390698997,2.7708695652173914,0.2158965489906785,37571290060.6541,0.3000142657068062,14585937143.4485,-0.46274172270351516,90.37816904639429,-0.38832412820132706,2.2,-0.3411209004349992,3.2,-0.18978477841035293,-117.080816,32.758998
3,2012-12,CA,SAN DIEGO,2012-12,2.63,"(122.87981599999999, 11.22797)",29166.244,Refinancing_Purchase of Apartments_Coops,0.1631578947368421,0.24603472084805877,0.1875157894736842,0.2496512290419353,0.21092631578947374,0.24881675078106916,0.2552894736842105,0.24134830094598228,0.30947368421052623,0.22864531171791852,0.5145657894736843,0.17467817229377602,0.8483157894736841,0.13731186517239857,0.039500000000000014,0.27717072008080335,0.11950000000000005,0.25403122565003944,0.1585,0.2587305893916856,0.6960000000000001,0.5805232431443546,1.7189999999999999,0.49313694200187413,2.4675000000000002,0.26962635390698997,2.8835,0.2158965489906785,39268596272.9965,0.3000142657068062,12022315813.7363,-0.46274172270351516,88.794109524791,-0.38832412820132706,2.2,-0.3411209004349992,2.8,-0.18978477841035293,122.87981599999999,11.22797
4,2013-10,CA,SAN DIEGO,2013-10,3.79,"(-117.145839, 32.748988)",42898.65,Refinancing_Purchase of Apartments_Coops,0.10426086956521738,0.24603472084805877,0.13668260869565219,0.2496512290419353,0.17241521739130433,0.24881675078106916,0.21265,0.24134830094598228,0.2417652173913043,0.22864531171791852,0.36121521739130424,0.17467817229377602,0.6177847826086957,0.13731186517239857,0.1059090909090909,0.27717072008080335,0.07590909090909094,0.25403122565003944,0.12136363636363635,0.2587305893916856,1.366818181818182,0.5805232431443546,2.615909090909091,0.49313694200187413,3.3795454545454544,0.26962635390698997,3.6759090909090903,0.2158965489906785,41658198449.9001,0.3000142657068062,10210246554.7955,-0.46274172270351516,85.3165844012547,-0.38832412820132706,1.7,-0.3411209004349992,1.6,-0.18978477841035293,-117.145839,32.748988
5,2014-02,CA,SAN DIEGO,2014-02,4.205,"(-117.17291999999999, 32.75055)",23678.405,Refinancing_Purchase of Apartments_Coops,0.08627,0.24603472084805877,0.11939250000000004,0.2496512290419353,0.155105,0.24881675078106916,0.19663749999999997,0.24134830094598228,0.23520249999999998,0.22864531171791852,0.3308,0.17467817229377602,0.554605,0.13731186517239857,0.046842105263157914,0.27717072008080335,0.08105263157894738,0.25403122565003944,0.11684210526315793,0.2587305893916856,1.5157894736842106,0.5805232431443546,2.7094736842105265,0.49313694200187413,3.3847368421052626,0.26962635390698997,3.6626315789473685,0.2158965489906785,44555116847.5878,0.3000142657068062,9402239044.86975,-0.46274172270351516,82.56600445924391,-0.38832412820132706,1.4,-0.3411209004349992,1.6,-0.18978477841035293,-117.17291999999999,32.75055
6,2014-05,CA,SAN DIEGO,2014-05,3.65,"(-117.1628, 32.7174)",33853.53,Refinancing_Purchase of Apartments_Coops,0.08842000000000001,0.24603472084805877,0.1198375,0.2496512290419353,0.15035749999999998,0.24881675078106916,0.1914675,0.24134830094598228,0.22609000000000004,0.22864531171791852,0.3231200000000001,0.17467817229377602,0.537955,0.13731186517239857,0.026666666666666665,0.27717072008080335,0.05190476190476192,0.25403122565003944,0.0966666666666667,0.2587305893916856,1.5928571428571427,0.5805232431443546,2.559047619047619,0.49313694200187413,3.1152380952380954,0.26962635390698997,3.3899999999999997,0.2158965489906785,43938467193.2505,0.3000142657068062,10653400066.5467,-0.46274172270351516,81.64661519553,-0.38832412820132706,1.5,-0.3411209004349992,1.4,-0.18978477841035293,-117.1628,32.7174
7,2014-06,CA,SAN DIEGO,2014-06,3.88,"(-117.1628, 32.7174)",55333.52,Refinancing_Purchase of Apartments_Coops,0.09278571428571428,0.24603472084805877,0.12241428571428574,0.2496512290419353,0.1523738095238095,0.24881675078106916,0.19377380952380954,0.24134830094598228,0.2309452380952381,0.22864531171791852,0.32388809523809525,0.17467817229377602,0.5421714285714285,0.13731186517239857,0.024285714285714296,0.27717072008080335,0.06047619047619051,0.25403122565003944,0.10476190476190479,0.2587305893916856,1.679047619047619,0.5805232431443546,2.5985714285714288,0.49313694200187413,3.1533333333333333,0.26962635390698997,3.4199999999999995,0.2158965489906785,44931729222.7983,0.3000142657068062,11032404366.8063,-0.46274172270351516,81.06604477988621,-0.38832412820132706,1.2,-0.3411209004349992,1.3,-0.18978477841035293,-117.1628,32.7174
8,2014-11,CA,SAN DIEGO,2014-11,4.1,"(-117.1302, 32.7484)",32789.65,Refinancing_Purchase of Apartments_Coops,0.09656999999999999,0.24603472084805877,0.12222499999999999,0.2496512290419353,0.1548075,0.24881675078106916,0.20246,0.24134830094598228,0.23286250000000003,0.22864531171791852,0.32679500000000006,0.17467817229377602,0.56206,0.13731186517239857,0.04166666666666668,0.27717072008080335,0.06944444444444448,0.25403122565003944,0.13444444444444448,0.2587305893916856,1.6205555555555557,0.5805232431443546,2.325555555555556,0.49313694200187413,2.7644444444444445,0.26962635390698997,3.038333333333333,0.2158965489906785,45241950015.4561,0.3000142657068062,11159124696.1814,-0.46274172270351516,80.33849809561521,-0.38832412820132706,1.4,-0.3411209004349992,1.3,-0.18978477841035293,-117.1302,32.7484
9,2015-06,CA,SAN DIEGO,2015-06,3.3875,"(-117.08578899999999, 32.718916)",32490.225,Refinancing_Purchase of Apartments_Coops,0.12293636363636364,0.24603472084805877,0.14681590909090908,0.2496512290419353,0.1858840909090909,0.24881675078106916,0.23472954545454539,0.24134830094598228,0.2827113636363637,0.22864531171791852,0.43974545454545466,0.17467817229377602,0.7702659090909093,0.13731186517239857,0.007727272727272728,0.27717072008080335,0.08681818181818185,0.25403122565003944,0.2754545454545455,0.2587305893916856,1.6836363636363636,0.5805232431443546,2.3636363636363638,0.49313694200187413,2.8454545454545452,0.26962635390698997,3.1118181818181814,0.2158965489906785,48668534366.8701,0.3000142657068062,11835194000.8273,-0.46274172270351516,82.89218119322959,-0.38832412820132706,1.1,-0.3411209004349992,1.1,-0.18978477841035293,-117.08578899999999,32.718916
