,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-1),Corr with auto_vol(-1),student_vol(2),Corr with student_vol(2),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(4),Corr with mortgage 90(4)
0,2010-11,MI,GRAND RAPIDS,2010-11,4.13,"(-92.186399, 43.857675)",4077.98,Refinancing_Purchase of Apartments_Coops,0.22869727272727272,0.25156011109213566,0.24913818181818187,0.2514658908190581,0.2541922727272727,0.24740805070885932,0.27004181818181816,0.24172900533604727,0.2871204545454545,0.23647933138373547,0.44597000000000014,0.21080127027426426,0.7651345454545454,0.19096919578901256,0.13400000000000004,0.26155907868564554,0.182,0.2533818822068643,0.25200000000000006,0.25777420638315646,1.35,0.43546793906621134,2.7630000000000003,0.4316742505196289,3.817999999999999,0.2635952775948973,4.186,0.22133818021175988,30512069858.4251,0.31898016339414464,11568364841.7538,0.35132078772699166,93.74313363440879,-0.37189738762008956,2.9,-0.37122189649994414,2.6,-0.22105026811165532
1,2012-08,MI,GRAND RAPIDS,2012-08,2.48,"(-85.61731800000001, 42.917035999999996)",31231.81,Refinancing_Purchase of Apartments_Coops,0.15374090909090915,0.25156011109213566,0.18745454545454548,0.2514658908190581,0.23783863636363634,0.24740805070885932,0.3331136363636364,0.24172900533604727,0.43259999999999993,0.23647933138373547,0.7177749999999997,0.21080127027426426,1.0426272727272727,0.19096919578901256,0.09217391304347829,0.26155907868564554,0.14043478260869566,0.2533818822068643,0.18347826086956526,0.25777420638315646,0.7139130434782609,0.43546793906621134,1.6782608695652175,0.4316742505196289,2.3978260869565218,0.2635952775948973,2.7708695652173914,0.22133818021175988,36601383816.48,0.31898016339414464,12022315813.7363,0.35132078772699166,90.2956809830492,-0.37189738762008956,3.1,-0.37122189649994414,2.1,-0.22105026811165532
2,2012-12,MI,GRAND RAPIDS,2012-12,3.07,"(-85.668163, 42.959482)",5475.709999999999,Refinancing_Purchase of Apartments_Coops,0.1631578947368421,0.25156011109213566,0.1875157894736842,0.2514658908190581,0.21092631578947374,0.24740805070885932,0.2552894736842105,0.24172900533604727,0.30947368421052623,0.23647933138373547,0.5145657894736843,0.21080127027426426,0.8483157894736841,0.19096919578901256,0.039500000000000014,0.26155907868564554,0.11950000000000005,0.2533818822068643,0.1585,0.25777420638315646,0.6960000000000001,0.43546793906621134,1.7189999999999999,0.4316742505196289,2.4675000000000002,0.2635952775948973,2.8835,0.22133818021175988,38410438812.4053,0.31898016339414464,11080080767.5225,0.35132078772699166,88.920473853359,-0.37189738762008956,2.2,-0.37122189649994414,1.7,-0.22105026811165532
3,2013-07,MI,GRAND RAPIDS,2013-07,4.2,"(-85.701153, 42.983813)",36767.56,Refinancing_Purchase of Apartments_Coops,0.12117913043478262,0.25156011109213566,0.15611695652173913,0.2514658908190581,0.19111913043478265,0.24740805070885932,0.232388695652174,0.24172900533604727,0.26758260869565215,0.23647933138373547,0.40307869565217386,0.21080127027426426,0.6838491304347826,0.19096919578901256,0.020909090909090912,0.26155907868564554,0.07363636363636367,0.2533818822068643,0.12181818181818184,0.25777420638315646,1.4031818181818183,0.43546793906621134,2.5822727272727275,0.4316742505196289,3.3072727272727276,0.2635952775948973,3.605,0.22133818021175988,41507587847.7023,0.31898016339414464,10216278752.7557,0.35132078772699166,85.7873584996498,-0.37189738762008956,2.4,-0.37122189649994414,1.3,-0.22105026811165532
4,2013-08,MI,GRAND RAPIDS,2013-08,3.6,"(-85.517259, 42.91601)",19781.77,Refinancing_Purchase of Apartments_Coops,0.11782999999999999,0.25156011109213566,0.1493142857142857,0.2514658908190581,0.1840704761904762,0.24740805070885932,0.22633523809523812,0.24172900533604727,0.2633952380952381,0.23647933138373547,0.3949285714285714,0.21080127027426426,0.6679499999999999,0.19096919578901256,0.03681818181818183,0.26155907868564554,0.07181818181818184,0.2533818822068643,0.12681818181818183,0.25777420638315646,1.5204545454545455,0.43546793906621134,2.7372727272727273,0.4316742505196289,3.488181818181818,0.2635952775948973,3.757727272727273,0.22133818021175988,41471481477.9035,0.31898016339414464,9473893018.88319,0.35132078772699166,88.4263020205016,-0.37189738762008956,2.7,-0.37122189649994414,1.3,-0.22105026811165532
5,2014-10,MI,GRAND RAPIDS,2014-10,4.75,"(-85.63656, 42.987059)",5262.05,Refinancing_Purchase of Apartments_Coops,0.09059565217391304,0.25156011109213566,0.11953260869565213,0.2514658908190581,0.15351739130434783,0.24740805070885932,0.1974043478260869,0.24172900533604727,0.2313760869565217,0.23647933138373547,0.3236195652173913,0.21080127027426426,0.5523869565217392,0.19096919578901256,0.020909090909090912,0.26155907868564554,0.05045454545454548,0.2533818822068643,0.10454545454545458,0.25777420638315646,1.5459090909090911,0.43546793906621134,2.304090909090909,0.4316742505196289,2.7731818181818184,0.2635952775948973,3.039999999999999,0.22133818021175988,44885858708.7515,0.31898016339414464,14245911418.8887,0.35132078772699166,80.33849809561521,-0.37189738762008956,1.7,-0.37122189649994414,1.0,-0.22105026811165532
6,2015-02,MI,GRAND RAPIDS,2015-02,3.88,"(-85.703542, 42.996992999999996)",35749.29,Refinancing_Purchase of Apartments_Coops,0.11784999999999998,0.25156011109213566,0.13764249999999997,0.2514658908190581,0.17207499999999998,0.24740805070885932,0.2121925,0.24172900533604727,0.25842,0.23647933138373547,0.37596500000000005,0.21080127027426426,0.6601375,0.19096919578901256,0.017894736842105265,0.26155907868564554,0.07105263157894741,0.2533818822068643,0.22421052631578947,0.25777420638315646,1.472631578947368,0.43546793906621134,1.9752631578947366,0.4316742505196289,2.3384210526315794,0.2635952775948973,2.566315789473684,0.22133818021175988,45667781053.6763,0.31898016339414464,11835194000.8273,0.35132078772699166,83.34061286074021,-0.37189738762008956,1.8,-0.37122189649994414,0.9,-0.22105026811165532
7,2015-05,MI,GRAND RAPIDS,2015-05,3.18,"(-85.64780920000001, 42.8532652)",30838.93,Refinancing_Purchase of Apartments_Coops,0.12315789473684212,0.25156011109213566,0.14795,0.2514658908190581,0.1842289473684211,0.24740805070885932,0.2296,0.24172900533604727,0.2795368421052632,0.23647933138373547,0.41659473684210524,0.21080127027426426,0.7346236842105265,0.19096919578901256,0.013000000000000001,0.26155907868564554,0.07950000000000002,0.2533818822068643,0.24100000000000002,0.25777420638315646,1.5385000000000002,0.43546793906621134,2.1975000000000002,0.4316742505196289,2.692,0.2635952775948973,2.9550000000000005,0.22133818021175988,47036055605.935,0.31898016339414464,11834405659.8436,0.35132078772699166,82.89218119322959,-0.37189738762008956,2.1,-0.37122189649994414,0.7,-0.22105026811165532
8,2015-08,MI,GRAND RAPIDS,2015-08,4.15,"(-85.669943, 42.961881)",16082.59,Refinancing_Purchase of Apartments_Coops,0.13010000000000005,0.25156011109213566,0.151965,0.2514658908190581,0.1967275,0.24740805070885932,0.2610100000000001,0.24172900533604727,0.3207975,0.23647933138373547,0.5193599999999999,0.21080127027426426,0.8364375,0.19096919578901256,0.03523809523809525,0.26155907868564554,0.22000000000000006,0.2533818822068643,0.3757142857142857,0.25777420638315646,1.5414285714285714,0.43546793906621134,2.167142857142857,0.4316742505196289,2.5466666666666664,0.2635952775948973,2.8557142857142854,0.22133818021175988,48668534366.8701,0.31898016339414464,11758109185.709,0.35132078772699166,81.9752078939728,-0.37189738762008956,2.0,-0.37122189649994414,0.8,-0.22105026811165532
9,2016-01,MI,GRAND RAPIDS,2016-01,3.67,"(-85.621638, 43.032647)",46607.05,Refinancing_Purchase of Apartments_Coops,0.36607999999999996,0.25156011109213566,0.387725,0.2514658908190581,0.42545,0.24740805070885932,0.5163949999999999,0.24172900533604727,0.6195525000000001,0.23647933138373547,0.8560224999999999,0.21080127027426426,1.1534299999999997,0.19096919578901256,0.22736842105263158,0.26155907868564554,0.43473684210526314,0.2533818822068643,0.5431578947368422,0.25777420638315646,1.5184210526315787,0.43546793906621134,2.085263157894737,0.4316742505196289,2.4889473684210524,0.2635952775948973,2.8584210526315785,0.22133818021175988,48291644449.3811,0.31898016339414464,11362184412.0981,0.35132078772699166,84.0267577476249,-0.37189738762008956,1.6,-0.37122189649994414,0.6,-0.22105026811165532
