,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(4),Corr with student_vol(4),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-1),Corr with mortgage 30-89(-1),mortgage 90(2),Corr with mortgage 90(2)
0,NE,OMAHA,2010-11,4.85,Refinancing_Purchase of Apartments_Coops,0.22869727272727272,4.6213027272727265,0.2634746324728561,0.24913818181818187,4.6008618181818175,0.25994446955188455,0.2541922727272727,4.595807727272727,0.2498661226887101,0.27004181818181816,4.579958181818181,0.23566370700825406,0.2871204545454545,4.562879545454545,0.21972257291588196,0.44597000000000014,4.40403,0.19390282920640933,0.7651345454545454,4.084865454545454,0.18904996781138775,0.13400000000000004,4.715999999999999,0.24544253009978398,0.182,4.667999999999999,0.25286189744304494,0.25200000000000006,4.598,0.2654281352815557,1.35,3.4999999999999996,0.5455904916204963,2.7630000000000003,2.0869999999999993,0.7774046878079128,3.817999999999999,1.0320000000000005,0.7739861254568595,4.186,0.6639999999999997,0.7388299003422722,31565012894.7234,-0.29025179997238065,11311909309.5948,0.4857591425278641,95.21340255359091,0.4007750957002498,3.2,0.10637387143256752,2.2,0.1397512695226342
1,NE,OMAHA,2010-12,5.25,Refinancing_Purchase of Apartments_Coops,0.24122190476190472,5.008778095238095,0.2634746324728561,0.25412380952380953,4.99587619047619,0.25994446955188455,0.26178857142857137,4.988211428571429,0.2498661226887101,0.28196571428571415,4.968034285714285,0.23566370700825406,0.30272333333333334,4.947276666666666,0.21972257291588196,0.4583942857142857,4.791605714285715,0.19390282920640933,0.7839004761904763,4.466099523809524,0.18904996781138775,0.0854166666666667,5.164583333333333,0.24544253009978398,0.19333333333333338,5.056666666666667,0.25286189744304494,0.2937499999999999,4.95625,0.2654281352815557,1.9429166666666664,3.307083333333334,0.5455904916204963,3.2949999999999995,1.9550000000000005,0.7774046878079128,4.173333333333333,1.076666666666667,0.7739861254568595,4.415,0.835,0.7388299003422722,31252070876.7547,-0.29025179997238065,15995126134.7035,0.4857591425278641,95.6415096715633,0.4007750957002498,2.9,0.10637387143256752,2.1,0.1397512695226342
2,NE,OMAHA,2011-08,4.125,Refinancing_Purchase of Apartments_Coops,0.14468363636363638,3.9803163636363634,0.2634746324728561,0.18038681818181818,3.9446131818181818,0.25994446955188455,0.21116590909090904,3.913834090909091,0.2498661226887101,0.24895727272727275,3.8760427272727274,0.23566370700825406,0.29323772727272723,3.8317622727272727,0.21972257291588196,0.45919454545454547,3.6658054545454544,0.19390282920640933,0.7783581818181818,3.3466418181818183,0.18904996781138775,0.017391304347826094,4.107608695652174,0.24544253009978398,0.06217391304347828,4.062826086956521,0.25286189744304494,0.11478260869565218,4.010217391304348,0.2654281352815557,1.021304347826087,3.103695652173913,0.5455904916204963,2.303043478260869,1.8219565217391311,0.7774046878079128,3.244782608695652,0.8802173913043481,0.7739861254568595,3.6513043478260867,0.4736956521739133,0.7388299003422722,35344521679.5642,-0.29025179997238065,11508699084.1195,0.4857591425278641,92.5881563190625,0.4007750957002498,2.8,0.10637387143256752,1.9,0.1397512695226342
3,NE,OMAHA,2012-02,3.61,Refinancing_Purchase of Apartments_Coops,0.1410714285714286,3.468928571428571,0.2634746324728561,0.19146190476190478,3.418538095238095,0.25994446955188455,0.2500238095238095,3.3599761904761904,0.2498661226887101,0.3686547619047619,3.241345238095238,0.23566370700825406,0.5032404761904763,3.1067595238095236,0.21972257291588196,0.7572880952380953,2.8527119047619047,0.19390282920640933,1.0711880952380954,2.5388119047619044,0.18904996781138775,0.06350000000000003,3.5465,0.24544253009978398,0.124,3.4859999999999998,0.25286189744304494,0.161,3.449,0.2654281352815557,0.8310000000000001,2.779,0.5455904916204963,1.9674999999999998,1.6425,0.7774046878079128,2.7479999999999998,0.8620000000000001,0.7739861254568595,3.109,0.5009999999999999,0.7388299003422722,36186315501.0541,-0.29025179997238065,14585937143.4485,0.4857591425278641,91.3646878868074,0.4007750957002498,2.7,0.10637387143256752,1.8,0.1397512695226342
4,NE,OMAHA,2012-03,3.4,Refinancing_Purchase of Apartments_Coops,0.14720000000000003,3.2527999999999997,0.2634746324728561,0.1893409090909091,3.2106590909090906,0.25994446955188455,0.24185227272727275,3.158147727272727,0.2498661226887101,0.35079999999999995,3.0492,0.23566370700825406,0.4732886363636363,2.9267113636363637,0.21972257291588196,0.741275,2.658725,0.19390282920640933,1.0534477272727274,2.3465522727272727,0.18904996781138775,0.06363636363636366,3.3363636363636364,0.24544253009978398,0.14227272727272727,3.257727272727273,0.25286189744304494,0.19000000000000003,3.21,0.2654281352815557,1.0172727272727273,2.382727272727273,0.5455904916204963,2.1727272727272724,1.2272727272727275,0.7774046878079128,2.9404545454545454,0.4595454545454545,0.7739861254568595,3.281363636363636,0.1186363636363641,0.7388299003422722,36601383816.48,-0.29025179997238065,16111780903.4699,0.4857591425278641,90.35087768078328,0.4007750957002498,2.3,0.10637387143256752,1.9,0.1397512695226342
5,NE,OMAHA,2012-06,3.1,Refinancing_Purchase of Apartments_Coops,0.163,2.9370000000000003,0.2634746324728561,0.19464736842105262,2.9053526315789475,0.25994446955188455,0.24319736842105263,2.8568026315789474,0.2498661226887101,0.3459342105263157,2.7540657894736844,0.23566370700825406,0.46558684210526313,2.6344131578947367,0.21972257291588196,0.7364000000000004,2.3636,0.19390282920640933,1.0691894736842107,2.0308105263157894,0.18904996781138775,0.05190476190476193,3.048095238095238,0.24544253009978398,0.14809523809523809,2.951904761904762,0.25286189744304494,0.18904761904761905,2.910952380952381,0.2654281352815557,0.7114285714285714,2.388571428571429,0.5455904916204963,1.6223809523809525,1.4776190476190476,0.7774046878079128,2.3061904761904763,0.7938095238095237,0.7739861254568595,2.698095238095238,0.401904761904762,0.7388299003422722,37685204803.0042,-0.29025179997238065,12022315813.7363,0.4857591425278641,90.6452366150782,0.4007750957002498,2.6,0.10637387143256752,1.8,0.1397512695226342
6,NE,OMAHA,2012-09,3.14,Refinancing_Purchase of Apartments_Coops,0.15189500000000006,2.988105,0.2634746324728561,0.183625,2.956375,0.25994446955188455,0.22133750000000002,2.9186625,0.2498661226887101,0.3079875,2.8320125000000003,0.23566370700825406,0.3856325000000001,2.7543675,0.21972257291588196,0.6716749999999999,2.468325,0.19390282920640933,0.9997750000000002,2.140225,0.18904996781138775,0.07526315789473685,3.064736842105263,0.24544253009978398,0.13736842105263158,3.0026315789473683,0.25286189744304494,0.17578947368421055,2.9642105263157896,0.2654281352815557,0.6689473684210526,2.4710526315789476,0.5455904916204963,1.7231578947368422,1.416842105263158,0.7774046878079128,2.488421052631579,0.6515789473684213,0.7739861254568595,2.8815789473684212,0.2584210526315789,0.7388299003422722,39268596272.9965,-0.29025179997238065,11154944519.578999,0.4857591425278641,89.6038877472871,0.4007750957002498,2.7,0.10637387143256752,1.8,0.1397512695226342
7,NE,OMAHA,2012-10,2.43,Refinancing_Purchase of Apartments_Coops,0.15320434782608702,2.276795652173913,0.2634746324728561,0.17955217391304346,2.2504478260869565,0.25994446955188455,0.21346521739130433,2.216534782608696,0.2498661226887101,0.2717391304347827,2.1582608695652175,0.23566370700825406,0.3304891304347827,2.0995108695652176,0.21972257291588196,0.5823021739130435,1.8476978260869568,0.19390282920640933,0.9185760869565219,1.5114239130434783,0.18904996781138775,0.10952380952380951,2.3204761904761906,0.24544253009978398,0.14904761904761904,2.2809523809523813,0.25286189744304494,0.17952380952380956,2.2504761904761907,0.2654281352815557,0.7085714285714285,1.7214285714285715,0.5455904916204963,1.7461904761904758,0.6838095238095243,0.7774046878079128,2.505714285714286,-0.07571428571428562,0.7739861254568595,2.90047619047619,-0.47047619047619005,0.7388299003422722,39658399389.4891,-0.29025179997238065,11080080767.5225,0.4857591425278641,89.56768058609659,0.4007750957002498,3.0,0.10637387143256752,1.8,0.1397512695226342
8,NE,OMAHA,2012-11,2.73,Refinancing_Purchase of Apartments_Coops,0.1555,2.5745,0.2634746324728561,0.18060909090909089,2.549390909090909,0.25994446955188455,0.20888636363636362,2.521113636363636,0.2498661226887101,0.25813636363636355,2.4718636363636364,0.23566370700825406,0.31102272727272723,2.4189772727272727,0.21972257291588196,0.528347727272727,2.201652272727273,0.19390282920640933,0.8631931818181818,1.8668068181818183,0.18904996781138775,0.12449999999999999,2.6055,0.24544253009978398,0.14450000000000002,2.5855,0.25286189744304494,0.17850000000000002,2.5515,0.2654281352815557,0.665,2.065,0.5455904916204963,1.654,1.076,0.7774046878079128,2.3894999999999995,0.34050000000000047,0.7739861254568595,2.8034999999999997,-0.07349999999999968,0.7388299003422722,39298206327.5877,-0.29025179997238065,9855625468.0504,0.4857591425278641,89.02745876405929,0.4007750957002498,2.8,0.10637387143256752,1.7,0.1397512695226342
9,NE,OMAHA,2012-12,2.81,Refinancing_Purchase of Apartments_Coops,0.1631578947368421,2.646842105263158,0.2634746324728561,0.1875157894736842,2.622484210526316,0.25994446955188455,0.21092631578947374,2.599073684210526,0.2498661226887101,0.2552894736842105,2.5547105263157897,0.23566370700825406,0.30947368421052623,2.500526315789474,0.21972257291588196,0.5145657894736843,2.2954342105263157,0.19390282920640933,0.8483157894736841,1.961684210526316,0.18904996781138775,0.039500000000000014,2.7705,0.24544253009978398,0.11950000000000005,2.6905,0.25286189744304494,0.1585,2.6515,0.2654281352815557,0.6960000000000001,2.114,0.5455904916204963,1.7189999999999999,1.0910000000000002,0.7774046878079128,2.4675000000000002,0.3424999999999998,0.7739861254568595,2.8835,-0.07350000000000012,0.7388299003422722,40395555554.9932,-0.29025179997238065,9123117418.53368,0.4857591425278641,89.6061116730853,0.4007750957002498,2.7,0.10637387143256752,1.9,0.1397512695226342
