,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(3),Corr with auto_vol(3),student_vol(3),Corr with student_vol(3),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-1),Corr with mortgage 90(-1)
0,MI,LANSING,2011-06,3.58,Refinancing_Purchase of Apartments_Coops,0.12706818181818183,3.4529318181818183,0.44006008749281605,0.1615431818181819,3.4184568181818182,0.44572783353419654,0.18716409090909092,3.392835909090909,0.45160391917698556,0.21923909090909086,3.360760909090909,0.4458709846944285,0.24782409090909094,3.332175909090909,0.4442933729645213,0.39758,3.18242,0.3920937756073078,0.7268749999999999,2.8531250000000004,0.36223068580333373,0.0190909090909091,3.560909090909091,0.419047376708045,0.1013636363636364,3.4786363636363635,0.4262365163357637,0.18090909090909094,3.399090909090909,0.4422881422844637,1.5799999999999998,2.0,0.6904542646681376,3.002272727272727,0.5777272727272731,0.5976433420317893,3.9145454545454546,-0.3345454545454545,0.36824959572576693,4.2327272727272724,-0.6527272727272724,0.2588323632930385,33690910289.8878,0.3447433558647565,11655650147.2578,0.5903955622530661,90.5649414475864,-0.3461311345670016,3.3,-0.6669451936513191,2.9,-0.49380660997647013
1,MI,LANSING,2011-08,4.6,Refinancing_Purchase of Apartments_Coops,0.14468363636363638,4.4553163636363635,0.44006008749281605,0.18038681818181818,4.419613181818182,0.44572783353419654,0.21116590909090904,4.388834090909091,0.45160391917698556,0.24895727272727275,4.351042727272727,0.4458709846944285,0.29323772727272723,4.306762272727273,0.4442933729645213,0.45919454545454547,4.140805454545454,0.3920937756073078,0.7783581818181818,3.821641818181818,0.36223068580333373,0.017391304347826094,4.582608695652174,0.419047376708045,0.06217391304347828,4.537826086956521,0.4262365163357637,0.11478260869565218,4.485217391304348,0.4422881422844637,1.021304347826087,3.578695652173913,0.6904542646681376,2.303043478260869,2.296956521739131,0.5976433420317893,3.244782608695652,1.3552173913043477,0.36824959572576693,3.6513043478260867,0.9486956521739129,0.2588323632930385,34825519831.2788,0.3447433558647565,11784187253.6333,0.5903955622530661,90.4806728327692,-0.3461311345670016,2.7,-0.6669451936513191,2.9,-0.49380660997647013
2,MI,LANSING,2011-10,3.98,Refinancing_Purchase of Apartments_Coops,0.1416352380952381,3.838364761904762,0.44006008749281605,0.19074095238095234,3.7892590476190477,0.44572783353419654,0.24373904761904758,3.7362609523809525,0.45160391917698556,0.3185252380952381,3.661474761904762,0.4458709846944285,0.4064785714285714,3.5735214285714285,0.4442933729645213,0.59521,3.3847899999999997,0.3920937756073078,0.9086428571428572,3.071357142857143,0.36223068580333373,0.013500000000000003,3.9665,0.419047376708045,0.05450000000000003,3.9255,0.4262365163357637,0.1145,3.8655,0.4422881422844637,1.0614999999999999,2.9185,0.6904542646681376,2.1519999999999997,1.8280000000000003,0.5976433420317893,2.8695,1.1105,0.36824959572576693,3.128,0.8519999999999999,0.2588323632930385,35385458151.3724,0.3447433558647565,11510278467.2037,0.5903955622530661,90.35087768078328,-0.3461311345670016,2.7,-0.6669451936513191,2.9,-0.49380660997647013
3,MI,LANSING,2012-09,2.38,Refinancing_Purchase of Apartments_Coops,0.15189500000000006,2.228105,0.44006008749281605,0.183625,2.1963749999999997,0.44572783353419654,0.22133750000000002,2.1586624999999997,0.45160391917698556,0.3079875,2.0720125,0.4458709846944285,0.3856325000000001,1.9943674999999998,0.4442933729645213,0.6716749999999999,1.7083249999999999,0.3920937756073078,0.9997750000000002,1.3802249999999998,0.36223068580333373,0.07526315789473685,2.304736842105263,0.419047376708045,0.13736842105263158,2.2426315789473685,0.4262365163357637,0.17578947368421055,2.2042105263157894,0.4422881422844637,0.6689473684210526,1.7110526315789474,0.6904542646681376,1.7231578947368422,0.6568421052631577,0.5976433420317893,2.488421052631579,-0.10842105263157897,0.36824959572576693,2.8815789473684212,-0.5015789473684213,0.2588323632930385,38808856509.5085,0.3447433558647565,11337096053.4966,0.5903955622530661,90.37816904639429,-0.3461311345670016,3.0,-0.6669451936513191,2.7,-0.49380660997647013
4,MI,LANSING,2012-10,2.95,Refinancing_Purchase of Apartments_Coops,0.15320434782608702,2.796795652173913,0.44006008749281605,0.17955217391304346,2.770447826086957,0.44572783353419654,0.21346521739130433,2.736534782608696,0.45160391917698556,0.2717391304347827,2.6782608695652175,0.4458709846944285,0.3304891304347827,2.6195108695652176,0.4442933729645213,0.5823021739130435,2.367697826086957,0.3920937756073078,0.9185760869565219,2.0314239130434784,0.36223068580333373,0.10952380952380951,2.8404761904761906,0.419047376708045,0.14904761904761904,2.8009523809523813,0.4262365163357637,0.17952380952380956,2.7704761904761908,0.4422881422844637,0.7085714285714285,2.2414285714285715,0.6904542646681376,1.7461904761904758,1.2038095238095243,0.5976433420317893,2.505714285714286,0.4442857142857144,0.36824959572576693,2.90047619047619,0.04952380952380997,0.2588323632930385,39268596272.9965,0.3447433558647565,11154944519.578999,0.5903955622530661,90.2956809830492,-0.3461311345670016,3.0,-0.6669451936513191,2.6,-0.49380660997647013
5,MI,LANSING,2012-12,2.55,Refinancing_Purchase of Apartments_Coops,0.1631578947368421,2.386842105263158,0.44006008749281605,0.1875157894736842,2.3624842105263157,0.44572783353419654,0.21092631578947374,2.339073684210526,0.45160391917698556,0.2552894736842105,2.2947105263157894,0.4458709846944285,0.30947368421052623,2.2405263157894737,0.4442933729645213,0.5145657894736843,2.0354342105263155,0.3920937756073078,0.8483157894736841,1.7016842105263157,0.36223068580333373,0.039500000000000014,2.5105,0.419047376708045,0.11950000000000005,2.4305,0.4262365163357637,0.1585,2.3914999999999997,0.4422881422844637,0.6960000000000001,1.8539999999999996,0.6904542646681376,1.7189999999999999,0.831,0.5976433420317893,2.4675000000000002,0.08249999999999957,0.36824959572576693,2.8835,-0.33350000000000035,0.2588323632930385,39298206327.5877,0.3447433558647565,9855625468.0504,0.5903955622530661,91.578064558499,-0.3461311345670016,3.2,-0.6669451936513191,2.6,-0.49380660997647013
6,MI,LANSING,2013-04,3.2,Refinancing_Purchase of Apartments_Coops,0.1539047619047619,3.0460952380952384,0.44006008749281605,0.17210476190476193,3.027895238095238,0.44572783353419654,0.19953333333333334,3.000466666666667,0.45160391917698556,0.24005714285714277,2.9599428571428574,0.4458709846944285,0.27714285714285714,2.922857142857143,0.4442933729645213,0.4360190476190476,2.7639809523809524,0.3920937756073078,0.7168333333333334,2.4831666666666665,0.36223068580333373,0.049090909090909116,3.150909090909091,0.419047376708045,0.09409090909090913,3.105909090909091,0.4262365163357637,0.12454545454545456,3.0754545454545457,0.4422881422844637,0.7104545454545454,2.4895454545454547,0.6904542646681376,1.7590909090909093,1.440909090909091,0.5976433420317893,2.5500000000000003,0.6499999999999999,0.36824959572576693,2.9327272727272726,0.26727272727272755,0.2588323632930385,41471481477.9035,0.3447433558647565,8901986132.75728,0.5903955622530661,88.29263433660921,-0.3461311345670016,3.1,-0.6669451936513191,2.4,-0.49380660997647013
7,MI,LANSING,2013-08,3.95,Refinancing_Purchase of Apartments_Coops,0.11782999999999999,3.83217,0.44006008749281605,0.1493142857142857,3.8006857142857147,0.44572783353419654,0.1840704761904762,3.765929523809524,0.45160391917698556,0.22633523809523812,3.7236647619047623,0.4458709846944285,0.2633952380952381,3.686604761904762,0.4442933729645213,0.3949285714285714,3.555071428571429,0.3920937756073078,0.6679499999999999,3.2820500000000004,0.36223068580333373,0.03681818181818183,3.9131818181818185,0.419047376708045,0.07181818181818184,3.8781818181818184,0.4262365163357637,0.12681818181818183,3.8231818181818182,0.4422881422844637,1.5204545454545455,2.4295454545454547,0.6904542646681376,2.7372727272727273,1.2127272727272729,0.5976433420317893,3.488181818181818,0.46181818181818235,0.36824959572576693,3.757727272727273,0.19227272727272737,0.2588323632930385,41658198449.9001,0.3447433558647565,10396023519.0372,0.5903955622530661,86.47441597957871,-0.3461311345670016,2.4,-0.6669451936513191,2.0,-0.49380660997647013
8,MI,LANSING,2014-05,4.1,Refinancing_Purchase of Apartments_Coops,0.08842000000000001,4.0115799999999995,0.44006008749281605,0.1198375,3.9801624999999996,0.44572783353419654,0.15035749999999998,3.9496424999999995,0.45160391917698556,0.1914675,3.9085324999999997,0.4458709846944285,0.22609000000000004,3.8739099999999995,0.4442933729645213,0.3231200000000001,3.7768799999999993,0.3920937756073078,0.537955,3.5620449999999995,0.36223068580333373,0.026666666666666665,4.073333333333333,0.419047376708045,0.05190476190476192,4.048095238095238,0.4262365163357637,0.0966666666666667,4.003333333333333,0.4422881422844637,1.5928571428571427,2.507142857142857,0.6904542646681376,2.559047619047619,1.5409523809523806,0.5976433420317893,3.1152380952380954,0.9847619047619043,0.36824959572576693,3.3899999999999997,0.71,0.2588323632930385,45277214883.1472,0.3447433558647565,11117378455.0815,0.5903955622530661,81.9669757663089,-0.3461311345670016,2.6,-0.6669451936513191,1.5,-0.49380660997647013
9,MI,LANSING,2014-08,3.88,Refinancing_Purchase of Apartments_Coops,0.090785,3.789215,0.44006008749281605,0.121725,3.758275,0.44572783353419654,0.15602,3.72398,0.45160391917698556,0.19527250000000002,3.6847274999999997,0.4458709846944285,0.23465000000000003,3.6453499999999996,0.4442933729645213,0.32965500000000003,3.550345,0.3920937756073078,0.55889,3.32111,0.36223068580333373,0.030000000000000006,3.85,0.419047376708045,0.0523809523809524,3.8276190476190477,0.4262365163357637,0.10714285714285714,3.7728571428571427,0.4422881422844637,1.6314285714285717,2.248571428571428,0.6904542646681376,2.42,1.46,0.5976433420317893,2.9366666666666665,0.9433333333333334,0.36824959572576693,3.2009523809523808,0.6790476190476191,0.2588323632930385,44940573200.2924,0.3447433558647565,11357071284.6333,0.5903955622530661,82.2508390398281,-0.3461311345670016,1.8,-0.6669451936513191,1.5,-0.49380660997647013
10,MI,LANSING,2014-12,3.63,Refinancing_Purchase of Apartments_Coops,0.1101,3.5199,0.44006008749281605,0.1330809523809524,3.4969190476190475,0.44572783353419654,0.16305,3.4669499999999998,0.45160391917698556,0.20744285714285715,3.422557142857143,0.4458709846944285,0.2446071428571429,3.385392857142857,0.4442933729645213,0.34302142857142864,3.286978571428571,0.3920937756073078,0.6021190476190476,3.0278809523809525,0.36223068580333373,0.02500000000000001,3.605,0.419047376708045,0.1063636363636364,3.5236363636363635,0.4262365163357637,0.21454545454545454,3.4154545454545455,0.4422881422844637,1.64,1.99,0.6904542646681376,2.2072727272727275,1.4227272727272724,0.5976433420317893,2.5504545454545453,1.0795454545454546,0.36824959572576693,2.8331818181818185,0.7968181818181814,0.2588323632930385,47944164595.1044,0.3447433558647565,12019442988.8631,0.5903955622530661,80.33849809561521,-0.3461311345670016,2.1,-0.6669451936513191,1.6,-0.49380660997647013
11,MI,LANSING,2016-09,4.15,Refinancing_Purchase of Apartments_Coops,0.42159363636363634,3.7284063636363642,0.44006008749281605,0.4495609090909092,3.700439090909091,0.44572783353419654,0.5270018181818182,3.6229981818181822,0.45160391917698556,0.6625254545454545,3.4874745454545457,0.4458709846944285,0.8496804545454547,3.3003195454545455,0.4442933729645213,1.2471445454545458,2.9028554545454544,0.3920937756073078,1.5560313636363639,2.5939686363636367,0.36223068580333373,0.1914285714285715,3.958571428571429,0.419047376708045,0.4671428571428572,3.6828571428571433,0.4262365163357637,0.5933333333333333,3.556666666666667,0.4422881422844637,1.178095238095238,2.9719047619047623,0.6904542646681376,1.6304761904761906,2.5195238095238097,0.5976433420317893,2.0152380952380957,2.1347619047619046,0.36824959572576693,2.350476190476191,1.7995238095238095,0.2588323632930385,51124149514.2735,0.3447433558647565,12605986919.9069,0.5903955622530661,88.43997566936979,-0.3461311345670016,1.9,-0.6669451936513191,0.8,-0.49380660997647013
12,MI,LANSING,2018-08,4.7,Refinancing_Purchase of Apartments_Coops,1.916485,2.7835150000000004,0.44006008749281605,1.9541377272727276,2.7458622727272726,0.44572783353419654,2.074109545454545,2.625890454545455,0.45160391917698556,2.18963,2.51037,0.4458709846944285,2.323575,2.3764250000000002,0.4442933729645213,2.5196563636363636,2.1803436363636366,0.3920937756073078,2.8215668181818185,1.8784331818181816,0.36223068580333373,1.9408695652173917,2.7591304347826084,0.419047376708045,2.244347826086957,2.4556521739130432,0.4262365163357637,2.445652173913043,2.254347826086957,0.4422881422844637,2.7678260869565223,1.9321739130434779,0.6904542646681376,2.889130434782609,1.8108695652173914,0.5976433420317893,2.970434782608696,1.729565217391304,0.36824959572576693,3.041739130434783,1.658260869565217,0.2588323632930385,52055589128.0929,0.3447433558647565,14022336972.3533,0.5903955622530661,,-0.3461311345670016,1.1,-0.6669451936513191,0.7,-0.49380660997647013
