,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(-2),Corr with student_vol(-2),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2009-11,MA,BOSTON,2009-11,3.78,"(-71.0596, 42.3605)",35835.92,Refinancing_Purchase of Apartments_Coops,0.1780742857142857,0.17474578436987426,0.21678666666666663,0.17319490887999028,0.2378266666666667,0.16653126816811015,0.24931714285714288,0.1634433609414012,0.2681409523809524,0.14928456522141023,0.516785238095238,0.115271010599568,1.0843766666666663,0.0860839728139535,0.052631578947368446,0.19448421231985377,0.15473684210526314,0.15241302476963972,0.3131578947368421,0.12270219433650917,2.230526315789474,0.08272000770874241,3.402631578947368,0.16842994956726104,4.235263157894737,0.17877940076532645,4.314736842105263,0.16361528688591925,27482962505.147003,-0.23341530976839303,12891808542.898,0.21172850449743794,105.55167238105,0.167776040015088,3.2,0.26531640791608124,3.7,0.2816535127532796,-71.0596,42.3605
1,2010-11,MA,BOSTON,2010-11,5.1,"(-71.12593000000001, 41.855531)",215088.89,Refinancing_Purchase of Apartments_Coops,0.22869727272727272,0.17474578436987426,0.24913818181818187,0.17319490887999028,0.2541922727272727,0.16653126816811015,0.27004181818181816,0.1634433609414012,0.2871204545454545,0.14928456522141023,0.44597000000000014,0.115271010599568,0.7651345454545454,0.0860839728139535,0.13400000000000004,0.19448421231985377,0.182,0.15241302476963972,0.25200000000000006,0.12270219433650917,1.35,0.08272000770874241,2.7630000000000003,0.16842994956726104,3.817999999999999,0.17877940076532645,4.186,0.16361528688591925,31565012894.7234,-0.23341530976839303,12342273869.2704,0.21172850449743794,95.21340255359091,0.167776040015088,3.0,0.26531640791608124,3.3,0.2816535127532796,-71.12593000000001,41.855531
2,2011-06,MA,BOSTON,2011-06,4.75,"(-71.067141, 42.272957)",41918.21,Refinancing_Purchase of Apartments_Coops,0.12706818181818183,0.17474578436987426,0.1615431818181819,0.17319490887999028,0.18716409090909092,0.16653126816811015,0.21923909090909086,0.1634433609414012,0.24782409090909094,0.14928456522141023,0.39758,0.115271010599568,0.7268749999999999,0.0860839728139535,0.0190909090909091,0.19448421231985377,0.1013636363636364,0.15241302476963972,0.18090909090909094,0.12270219433650917,1.5799999999999998,0.08272000770874241,3.002272727272727,0.16842994956726104,3.9145454545454546,0.17877940076532645,4.2327272727272724,0.16361528688591925,34623712775.9563,-0.23341530976839303,15995126134.7035,0.21172850449743794,93.74313363440879,0.167776040015088,2.7,0.26531640791608124,3.1,0.2816535127532796,-71.067141,42.272957
3,2011-10,MA,BOSTON,2011-10,3.8,"(-71.138191, 42.349057)",37595.87,Refinancing_Purchase of Apartments_Coops,0.1416352380952381,0.17474578436987426,0.19074095238095234,0.17319490887999028,0.24373904761904758,0.16653126816811015,0.3185252380952381,0.1634433609414012,0.4064785714285714,0.14928456522141023,0.59521,0.115271010599568,0.9086428571428572,0.0860839728139535,0.013500000000000003,0.19448421231985377,0.05450000000000003,0.15241302476963972,0.1145,0.12270219433650917,1.0614999999999999,0.08272000770874241,2.1519999999999997,0.16842994956726104,2.8695,0.17877940076532645,3.128,0.16361528688591925,35532707747.113,-0.23341530976839303,12477113046.1263,0.21172850449743794,90.24550000965358,0.167776040015088,2.6,0.26531640791608124,3.1,0.2816535127532796,-71.138191,42.349057
4,2011-12,MA,BOSTON,2011-12,3.6896,"(-71.098599, 42.323018)",66597.78,Refinancing_Purchase of Apartments_Coops,0.1499335,0.17474578436987426,0.2029985,0.17319490887999028,0.2836085,0.16653126816811015,0.40829250000000006,0.1634433609414012,0.5557375,0.14928456522141023,0.7798775000000001,0.115271010599568,1.1003555000000003,0.0860839728139535,0.0033333333333333335,0.19448421231985377,0.048571428571428585,0.15241302476963972,0.11523809523809528,0.12270219433650917,0.8914285714285713,0.08272000770874241,1.9780952380952384,0.16842994956726104,2.6676190476190476,0.17877940076532645,2.9823809523809524,0.16361528688591925,36623269866.4569,-0.23341530976839303,10258833668.6773,0.21172850449743794,88.33905735772379,0.167776040015088,2.4,0.26531640791608124,3.0,0.2816535127532796,-71.098599,42.323018
5,2012-01,MA,BOSTON,2012-01,4.6,"(-71.091121, 42.329707)",66386.09,Refinancing_Purchase of Apartments_Coops,0.14564761904761903,0.17474578436987426,0.2014238095238095,0.17319490887999028,0.28289523809523814,0.16653126816811015,0.41424761904761903,0.1634433609414012,0.5659000000000001,0.14928456522141023,0.7969761904761906,0.115271010599568,1.1145476190476191,0.0860839728139535,0.0245,0.19448421231985377,0.06550000000000003,0.15241302476963972,0.11500000000000003,0.12270219433650917,0.835,0.08272000770874241,1.9664999999999995,0.16842994956726104,2.6950000000000003,0.17877940076532645,3.026,0.16361528688591925,36777908030.9335,-0.23341530976839303,11784187253.6333,0.21172850449743794,90.4806728327692,0.167776040015088,2.5,0.26531640791608124,2.9,0.2816535127532796,-71.091121,42.329707
6,2012-03,MA,BOSTON,2012-03,4.45,"(-71.09420340000001, 42.339590799999996)",40975.28,Refinancing_Purchase of Apartments_Coops,0.14720000000000003,0.17474578436987426,0.1893409090909091,0.17319490887999028,0.24185227272727275,0.16653126816811015,0.35079999999999995,0.1634433609414012,0.4732886363636363,0.14928456522141023,0.741275,0.115271010599568,1.0534477272727274,0.0860839728139535,0.06363636363636366,0.19448421231985377,0.14227272727272727,0.15241302476963972,0.19000000000000003,0.12270219433650917,1.0172727272727273,0.08272000770874241,2.1727272727272724,0.16842994956726104,2.9404545454545454,0.17877940076532645,3.281363636363636,0.16361528688591925,36601383816.48,-0.23341530976839303,11510278467.2037,0.21172850449743794,90.35087768078328,0.167776040015088,2.6,0.26531640791608124,2.8,0.2816535127532796,-71.09420340000001,42.339590799999996
7,2012-05,MA,BOSTON,2012-05,4.8,"(-71.060071, 42.303847)",31424.77,Refinancing_Purchase of Apartments_Coops,0.15161363636363637,0.17474578436987426,0.19053181818181822,0.17319490887999028,0.23893181818181805,0.16653126816811015,0.3457045454545453,0.1634433609414012,0.4665318181818183,0.14928456522141023,0.732990909090909,0.115271010599568,1.0615068181818177,0.0860839728139535,0.06590909090909093,0.19448421231985377,0.14545454545454548,0.15241302476963972,0.19181818181818186,0.12270219433650917,0.7618181818181818,0.08272000770874241,1.8031818181818189,0.16842994956726104,2.525909090909091,0.17877940076532645,2.930909090909091,0.16361528688591925,37571290060.6541,-0.23341530976839303,11251067892.2966,0.21172850449743794,90.7743282432688,0.167776040015088,2.7,0.26531640791608124,2.7,0.2816535127532796,-71.060071,42.303847
8,2012-06,MA,BOSTON,2012-06,3.8699999999999997,"(-71.052624, 42.343112)",102609.84666666668,Refinancing_Purchase of Apartments_Coops,0.163,0.17474578436987426,0.19464736842105262,0.17319490887999028,0.24319736842105263,0.16653126816811015,0.3459342105263157,0.1634433609414012,0.46558684210526313,0.14928456522141023,0.7364000000000004,0.115271010599568,1.0691894736842107,0.0860839728139535,0.05190476190476193,0.19448421231985377,0.14809523809523809,0.15241302476963972,0.18904761904761905,0.12270219433650917,0.7114285714285714,0.08272000770874241,1.6223809523809525,0.16842994956726104,2.3061904761904763,0.17877940076532645,2.698095238095238,0.16361528688591925,37685204803.0042,-0.23341530976839303,11641401212.0971,0.21172850449743794,90.6452366150782,0.167776040015088,2.7,0.26531640791608124,2.6,0.2816535127532796,-71.052624,42.343112
9,2012-10,MA,BOSTON,2012-10,4.15,"(-71.130291, 42.287757)",9452.22,Refinancing_Purchase of Apartments_Coops,0.15320434782608702,0.17474578436987426,0.17955217391304346,0.17319490887999028,0.21346521739130433,0.16653126816811015,0.2717391304347827,0.1634433609414012,0.3304891304347827,0.14928456522141023,0.5823021739130435,0.115271010599568,0.9185760869565219,0.0860839728139535,0.10952380952380951,0.19448421231985377,0.14904761904761904,0.15241302476963972,0.17952380952380956,0.12270219433650917,0.7085714285714285,0.08272000770874241,1.7461904761904758,0.16842994956726104,2.505714285714286,0.17877940076532645,2.90047619047619,0.16361528688591925,39658399389.4891,-0.23341530976839303,11986368496.8635,0.21172850449743794,89.56768058609659,0.167776040015088,2.8,0.26531640791608124,2.5,0.2816535127532796,-71.130291,42.287757
