,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-3),Corr with auto_vol(-3),student_vol(-3),Corr with student_vol(-3),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(-3),Corr with mortgage 90(-3)
0,2010-09,WI,EAU CLAIRE,2010-09,3.9,"(-91.50723, 44.785218)",10894.65,Refinancing_Purchase of Apartments_Coops,0.22657136363636363,-0.35582062633375533,0.251059090909091,-0.3657263030323462,0.25699454545454536,-0.4836526555182885,0.2738163636363636,-0.6033244314002235,0.2913659090909092,-0.5869289031663434,0.4777727272727273,-0.7400665486758389,0.8043745454545456,-0.7829563316570874,0.1166666666666667,-0.7396930971611421,0.19333333333333336,-0.6359110792755305,0.2566666666666666,-0.42570738737872,1.4104761904761904,0.9600779040956254,2.6476190476190475,0.9668904517166087,3.4690476190476183,0.951881549129871,3.773333333333333,0.9432561244284939,28389074974.2894,0.3574851509619384,11833891080.8667,-0.9557787474360961,92.4549564204629,-0.6204732789883862,1.9,0.5412625217171424,1.4,-0.8482436925252851
1,2012-04,WI,EAU CLAIRE,2012-04,3.48,"(-91.524398, 44.84033)",10919.87,Refinancing_Purchase of Apartments_Coops,0.14868421052631575,-0.35582062633375533,0.18980526315789473,-0.3657263030323462,0.23982894736842097,-0.4836526555182885,0.34777368421052635,-0.6033244314002235,0.46680789473684203,-0.5869289031663434,0.7313999999999999,-0.7400665486758389,1.048621052631579,-0.7829563316570874,0.0666666666666667,-0.7396930971611421,0.13904761904761903,-0.6359110792755305,0.18333333333333335,-0.42570738737872,0.8947619047619045,0.9600779040956254,2.0528571428571425,0.9668904517166087,2.8166666666666664,0.951881549129871,3.1842857142857137,0.9432561244284939,35385458151.3724,0.3574851509619384,11510278467.2037,-0.9557787474360961,89.6038877472871,-0.6204732789883862,1.3,0.5412625217171424,1.3,-0.8482436925252851
2,2012-10,WI,EAU CLAIRE,2012-10,2.78,"(-91.520103, 44.802765)",13659.39,Refinancing_Purchase of Apartments_Coops,0.15320434782608702,-0.35582062633375533,0.17955217391304346,-0.3657263030323462,0.21346521739130433,-0.4836526555182885,0.2717391304347827,-0.6033244314002235,0.3304891304347827,-0.5869289031663434,0.5823021739130435,-0.7400665486758389,0.9185760869565219,-0.7829563316570874,0.10952380952380951,-0.7396930971611421,0.14904761904761904,-0.6359110792755305,0.17952380952380956,-0.42570738737872,0.7085714285714285,0.9600779040956254,1.7461904761904758,0.9668904517166087,2.505714285714286,0.951881549129871,2.90047619047619,0.9432561244284939,36601383816.48,0.3574851509619384,16111780903.4699,-0.9557787474360961,90.2956809830492,-0.6204732789883862,1.2,0.5412625217171424,1.5,-0.8482436925252851
3,2013-09,WI,EAU CLAIRE,2013-09,4.49,"(-91.51541999999999, 44.795955)",39507.51,Refinancing_Purchase of Apartments_Coops,0.11272380952380952,-0.35582062633375533,0.14323238095238094,-0.3657263030323462,0.18057476190476196,-0.4836526555182885,0.22133904761904755,-0.6033244314002235,0.2531785714285715,-0.5869289031663434,0.38033809523809525,-0.7400665486758389,0.6526857142857143,-0.7829563316570874,0.017500000000000005,-0.7396930971611421,0.04150000000000001,-0.6359110792755305,0.11850000000000002,-0.42570738737872,1.5959999999999999,0.9600779040956254,2.8095,0.9668904517166087,3.526,0.951881549129871,3.7870000000000004,0.9432561244284939,41507587847.7023,0.3574851509619384,9260696074.4491,-0.9557787474360961,85.7873584996498,-0.6204732789883862,1.7,0.5412625217171424,0.9,-0.8482436925252851
4,2014-01,WI,EAU CLAIRE,2014-01,4.29,"(-91.472831, 44.83552)",14415.88,Refinancing_Purchase of Apartments_Coops,0.09003181818181817,-0.35582062633375533,0.1219931818181818,-0.3657263030323462,0.1597090909090909,-0.4836526555182885,0.204425,-0.6033244314002235,0.23822954545454544,-0.5869289031663434,0.33795909090909093,-0.7400665486758389,0.5752999999999999,-0.7829563316570874,0.017142857142857144,-0.7396930971611421,0.0690476190476191,-0.6359110792755305,0.11619047619047623,-0.42570738737872,1.6466666666666665,0.9600779040956254,2.858095238095238,0.9668904517166087,3.521904761904762,0.951881549129871,3.76904761904762,0.9432561244284939,41244159430.5284,0.3574851509619384,9473893018.88319,-0.9557787474360961,83.69462947740479,-0.6204732789883862,1.3,0.5412625217171424,0.8,-0.8482436925252851
