,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(3),Corr with auto_vol(3),student_vol(-3),Corr with student_vol(-3),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-4),Corr with mortgage 90(-4)
0,TX,DALLAS,2010-04,3.73,Refinancing_Purchase of Apartments_Coops,0.24183250000000003,3.4881675,0.28161368854834906,0.2495495,3.4804505,0.283579677103697,0.2597455000000001,3.4702545,0.2794789512790213,0.2840375,3.4459625,0.2716796659099807,0.3116065,3.4183935,0.26180973146340525,0.4758610000000001,3.254139,0.21246624538684983,0.9598030000000002,2.7701969999999996,0.17880451618922472,0.15045454545454548,3.5795454545454546,0.2897599167453914,0.2440909090909091,3.485909090909091,0.26554866660483334,0.44499999999999995,3.285,0.2650609673432728,2.581363636363637,1.148636363636363,0.4286124585707579,3.8468181818181817,-0.11681818181818171,0.4442282905679089,4.531363636363637,-0.8013636363636372,0.34689981100346995,4.693181818181819,-0.9631818181818192,0.29498447988425414,28477062769.4533,0.09651396173314118,14107591663.4702,-0.42258453397629464,95.21340255359091,-0.23211980438079644,4.0,-0.1927372705444632,3.9,-0.08815367459337424
1,TX,DALLAS,2010-11,4.155,Refinancing_Purchase of Apartments_Coops,0.22869727272727272,3.9263027272727276,0.28161368854834906,0.24913818181818187,3.9058618181818185,0.283579677103697,0.2541922727272727,3.9008077272727277,0.2794789512790213,0.27004181818181816,3.884958181818182,0.2716796659099807,0.2871204545454545,3.867879545454546,0.26180973146340525,0.44597000000000014,3.7090300000000003,0.21246624538684983,0.7651345454545454,3.389865454545455,0.17880451618922472,0.13400000000000004,4.021,0.2897599167453914,0.182,3.9730000000000003,0.26554866660483334,0.25200000000000006,3.903,0.2650609673432728,1.35,2.805,0.4286124585707579,2.7630000000000003,1.392,0.4442282905679089,3.817999999999999,0.3370000000000011,0.34689981100346995,4.186,-0.030999999999999694,0.29498447988425414,32217867353.4185,0.09651396173314118,11556490165.0911,-0.42258453397629464,93.74313363440879,-0.23211980438079644,4.4,-0.1927372705444632,3.6,-0.08815367459337424
2,TX,DALLAS,2011-09,4.14,Refinancing_Purchase of Apartments_Coops,0.14525181818181823,3.9947481818181814,0.28161368854834906,0.1884,3.9515999999999996,0.283579677103697,0.23085045454545455,3.9091495454545453,0.2794789512790213,0.2845913636363636,3.855408636363636,0.2716796659099807,0.3502268181818181,3.7897731818181817,0.26180973146340525,0.5222018181818182,3.6177981818181815,0.21246624538684983,0.8332045454545454,3.3067954545454543,0.17880451618922472,0.005714285714285713,4.134285714285714,0.2897599167453914,0.04333333333333335,4.096666666666667,0.26554866660483334,0.10476190476190479,4.035238095238095,0.2650609673432728,0.9004761904761904,3.239523809523809,0.4286124585707579,1.9752380952380955,2.164761904761904,0.4442282905679089,2.8271428571428574,1.3128571428571423,0.34689981100346995,3.182380952380953,0.9576190476190467,0.29498447988425414,35344521679.5642,0.09651396173314118,12472473242.0863,-0.42258453397629464,90.48744874686929,-0.23211980438079644,4.1,-0.1927372705444632,3.1,-0.08815367459337424
3,TX,DALLAS,2012-02,4.07,Refinancing_Purchase of Apartments_Coops,0.1410714285714286,3.9289285714285715,0.28161368854834906,0.19146190476190478,3.8785380952380955,0.283579677103697,0.2500238095238095,3.819976190476191,0.2794789512790213,0.3686547619047619,3.7013452380952385,0.2716796659099807,0.5032404761904763,3.566759523809524,0.26180973146340525,0.7572880952380953,3.312711904761905,0.21246624538684983,1.0711880952380954,2.998811904761905,0.17880451618922472,0.06350000000000003,4.0065,0.2897599167453914,0.124,3.946,0.26554866660483334,0.161,3.9090000000000003,0.2650609673432728,0.8310000000000001,3.2390000000000003,0.4286124585707579,1.9674999999999998,2.1025000000000005,0.4442282905679089,2.7479999999999998,1.3220000000000005,0.34689981100346995,3.109,0.9610000000000003,0.29498447988425414,36777908030.9335,0.09651396173314118,11784187253.6333,-0.42258453397629464,89.6038877472871,-0.23211980438079644,3.9,-0.1927372705444632,3.2,-0.08815367459337424
4,TX,DALLAS,2012-03,3.54,Refinancing_Purchase of Apartments_Coops,0.14720000000000003,3.3928,0.28161368854834906,0.1893409090909091,3.3506590909090908,0.283579677103697,0.24185227272727275,3.298147727272727,0.2794789512790213,0.35079999999999995,3.1892,0.2716796659099807,0.4732886363636363,3.066711363636364,0.26180973146340525,0.741275,2.798725,0.21246624538684983,1.0534477272727274,2.4865522727272724,0.17880451618922472,0.06363636363636366,3.4763636363636365,0.2897599167453914,0.14227272727272727,3.397727272727273,0.26554866660483334,0.19000000000000003,3.35,0.2650609673432728,1.0172727272727273,2.5227272727272725,0.4286124585707579,2.1727272727272724,1.3672727272727276,0.4442282905679089,2.9404545454545454,0.5995454545454546,0.34689981100346995,3.281363636363636,0.2586363636363642,0.29498447988425414,36186315501.0541,0.09651396173314118,11508699084.1195,-0.42258453397629464,89.56768058609659,-0.23211980438079644,3.6,-0.1927372705444632,3.3,-0.08815367459337424
5,TX,DALLAS,2012-07,2.93,Refinancing_Purchase of Apartments_Coops,0.16720454545454547,2.7627954545454547,0.28161368854834906,0.19873636363636368,2.7312636363636367,0.283579677103697,0.24646136363636365,2.6835386363636364,0.2794789512790213,0.34024999999999994,2.5897500000000004,0.2716796659099807,0.4535545454545455,2.4764454545454546,0.26180973146340525,0.7302181818181818,2.1997818181818185,0.21246624538684983,1.0653181818181816,1.8646818181818186,0.17880451618922472,0.06952380952380956,2.8604761904761906,0.2897599167453914,0.14571428571428574,2.7842857142857143,0.26554866660483334,0.18571428571428572,2.7442857142857147,0.2650609673432728,0.6195238095238095,2.310476190476191,0.4286124585707579,1.5266666666666664,1.4033333333333338,0.4442282905679089,2.217142857142857,0.7128571428571431,0.34689981100346995,2.5900000000000003,0.33999999999999986,0.29498447988425414,37685204803.0042,0.09651396173314118,11641401212.0971,-0.42258453397629464,90.37816904639429,-0.23211980438079644,3.9,-0.1927372705444632,3.2,-0.08815367459337424
6,TX,DALLAS,2012-08,2.75,Refinancing_Purchase of Apartments_Coops,0.15374090909090915,2.596259090909091,0.28161368854834906,0.18745454545454548,2.5625454545454547,0.283579677103697,0.23783863636363634,2.5121613636363636,0.2794789512790213,0.3331136363636364,2.4168863636363636,0.2716796659099807,0.43259999999999993,2.3174,0.26180973146340525,0.7177749999999997,2.0322250000000004,0.21246624538684983,1.0426272727272727,1.7073727272727273,0.17880451618922472,0.09217391304347829,2.6578260869565216,0.2897599167453914,0.14043478260869566,2.6095652173913044,0.26554866660483334,0.18347826086956526,2.566521739130435,0.2650609673432728,0.7139130434782609,2.036086956521739,0.4286124585707579,1.6782608695652175,1.0717391304347825,0.4442282905679089,2.3978260869565218,0.3521739130434782,0.34689981100346995,2.7708695652173914,-0.02086956521739136,0.29498447988425414,38410438812.4053,0.09651396173314118,12770391029.1034,-0.42258453397629464,90.2956809830492,-0.23211980438079644,4.0,-0.1927372705444632,3.1,-0.08815367459337424
7,TX,DALLAS,2012-09,2.8200000000000003,Refinancing_Purchase of Apartments_Coops,0.15189500000000006,2.668105,0.28161368854834906,0.183625,2.636375,0.283579677103697,0.22133750000000002,2.5986625,0.2794789512790213,0.3079875,2.5120125000000004,0.2716796659099807,0.3856325000000001,2.4343675,0.26180973146340525,0.6716749999999999,2.1483250000000003,0.21246624538684983,0.9997750000000002,1.8202250000000002,0.17880451618922472,0.07526315789473685,2.7447368421052634,0.2897599167453914,0.13736842105263158,2.682631578947369,0.26554866660483334,0.17578947368421055,2.64421052631579,0.2650609673432728,0.6689473684210526,2.1510526315789478,0.4286124585707579,1.7231578947368422,1.096842105263158,0.4442282905679089,2.488421052631579,0.3315789473684214,0.34689981100346995,2.8815789473684212,-0.061578947368420955,0.29498447988425414,38808856509.5085,0.09651396173314118,14585937143.4485,-0.42258453397629464,89.2801736441717,-0.23211980438079644,4.1,-0.1927372705444632,3.0,-0.08815367459337424
8,TX,DALLAS,2012-10,2.43,Refinancing_Purchase of Apartments_Coops,0.15320434782608702,2.276795652173913,0.28161368854834906,0.17955217391304346,2.2504478260869565,0.283579677103697,0.21346521739130433,2.216534782608696,0.2794789512790213,0.2717391304347827,2.1582608695652175,0.2716796659099807,0.3304891304347827,2.0995108695652176,0.26180973146340525,0.5823021739130435,1.8476978260869568,0.21246624538684983,0.9185760869565219,1.5114239130434783,0.17880451618922472,0.10952380952380951,2.3204761904761906,0.2897599167453914,0.14904761904761904,2.2809523809523813,0.26554866660483334,0.17952380952380956,2.2504761904761907,0.2650609673432728,0.7085714285714285,1.7214285714285715,0.4286124585707579,1.7461904761904758,0.6838095238095243,0.4442282905679089,2.505714285714286,-0.07571428571428562,0.34689981100346995,2.90047619047619,-0.47047619047619005,0.29498447988425414,39268596272.9965,0.09651396173314118,16111780903.4699,-0.42258453397629464,91.578064558499,-0.23211980438079644,4.1,-0.1927372705444632,2.9,-0.08815367459337424
9,TX,DALLAS,2012-11,3.55,Refinancing_Purchase of Apartments_Coops,0.1555,3.3945,0.28161368854834906,0.18060909090909089,3.369390909090909,0.283579677103697,0.20888636363636362,3.341113636363636,0.2794789512790213,0.25813636363636355,3.291863636363636,0.2716796659099807,0.31102272727272723,3.2389772727272725,0.26180973146340525,0.528347727272727,3.0216522727272728,0.21246624538684983,0.8631931818181818,2.686806818181818,0.17880451618922472,0.12449999999999999,3.4255,0.2897599167453914,0.14450000000000002,3.4055,0.26554866660483334,0.17850000000000002,3.3714999999999997,0.2650609673432728,0.665,2.885,0.4286124585707579,1.654,1.896,0.4442282905679089,2.3894999999999995,1.1605000000000003,0.34689981100346995,2.8034999999999997,0.7465000000000002,0.29498447988425414,39658399389.4891,0.09651396173314118,11986368496.8635,-0.42258453397629464,88.794109524791,-0.23211980438079644,3.9,-0.1927372705444632,2.9,-0.08815367459337424
