,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(3),Corr with auto_vol(3),student_vol(-1),Corr with student_vol(-1),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(-2),Corr with mortgage 30-89(-2),mortgage 90(-1),Corr with mortgage 90(-1)
0,NC,JACKSONVILLE,2010-06,4.25,Refinancing_Purchase of Apartments_Coops,0.29840136363636366,3.951598636363636,0.25656568167722343,0.3291213636363637,3.9208786363636365,0.26080987266015815,0.3487363636363637,3.901263636363636,0.24879849507458557,0.4336950000000001,3.816305,0.24486978245325974,0.5368986363636363,3.7131013636363637,0.23529223876531646,0.7518195454545455,3.4981804545454542,0.2223045093213116,1.187955909090909,3.062044090909091,0.2371967080131009,0.07954545454545457,4.170454545454546,0.2888238476426498,0.19090909090909092,4.059090909090909,0.24039894782856414,0.3181818181818181,3.9318181818181817,0.23959353331394936,1.9963636363636363,2.253636363636364,0.42272746463931166,3.2040909090909095,1.0459090909090905,0.6366304585157873,3.9499999999999997,0.30000000000000027,0.6022075736026593,4.127727272727272,0.12227272727272798,0.5650895806527467,29826615528.9652,-0.3215307631863303,11978266411.3233,0.5358628214295451,99.3021234972081,0.42738944143058905,3.5,0.42071452153524264,2.2,-0.3292879668876973
1,NC,JACKSONVILLE,2010-08,4.07,Refinancing_Purchase of Apartments_Coops,0.23101619047619049,3.8389838095238096,0.25656568167722343,0.2659952380952381,3.8040047619047623,0.26080987266015815,0.27546238095238096,3.7945376190476194,0.24879849507458557,0.3123080952380952,3.757691904761905,0.24486978245325974,0.3625466666666667,3.7074533333333335,0.23529223876531646,0.5790957142857143,3.490904285714286,0.2223045093213116,0.9435780952380955,3.1264219047619046,0.2371967080131009,0.15409090909090908,3.915909090909091,0.2888238476426498,0.19136363636363637,3.878636363636364,0.24039894782856414,0.25909090909090904,3.8109090909090915,0.23959353331394936,1.4654545454545451,2.6045454545454554,0.42272746463931166,2.6986363636363637,1.3713636363636366,0.6366304585157873,3.516818181818181,0.5531818181818191,0.6022075736026593,3.8031818181818178,0.2668181818181825,0.5650895806527467,30207558860.6451,-0.3215307631863303,10534224377.9144,0.5358628214295451,98.6449594200431,0.42738944143058905,3.7,0.42071452153524264,2.3,-0.3292879668876973
2,NC,JACKSONVILLE,2013-02,3.98,Refinancing_Purchase of Apartments_Coops,0.15464999999999998,3.82535,0.25656568167722343,0.17315,3.80685,0.26080987266015815,0.20129999999999998,3.7787,0.24879849507458557,0.2455,3.7345,0.24486978245325974,0.29049499999999995,3.689505,0.23529223876531646,0.463425,3.516575,0.2223045093213116,0.761875,3.218125,0.2371967080131009,0.0768421052631579,3.903157894736842,0.2888238476426498,0.12421052631578947,3.8557894736842107,0.24039894782856414,0.15736842105263157,3.8226315789473686,0.23959353331394936,0.8463157894736841,3.133684210526316,0.42272746463931166,1.9842105263157896,1.9957894736842103,0.6366304585157873,2.782631578947368,1.1973684210526319,0.6022075736026593,3.165263157894737,0.8147368421052632,0.5650895806527467,40995097959.5386,-0.3215307631863303,11154944519.578999,0.5358628214295451,90.2956809830492,0.42738944143058905,3.8,0.42071452153524264,4.6,-0.3292879668876973
3,NC,JACKSONVILLE,2013-05,2.8,Refinancing_Purchase of Apartments_Coops,0.1435047619047619,2.656495238095238,0.25656568167722343,0.1638380952380952,2.6361619047619045,0.26080987266015815,0.19670952380952378,2.603290476190476,0.24879849507458557,0.23396000000000003,2.5660399999999997,0.24486978245325974,0.27416904761904765,2.5258309523809523,0.23529223876531646,0.42137333333333327,2.3786266666666664,0.2223045093213116,0.6936104761904763,2.1063895238095234,0.2371967080131009,0.020454545454545458,2.7795454545454543,0.2888238476426498,0.08090909090909093,2.719090909090909,0.24039894782856414,0.11863636363636366,2.681363636363636,0.23959353331394936,0.840909090909091,1.9590909090909088,0.42272746463931166,1.9281818181818182,0.8718181818181816,0.6366304585157873,2.7286363636363635,0.0713636363636363,0.6022075736026593,3.112727272727273,-0.31272727272727296,0.5650895806527467,41334062733.8549,-0.3215307631863303,9123117418.53368,0.5358628214295451,88.794109524791,0.42738944143058905,3.0,0.42071452153524264,4.9,-0.3292879668876973
4,NC,JACKSONVILLE,2013-10,4.55,Refinancing_Purchase of Apartments_Coops,0.10426086956521738,4.445739130434783,0.25656568167722343,0.13668260869565219,4.413317391304347,0.26080987266015815,0.17241521739130433,4.377584782608696,0.24879849507458557,0.21265,4.33735,0.24486978245325974,0.2417652173913043,4.308234782608696,0.23529223876531646,0.36121521739130424,4.188784782608695,0.2223045093213116,0.6177847826086957,3.9322152173913043,0.2371967080131009,0.1059090909090909,4.444090909090909,0.2888238476426498,0.07590909090909094,4.474090909090909,0.24039894782856414,0.12136363636363635,4.428636363636364,0.23959353331394936,1.366818181818182,3.1831818181818177,0.42272746463931166,2.615909090909091,1.9340909090909086,0.6366304585157873,3.3795454545454544,1.1704545454545454,0.6022075736026593,3.6759090909090903,0.8740909090909095,0.5650895806527467,42151687038.4775,-0.3215307631863303,10216278752.7557,0.5358628214295451,90.32258801944451,0.42738944143058905,3.6,0.42071452153524264,4.2,-0.3292879668876973
5,NC,JACKSONVILLE,2014-12,3.6,Refinancing_Purchase of Apartments_Coops,0.1101,3.4899,0.25656568167722343,0.1330809523809524,3.4669190476190477,0.26080987266015815,0.16305,3.43695,0.24879849507458557,0.20744285714285715,3.392557142857143,0.24486978245325974,0.2446071428571429,3.3553928571428573,0.23529223876531646,0.34302142857142864,3.2569785714285713,0.2223045093213116,0.6021190476190476,2.9978809523809526,0.2371967080131009,0.02500000000000001,3.575,0.2888238476426498,0.1063636363636364,3.4936363636363637,0.24039894782856414,0.21454545454545454,3.3854545454545457,0.23959353331394936,1.64,1.9600000000000002,0.42272746463931166,2.2072727272727275,1.3927272727272726,0.6366304585157873,2.5504545454545453,1.0495454545454548,0.6022075736026593,2.8331818181818185,0.7668181818181816,0.5650895806527467,47944164595.1044,-0.3215307631863303,11357071284.6333,0.5358628214295451,82.2508390398281,0.42738944143058905,2.7,0.42071452153524264,3.8,-0.3292879668876973
6,NC,JACKSONVILLE,2016-03,3.85,Refinancing_Purchase of Apartments_Coops,0.3739333333333333,3.4760666666666666,0.25656568167722343,0.39734047619047613,3.452659523809524,0.26080987266015815,0.43639523809523806,3.413604761904762,0.24879849507458557,0.5204357142857143,3.3295642857142855,0.24486978245325974,0.632,3.218,0.23529223876531646,0.9009761904761905,2.9490238095238097,0.2223045093213116,1.2156690476190475,2.6343309523809526,0.2371967080131009,0.2531818181818182,3.5968181818181817,0.2888238476426498,0.47,3.38,0.24039894782856414,0.6563636363636364,3.193636363636364,0.23959353331394936,1.3759090909090912,2.4740909090909087,0.42272746463931166,1.889090909090909,1.9609090909090912,0.6366304585157873,2.2759090909090913,1.5740909090909088,0.6022075736026593,2.6845454545454546,1.1654545454545455,0.5650895806527467,49206523977.8161,-0.3215307631863303,11240513229.2606,0.5358628214295451,82.3313446344394,0.42738944143058905,3.0,0.42071452153524264,3.8,-0.3292879668876973
7,NC,JACKSONVILLE,2016-09,3.49,Refinancing_Purchase of Apartments_Coops,0.42159363636363634,3.068406363636364,0.25656568167722343,0.4495609090909092,3.040439090909091,0.26080987266015815,0.5270018181818182,2.962998181818182,0.24879849507458557,0.6625254545454545,2.8274745454545456,0.24486978245325974,0.8496804545454547,2.6403195454545454,0.23529223876531646,1.2471445454545458,2.242855454545454,0.2223045093213116,1.5560313636363639,1.9339686363636364,0.2371967080131009,0.1914285714285715,3.298571428571429,0.2888238476426498,0.4671428571428572,3.022857142857143,0.24039894782856414,0.5933333333333333,2.896666666666667,0.23959353331394936,1.178095238095238,2.311904761904762,0.42272746463931166,1.6304761904761906,1.8595238095238096,0.6366304585157873,2.0152380952380957,1.4747619047619045,0.6022075736026593,2.350476190476191,1.1395238095238094,0.5650895806527467,51124149514.2735,-0.3215307631863303,11412820253.2316,0.5358628214295451,85.1896726255448,0.42738944143058905,2.9,0.42071452153524264,2.8,-0.3292879668876973
8,NC,JACKSONVILLE,2018-02,3.72,Refinancing_Purchase of Apartments_Coops,1.4432573684210526,2.276742631578948,0.25656568167722343,1.4712210000000003,2.248779,0.26080987266015815,1.6018225000000001,2.1181775,0.24879849507458557,1.722691,1.9973090000000002,0.24486978245325974,1.874672,1.8453280000000003,0.23529223876531646,2.0893395000000003,1.6306604999999998,0.2223045093213116,2.3701375000000002,1.3498625,0.2371967080131009,1.3805263157894736,2.3394736842105264,0.2888238476426498,1.7857894736842108,1.9342105263157894,0.24039894782856414,1.9636842105263155,1.7563157894736847,0.23959353331394936,2.599473684210526,1.120526315789474,0.42272746463931166,2.8589473684210525,0.8610526315789477,0.6366304585157873,3.016842105263158,0.703157894736842,0.6022075736026593,3.1310526315789478,0.5889473684210524,0.5650895806527467,50407042046.8076,-0.3215307631863303,11226317067.5623,0.5358628214295451,87.3618752869242,0.42738944143058905,2.9,0.42071452153524264,2.3,-0.3292879668876973
9,NC,JACKSONVILLE,2018-04,3.99,Refinancing_Purchase of Apartments_Coops,1.7027510000000003,2.287249,0.25656568167722343,1.7432829999999995,2.2467170000000007,0.26080987266015815,1.896724,2.0932760000000004,0.24879849507458557,2.0408605,1.9491395000000002,0.24486978245325974,2.349426,1.6405740000000004,0.23529223876531646,2.493657999999999,1.4963420000000012,0.2223045093213116,2.7355454999999997,1.2544545000000005,0.2371967080131009,1.6604761904761904,2.3295238095238098,0.2888238476426498,1.9780952380952381,2.011904761904762,0.24039894782856414,2.153809523809524,1.8361904761904762,0.23959353331394936,2.701904761904762,1.2880952380952384,0.42272746463931166,2.869047619047619,1.1209523809523811,0.6366304585157873,2.9595238095238092,1.030476190476191,0.6022075736026593,3.0719047619047624,0.9180952380952379,0.5650895806527467,50800995008.8069,-0.3215307631863303,11725018303.5706,0.5358628214295451,88.1148323663994,0.42738944143058905,2.2,0.42071452153524264,2.0,-0.3292879668876973
