,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(3),Corr with student_vol(3),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-4),Corr with mortgage 90(-4)
0,2011-12,MN,ST. PAUL,2011-12,3.5,"(-93.172748, 44.900239)",75515.99,Refinancing_Purchase of Apartments_Coops,0.1499335,0.321307937156813,0.2029985,0.31948697949593924,0.2836085,0.33844908090252424,0.40829250000000006,0.3621098215639267,0.5557375,0.4006040193256776,0.7798775000000001,0.42213763856499875,1.1003555000000003,0.4101964294921251,0.0033333333333333335,0.31355121713151174,0.048571428571428585,0.36350328229931894,0.11523809523809528,0.3873819997580046,0.8914285714285713,0.5551462398315131,1.9780952380952384,0.40249678998502375,2.6676190476190476,0.1039258640560016,2.9823809523809524,0.013551755714929534,35385458151.3724,0.6610904613164612,11251067892.2966,0.6989301352967227,90.0868950067716,-0.25282763749432347,2.3,-0.6887853176191677,2.5,-0.6542563405940579
1,2012-08,MN,ST. PAUL,2012-08,2.25,"(104.0, 47.0)",135618.65,Refinancing_Purchase of Apartments_Coops,0.15374090909090915,0.321307937156813,0.18745454545454548,0.31948697949593924,0.23783863636363634,0.33844908090252424,0.3331136363636364,0.3621098215639267,0.43259999999999993,0.4006040193256776,0.7177749999999997,0.42213763856499875,1.0426272727272727,0.4101964294921251,0.09217391304347829,0.31355121713151174,0.14043478260869566,0.36350328229931894,0.18347826086956526,0.3873819997580046,0.7139130434782609,0.5551462398315131,1.6782608695652175,0.40249678998502375,2.3978260869565218,0.1039258640560016,2.7708695652173914,0.013551755714929534,37571290060.6541,0.6610904613164612,10740081615.3953,0.6989301352967227,90.2956809830492,-0.25282763749432347,2.1,-0.6887853176191677,2.3,-0.6542563405940579
2,2012-12,MN,ST. PAUL,2012-12,2.215,"(-93.156328, 44.971969)",98141.155,Refinancing_Purchase of Apartments_Coops,0.1631578947368421,0.321307937156813,0.1875157894736842,0.31948697949593924,0.21092631578947374,0.33844908090252424,0.2552894736842105,0.3621098215639267,0.30947368421052623,0.4006040193256776,0.5145657894736843,0.42213763856499875,0.8483157894736841,0.4101964294921251,0.039500000000000014,0.31355121713151174,0.11950000000000005,0.36350328229931894,0.1585,0.3873819997580046,0.6960000000000001,0.5551462398315131,1.7189999999999999,0.40249678998502375,2.4675000000000002,0.1039258640560016,2.8835,0.013551755714929534,39268596272.9965,0.6610904613164612,9855625468.0504,0.6989301352967227,88.920473853359,-0.25282763749432347,2.1,-0.6887853176191677,2.1,-0.6542563405940579
3,2013-06,MN,ST. PAUL,2013-06,3.07,"(-93.161348, 44.979364000000004)",58609.1,Refinancing_Purchase of Apartments_Coops,0.13074,0.321307937156813,0.15964599999999998,0.31948697949593924,0.19319250000000002,0.33844908090252424,0.23164600000000002,0.3621098215639267,0.27374,0.4006040193256776,0.4139935,0.42213763856499875,0.6839425000000002,0.4101964294921251,0.0345,0.31355121713151174,0.08750000000000002,0.36350328229931894,0.142,0.3873819997580046,1.2035,0.5551462398315131,2.3000000000000003,0.40249678998502375,3.0740000000000003,0.1039258640560016,3.400000000000001,0.013551755714929534,41471481477.9035,0.6610904613164612,10216278752.7557,0.6989301352967227,86.47441597957871,-0.25282763749432347,1.9,-0.6887853176191677,1.8,-0.6542563405940579
4,2014-03,MN,ST. PAUL,2014-03,3.83,"(-93.019077, 44.947933)",60915.12,Refinancing_Purchase of Apartments_Coops,0.0888,0.321307937156813,0.1207452380952381,0.31948697949593924,0.15488333333333335,0.33844908090252424,0.19711666666666672,0.3621098215639267,0.23409761904761903,0.4006040193256776,0.33106666666666673,0.42213763856499875,0.5571428571428573,0.4101964294921251,0.051428571428571455,0.31355121713151174,0.07857142857142858,0.36350328229931894,0.1280952380952381,0.3873819997580046,1.6395238095238096,0.5551462398315131,2.7233333333333327,0.40249678998502375,3.3466666666666667,0.1039258640560016,3.6209523809523807,0.013551755714929534,44109559396.2995,0.6610904613164612,10121843859.6075,0.6989301352967227,81.9669757663089,-0.25282763749432347,1.5,-0.6887853176191677,1.4,-0.6542563405940579
5,2014-05,MN,ST. PAUL,2014-05,3.8,"(-93.08893499999999, 44.950844000000004)",17234.35,Refinancing_Purchase of Apartments_Coops,0.08842000000000001,0.321307937156813,0.1198375,0.31948697949593924,0.15035749999999998,0.33844908090252424,0.1914675,0.3621098215639267,0.22609000000000004,0.4006040193256776,0.3231200000000001,0.42213763856499875,0.537955,0.4101964294921251,0.026666666666666665,0.31355121713151174,0.05190476190476192,0.36350328229931894,0.0966666666666667,0.3873819997580046,1.5928571428571427,0.5551462398315131,2.559047619047619,0.40249678998502375,3.1152380952380954,0.1039258640560016,3.3899999999999997,0.013551755714929534,43938467193.2505,0.6610904613164612,11117378455.0815,0.6989301352967227,81.06604477988621,-0.25282763749432347,1.5,-0.6887853176191677,1.3,-0.6542563405940579
6,2014-11,MN,ST. PAUL,2014-11,3.51,"(-93.117897, 44.946682)",10300.41,Refinancing_Purchase of Apartments_Coops,0.09656999999999999,0.321307937156813,0.12222499999999999,0.31948697949593924,0.1548075,0.33844908090252424,0.20246,0.3621098215639267,0.23286250000000003,0.4006040193256776,0.32679500000000006,0.42213763856499875,0.56206,0.4101964294921251,0.04166666666666668,0.31355121713151174,0.06944444444444448,0.36350328229931894,0.13444444444444448,0.3873819997580046,1.6205555555555557,0.5551462398315131,2.325555555555556,0.40249678998502375,2.7644444444444445,0.1039258640560016,3.038333333333333,0.013551755714929534,45241950015.4561,0.6610904613164612,11837215038.8922,0.6989301352967227,82.122236078369,-0.25282763749432347,1.5,-0.6887853176191677,1.2,-0.6542563405940579
7,2015-08,MN,ST. PAUL,2015-08,3.32,"(-93.1486754, 44.9269586)",45933.97,Refinancing_Purchase of Apartments_Coops,0.13010000000000005,0.321307937156813,0.151965,0.31948697949593924,0.1967275,0.33844908090252424,0.2610100000000001,0.3621098215639267,0.3207975,0.4006040193256776,0.5193599999999999,0.42213763856499875,0.8364375,0.4101964294921251,0.03523809523809525,0.31355121713151174,0.22000000000000006,0.36350328229931894,0.3757142857142857,0.3873819997580046,1.5414285714285714,0.5551462398315131,2.167142857142857,0.40249678998502375,2.5466666666666664,0.1039258640560016,2.8557142857142854,0.013551755714929534,49379202635.7798,0.6610904613164612,10798655053.3939,0.6989301352967227,81.9752078939728,-0.25282763749432347,1.5,-0.6887853176191677,0.9,-0.6542563405940579
8,2015-12,MN,ST. PAUL,2015-12,3.48,"(-93.1997, 44.9736)",17227.15,Refinancing_Purchase of Apartments_Coops,0.2286238095238095,0.321307937156813,0.289352380952381,0.31948697949593924,0.3523071428571429,0.33844908090252424,0.44092857142857156,0.3621098215639267,0.5332357142857143,0.4006040193256776,0.7638285714285715,0.42213763856499875,1.0841380952380955,0.4101964294921251,0.17181818181818184,0.31355121713151174,0.4990909090909091,0.36350328229931894,0.6536363636363638,0.3873819997580046,1.6986363636363635,0.5551462398315131,2.2427272727272736,0.40249678998502375,2.6072727272727274,0.1039258640560016,2.97,0.013551755714929534,48154770296.6926,0.6610904613164612,11362184412.0981,0.6989301352967227,83.5754036116387,-0.25282763749432347,1.5,-0.6887853176191677,0.9,-0.6542563405940579
9,2016-05,MN,ST. PAUL,2016-05,3.67,"(-93.123464, 44.953303000000005)",15508.44,Refinancing_Purchase of Apartments_Coops,0.38527368421052627,0.321307937156813,0.4053315789473685,0.31948697949593924,0.4424947368421052,0.33844908090252424,0.5332263157894737,0.3621098215639267,0.6455710526315791,0.4006040193256776,0.9348736842105263,0.42213763856499875,1.2675078947368421,0.4101964294921251,0.2261904761904762,0.31355121713151174,0.4185714285714286,0.36350328229931894,0.5914285714285713,0.3873819997580046,1.3004761904761903,0.5551462398315131,1.8061904761904766,0.40249678998502375,2.2166666666666663,0.1039258640560016,2.627619047619048,0.013551755714929534,49206523977.8161,0.6610904613164612,11412820253.2316,0.6989301352967227,88.1942388876454,-0.25282763749432347,1.3,-0.6887853176191677,0.9,-0.6542563405940579
