,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(4),Corr with student_vol(4),credit_tightness(-1),Corr with credit_tightness(-1),mortgage 30-89(-2),Corr with mortgage 30-89(-2),mortgage 90(-1),Corr with mortgage 90(-1),long,lat
0,2010-04,GA,COLUMBUS,2010-04,4.5,"(-84.96611899999999, 32.570662)",31904,95713.81,Refinancing_Purchase of Apartments_Coops,0.24183250000000003,-0.07095575759801469,0.2495495,-0.06358202937111898,0.2597455000000001,-0.05860778954962306,0.2840375,-0.05532186028931132,0.3116065,-0.05735808505153101,0.4758610000000001,-0.0942108928866117,0.9598030000000002,-0.09469922324520555,0.15045454545454548,-0.049064266382021916,0.2440909090909091,-0.07114453238327416,0.44499999999999995,-0.0811615105418736,2.581363636363637,0.11560396205572368,3.8468181818181817,0.28337598873685105,4.531363636363637,0.339063114200647,4.693181818181819,0.3286795250688097,29160609360.1217,-0.34461934667640975,11556490165.0911,0.5494998935046589,99.3021234972081,0.26284902440286706,3.5,0.3904456349831069,3.3,0.36337887818965436,-84.96611899999999,32.570662
1,2010-05,GA,COLUMBUS,2010-05,4.35,"(-84.937809, 32.546003999999996)",31909,65889.45,Refinancing_Purchase of Apartments_Coops,0.2957715789473684,-0.07095575759801469,0.3152057894736842,-0.06358202937111898,0.3354642105263158,-0.05860778954962306,0.39242105263157895,-0.05532186028931132,0.45851421052631586,-0.05735808505153101,0.6592468421052632,-0.0942108928866117,1.129987894736842,-0.09469922324520555,0.147,-0.049064266382021916,0.22350000000000003,-0.07114453238327416,0.37099999999999994,-0.0811615105418736,2.1799999999999997,0.11560396205572368,3.4199999999999995,0.28337598873685105,4.1145,0.339063114200647,4.286,0.3286795250688097,29826615528.9652,-0.34461934667640975,12342273869.2704,0.5494998935046589,99.0214107435932,0.26284902440286706,3.0,0.3904456349831069,2.7,0.36337887818965436,-84.937809,32.546003999999996
2,2011-08,GA,COLUMBUS,2011-08,3.74,"(-84.899402, 32.549793)",31909,61935.96,Refinancing_Purchase of Apartments_Coops,0.14468363636363638,-0.07095575759801469,0.18038681818181818,-0.06358202937111898,0.21116590909090904,-0.05860778954962306,0.24895727272727275,-0.05532186028931132,0.29323772727272723,-0.05735808505153101,0.45919454545454547,-0.0942108928866117,0.7783581818181818,-0.09469922324520555,0.017391304347826094,-0.049064266382021916,0.06217391304347828,-0.07114453238327416,0.11478260869565218,-0.0811615105418736,1.021304347826087,0.11560396205572368,2.303043478260869,0.28337598873685105,3.244782608695652,0.339063114200647,3.6513043478260867,0.3286795250688097,35344521679.5642,-0.34461934667640975,11508699084.1195,0.5494998935046589,90.5649414475864,0.26284902440286706,3.6,0.3904456349831069,2.8,0.36337887818965436,-84.899402,32.549793
3,2011-10,GA,COLUMBUS,2011-10,4.65,"(-84.681, 32.8904)",31909,74031.47,Refinancing_Purchase of Apartments_Coops,0.1416352380952381,-0.07095575759801469,0.19074095238095234,-0.06358202937111898,0.24373904761904758,-0.05860778954962306,0.3185252380952381,-0.05532186028931132,0.4064785714285714,-0.05735808505153101,0.59521,-0.0942108928866117,0.9086428571428572,-0.09469922324520555,0.013500000000000003,-0.049064266382021916,0.05450000000000003,-0.07114453238327416,0.1145,-0.0811615105418736,1.0614999999999999,0.11560396205572368,2.1519999999999997,0.28337598873685105,2.8695,0.339063114200647,3.128,0.3286795250688097,35532707747.113,-0.34461934667640975,10728874885.7875,0.5494998935046589,90.4806728327692,0.26284902440286706,4.7,0.3904456349831069,2.8,0.36337887818965436,-84.681,32.8904
4,2011-12,GA,COLUMBUS,2011-12,4.17,"(-84.8693136, 32.537864)",31820,102919.82,Refinancing_Purchase of Apartments_Coops,0.1499335,-0.07095575759801469,0.2029985,-0.06358202937111898,0.2836085,-0.05860778954962306,0.40829250000000006,-0.05532186028931132,0.5557375,-0.05735808505153101,0.7798775000000001,-0.0942108928866117,1.1003555000000003,-0.09469922324520555,0.0033333333333333335,-0.049064266382021916,0.048571428571428585,-0.07114453238327416,0.11523809523809528,-0.0811615105418736,0.8914285714285713,0.11560396205572368,1.9780952380952384,0.28337598873685105,2.6676190476190476,0.339063114200647,2.9823809523809524,0.3286795250688097,36623269866.4569,-0.34461934667640975,11641401212.0971,0.5494998935046589,90.35087768078328,0.26284902440286706,4.5,0.3904456349831069,3.2,0.36337887818965436,-84.8693136,32.537864
5,2012-02,GA,COLUMBUS,2012-02,7.22,"(-84.94203, 32.42804)",31903,26291.59,Refinancing_Purchase of Apartments_Coops,0.1410714285714286,-0.07095575759801469,0.19146190476190478,-0.06358202937111898,0.2500238095238095,-0.05860778954962306,0.3686547619047619,-0.05532186028931132,0.5032404761904763,-0.05735808505153101,0.7572880952380953,-0.0942108928866117,1.0711880952380954,-0.09469922324520555,0.06350000000000003,-0.049064266382021916,0.124,-0.07114453238327416,0.161,-0.0811615105418736,0.8310000000000001,0.11560396205572368,1.9674999999999998,0.28337598873685105,2.7479999999999998,0.339063114200647,3.109,0.3286795250688097,36186315501.0541,-0.34461934667640975,14585937143.4485,0.5494998935046589,90.7743282432688,0.26284902440286706,5.3,0.3904456349831069,3.3,0.36337887818965436,-84.94203,32.42804
6,2012-04,GA,COLUMBUS,2012-04,3.17,"(30.832212, 27.581726)",31909,33823.76,Refinancing_Purchase of Apartments_Coops,0.14868421052631575,-0.07095575759801469,0.18980526315789473,-0.06358202937111898,0.23982894736842097,-0.05860778954962306,0.34777368421052635,-0.05532186028931132,0.46680789473684203,-0.05735808505153101,0.7313999999999999,-0.0942108928866117,1.048621052631579,-0.09469922324520555,0.0666666666666667,-0.049064266382021916,0.13904761904761903,-0.07114453238327416,0.18333333333333335,-0.0811615105418736,0.8947619047619045,0.11560396205572368,2.0528571428571425,0.28337598873685105,2.8166666666666664,0.339063114200647,3.1842857142857137,0.3286795250688097,37160101000.5239,-0.34461934667640975,11986368496.8635,0.5494998935046589,90.0868950067716,0.26284902440286706,4.5,0.3904456349831069,2.8,0.36337887818965436,30.832212,27.581726
7,2012-05,GA,COLUMBUS,2012-05,2.95,"(-84.931035, 32.559039)",31909,22867.75,Refinancing_Purchase of Apartments_Coops,0.15161363636363637,-0.07095575759801469,0.19053181818181822,-0.06358202937111898,0.23893181818181805,-0.05860778954962306,0.3457045454545453,-0.05532186028931132,0.4665318181818183,-0.05735808505153101,0.732990909090909,-0.0942108928866117,1.0615068181818177,-0.09469922324520555,0.06590909090909093,-0.049064266382021916,0.14545454545454548,-0.07114453238327416,0.19181818181818186,-0.0811615105418736,0.7618181818181818,0.11560396205572368,1.8031818181818189,0.28337598873685105,2.525909090909091,0.339063114200647,2.930909090909091,0.3286795250688097,37571290060.6541,-0.34461934667640975,11631947675.6117,0.5494998935046589,89.00857713430821,0.26284902440286706,4.4,0.3904456349831069,2.7,0.36337887818965436,-84.931035,32.559039
8,2012-07,GA,COLUMBUS,2012-07,3.38,"(-84.979019, 32.487697999999995)",31904,12680.57,Refinancing_Purchase of Apartments_Coops,0.16720454545454547,-0.07095575759801469,0.19873636363636368,-0.06358202937111898,0.24646136363636365,-0.05860778954962306,0.34024999999999994,-0.05532186028931132,0.4535545454545455,-0.05735808505153101,0.7302181818181818,-0.0942108928866117,1.0653181818181816,-0.09469922324520555,0.06952380952380956,-0.049064266382021916,0.14571428571428574,-0.07114453238327416,0.18571428571428572,-0.0811615105418736,0.6195238095238095,0.11560396205572368,1.5266666666666664,0.28337598873685105,2.217142857142857,0.339063114200647,2.5900000000000003,0.3286795250688097,38410438812.4053,-0.34461934667640975,10740081615.3953,0.5494998935046589,89.56768058609659,0.26284902440286706,4.2,0.3904456349831069,3.1,0.36337887818965436,-84.979019,32.487697999999995
9,2012-08,GA,COLUMBUS,2012-08,2.8899999999999997,"(122.55, 11.12)",31904,44514.425,Refinancing_Purchase of Apartments_Coops,0.15374090909090915,-0.07095575759801469,0.18745454545454548,-0.06358202937111898,0.23783863636363634,-0.05860778954962306,0.3331136363636364,-0.05532186028931132,0.43259999999999993,-0.05735808505153101,0.7177749999999997,-0.0942108928866117,1.0426272727272727,-0.09469922324520555,0.09217391304347829,-0.049064266382021916,0.14043478260869566,-0.07114453238327416,0.18347826086956526,-0.0811615105418736,0.7139130434782609,0.11560396205572368,1.6782608695652175,0.28337598873685105,2.3978260869565218,0.339063114200647,2.7708695652173914,0.3286795250688097,38808856509.5085,-0.34461934667640975,11337096053.4966,0.5494998935046589,89.02745876405929,0.26284902440286706,4.5,0.3904456349831069,3.1,0.36337887818965436,122.55,11.12
