,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-3),Corr with auto_vol(-3),student_vol(-3),Corr with student_vol(-3),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(4),Corr with mortgage 90(4)
0,2010-06,CA,SAN JOSE,2010-06,4.8,"(-121.88541299999999, 37.327527)",28593.72,Refinancing_Purchase of Apartments_Coops,0.29840136363636366,0.08833675094500165,0.3291213636363637,0.08324003805391596,0.3487363636363637,0.07826646830995798,0.4336950000000001,0.06996612119898156,0.5368986363636363,0.06965356666772811,0.7518195454545455,0.038486787518464204,1.187955909090909,0.024971450223484463,0.07954545454545457,0.08030535568209883,0.19090909090909092,0.06897660271795936,0.3181818181818181,0.05867149074623957,1.9963636363636363,0.17751505684697347,3.2040909090909095,0.35045663830507673,3.9499999999999997,0.38531555405219853,4.127727272727272,0.36046986225394634,27482962505.147003,-0.07317322970282648,14217328271.8582,-0.5277014001020225,97.8799778094334,0.35637333972048746,2.3,0.1279561274319826,4.4,0.05217278867254877
1,2011-06,CA,SAN JOSE,2011-06,4.4,"(-74.049846, 41.032392)",33263.28,Refinancing_Purchase of Apartments_Coops,0.12706818181818183,0.08833675094500165,0.1615431818181819,0.08324003805391596,0.18716409090909092,0.07826646830995798,0.21923909090909086,0.06996612119898156,0.24782409090909094,0.06965356666772811,0.39758,0.038486787518464204,0.7268749999999999,0.024971450223484463,0.0190909090909091,0.08030535568209883,0.1013636363636364,0.06897660271795936,0.18090909090909094,0.05867149074623957,1.5799999999999998,0.17751505684697347,3.002272727272727,0.35045663830507673,3.9145454545454546,0.38531555405219853,4.2327272727272724,0.36046986225394634,31565012894.7234,-0.07317322970282648,11311909309.5948,-0.5277014001020225,93.74313363440879,0.35637333972048746,1.7,0.1279561274319826,3.2,0.05217278867254877
2,2011-09,CA,SAN JOSE,2011-09,3.9,"(-121.818968, 36.636084000000004)",45103.61,Refinancing_Purchase of Apartments_Coops,0.14525181818181823,0.08833675094500165,0.1884,0.08324003805391596,0.23085045454545455,0.07826646830995798,0.2845913636363636,0.06996612119898156,0.3502268181818181,0.06965356666772811,0.5222018181818182,0.038486787518464204,0.8332045454545454,0.024971450223484463,0.005714285714285713,0.08030535568209883,0.04333333333333335,0.06897660271795936,0.10476190476190479,0.05867149074623957,0.9004761904761904,0.17751505684697347,1.9752380952380955,0.35045663830507673,2.8271428571428574,0.38531555405219853,3.182380952380953,0.36046986225394634,31300541846.2612,-0.07317322970282648,12472473242.0863,-0.5277014001020225,91.13289228397959,0.35637333972048746,1.6,0.1279561274319826,2.9,0.05217278867254877
3,2011-12,CA,SAN JOSE,2011-12,3.91,"(-121.930311, 37.296872)",59432.9,Refinancing_Purchase of Apartments_Coops,0.1499335,0.08833675094500165,0.2029985,0.08324003805391596,0.2836085,0.07826646830995798,0.40829250000000006,0.06996612119898156,0.5557375,0.06965356666772811,0.7798775000000001,0.038486787518464204,1.1003555000000003,0.024971450223484463,0.0033333333333333335,0.08030535568209883,0.048571428571428585,0.06897660271795936,0.11523809523809528,0.05867149074623957,0.8914285714285713,0.17751505684697347,1.9780952380952384,0.35045663830507673,2.6676190476190476,0.38531555405219853,2.9823809523809524,0.36046986225394634,33690910289.8878,-0.07317322970282648,11655650147.2578,-0.5277014001020225,88.33905735772379,0.35637333972048746,1.7,0.1279561274319826,2.7,0.05217278867254877
4,2012-09,CA,SAN JOSE,2012-09,2.75,"(-121.827054, 37.318405)",34672.12,Refinancing_Purchase of Apartments_Coops,0.15189500000000006,0.08833675094500165,0.183625,0.08324003805391596,0.22133750000000002,0.07826646830995798,0.3079875,0.06996612119898156,0.3856325000000001,0.06965356666772811,0.6716749999999999,0.038486787518464204,0.9997750000000002,0.024971450223484463,0.07526315789473685,0.08030535568209883,0.13736842105263158,0.06897660271795936,0.17578947368421055,0.05867149074623957,0.6689473684210526,0.17751505684697347,1.7231578947368422,0.35045663830507673,2.488421052631579,0.38531555405219853,2.8815789473684212,0.36046986225394634,36186315501.0541,-0.07317322970282648,14585937143.4485,-0.5277014001020225,89.6038877472871,0.35637333972048746,1.5,0.1279561274319826,1.8,0.05217278867254877
5,2013-04,CA,SAN JOSE,2013-04,5.5520000000000005,"(13.81889, 46.761109999999995)",67553.48,Refinancing_Purchase of Apartments_Coops,0.1539047619047619,0.08833675094500165,0.17210476190476193,0.08324003805391596,0.19953333333333334,0.07826646830995798,0.24005714285714277,0.06996612119898156,0.27714285714285714,0.06965356666772811,0.4360190476190476,0.038486787518464204,0.7168333333333334,0.024971450223484463,0.049090909090909116,0.08030535568209883,0.09409090909090913,0.06897660271795936,0.12454545454545456,0.05867149074623957,0.7104545454545454,0.17751505684697347,1.7590909090909093,0.35045663830507673,2.5500000000000003,0.38531555405219853,2.9327272727272726,0.36046986225394634,39268596272.9965,-0.07317322970282648,11154944519.578999,-0.5277014001020225,89.2801736441717,0.35637333972048746,1.5,0.1279561274319826,1.3,0.05217278867254877
6,2014-03,CA,SAN JOSE,2014-03,5.75,"(-121.802871, 37.25992)",68336.38,Refinancing_Purchase of Apartments_Coops,0.0888,0.08833675094500165,0.1207452380952381,0.08324003805391596,0.15488333333333335,0.07826646830995798,0.19711666666666672,0.06996612119898156,0.23409761904761903,0.06965356666772811,0.33106666666666673,0.038486787518464204,0.5571428571428573,0.024971450223484463,0.051428571428571455,0.08030535568209883,0.07857142857142858,0.06897660271795936,0.1280952380952381,0.05867149074623957,1.6395238095238096,0.17751505684697347,2.7233333333333327,0.35045663830507673,3.3466666666666667,0.38531555405219853,3.6209523809523807,0.36046986225394634,41561863313.5151,-0.07317322970282648,9402239044.86975,-0.5277014001020225,88.4263020205016,0.35637333972048746,1.1,0.1279561274319826,1.0,0.05217278867254877
7,2014-11,CA,SAN JOSE,2014-11,3.67,"(-121.912998, 37.321999999999996)",24993.79,Refinancing_Purchase of Apartments_Coops,0.09656999999999999,0.08833675094500165,0.12222499999999999,0.08324003805391596,0.1548075,0.07826646830995798,0.20246,0.06996612119898156,0.23286250000000003,0.06965356666772811,0.32679500000000006,0.038486787518464204,0.56206,0.024971450223484463,0.04166666666666668,0.08030535568209883,0.06944444444444448,0.06897660271795936,0.13444444444444448,0.05867149074623957,1.6205555555555557,0.17751505684697347,2.325555555555556,0.35045663830507673,2.7644444444444445,0.38531555405219853,3.038333333333333,0.36046986225394634,45277214883.1472,-0.07317322970282648,11117378455.0815,-0.5277014001020225,81.64661519553,0.35637333972048746,0.9,0.1279561274319826,0.7,0.05217278867254877
8,2015-06,CA,SAN JOSE,2015-06,3.46,"(120.97, 14.12)",118186.99,Refinancing_Purchase of Apartments_Coops,0.12293636363636364,0.08833675094500165,0.14681590909090908,0.08324003805391596,0.1858840909090909,0.07826646830995798,0.23472954545454539,0.06996612119898156,0.2827113636363637,0.06965356666772811,0.43974545454545466,0.038486787518464204,0.7702659090909093,0.024971450223484463,0.007727272727272728,0.08030535568209883,0.08681818181818185,0.06897660271795936,0.2754545454545455,0.05867149074623957,1.6836363636363636,0.17751505684697347,2.3636363636363638,0.35045663830507673,2.8454545454545452,0.38531555405219853,3.1118181818181814,0.36046986225394634,47944164595.1044,-0.07317322970282648,12019442988.8631,-0.5277014001020225,82.122236078369,0.35637333972048746,0.7,0.1279561274319826,0.6,0.05217278867254877
9,2015-12,CA,SAN JOSE,2015-12,3.75,"(-121.8261, 37.2751)",102809.97,Refinancing_Purchase of Apartments_Coops,0.2286238095238095,0.08833675094500165,0.289352380952381,0.08324003805391596,0.3523071428571429,0.07826646830995798,0.44092857142857156,0.06996612119898156,0.5332357142857143,0.06965356666772811,0.7638285714285715,0.038486787518464204,1.0841380952380955,0.024971450223484463,0.17181818181818184,0.08030535568209883,0.4990909090909091,0.06897660271795936,0.6536363636363638,0.05867149074623957,1.6986363636363635,0.17751505684697347,2.2427272727272736,0.35045663830507673,2.6072727272727274,0.38531555405219853,2.97,0.36046986225394634,49379202635.7798,-0.07317322970282648,11492007418.0579,-0.5277014001020225,82.89218119322959,0.35637333972048746,0.7,0.1279561274319826,0.4,0.05217278867254877
