,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(4),Corr with student_vol(4),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(-3),Corr with mortgage 90(-3)
0,2012-01,FL,TAMPA,2012-01,3.79,"(-82.493358, 27.913188)",29539.24,Refinancing_Purchase of Apartments_Coops,0.14564761904761903,0.02716160498411153,0.2014238095238095,0.03166273698634464,0.28289523809523814,0.040773683833216175,0.41424761904761903,0.054283058130193344,0.5659000000000001,0.06385146387408559,0.7969761904761906,0.031748922505077826,1.1145476190476191,0.009693279496124856,0.0245,0.04985374985128364,0.06550000000000003,0.03622652524733633,0.11500000000000003,0.04313851195388448,0.835,0.2213388257151212,1.9664999999999995,0.30209497611018143,2.6950000000000003,0.2466609672609817,3.026,0.2052916153235526,36777908030.9335,0.020748922753809407,12770391029.1034,0.479166304434694,90.6452366150782,-0.4842952832387786,3.3,0.16890104323071187,7.9,-0.0952574191394666
1,2012-03,FL,TAMPA,2012-03,4.41,"(-82.345322, 28.1547297)",66178.11,Refinancing_Purchase of Apartments_Coops,0.14720000000000003,0.02716160498411153,0.1893409090909091,0.03166273698634464,0.24185227272727275,0.040773683833216175,0.35079999999999995,0.054283058130193344,0.4732886363636363,0.06385146387408559,0.741275,0.031748922505077826,1.0534477272727274,0.009693279496124856,0.06363636363636366,0.04985374985128364,0.14227272727272727,0.03622652524733633,0.19000000000000003,0.04313851195388448,1.0172727272727273,0.2213388257151212,2.1727272727272724,0.30209497611018143,2.9404545454545454,0.2466609672609817,3.281363636363636,0.2052916153235526,36601383816.48,0.020748922753809407,16111780903.4699,0.479166304434694,89.00857713430821,-0.4842952832387786,3.5,0.16890104323071187,8.0,-0.0952574191394666
2,2012-10,FL,TAMPA,2012-10,2.63,"(-82.427903, 28.058953000000002)",43533.21,Refinancing_Purchase of Apartments_Coops,0.15320434782608702,0.02716160498411153,0.17955217391304346,0.03166273698634464,0.21346521739130433,0.040773683833216175,0.2717391304347827,0.054283058130193344,0.3304891304347827,0.06385146387408559,0.5823021739130435,0.031748922505077826,0.9185760869565219,0.009693279496124856,0.10952380952380951,0.04985374985128364,0.14904761904761904,0.03622652524733633,0.17952380952380956,0.04313851195388448,0.7085714285714285,0.2213388257151212,1.7461904761904758,0.30209497611018143,2.505714285714286,0.2466609672609817,2.90047619047619,0.2052916153235526,39658399389.4891,0.020748922753809407,11080080767.5225,0.479166304434694,90.2956809830492,-0.4842952832387786,2.9,0.16890104323071187,8.0,-0.0952574191394666
3,2012-12,FL,TAMPA,2012-12,2.42,"(-82.439651, 28.056805999999998)",10837.35,Refinancing_Purchase of Apartments_Coops,0.1631578947368421,0.02716160498411153,0.1875157894736842,0.03166273698634464,0.21092631578947374,0.040773683833216175,0.2552894736842105,0.054283058130193344,0.30947368421052623,0.06385146387408559,0.5145657894736843,0.031748922505077826,0.8483157894736841,0.009693279496124856,0.039500000000000014,0.04985374985128364,0.11950000000000005,0.03622652524733633,0.1585,0.04313851195388448,0.6960000000000001,0.2213388257151212,1.7189999999999999,0.30209497611018143,2.4675000000000002,0.2466609672609817,2.8835,0.2052916153235526,40395555554.9932,0.020748922753809407,9123117418.53368,0.479166304434694,91.578064558499,-0.4842952832387786,2.7,0.16890104323071187,7.9,-0.0952574191394666
4,2013-01,FL,TAMPA,2013-01,3.6825,"(-82.35044599999999, 27.983363)",19316.239999999998,Refinancing_Purchase of Apartments_Coops,0.16043181818181818,0.02716160498411153,0.17947272727272726,0.03166273698634464,0.20497272727272725,0.040773683833216175,0.2497954545454545,0.054283058130193344,0.30261363636363625,0.06385146387408559,0.48810454545454546,0.031748922505077826,0.8142727272727271,0.009693279496124856,0.05190476190476192,0.04985374985128364,0.10761904761904766,0.03622652524733633,0.14523809523809525,0.04313851195388448,0.8052380952380951,0.2213388257151212,1.9147619047619049,0.30209497611018143,2.681428571428571,0.2466609672609817,3.0804761904761913,0.2052916153235526,40995097959.5386,0.020748922753809407,9498561196.652071,0.479166304434694,88.794109524791,-0.4842952832387786,2.8,0.16890104323071187,7.7,-0.0952574191394666
5,2013-03,FL,TAMPA,2013-03,3.48,"(-82.440096, 28.063045000000002)",5204.41,Refinancing_Purchase of Apartments_Coops,0.15505000000000002,0.02716160498411153,0.17309999999999998,0.03166273698634464,0.20345,0.040773683833216175,0.2419,0.054283058130193344,0.28190000000000004,0.06385146387408559,0.44782500000000003,0.031748922505077826,0.7351250000000001,0.009693279496124856,0.07800000000000003,0.04985374985128364,0.11450000000000005,0.03622652524733633,0.14750000000000002,0.04313851195388448,0.8185000000000002,0.2213388257151212,1.9575,0.30209497611018143,2.7840000000000003,0.2466609672609817,3.1625000000000005,0.2052916153235526,41471481477.9035,0.020748922753809407,8901986132.75728,0.479166304434694,86.5850023909696,-0.4842952832387786,2.7,0.16890104323071187,7.3,-0.0952574191394666
6,2013-07,FL,TAMPA,2013-07,2.91,"(-82.578671, 28.074982000000002)",63935.52,Refinancing_Purchase of Apartments_Coops,0.12117913043478262,0.02716160498411153,0.15611695652173913,0.03166273698634464,0.19111913043478265,0.040773683833216175,0.232388695652174,0.054283058130193344,0.26758260869565215,0.06385146387408559,0.40307869565217386,0.031748922505077826,0.6838491304347826,0.009693279496124856,0.020909090909090912,0.04985374985128364,0.07363636363636367,0.03622652524733633,0.12181818181818184,0.04313851195388448,1.4031818181818183,0.2213388257151212,2.5822727272727275,0.30209497611018143,3.3072727272727276,0.2466609672609817,3.605,0.2052916153235526,41658198449.9001,0.020748922753809407,10396023519.0372,0.479166304434694,88.1059676388142,-0.4842952832387786,2.4,0.16890104323071187,6.6,-0.0952574191394666
7,2013-08,FL,TAMPA,2013-08,3.475,"(-82.586609, 28.05892)",72287.66,Refinancing_Purchase of Apartments_Coops,0.11782999999999999,0.02716160498411153,0.1493142857142857,0.03166273698634464,0.1840704761904762,0.040773683833216175,0.22633523809523812,0.054283058130193344,0.2633952380952381,0.06385146387408559,0.3949285714285714,0.031748922505077826,0.6679499999999999,0.009693279496124856,0.03681818181818183,0.04985374985128364,0.07181818181818184,0.03622652524733633,0.12681818181818183,0.04313851195388448,1.5204545454545455,0.2213388257151212,2.7372727272727273,0.30209497611018143,3.488181818181818,0.2466609672609817,3.757727272727273,0.2052916153235526,41561863313.5151,0.020748922753809407,9402239044.86975,0.479166304434694,86.47441597957871,-0.4842952832387786,2.9,0.16890104323071187,6.2,-0.0952574191394666
8,2013-09,FL,TAMPA,2013-09,3.45,"(-82.528816, 27.871551)",173369.73,Refinancing_Purchase of Apartments_Coops,0.11272380952380952,0.02716160498411153,0.14323238095238094,0.03166273698634464,0.18057476190476196,0.040773683833216175,0.22133904761904755,0.054283058130193344,0.2531785714285715,0.06385146387408559,0.38033809523809525,0.031748922505077826,0.6526857142857143,0.009693279496124856,0.017500000000000005,0.04985374985128364,0.04150000000000001,0.03622652524733633,0.11850000000000002,0.04313851195388448,1.5959999999999999,0.2213388257151212,2.8095,0.30209497611018143,3.526,0.2466609672609817,3.7870000000000004,0.2052916153235526,42151687038.4775,0.020748922753809407,9438159522.248821,0.479166304434694,85.7873584996498,-0.4842952832387786,2.9,0.16890104323071187,6.1,-0.0952574191394666
9,2014-04,FL,TAMPA,2014-04,4.074999999999999,"(-82.58027299999999, 28.000627)",45967.44,Refinancing_Purchase of Apartments_Coops,0.08864000000000001,0.02716160498411153,0.120115,0.03166273698634464,0.1517,0.040773683833216175,0.1918625,0.054283058130193344,0.227495,0.06385146387408559,0.32422500000000004,0.031748922505077826,0.550005,0.009693279496124856,0.023333333333333345,0.04985374985128364,0.05333333333333336,0.03622652524733633,0.10761904761904763,0.04313851195388448,1.7009523809523805,0.2213388257151212,2.705238095238095,0.30209497611018143,3.265238095238095,0.2466609672609817,3.5176190476190476,0.2052916153235526,45277214883.1472,0.020748922753809407,11117378455.0815,0.479166304434694,82.11515832772571,-0.4842952832387786,2.8,0.16890104323071187,4.9,-0.0952574191394666
