,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-4),Corr with auto_vol(-4),student_vol(-1),Corr with student_vol(-1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(1),Corr with mortgage 90(1),long,lat
0,2010-09,FL,OCALA,2010-09,5.6,"(-82.105398, 29.192515999999998)",32670,14062.79,Refinancing_Purchase of Apartments_Coops,0.22657136363636363,0.706592018263987,0.251059090909091,0.6956597079002461,0.25699454545454536,0.4687561545853449,0.2738163636363636,-0.15339165821210396,0.2913659090909092,-0.451038631594802,0.4777727272727273,-0.47171564531392973,0.8043745454545456,-0.4007523678885572,0.1166666666666667,0.5663621912150368,0.19333333333333336,0.5105726130065749,0.2566666666666666,0.6501551923612576,1.4104761904761904,0.5721621424819325,2.6476190476190475,0.7794613088224006,3.4690476190476183,0.9122508435996094,3.773333333333333,0.9369502136148697,27396832704.0094,-0.7580276637814303,11556490165.0911,0.5541719942151916,98.6449594200431,0.7755721494583759,4.8,0.7640707747055286,6.5,-0.48145997038327343,-82.105398,29.192515999999998
1,2010-10,FL,OCALA,2010-10,5.5,"(-82.150729, 29.192426)",32670,2952.5,Refinancing_Purchase of Apartments_Coops,0.22598619047619048,0.706592018263987,0.25051619047619045,0.6956597079002461,0.25605714285714287,0.4687561545853449,0.2720304761904762,-0.15339165821210396,0.28884,-0.451038631594802,0.45499142857142844,-0.47171564531392973,0.7680966666666665,-0.4007523678885572,0.14050000000000004,0.5663621912150368,0.17650000000000005,0.5105726130065749,0.22800000000000006,0.6501551923612576,1.1824999999999999,0.5721621424819325,2.54,0.7794613088224006,3.524,0.9122508435996094,3.8724999999999996,0.9369502136148697,28389074974.2894,-0.7580276637814303,12342273869.2704,0.5541719942151916,95.78917846656341,0.7755721494583759,4.6,0.7640707747055286,6.7,-0.48145997038327343,-82.150729,29.192426
2,2012-03,FL,OCALA,2012-03,2.74,"(-82.129971, 29.172324)",34471,31190.35,Refinancing_Purchase of Apartments_Coops,0.14720000000000003,0.706592018263987,0.1893409090909091,0.6956597079002461,0.24185227272727275,0.4687561545853449,0.35079999999999995,-0.15339165821210396,0.4732886363636363,-0.451038631594802,0.741275,-0.47171564531392973,1.0534477272727274,-0.4007523678885572,0.06363636363636366,0.5663621912150368,0.14227272727272727,0.5105726130065749,0.19000000000000003,0.6501551923612576,1.0172727272727273,0.5721621424819325,2.1727272727272724,0.7794613088224006,2.9404545454545454,0.9122508435996094,3.281363636363636,0.9369502136148697,34825519831.2788,-0.7580276637814303,10728874885.7875,0.5541719942151916,90.35087768078328,0.7755721494583759,4.1,0.7640707747055286,8.1,-0.48145997038327343,-82.129971,29.172324
3,2012-10,FL,OCALA,2012-10,2.53,"(-82.175957, 29.147389)",34474,43182.06,Refinancing_Purchase of Apartments_Coops,0.15320434782608702,0.706592018263987,0.17955217391304346,0.6956597079002461,0.21346521739130433,0.4687561545853449,0.2717391304347827,-0.15339165821210396,0.3304891304347827,-0.451038631594802,0.5823021739130435,-0.47171564531392973,0.9185760869565219,-0.4007523678885572,0.10952380952380951,0.5663621912150368,0.14904761904761904,0.5105726130065749,0.17952380952380956,0.6501551923612576,0.7085714285714285,0.5721621424819325,1.7461904761904758,0.7794613088224006,2.505714285714286,0.9122508435996094,2.90047619047619,0.9369502136148697,36186315501.0541,-0.7580276637814303,11631947675.6117,0.5541719942151916,89.56768058609659,0.7755721494583759,3.4,0.7640707747055286,8.6,-0.48145997038327343,-82.175957,29.147389
4,2013-01,FL,OCALA,2013-01,2.94,"(-82.17013299999999, 29.147543)",34474,49457.37,Refinancing_Purchase of Apartments_Coops,0.16043181818181818,0.706592018263987,0.17947272727272726,0.6956597079002461,0.20497272727272725,0.4687561545853449,0.2497954545454545,-0.15339165821210396,0.30261363636363625,-0.451038631594802,0.48810454545454546,-0.47171564531392973,0.8142727272727271,-0.4007523678885572,0.05190476190476192,0.5663621912150368,0.10761904761904766,0.5105726130065749,0.14523809523809525,0.6501551923612576,0.8052380952380951,0.5721621424819325,1.9147619047619049,0.7794613088224006,2.681428571428571,0.9122508435996094,3.0804761904761913,0.9369502136148697,37571290060.6541,-0.7580276637814303,11337096053.4966,0.5541719942151916,89.513287195688,0.7755721494583759,3.3,0.7640707747055286,8.2,-0.48145997038327343,-82.17013299999999,29.147543
5,2014-04,FL,OCALA,2014-04,3.73,"(-82.080715, 29.200391999999997)",34470,29751.61,Refinancing_Purchase of Apartments_Coops,0.08864000000000001,0.706592018263987,0.120115,0.6956597079002461,0.1517,0.4687561545853449,0.1918625,-0.15339165821210396,0.227495,-0.451038631594802,0.32422500000000004,-0.47171564531392973,0.550005,-0.4007523678885572,0.023333333333333345,0.5663621912150368,0.05333333333333336,0.5105726130065749,0.10761904761904763,0.6501551923612576,1.7009523809523805,0.5721621424819325,2.705238095238095,0.7794613088224006,3.265238095238095,0.9122508435996094,3.5176190476190476,0.9369502136148697,41561863313.5151,-0.7580276637814303,10653400066.5467,0.5541719942151916,85.3165844012547,0.7755721494583759,3.1,0.7640707747055286,4.2,-0.48145997038327343,-82.080715,29.200391999999997
