,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-4),Corr with auto_vol(-4),student_vol(-1),Corr with student_vol(-1),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90,Corr with mortgage 90
0,NC,DURHAM,2010-12,3.82,Refinancing_Purchase of Apartments_Coops,0.24122190476190472,3.578778095238095,-0.030091864858109288,0.25412380952380953,3.56587619047619,-0.02156426221523292,0.26178857142857137,3.5582114285714286,-0.016438572705368408,0.28196571428571415,3.5380342857142857,-0.031678225648132566,0.30272333333333334,3.5172766666666666,-0.05190536888276361,0.4583942857142857,3.361605714285714,-0.11639790732703943,0.7839004761904763,3.0360995238095234,-0.1435802869534842,0.0854166666666667,3.734583333333333,0.012481478517758476,0.19333333333333338,3.6266666666666665,0.016118575344946116,0.2937499999999999,3.52625,0.024314422177352173,1.9429166666666664,1.8770833333333334,0.42396270327525754,3.2949999999999995,0.5250000000000004,0.45271089558945943,4.173333333333333,-0.35333333333333306,0.31442242879612586,4.415,-0.5950000000000002,0.27427329698710207,29160609360.1217,0.12779666177030785,11082139451.8714,-0.3160831371866644,92.5881563190625,-0.6860684180172724,3.2,-0.3372521373047979,3.1,-0.12874480950498107
1,NC,DURHAM,2012-07,2.45,Refinancing_Purchase of Apartments_Coops,0.16720454545454547,2.2827954545454547,-0.030091864858109288,0.19873636363636368,2.2512636363636367,-0.02156426221523292,0.24646136363636365,2.2035386363636364,-0.016438572705368408,0.34024999999999994,2.10975,-0.031678225648132566,0.4535545454545455,1.9964454545454546,-0.05190536888276361,0.7302181818181818,1.7197818181818185,-0.11639790732703943,1.0653181818181816,1.3846818181818186,-0.1435802869534842,0.06952380952380956,2.3804761904761906,0.012481478517758476,0.14571428571428574,2.3042857142857143,0.016118575344946116,0.18571428571428572,2.2642857142857142,0.024314422177352173,0.6195238095238095,1.8304761904761908,0.42396270327525754,1.5266666666666664,0.9233333333333338,0.45271089558945943,2.217142857142857,0.2328571428571431,0.31442242879612586,2.5900000000000003,-0.14000000000000012,0.27427329698710207,35767585536.868996,0.12779666177030785,14585937143.4485,-0.3160831371866644,90.2956809830492,-0.6860684180172724,3.4,-0.3372521373047979,3.1,-0.12874480950498107
2,NC,DURHAM,2013-04,3.37,Refinancing_Purchase of Apartments_Coops,0.1539047619047619,3.2160952380952383,-0.030091864858109288,0.17210476190476193,3.197895238095238,-0.02156426221523292,0.19953333333333334,3.170466666666667,-0.016438572705368408,0.24005714285714277,3.1299428571428574,-0.031678225648132566,0.27714285714285714,3.092857142857143,-0.05190536888276361,0.4360190476190476,2.9339809523809524,-0.11639790732703943,0.7168333333333334,2.6531666666666665,-0.1435802869534842,0.049090909090909116,3.320909090909091,0.012481478517758476,0.09409090909090913,3.275909090909091,0.016118575344946116,0.12454545454545456,3.2454545454545456,0.024314422177352173,0.7104545454545454,2.6595454545454547,0.42396270327525754,1.7590909090909093,1.6109090909090908,0.45271089558945943,2.5500000000000003,0.8199999999999998,0.31442242879612586,2.9327272727272726,0.4372727272727275,0.27427329698710207,38808856509.5085,0.12779666177030785,9855625468.0504,-0.3160831371866644,88.1059676388142,-0.6860684180172724,3.4,-0.3372521373047979,2.3,-0.12874480950498107
3,NC,DURHAM,2013-07,3.25,Refinancing_Purchase of Apartments_Coops,0.12117913043478262,3.1288208695652173,-0.030091864858109288,0.15611695652173913,3.093883043478261,-0.02156426221523292,0.19111913043478265,3.0588808695652174,-0.016438572705368408,0.232388695652174,3.017611304347826,-0.031678225648132566,0.26758260869565215,2.982417391304348,-0.05190536888276361,0.40307869565217386,2.846921304347826,-0.11639790732703943,0.6838491304347826,2.5661508695652175,-0.1435802869534842,0.020909090909090912,3.229090909090909,0.012481478517758476,0.07363636363636367,3.1763636363636363,0.016118575344946116,0.12181818181818184,3.128181818181818,0.024314422177352173,1.4031818181818183,1.8468181818181817,0.42396270327525754,2.5822727272727275,0.6677272727272725,0.45271089558945943,3.3072727272727276,-0.057272727272727586,0.31442242879612586,3.605,-0.355,0.27427329698710207,39298206327.5877,0.12779666177030785,9260696074.4491,-0.3160831371866644,88.4263020205016,-0.6860684180172724,3.3,-0.3372521373047979,2.4,-0.12874480950498107
4,NC,DURHAM,2013-10,4.12,Refinancing_Purchase of Apartments_Coops,0.10426086956521738,4.015739130434783,-0.030091864858109288,0.13668260869565219,3.983317391304348,-0.02156426221523292,0.17241521739130433,3.9475847826086956,-0.016438572705368408,0.21265,3.90735,-0.031678225648132566,0.2417652173913043,3.878234782608696,-0.05190536888276361,0.36121521739130424,3.758784782608696,-0.11639790732703943,0.6177847826086957,3.5022152173913046,-0.1435802869534842,0.1059090909090909,4.01409090909091,0.012481478517758476,0.07590909090909094,4.044090909090909,0.016118575344946116,0.12136363636363635,3.9986363636363635,0.024314422177352173,1.366818181818182,2.753181818181818,0.42396270327525754,2.615909090909091,1.504090909090909,0.45271089558945943,3.3795454545454544,0.7404545454545457,0.31442242879612586,3.6759090909090903,0.44409090909090976,0.27427329698710207,41507587847.7023,0.12779666177030785,10216278752.7557,-0.3160831371866644,83.69462947740479,-0.6860684180172724,3.1,-0.3372521373047979,1.9,-0.12874480950498107
5,NC,DURHAM,2014-12,4.94,Refinancing_Purchase of Apartments_Coops,0.1101,4.8299,-0.030091864858109288,0.1330809523809524,4.806919047619048,-0.02156426221523292,0.16305,4.77695,-0.016438572705368408,0.20744285714285715,4.732557142857143,-0.031678225648132566,0.2446071428571429,4.695392857142857,-0.05190536888276361,0.34302142857142864,4.596978571428572,-0.11639790732703943,0.6021190476190476,4.337880952380953,-0.1435802869534842,0.02500000000000001,4.915,0.012481478517758476,0.1063636363636364,4.833636363636364,0.016118575344946116,0.21454545454545454,4.725454545454546,0.024314422177352173,1.64,3.3000000000000007,0.42396270327525754,2.2072727272727275,2.732727272727273,0.45271089558945943,2.5504545454545453,2.389545454545455,0.31442242879612586,2.8331818181818185,2.106818181818182,0.27427329698710207,45277214883.1472,0.12779666177030785,11357071284.6333,-0.3160831371866644,79.25862065623551,-0.6860684180172724,1.8,-0.3372521373047979,2.1,-0.12874480950498107
6,NC,DURHAM,2015-10,3.52,Refinancing_Purchase of Apartments_Coops,0.13160454545454547,3.3883954545454547,-0.030091864858109288,0.15531363636363638,3.3646863636363635,-0.02156426221523292,0.19451136363636365,3.3254886363636365,-0.016438572705368408,0.2514522727272726,3.2685477272727272,-0.031678225648132566,0.32135909090909087,3.1986409090909094,-0.05190536888276361,0.5284272727272726,2.9915727272727275,-0.11639790732703943,0.8378659090909092,2.682134090909091,-0.1435802869534842,0.014285714285714287,3.505714285714286,0.012481478517758476,0.11380952380952382,3.406190476190476,0.016118575344946116,0.26333333333333336,3.256666666666667,0.024314422177352173,1.3857142857142857,2.1342857142857143,0.42396270327525754,2.0699999999999994,1.4500000000000006,0.45271089558945943,2.5028571428571427,1.0171428571428573,0.31442242879612586,2.8880952380952376,0.6319047619047624,0.27427329698710207,48997735451.5931,0.12779666177030785,11492007418.0579,-0.3160831371866644,85.06205357591242,-0.6860684180172724,2.1,-0.3372521373047979,1.8,-0.12874480950498107
7,NC,DURHAM,2015-12,4.24,Refinancing_Purchase of Apartments_Coops,0.2286238095238095,4.011376190476191,-0.030091864858109288,0.289352380952381,3.9506476190476194,-0.02156426221523292,0.3523071428571429,3.8876928571428575,-0.016438572705368408,0.44092857142857156,3.7990714285714287,-0.031678225648132566,0.5332357142857143,3.7067642857142857,-0.05190536888276361,0.7638285714285715,3.476171428571429,-0.11639790732703943,1.0841380952380955,3.1558619047619048,-0.1435802869534842,0.17181818181818184,4.068181818181818,0.012481478517758476,0.4990909090909091,3.740909090909091,0.016118575344946116,0.6536363636363638,3.5863636363636364,0.024314422177352173,1.6986363636363635,2.541363636363637,0.42396270327525754,2.2427272727272736,1.9972727272727266,0.45271089558945943,2.6072727272727274,1.6327272727272728,0.31442242879612586,2.97,1.27,0.27427329698710207,48836554747.323,0.12779666177030785,10798655053.3939,-0.3160831371866644,84.0267577476249,-0.6860684180172724,1.9,-0.3372521373047979,1.6,-0.12874480950498107
8,NC,DURHAM,2016-03,3.49,Refinancing_Purchase of Apartments_Coops,0.3739333333333333,3.1160666666666668,-0.030091864858109288,0.39734047619047613,3.092659523809524,-0.02156426221523292,0.43639523809523806,3.0536047619047624,-0.016438572705368408,0.5204357142857143,2.969564285714286,-0.031678225648132566,0.632,2.858,-0.05190536888276361,0.9009761904761905,2.58902380952381,-0.11639790732703943,1.2156690476190475,2.2743309523809527,-0.1435802869534842,0.2531818181818182,3.2368181818181823,0.012481478517758476,0.47,3.0200000000000005,0.016118575344946116,0.6563636363636364,2.833636363636364,0.024314422177352173,1.3759090909090912,2.1140909090909092,0.42396270327525754,1.889090909090909,1.6009090909090913,0.45271089558945943,2.2759090909090913,1.2140909090909089,0.31442242879612586,2.6845454545454546,0.8054545454545456,0.27427329698710207,48491901272.6637,0.12779666177030785,11240513229.2606,-0.3160831371866644,87.39008859346599,-0.6860684180172724,2.0,-0.3372521373047979,1.4,-0.12874480950498107
9,NC,DURHAM,2016-05,2.5,Refinancing_Purchase of Apartments_Coops,0.38527368421052627,2.114726315789474,-0.030091864858109288,0.4053315789473685,2.0946684210526314,-0.02156426221523292,0.4424947368421052,2.057505263157895,-0.016438572705368408,0.5332263157894737,1.9667736842105263,-0.031678225648132566,0.6455710526315791,1.854428947368421,-0.05190536888276361,0.9348736842105263,1.5651263157894737,-0.11639790732703943,1.2675078947368421,1.2324921052631579,-0.1435802869534842,0.2261904761904762,2.2738095238095237,0.012481478517758476,0.4185714285714286,2.0814285714285714,0.016118575344946116,0.5914285714285713,1.9085714285714288,0.024314422177352173,1.3004761904761903,1.1995238095238097,0.42396270327525754,1.8061904761904766,0.6938095238095234,0.45271089558945943,2.2166666666666663,0.28333333333333366,0.31442242879612586,2.627619047619048,-0.12761904761904797,0.27427329698710207,48154770296.6926,0.12779666177030785,10916249757.9916,-0.3160831371866644,88.3913281030881,-0.6860684180172724,2.0,-0.3372521373047979,1.4,-0.12874480950498107
10,NC,DURHAM,2017-10,3.25,Refinancing_Purchase of Apartments_Coops,1.1834895238095235,2.0665104761904765,-0.030091864858109288,1.2040609090909093,2.0459390909090907,-0.02156426221523292,1.2385486363636362,2.011451363636364,-0.016438572705368408,1.287584090909091,1.962415909090909,-0.031678225648132566,1.3607931818181818,1.8892068181818182,-0.05190536888276361,1.541957272727273,1.708042727272727,-0.11639790732703943,1.8208568181818179,1.4291431818181821,-0.1435802869534842,0.9957142857142858,2.2542857142857144,0.012481478517758476,1.2495238095238093,2.0004761904761907,0.016118575344946116,1.3976190476190478,1.8523809523809522,0.024314422177352173,1.9809523809523806,1.2690476190476194,0.42396270327525754,2.3600000000000003,0.8899999999999997,0.45271089558945943,2.649047619047619,0.6009523809523811,0.31442242879612586,2.8780952380952383,0.37190476190476174,0.27427329698710207,49068548953.9206,0.12779666177030785,11813706431.8634,-0.3160831371866644,87.010875232225,-0.6860684180172724,2.2,-0.3372521373047979,1.1,-0.12874480950498107
11,NC,DURHAM,2017-12,3.8600000000000003,Refinancing_Purchase of Apartments_Coops,1.3144094736842107,2.54559052631579,-0.030091864858109288,1.3913115789473685,2.468688421052632,-0.02156426221523292,1.4850410526315792,2.3749589473684214,-0.016438572705368408,1.5354463157894738,2.3245536842105263,-0.031678225648132566,1.6017521052631578,2.2582478947368427,-0.05190536888276361,1.7680373684210524,2.091962631578948,-0.11639790732703943,2.0434931578947366,1.8165068421052637,-0.1435802869534842,1.204,2.6560000000000006,0.012481478517758476,1.4950000000000003,2.365,0.016118575344946116,1.7005,2.1595000000000004,0.024314422177352173,2.1819999999999995,1.6780000000000008,0.42396270327525754,2.4025,1.4575000000000005,0.45271089558945943,2.5970000000000004,1.263,0.31442242879612586,2.768,1.0920000000000005,0.27427329698710207,47520522623.6854,0.12779666177030785,11707722927.962,-0.3160831371866644,88.437943439718,-0.6860684180172724,1.8,-0.3372521373047979,0.9,-0.12874480950498107
12,NC,DURHAM,2018-04,3.6799999999999997,Refinancing_Purchase of Apartments_Coops,1.7027510000000003,1.9772489999999994,-0.030091864858109288,1.7432829999999995,1.9367170000000002,-0.02156426221523292,1.896724,1.7832759999999996,-0.016438572705368408,2.0408605,1.6391394999999997,-0.031678225648132566,2.349426,1.330574,-0.05190536888276361,2.493657999999999,1.1863420000000007,-0.11639790732703943,2.7355454999999997,0.9444545,-0.1435802869534842,1.6604761904761904,2.0195238095238093,0.012481478517758476,1.9780952380952381,1.7019047619047616,0.016118575344946116,2.153809523809524,1.5261904761904757,0.024314422177352173,2.701904761904762,0.9780952380952379,0.42396270327525754,2.869047619047619,0.8109523809523806,0.45271089558945943,2.9595238095238092,0.7204761904761905,0.31442242879612586,3.0719047619047624,0.6080952380952374,0.27427329698710207,50617906919.2487,0.12779666177030785,11725018303.5706,-0.3160831371866644,85.8866598662335,-0.6860684180172724,1.7,-0.3372521373047979,0.7,-0.12874480950498107
