,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(4),Corr with student_vol(4),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(3),Corr with mortgage 90(3)
0,2011-03,TX,HOUSTON,2011-03,4.6,"(-95.207494, 29.588108000000002)",15341.56,Refinancing_Purchase of Apartments_Coops,0.2076739130434783,0.23919014091347585,0.23889782608695653,0.2414828518060684,0.2532847826086956,0.244128589299297,0.2829456521739131,0.24187992849331302,0.30843478260869567,0.2362279733970728,0.4607826086956522,0.2041037904241931,0.7797065217391305,0.1889067912260304,0.06478260869565221,0.2562999714015762,0.15652173913043482,0.24273874573958176,0.25913043478260867,0.2444466037449224,2.1134782608695653,0.45657419245164954,3.414347826086956,0.5835759160910722,4.26608695652174,0.5141698763505581,4.5139130434782615,0.46124294394990467,31300541846.2612,-0.1516101373427771,13238482167.5647,0.39654164334391295,92.8594669911348,0.1553726905064989,3.7,-0.12179879484222542,3.1,0.1695025072289827
1,2011-04,TX,HOUSTON,2011-04,3.73,"(-95.69695300000001, 29.795447999999997)",89399.09,Refinancing_Purchase of Apartments_Coops,0.14759444444444447,0.23919014091347585,0.19237777777777781,0.2414828518060684,0.22143500000000005,0.244128589299297,0.25190277777777786,0.24187992849331302,0.28138222222222226,0.2362279733970728,0.44229888888888896,0.2041037904241931,0.7700555555555555,0.1889067912260304,0.029500000000000005,0.2562999714015762,0.11950000000000002,0.24273874573958176,0.24650000000000002,0.2444466037449224,2.169,0.45657419245164954,3.4549999999999996,0.5835759160910722,4.276000000000001,0.5141698763505581,4.5015,0.46124294394990467,31992172727.7437,-0.1516101373427771,12477113046.1263,0.39654164334391295,94.7176548951663,0.1553726905064989,3.9,-0.12179879484222542,3.0,0.1695025072289827
2,2011-05,TX,HOUSTON,2011-05,3.92,"(-95.391839, 29.691543)",54194.47,Refinancing_Purchase of Apartments_Coops,0.130775,0.23919014091347585,0.16787249999999998,0.2414828518060684,0.1978005,0.244128589299297,0.23078799999999994,0.24187992849331302,0.260713,0.2362279733970728,0.41407550000000004,0.2041037904241931,0.7391499999999999,0.1889067912260304,0.024285714285714285,0.2562999714015762,0.0866666666666667,0.24273874573958176,0.18809523809523812,0.2444466037449224,1.8423809523809527,0.45657419245164954,3.168571428571429,0.5835759160910722,4.011428571428572,0.5141698763505581,4.293333333333333,0.46124294394990467,31754785132.2305,-0.1516101373427771,11655650147.2578,0.39654164334391295,94.0022251537174,0.1553726905064989,4.0,-0.12179879484222542,3.1,0.1695025072289827
3,2011-06,TX,HOUSTON,2011-06,4.335,"(-95.481727, 29.993245)",40095.985,Refinancing_Purchase of Apartments_Coops,0.12706818181818183,0.23919014091347585,0.1615431818181819,0.2414828518060684,0.18716409090909092,0.244128589299297,0.21923909090909086,0.24187992849331302,0.24782409090909094,0.2362279733970728,0.39758,0.2041037904241931,0.7268749999999999,0.1889067912260304,0.0190909090909091,0.2562999714015762,0.1013636363636364,0.24273874573958176,0.18090909090909094,0.2444466037449224,1.5799999999999998,0.45657419245164954,3.002272727272727,0.5835759160910722,3.9145454545454546,0.5141698763505581,4.2327272727272724,0.46124294394990467,33690910289.8878,-0.1516101373427771,10258833668.6773,0.39654164334391295,93.74313363440879,0.1553726905064989,4.5,-0.12179879484222542,3.1,0.1695025072289827
4,2011-08,TX,HOUSTON,2011-08,4.45,"(-95.50731999999999, 29.662533000000003)",52328.82,Refinancing_Purchase of Apartments_Coops,0.14468363636363638,0.23919014091347585,0.18038681818181818,0.2414828518060684,0.21116590909090904,0.244128589299297,0.24895727272727275,0.24187992849331302,0.29323772727272723,0.2362279733970728,0.45919454545454547,0.2041037904241931,0.7783581818181818,0.1889067912260304,0.017391304347826094,0.2562999714015762,0.06217391304347828,0.24273874573958176,0.11478260869565218,0.2444466037449224,1.021304347826087,0.45657419245164954,2.303043478260869,0.5835759160910722,3.244782608695652,0.5141698763505581,3.6513043478260867,0.46124294394990467,34825519831.2788,-0.1516101373427771,11508699084.1195,0.39654164334391295,92.5881563190625,0.1553726905064989,4.3,-0.12179879484222542,3.3,0.1695025072289827
5,2011-09,TX,HOUSTON,2011-09,4.25,"(-95.7007447, 29.8386239)",41361.3,Refinancing_Purchase of Apartments_Coops,0.14525181818181823,0.23919014091347585,0.1884,0.2414828518060684,0.23085045454545455,0.244128589299297,0.2845913636363636,0.24187992849331302,0.3502268181818181,0.2362279733970728,0.5222018181818182,0.2041037904241931,0.8332045454545454,0.1889067912260304,0.005714285714285713,0.2562999714015762,0.04333333333333335,0.24273874573958176,0.10476190476190479,0.2444466037449224,0.9004761904761904,0.45657419245164954,1.9752380952380955,0.5835759160910722,2.8271428571428574,0.5141698763505581,3.182380952380953,0.46124294394990467,35344521679.5642,-0.1516101373427771,11510278467.2037,0.39654164334391295,91.13289228397959,0.1553726905064989,4.6,-0.12179879484222542,3.3,0.1695025072289827
6,2011-12,TX,HOUSTON,2011-12,3.75,"(-95.285027, 29.829471)",15635.65,Refinancing_Purchase of Apartments_Coops,0.1499335,0.23919014091347585,0.2029985,0.2414828518060684,0.2836085,0.244128589299297,0.40829250000000006,0.24187992849331302,0.5557375,0.2362279733970728,0.7798775000000001,0.2041037904241931,1.1003555000000003,0.1889067912260304,0.0033333333333333335,0.2562999714015762,0.048571428571428585,0.24273874573958176,0.11523809523809528,0.2444466037449224,0.8914285714285713,0.45657419245164954,1.9780952380952384,0.5835759160910722,2.6676190476190476,0.5141698763505581,2.9823809523809524,0.46124294394990467,35767585536.868996,-0.1516101373427771,11641401212.0971,0.39654164334391295,88.33905735772379,0.1553726905064989,4.9,-0.12179879484222542,3.0,0.1695025072289827
7,2012-01,TX,HOUSTON,2012-01,3.4,"(-95.4966, 29.748717)",229971.18,Refinancing_Purchase of Apartments_Coops,0.14564761904761903,0.23919014091347585,0.2014238095238095,0.2414828518060684,0.28289523809523814,0.244128589299297,0.41424761904761903,0.24187992849331302,0.5659000000000001,0.2362279733970728,0.7969761904761906,0.2041037904241931,1.1145476190476191,0.1889067912260304,0.0245,0.2562999714015762,0.06550000000000003,0.24273874573958176,0.11500000000000003,0.2444466037449224,0.835,0.45657419245164954,1.9664999999999995,0.5835759160910722,2.6950000000000003,0.5141698763505581,3.026,0.46124294394990467,36623269866.4569,-0.1516101373427771,12770391029.1034,0.39654164334391295,90.4806728327692,0.1553726905064989,4.3,-0.12179879484222542,3.0,0.1695025072289827
8,2012-03,TX,HOUSTON,2012-03,4.875,"(-95.548702, 29.88675)",64026.634999999995,Refinancing_Purchase of Apartments_Coops,0.14720000000000003,0.23919014091347585,0.1893409090909091,0.2414828518060684,0.24185227272727275,0.244128589299297,0.35079999999999995,0.24187992849331302,0.4732886363636363,0.2362279733970728,0.741275,0.2041037904241931,1.0534477272727274,0.1889067912260304,0.06363636363636366,0.2562999714015762,0.14227272727272727,0.24273874573958176,0.19000000000000003,0.2444466037449224,1.0172727272727273,0.45657419245164954,2.1727272727272724,0.5835759160910722,2.9404545454545454,0.5141698763505581,3.281363636363636,0.46124294394990467,36186315501.0541,-0.1516101373427771,16111780903.4699,0.39654164334391295,90.35087768078328,0.1553726905064989,3.8,-0.12179879484222542,2.9,0.1695025072289827
9,2012-04,TX,HOUSTON,2012-04,3.38,"(-95.396813, 29.866396999999996)",47398.77,Refinancing_Purchase of Apartments_Coops,0.14868421052631575,0.23919014091347585,0.18980526315789473,0.2414828518060684,0.23982894736842097,0.244128589299297,0.34777368421052635,0.24187992849331302,0.46680789473684203,0.2362279733970728,0.7313999999999999,0.2041037904241931,1.048621052631579,0.1889067912260304,0.0666666666666667,0.2562999714015762,0.13904761904761903,0.24273874573958176,0.18333333333333335,0.2444466037449224,0.8947619047619045,0.45657419245164954,2.0528571428571425,0.5835759160910722,2.8166666666666664,0.5141698763505581,3.1842857142857137,0.46124294394990467,36601383816.48,-0.1516101373427771,11986368496.8635,0.39654164334391295,90.48744874686929,0.1553726905064989,4.0,-0.12179879484222542,2.8,0.1695025072289827
10,2012-06,TX,HOUSTON,2012-06,2.85,"(-95.3677, 29.7589)",44776.24,Refinancing_Purchase of Apartments_Coops,0.163,0.23919014091347585,0.19464736842105262,0.2414828518060684,0.24319736842105263,0.244128589299297,0.3459342105263157,0.24187992849331302,0.46558684210526313,0.2362279733970728,0.7364000000000004,0.2041037904241931,1.0691894736842107,0.1889067912260304,0.05190476190476193,0.2562999714015762,0.14809523809523809,0.24273874573958176,0.18904761904761905,0.2444466037449224,0.7114285714285714,0.45657419245164954,1.6223809523809525,0.5835759160910722,2.3061904761904763,0.5141698763505581,2.698095238095238,0.46124294394990467,37571290060.6541,-0.1516101373427771,12022315813.7363,0.39654164334391295,90.6452366150782,0.1553726905064989,4.3,-0.12179879484222542,2.5,0.1695025072289827
11,2012-07,TX,HOUSTON,2012-07,2.95,"(-95.3677, 29.7589)",23678.655,Refinancing_Purchase of Apartments_Coops,0.16720454545454547,0.23919014091347585,0.19873636363636368,0.2414828518060684,0.24646136363636365,0.244128589299297,0.34024999999999994,0.24187992849331302,0.4535545454545455,0.2362279733970728,0.7302181818181818,0.2041037904241931,1.0653181818181816,0.1889067912260304,0.06952380952380956,0.2562999714015762,0.14571428571428574,0.24273874573958176,0.18571428571428572,0.2444466037449224,0.6195238095238095,0.45657419245164954,1.5266666666666664,0.5835759160910722,2.217142857142857,0.5141698763505581,2.5900000000000003,0.46124294394990467,37685204803.0042,-0.1516101373427771,10740081615.3953,0.39654164334391295,90.0868950067716,0.1553726905064989,4.4,-0.12179879484222542,2.5,0.1695025072289827
12,2012-08,TX,HOUSTON,2012-08,2.25,"(-97.151664, 33.629875)",6227.95,Refinancing_Purchase of Apartments_Coops,0.15374090909090915,0.23919014091347585,0.18745454545454548,0.2414828518060684,0.23783863636363634,0.244128589299297,0.3331136363636364,0.24187992849331302,0.43259999999999993,0.2362279733970728,0.7177749999999997,0.2041037904241931,1.0426272727272727,0.1889067912260304,0.09217391304347829,0.2562999714015762,0.14043478260869566,0.24273874573958176,0.18347826086956526,0.2444466037449224,0.7139130434782609,0.45657419245164954,1.6782608695652175,0.5835759160910722,2.3978260869565218,0.5141698763505581,2.7708695652173914,0.46124294394990467,38410438812.4053,-0.1516101373427771,11337096053.4966,0.39654164334391295,89.00857713430821,0.1553726905064989,4.6,-0.12179879484222542,2.6,0.1695025072289827
13,2012-09,TX,HOUSTON,2012-09,2.41,"(-95.35295500000001, 29.669087)",23905.905,Refinancing_Purchase of Apartments_Coops,0.15189500000000006,0.23919014091347585,0.183625,0.2414828518060684,0.22133750000000002,0.244128589299297,0.3079875,0.24187992849331302,0.3856325000000001,0.2362279733970728,0.6716749999999999,0.2041037904241931,0.9997750000000002,0.1889067912260304,0.07526315789473685,0.2562999714015762,0.13736842105263158,0.24273874573958176,0.17578947368421055,0.2444466037449224,0.6689473684210526,0.45657419245164954,1.7231578947368422,0.5835759160910722,2.488421052631579,0.5141698763505581,2.8815789473684212,0.46124294394990467,38808856509.5085,-0.1516101373427771,11154944519.578999,0.39654164334391295,89.6038877472871,0.1553726905064989,4.7,-0.12179879484222542,2.6,0.1695025072289827
