,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-3),Corr with auto_vol(-3),student_vol(3),Corr with student_vol(3),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(-2),Corr with mortgage 90(-2)
0,CA,CHICO,2011-10,4.47,Refinancing_Purchase of Apartments_Coops,0.1416352380952381,4.328364761904762,0.1037597914840295,0.19074095238095234,4.279259047619047,0.11250044444706161,0.24373904761904758,4.226260952380952,0.1229870860570845,0.3185252380952381,4.151474761904762,0.1357575781297376,0.4064785714285714,4.063521428571429,0.15161617049507178,0.59521,3.87479,0.15595926973919036,0.9086428571428572,3.5613571428571427,0.15743071420487703,0.013500000000000003,4.4565,0.10778796990719128,0.05450000000000003,4.4155,0.09922402594656604,0.1145,4.3555,0.10483997656556404,1.0614999999999999,3.4085,0.3041003744093975,2.1519999999999997,2.318,0.5563646167977895,2.8695,1.6004999999999998,0.45505591480942137,3.128,1.3419999999999996,0.27184055083017,31992172727.7437,-0.37713720819355134,11510278467.2037,0.7171455054823244,90.6452366150782,0.35442075100673376,2.8,0.3546135569255265,4.0,0.5566091139845566
1,CA,CHICO,2012-02,3.99,Refinancing_Purchase of Apartments_Coops,0.1410714285714286,3.8489285714285715,0.1037597914840295,0.19146190476190478,3.7985380952380954,0.11250044444706161,0.2500238095238095,3.739976190476191,0.1229870860570845,0.3686547619047619,3.6213452380952385,0.1357575781297376,0.5032404761904763,3.486759523809524,0.15161617049507178,0.7572880952380953,3.232711904761905,0.15595926973919036,1.0711880952380954,2.9188119047619048,0.15743071420487703,0.06350000000000003,3.9265000000000003,0.10778796990719128,0.124,3.866,0.09922402594656604,0.161,3.829,0.10483997656556404,0.8310000000000001,3.1590000000000003,0.3041003744093975,1.9674999999999998,2.0225000000000004,0.5563646167977895,2.7479999999999998,1.2420000000000004,0.45505591480942137,3.109,0.8810000000000002,0.27184055083017,34825519831.2788,-0.37713720819355134,12770391029.1034,0.7171455054823244,89.56768058609659,0.35442075100673376,2.8,0.3546135569255265,3.2,0.5566091139845566
2,CA,CHICO,2012-07,3.35,Refinancing_Purchase of Apartments_Coops,0.16720454545454547,3.1827954545454546,0.1037597914840295,0.19873636363636368,3.1512636363636366,0.11250044444706161,0.24646136363636365,3.1035386363636364,0.1229870860570845,0.34024999999999994,3.0097500000000004,0.1357575781297376,0.4535545454545455,2.8964454545454545,0.15161617049507178,0.7302181818181818,2.6197818181818184,0.15595926973919036,1.0653181818181816,2.2846818181818183,0.15743071420487703,0.06952380952380956,3.2804761904761905,0.10778796990719128,0.14571428571428574,3.204285714285714,0.09922402594656604,0.18571428571428572,3.1642857142857146,0.10483997656556404,0.6195238095238095,2.7304761904761907,0.3041003744093975,1.5266666666666664,1.8233333333333337,0.5563646167977895,2.217142857142857,1.132857142857143,0.45505591480942137,2.5900000000000003,0.7599999999999998,0.27184055083017,36623269866.4569,-0.37713720819355134,12022315813.7363,0.7171455054823244,90.2956809830492,0.35442075100673376,2.6,0.3546135569255265,2.6,0.5566091139845566
3,CA,CHICO,2012-12,2.35,Refinancing_Purchase of Apartments_Coops,0.1631578947368421,2.186842105263158,0.1037597914840295,0.1875157894736842,2.162484210526316,0.11250044444706161,0.21092631578947374,2.1390736842105262,0.1229870860570845,0.2552894736842105,2.0947105263157897,0.1357575781297376,0.30947368421052623,2.040526315789474,0.15161617049507178,0.5145657894736843,1.8354342105263157,0.15595926973919036,0.8483157894736841,1.501684210526316,0.15743071420487703,0.039500000000000014,2.3105,0.10778796990719128,0.11950000000000005,2.2305,0.09922402594656604,0.1585,2.1915,0.10483997656556404,0.6960000000000001,1.654,0.3041003744093975,1.7189999999999999,0.6310000000000002,0.5563646167977895,2.4675000000000002,-0.11750000000000016,0.45505591480942137,2.8835,-0.5335000000000001,0.27184055083017,37571290060.6541,-0.37713720819355134,9855625468.0504,0.7171455054823244,86.5850023909696,0.35442075100673376,2.2,0.3546135569255265,2.2,0.5566091139845566
4,CA,CHICO,2015-03,3.58,Refinancing_Purchase of Apartments_Coops,0.12134999999999999,3.45865,0.1037597914840295,0.14022954545454547,3.439770454545455,0.11250044444706161,0.17560000000000003,3.4044,0.1229870860570845,0.21958181818181813,3.360418181818182,0.1357575781297376,0.26829772727272727,3.3117022727272727,0.15161617049507178,0.39945,3.18055,0.15595926973919036,0.700025,2.879975,0.15743071420487703,0.02272727272727273,3.557272727272727,0.10778796990719128,0.11000000000000001,3.47,0.09922402594656604,0.25363636363636366,3.326363636363636,0.10483997656556404,1.5190909090909088,2.0609090909090915,0.3041003744093975,2.042727272727273,1.5372727272727271,0.5563646167977895,2.4068181818181817,1.1731818181818183,0.45505591480942137,2.626363636363636,0.9536363636363641,0.27184055083017,45241950015.4561,-0.37713720819355134,11517159733.1957,0.7171455054823244,81.7923503982947,0.35442075100673376,1.3,0.3546135569255265,1.0,0.5566091139845566
