,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol,Corr with auto_vol,student_vol(4),Corr with student_vol(4),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-2),Corr with mortgage 90(-2),long,lat
0,2009-10,IN,BLOOMINGTON,2009-10,4.45,"(-86.491538, 39.173476)",47872.2,Refinancing_Purchase of Apartments_Coops,0.18474166666666667,-0.08092768354521576,0.22661833333333328,-0.07710115419320024,0.24403166666666665,-0.09100767310396156,0.2545108333333333,-0.13078812097748335,0.2821075,-0.17957596548215518,0.5802633333333334,-0.20815970416528704,1.2295858333333334,-0.09222188613664976,0.04,-0.07338083163222853,0.16833333333333333,-0.0828667168951968,0.3858333333333334,-0.025613306367891005,2.394166666666667,0.8196100919531942,3.459166666666667,0.8962234826464935,4.238333333333332,0.8439192411141284,4.263333333333333,0.8252302798924451,23715763008.5817,-0.4802698739476424,14228362706.5907,0.4163383019743949,105.55167238105,0.5239690710005449,1.8,-0.4442471785480204,2.5,0.7131425825737422,-86.491538,39.173476
1,2010-05,IN,BLOOMINGTON,2010-05,4.445,"(-86.488156, 39.172453000000004)",27627.730000000003,Refinancing_Purchase of Apartments_Coops,0.2957715789473684,-0.08092768354521576,0.3152057894736842,-0.07710115419320024,0.3354642105263158,-0.09100767310396156,0.39242105263157895,-0.13078812097748335,0.45851421052631586,-0.17957596548215518,0.6592468421052632,-0.20815970416528704,1.129987894736842,-0.09222188613664976,0.147,-0.07338083163222853,0.22350000000000003,-0.0828667168951968,0.37099999999999994,-0.025613306367891005,2.1799999999999997,0.8196100919531942,3.4199999999999995,0.8962234826464935,4.1145,0.8439192411141284,4.286,0.8252302798924451,27396832704.0094,-0.4802698739476424,12342273869.2704,0.4163383019743949,97.8799778094334,0.5239690710005449,2.0,-0.4442471785480204,2.4,0.7131425825737422,-86.488156,39.172453000000004
2,2012-05,IN,BLOOMINGTON,2012-05,2.99,"(-86.57116500000001, 39.154053000000005)",11221.34,Refinancing_Purchase of Apartments_Coops,0.15161363636363637,-0.08092768354521576,0.19053181818181822,-0.07710115419320024,0.23893181818181805,-0.09100767310396156,0.3457045454545453,-0.13078812097748335,0.4665318181818183,-0.17957596548215518,0.732990909090909,-0.20815970416528704,1.0615068181818177,-0.09222188613664976,0.06590909090909093,-0.07338083163222853,0.14545454545454548,-0.0828667168951968,0.19181818181818186,-0.025613306367891005,0.7618181818181818,0.8196100919531942,1.8031818181818189,0.8962234826464935,2.525909090909091,0.8439192411141284,2.930909090909091,0.8252302798924451,36777908030.9335,-0.4802698739476424,11631947675.6117,0.4163383019743949,90.6452366150782,0.5239690710005449,2.9,-0.4442471785480204,1.5,0.7131425825737422,-86.57116500000001,39.154053000000005
3,2012-12,IN,BLOOMINGTON,2012-12,2.3,"(-86.49154399999999, 39.169622)",19944.77,Refinancing_Purchase of Apartments_Coops,0.1631578947368421,-0.08092768354521576,0.1875157894736842,-0.07710115419320024,0.21092631578947374,-0.09100767310396156,0.2552894736842105,-0.13078812097748335,0.30947368421052623,-0.17957596548215518,0.5145657894736843,-0.20815970416528704,0.8483157894736841,-0.09222188613664976,0.039500000000000014,-0.07338083163222853,0.11950000000000005,-0.0828667168951968,0.1585,-0.025613306367891005,0.6960000000000001,0.8196100919531942,1.7189999999999999,0.8962234826464935,2.4675000000000002,0.8439192411141284,2.8835,0.8252302798924451,38808856509.5085,-0.4802698739476424,9123117418.53368,0.4163383019743949,89.513287195688,0.5239690710005449,2.7,-0.4442471785480204,1.2,0.7131425825737422,-86.49154399999999,39.169622
4,2013-08,IN,BLOOMINGTON,2013-08,3.78,"(-86.496248, 39.168433)",17509.3,Refinancing_Purchase of Apartments_Coops,0.11782999999999999,-0.08092768354521576,0.1493142857142857,-0.07710115419320024,0.1840704761904762,-0.09100767310396156,0.22633523809523812,-0.13078812097748335,0.2633952380952381,-0.17957596548215518,0.3949285714285714,-0.20815970416528704,0.6679499999999999,-0.09222188613664976,0.03681818181818183,-0.07338083163222853,0.07181818181818184,-0.0828667168951968,0.12681818181818183,-0.025613306367891005,1.5204545454545455,0.8196100919531942,2.7372727272727273,0.8962234826464935,3.488181818181818,0.8439192411141284,3.757727272727273,0.8252302798924451,41334062733.8549,-0.4802698739476424,9402239044.86975,0.4163383019743949,88.29263433660921,0.5239690710005449,2.6,-0.4442471785480204,1.6,0.7131425825737422,-86.496248,39.168433
5,2013-12,IN,BLOOMINGTON,2013-12,4.35,"(-86.57083477, 39.15262388)",30067.86,Refinancing_Purchase of Apartments_Coops,0.10022500000000001,-0.08092768354521576,0.1273025,-0.07710115419320024,0.16723,-0.09100767310396156,0.2127325,-0.13078812097748335,0.24389749999999996,-0.17957596548215518,0.34639499999999995,-0.20815970416528704,0.579045,-0.09222188613664976,0.019047619047619053,-0.07338083163222853,0.09523809523809526,-0.0828667168951968,0.13285714285714287,-0.025613306367891005,1.5761904761904764,0.8196100919531942,2.901904761904762,0.8962234826464935,3.6266666666666674,0.8439192411141284,3.889047619047619,0.8252302798924451,41561863313.5151,-0.4802698739476424,11032404366.8063,0.4163383019743949,86.47441597957871,0.5239690710005449,2.4,-0.4442471785480204,1.5,0.7131425825737422,-86.57083477,39.15262388
6,2014-02,IN,BLOOMINGTON,2014-02,4.08,"(-86.490096, 39.170732)",35390.63,Refinancing_Purchase of Apartments_Coops,0.08627,-0.08092768354521576,0.11939250000000004,-0.07710115419320024,0.155105,-0.09100767310396156,0.19663749999999997,-0.13078812097748335,0.23520249999999998,-0.17957596548215518,0.3308,-0.20815970416528704,0.554605,-0.09222188613664976,0.046842105263157914,-0.07338083163222853,0.08105263157894738,-0.0828667168951968,0.11684210526315793,-0.025613306367891005,1.5157894736842106,0.8196100919531942,2.7094736842105265,0.8962234826464935,3.3847368421052626,0.8439192411141284,3.6626315789473685,0.8252302798924451,43204378466.7468,-0.4802698739476424,10121843859.6075,0.4163383019743949,88.4263020205016,0.5239690710005449,2.3,-0.4442471785480204,1.7,0.7131425825737422,-86.490096,39.170732
7,2015-05,IN,BLOOMINGTON,2015-05,2.95,"(-86.52883299999999, 39.126653999999995)",13048.67,Refinancing_Purchase of Apartments_Coops,0.12315789473684212,-0.08092768354521576,0.14795,-0.07710115419320024,0.1842289473684211,-0.09100767310396156,0.2296,-0.13078812097748335,0.2795368421052632,-0.17957596548215518,0.41659473684210524,-0.20815970416528704,0.7346236842105265,-0.09222188613664976,0.013000000000000001,-0.07338083163222853,0.07950000000000002,-0.0828667168951968,0.24100000000000002,-0.025613306367891005,1.5385000000000002,0.8196100919531942,2.1975000000000002,0.8962234826464935,2.692,0.8439192411141284,2.9550000000000005,0.8252302798924451,47692027772.9219,-0.4802698739476424,11492007418.0579,0.4163383019743949,82.122236078369,0.5239690710005449,2.0,-0.4442471785480204,1.3,0.7131425825737422,-86.52883299999999,39.126653999999995
8,2016-08,IN,BLOOMINGTON,2016-08,3.24,"(-86.53439547, 39.17540776)",10955.14,Refinancing_Purchase of Apartments_Coops,0.41817045454545454,-0.08092768354521576,0.4429568181818182,-0.07710115419320024,0.5122418181818182,-0.09100767310396156,0.6351372727272727,-0.13078812097748335,0.810223181818182,-0.17957596548215518,1.1977463636363632,-0.20815970416528704,1.5097959090909088,-0.09222188613664976,0.2608695652173914,-0.07338083163222853,0.4460869565217393,-0.0828667168951968,0.5682608695652173,-0.025613306367891005,1.1330434782608694,0.8196100919531942,1.5565217391304347,0.8962234826464935,1.8895652173913038,0.8439192411141284,2.261739130434783,0.8252302798924451,50596067254.1766,-0.4802698739476424,12605986919.9069,0.4163383019743949,85.2359522201137,0.5239690710005449,2.0,-0.4442471785480204,1.1,0.7131425825737422,-86.53439547,39.17540776
9,2017-06,IN,BLOOMINGTON,2017-06,3.45,"(-85.156278, 41.052040000000005)",39176.68,Refinancing_Purchase of Apartments_Coops,1.0640909090909094,-0.08092768354521576,1.1183336363636365,-0.07710115419320024,1.1714068181818182,-0.09100767310396156,1.2101513636363637,-0.13078812097748335,1.2624095454545452,-0.17957596548215518,1.4322822727272726,-0.20815970416528704,1.7322577272727273,-0.09222188613664976,0.8413636363636363,-0.07338083163222853,1.1095454545454546,-0.0828667168951968,1.200909090909091,-0.025613306367891005,1.7740909090909094,0.8196100919531942,2.186818181818182,0.8962234826464935,2.5399999999999996,0.8439192411141284,2.796363636363637,0.8252302798924451,49068548953.9206,-0.4802698739476424,11537595366.1601,0.4163383019743949,88.7707153640316,0.5239690710005449,2.0,-0.4442471785480204,0.9,0.7131425825737422,-85.156278,41.052040000000005
