,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol,Corr with auto_vol,student_vol(-1),Corr with student_vol(-1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(3),Corr with mortgage 90(3)
0,MN,BLOOMINGTON,2009-11,5.95,Refinancing_Purchase of Apartments_Coops,0.1780742857142857,5.7719257142857145,0.12720674024952838,0.21678666666666663,5.7332133333333335,0.16033653834888595,0.2378266666666667,5.712173333333333,0.06621309211340018,0.24931714285714288,5.700682857142858,-0.10122092780842737,0.2681409523809524,5.681859047619048,-0.191271810009783,0.516785238095238,5.433214761904762,-0.10761169655599526,1.0843766666666663,4.865623333333334,0.176810521503543,0.052631578947368446,5.897368421052632,0.03519944869594734,0.15473684210526314,5.795263157894737,0.14369685229410215,0.3131578947368421,5.636842105263158,0.3255816995094776,2.230526315789474,3.7194736842105263,0.6958916840745337,3.402631578947368,2.5473684210526324,0.7755306197125249,4.235263157894737,1.7147368421052631,0.8016004144944936,4.314736842105263,1.6352631578947374,0.775583376171521,25282528298.0118,-0.7963478418611929,14402813469.2945,0.7142059141647166,105.55167238105,0.858679584040456,2.7,0.7708659972604446,3.6,0.8028243094819156
1,MN,BLOOMINGTON,2010-02,5.73,Refinancing_Purchase of Apartments_Coops,0.172487,5.557513,0.12720674024952838,0.20809400000000006,5.521906,0.16033653834888595,0.22906349999999992,5.500936500000001,0.06621309211340018,0.23978050000000012,5.4902195,-0.10122092780842737,0.25051950000000006,5.4794805,-0.191271810009783,0.38779850000000005,5.342201500000001,-0.10761169655599526,0.8515799999999999,4.87842,0.176810521503543,0.05736842105263157,5.672631578947369,0.03519944869594734,0.18105263157894735,5.548947368421053,0.14369685229410215,0.34578947368421054,5.38421052631579,0.3255816995094776,2.363684210526315,3.3663157894736853,0.6958916840745337,3.691052631578947,2.0389473684210535,0.7755306197125249,4.481052631578947,1.248947368421053,0.8016004144944936,4.619473684210526,1.1105263157894747,0.775583376171521,25116521917.8418,-0.7963478418611929,14107591663.4702,0.7142059141647166,101.129830992893,0.858679584040456,2.5,0.7708659972604446,3.2,0.8028243094819156
2,MN,BLOOMINGTON,2011-03,4.38,Refinancing_Purchase of Apartments_Coops,0.2076739130434783,4.172326086956522,0.12720674024952838,0.23889782608695653,4.141102173913043,0.16033653834888595,0.2532847826086956,4.126715217391304,0.06621309211340018,0.2829456521739131,4.097054347826087,-0.10122092780842737,0.30843478260869567,4.071565217391305,-0.191271810009783,0.4607826086956522,3.9192173913043478,-0.10761169655599526,0.7797065217391305,3.6002934782608693,0.176810521503543,0.06478260869565221,4.315217391304348,0.03519944869594734,0.15652173913043482,4.223478260869565,0.14369685229410215,0.25913043478260867,4.120869565217391,0.3255816995094776,2.1134782608695653,2.2665217391304346,0.6958916840745337,3.414347826086956,0.9656521739130439,0.7755306197125249,4.26608695652174,0.11391304347826026,0.8016004144944936,4.5139130434782615,-0.1339130434782616,0.775583376171521,31565012894.7234,-0.7963478418611929,11726514214.1317,0.7142059141647166,92.8594669911348,0.858679584040456,2.1,0.7708659972604446,2.5,0.8028243094819156
3,MN,BLOOMINGTON,2011-09,4.1,Refinancing_Purchase of Apartments_Coops,0.14525181818181823,3.9547481818181813,0.12720674024952838,0.1884,3.9115999999999995,0.16033653834888595,0.23085045454545455,3.8691495454545453,0.06621309211340018,0.2845913636363636,3.815408636363636,-0.10122092780842737,0.3502268181818181,3.7497731818181816,-0.191271810009783,0.5222018181818182,3.5777981818181814,-0.10761169655599526,0.8332045454545454,3.2667954545454543,0.176810521503543,0.005714285714285713,4.094285714285714,0.03519944869594734,0.04333333333333335,4.056666666666667,0.14369685229410215,0.10476190476190479,3.995238095238095,0.3255816995094776,0.9004761904761904,3.199523809523809,0.6958916840745337,1.9752380952380955,2.124761904761904,0.7755306197125249,2.8271428571428574,1.2728571428571422,0.8016004144944936,3.182380952380953,0.9176190476190467,0.775583376171521,33690910289.8878,-0.7963478418611929,12477113046.1263,0.7142059141647166,91.13289228397959,0.858679584040456,2.3,0.7708659972604446,2.4,0.8028243094819156
4,MN,BLOOMINGTON,2012-01,3.89,Refinancing_Purchase of Apartments_Coops,0.14564761904761903,3.744352380952381,0.12720674024952838,0.2014238095238095,3.6885761904761907,0.16033653834888595,0.28289523809523814,3.607104761904762,0.06621309211340018,0.41424761904761903,3.475752380952381,-0.10122092780842737,0.5659000000000001,3.3241,-0.191271810009783,0.7969761904761906,3.0930238095238094,-0.10761169655599526,1.1145476190476191,2.7754523809523812,0.176810521503543,0.0245,3.8655,0.03519944869594734,0.06550000000000003,3.8245,0.14369685229410215,0.11500000000000003,3.775,0.3255816995094776,0.835,3.055,0.6958916840745337,1.9664999999999995,1.9235000000000007,0.7755306197125249,2.6950000000000003,1.1949999999999998,0.8016004144944936,3.026,0.8640000000000003,0.775583376171521,35385458151.3724,-0.7963478418611929,11508699084.1195,0.7142059141647166,90.4806728327692,0.858679584040456,2.0,0.7708659972604446,2.3,0.8028243094819156
5,MN,BLOOMINGTON,2012-05,3.5599999999999996,Refinancing_Purchase of Apartments_Coops,0.15161363636363637,3.4083863636363634,0.12720674024952838,0.19053181818181822,3.3694681818181813,0.16033653834888595,0.23893181818181805,3.3210681818181818,0.06621309211340018,0.3457045454545453,3.2142954545454545,-0.10122092780842737,0.4665318181818183,3.0934681818181815,-0.191271810009783,0.732990909090909,2.8270090909090904,-0.10761169655599526,1.0615068181818177,2.4984931818181817,0.176810521503543,0.06590909090909093,3.4940909090909087,0.03519944869594734,0.14545454545454548,3.414545454545454,0.14369685229410215,0.19181818181818186,3.3681818181818177,0.3255816995094776,0.7618181818181818,2.798181818181818,0.6958916840745337,1.8031818181818189,1.7568181818181807,0.7755306197125249,2.525909090909091,1.0340909090909087,0.8016004144944936,2.930909090909091,0.6290909090909085,0.775583376171521,36777908030.9335,-0.7963478418611929,11641401212.0971,0.7142059141647166,90.7743282432688,0.858679584040456,2.0,0.7708659972604446,2.1,0.8028243094819156
6,MN,BLOOMINGTON,2013-01,3.6,Refinancing_Purchase of Apartments_Coops,0.16043181818181818,3.439568181818182,0.12720674024952838,0.17947272727272726,3.4205272727272726,0.16033653834888595,0.20497272727272725,3.395027272727273,0.06621309211340018,0.2497954545454545,3.3502045454545457,-0.10122092780842737,0.30261363636363625,3.297386363636364,-0.191271810009783,0.48810454545454546,3.1118954545454547,-0.10761169655599526,0.8142727272727271,2.785727272727273,0.176810521503543,0.05190476190476192,3.548095238095238,0.03519944869594734,0.10761904761904766,3.4923809523809526,0.14369685229410215,0.14523809523809525,3.454761904761905,0.3255816995094776,0.8052380952380951,2.794761904761905,0.6958916840745337,1.9147619047619049,1.6852380952380952,0.7755306197125249,2.681428571428571,0.918571428571429,0.8016004144944936,3.0804761904761913,0.5195238095238088,0.775583376171521,39268596272.9965,-0.7963478418611929,11337096053.4966,0.7142059141647166,89.513287195688,0.858679584040456,2.0,0.7708659972604446,1.6,0.8028243094819156
7,MN,BLOOMINGTON,2013-10,3.97,Refinancing_Purchase of Apartments_Coops,0.10426086956521738,3.865739130434783,0.12720674024952838,0.13668260869565219,3.833317391304348,0.16033653834888595,0.17241521739130433,3.7975847826086957,0.06621309211340018,0.21265,3.75735,-0.10122092780842737,0.2417652173913043,3.7282347826086957,-0.191271810009783,0.36121521739130424,3.608784782608696,-0.10761169655599526,0.6177847826086957,3.3522152173913042,0.176810521503543,0.1059090909090909,3.8640909090909092,0.03519944869594734,0.07590909090909094,3.894090909090909,0.14369685229410215,0.12136363636363635,3.8486363636363636,0.3255816995094776,1.366818181818182,2.6031818181818185,0.6958916840745337,2.615909090909091,1.354090909090909,0.7755306197125249,3.3795454545454544,0.5904545454545458,0.8016004144944936,3.6759090909090903,0.29409090909090985,0.775583376171521,41244159430.5284,-0.7963478418611929,10216278752.7557,0.7142059141647166,89.95115518901541,0.858679584040456,1.7,0.7708659972604446,1.3,0.8028243094819156
8,MN,BLOOMINGTON,2014-01,4.15,Refinancing_Purchase of Apartments_Coops,0.09003181818181817,4.059968181818182,0.12720674024952838,0.1219931818181818,4.028006818181819,0.16033653834888595,0.1597090909090909,3.9902909090909096,0.06621309211340018,0.204425,3.9455750000000003,-0.10122092780842737,0.23822954545454544,3.911770454545455,-0.191271810009783,0.33795909090909093,3.8120409090909093,-0.10761169655599526,0.5752999999999999,3.5747000000000004,0.176810521503543,0.017142857142857144,4.1328571428571435,0.03519944869594734,0.0690476190476191,4.0809523809523816,0.14369685229410215,0.11619047619047623,4.033809523809524,0.3255816995094776,1.6466666666666665,2.503333333333334,0.6958916840745337,2.858095238095238,1.2919047619047626,0.7755306197125249,3.521904761904762,0.6280952380952383,0.8016004144944936,3.76904761904762,0.3809523809523805,0.775583376171521,42151687038.4775,-0.7963478418611929,9402239044.86975,0.7142059141647166,86.47441597957871,0.858679584040456,1.5,0.7708659972604446,1.2,0.8028243094819156
9,MN,BLOOMINGTON,2014-05,3.73,Refinancing_Purchase of Apartments_Coops,0.08842000000000001,3.64158,0.12720674024952838,0.1198375,3.6101625,0.16033653834888595,0.15035749999999998,3.5796425,0.06621309211340018,0.1914675,3.5385325,-0.10122092780842737,0.22609000000000004,3.50391,-0.191271810009783,0.3231200000000001,3.40688,-0.10761169655599526,0.537955,3.1920450000000002,0.176810521503543,0.026666666666666665,3.703333333333333,0.03519944869594734,0.05190476190476192,3.678095238095238,0.14369685229410215,0.0966666666666667,3.6333333333333333,0.3255816995094776,1.5928571428571427,2.137142857142857,0.6958916840745337,2.559047619047619,1.170952380952381,0.7755306197125249,3.1152380952380954,0.6147619047619046,0.8016004144944936,3.3899999999999997,0.3400000000000003,0.775583376171521,44462292713.4678,-0.7963478418611929,11032404366.8063,0.7142059141647166,84.4459748156831,0.858679584040456,1.3,0.7708659972604446,1.2,0.8028243094819156
