,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-4),Corr with auto_vol(-4),student_vol(-1),Corr with student_vol(-1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-4),Corr with mortgage 90(-4)
11,DC,WASHINGTON,2012-10,5.431,Refinancing_Purchase of Apartments_Coops,0.15320434782608702,5.277795652173913,-0.15031842879166613,0.17955217391304346,5.251447826086957,-0.15065853084375422,0.21346521739130433,5.217534782608696,-0.15602382679733776,0.2717391304347827,5.159260869565218,-0.1635457443949218,0.3304891304347827,5.100510869565217,-0.17605938063915055,0.5823021739130435,4.848697826086957,-0.1948706473879384,0.9185760869565219,4.512423913043478,-0.16819807489845995,0.10952380952380951,5.321476190476191,-0.13042355534265804,0.14904761904761904,5.281952380952381,-0.14025851365471612,0.17952380952380956,5.251476190476191,-0.13052867828792178,0.7085714285714285,4.722428571428572,0.22063420202810152,1.7461904761904758,3.684809523809524,0.5088022549911297,2.505714285714286,2.9252857142857143,0.5291400650901319,2.90047619047619,2.53052380952381,0.509227167305134,36186315501.0541,-0.32417297329781447,11631947675.6117,-0.13167038671089057,89.56768058609659,0.2967413492611813,2.9,0.33793352487061595,4.7,0.3190877950903984
12,DC,WASHINGTON,2013-05,2.7,Refinancing_Purchase of Apartments_Coops,0.1435047619047619,2.556495238095238,-0.15031842879166613,0.1638380952380952,2.536161904761905,-0.15065853084375422,0.19670952380952378,2.503290476190476,-0.15602382679733776,0.23396000000000003,2.46604,-0.1635457443949218,0.27416904761904765,2.4258309523809527,-0.17605938063915055,0.42137333333333327,2.278626666666667,-0.1948706473879384,0.6936104761904763,2.0063895238095237,-0.16819807489845995,0.020454545454545458,2.6795454545454547,-0.13042355534265804,0.08090909090909093,2.619090909090909,-0.14025851365471612,0.11863636363636366,2.5813636363636365,-0.13052867828792178,0.840909090909091,1.8590909090909091,0.22063420202810152,1.9281818181818182,0.771818181818182,0.5088022549911297,2.7286363636363635,-0.02863636363636335,0.5291400650901319,3.112727272727273,-0.4127272727272726,0.509227167305134,39268596272.9965,-0.32417297329781447,9123117418.53368,-0.13167038671089057,91.578064558499,0.2967413492611813,3.2,0.33793352487061595,4.3,0.3190877950903984
13,DC,WASHINGTON,2013-07,5.528166666666667,Refinancing_Purchase of Apartments_Coops,0.12117913043478262,5.406987536231885,-0.15031842879166613,0.15611695652173913,5.372049710144928,-0.15065853084375422,0.19111913043478265,5.337047536231885,-0.15602382679733776,0.232388695652174,5.295777971014493,-0.1635457443949218,0.26758260869565215,5.260584057971015,-0.17605938063915055,0.40307869565217386,5.125087971014493,-0.1948706473879384,0.6838491304347826,4.844317536231885,-0.16819807489845995,0.020909090909090912,5.507257575757577,-0.13042355534265804,0.07363636363636367,5.454530303030304,-0.14025851365471612,0.12181818181818184,5.406348484848485,-0.13052867828792178,1.4031818181818183,4.124984848484849,0.22063420202810152,2.5822727272727275,2.94589393939394,0.5088022549911297,3.3072727272727276,2.2208939393939398,0.5291400650901319,3.605,1.9231666666666674,0.509227167305134,39298206327.5877,-0.32417297329781447,9260696074.4491,-0.13167038671089057,88.920473853359,0.2967413492611813,2.9,0.33793352487061595,4.2,0.3190877950903984
14,DC,WASHINGTON,2013-09,4.18,Refinancing_Purchase of Apartments_Coops,0.11272380952380952,4.06727619047619,-0.15031842879166613,0.14323238095238094,4.036767619047619,-0.15065853084375422,0.18057476190476196,3.9994252380952378,-0.15602382679733776,0.22133904761904755,3.958660952380952,-0.1635457443949218,0.2531785714285715,3.9268214285714285,-0.17605938063915055,0.38033809523809525,3.7996619047619045,-0.1948706473879384,0.6526857142857143,3.5273142857142856,-0.16819807489845995,0.017500000000000005,4.1625,-0.13042355534265804,0.04150000000000001,4.1385,-0.14025851365471612,0.11850000000000002,4.0615,-0.13052867828792178,1.5959999999999999,2.5839999999999996,0.22063420202810152,2.8095,1.3704999999999998,0.5088022549911297,3.526,0.6539999999999999,0.5291400650901319,3.7870000000000004,0.39299999999999935,0.509227167305134,40995097959.5386,-0.32417297329781447,10210246554.7955,-0.13167038671089057,88.29263433660921,0.2967413492611813,2.6,0.33793352487061595,3.8,0.3190877950903984
15,DC,WASHINGTON,2013-10,4.375,Refinancing_Purchase of Apartments_Coops,0.10426086956521738,4.270739130434783,-0.15031842879166613,0.13668260869565219,4.2383173913043475,-0.15065853084375422,0.17241521739130433,4.202584782608696,-0.15602382679733776,0.21265,4.16235,-0.1635457443949218,0.2417652173913043,4.133234782608696,-0.17605938063915055,0.36121521739130424,4.013784782608695,-0.1948706473879384,0.6177847826086957,3.7572152173913045,-0.16819807489845995,0.1059090909090909,4.2690909090909095,-0.13042355534265804,0.07590909090909094,4.299090909090909,-0.14025851365471612,0.12136363636363635,4.253636363636364,-0.13052867828792178,1.366818181818182,3.008181818181818,0.22063420202810152,2.615909090909091,1.7590909090909088,0.5088022549911297,3.3795454545454544,0.9954545454545456,0.5291400650901319,3.6759090909090903,0.6990909090909097,0.509227167305134,41507587847.7023,-0.32417297329781447,10216278752.7557,-0.13167038671089057,89.95115518901541,0.2967413492611813,2.6,0.33793352487061595,3.8,0.3190877950903984
16,DC,WASHINGTON,2014-02,4.25,Refinancing_Purchase of Apartments_Coops,0.08627,4.16373,-0.15031842879166613,0.11939250000000004,4.1306075,-0.15065853084375422,0.155105,4.094895,-0.15602382679733776,0.19663749999999997,4.0533625,-0.1635457443949218,0.23520249999999998,4.0147975,-0.17605938063915055,0.3308,3.9192,-0.1948706473879384,0.554605,3.695395,-0.16819807489845995,0.046842105263157914,4.203157894736842,-0.13042355534265804,0.08105263157894738,4.168947368421053,-0.14025851365471612,0.11684210526315793,4.133157894736842,-0.13052867828792178,1.5157894736842106,2.734210526315789,0.22063420202810152,2.7094736842105265,1.5405263157894735,0.5088022549911297,3.3847368421052626,0.8652631578947374,0.5291400650901319,3.6626315789473685,0.5873684210526315,0.509227167305134,41244159430.5284,-0.32417297329781447,9438159522.248821,-0.13167038671089057,85.7873584996498,0.2967413492611813,2.4,0.33793352487061595,3.3,0.3190877950903984
17,DC,WASHINGTON,2014-03,4.52,Refinancing_Purchase of Apartments_Coops,0.0888,4.4312,-0.15031842879166613,0.1207452380952381,4.3992547619047615,-0.15065853084375422,0.15488333333333335,4.365116666666666,-0.15602382679733776,0.19711666666666672,4.3228833333333325,-0.1635457443949218,0.23409761904761903,4.285902380952381,-0.17605938063915055,0.33106666666666673,4.188933333333333,-0.1948706473879384,0.5571428571428573,3.962857142857142,-0.16819807489845995,0.051428571428571455,4.468571428571428,-0.13042355534265804,0.07857142857142858,4.441428571428571,-0.14025851365471612,0.1280952380952381,4.391904761904762,-0.13052867828792178,1.6395238095238096,2.88047619047619,0.22063420202810152,2.7233333333333327,1.7966666666666669,0.5088022549911297,3.3466666666666667,1.173333333333333,0.5291400650901319,3.6209523809523807,0.8990476190476189,0.509227167305134,41658198449.9001,-0.32417297329781447,10011024566.6146,-0.13167038671089057,88.4263020205016,0.2967413492611813,2.3,0.33793352487061595,3.3,0.3190877950903984
18,DC,WASHINGTON,2014-05,5.811,Refinancing_Purchase of Apartments_Coops,0.08842000000000001,5.72258,-0.15031842879166613,0.1198375,5.6911625,-0.15065853084375422,0.15035749999999998,5.6606425,-0.15602382679733776,0.1914675,5.6195325,-0.1635457443949218,0.22609000000000004,5.58491,-0.17605938063915055,0.3231200000000001,5.48788,-0.1948706473879384,0.537955,5.273045,-0.16819807489845995,0.026666666666666665,5.7843333333333335,-0.13042355534265804,0.05190476190476192,5.759095238095238,-0.14025851365471612,0.0966666666666667,5.714333333333333,-0.13052867828792178,1.5928571428571427,4.218142857142857,0.22063420202810152,2.559047619047619,3.251952380952381,0.5088022549911297,3.1152380952380954,2.6957619047619046,0.5291400650901319,3.3899999999999997,2.4210000000000003,0.509227167305134,42151687038.4775,-0.32417297329781447,11032404366.8063,-0.13167038671089057,84.4459748156831,0.2967413492611813,2.6,0.33793352487061595,3.3,0.3190877950903984
19,DC,WASHINGTON,2014-11,3.75,Refinancing_Purchase of Apartments_Coops,0.09656999999999999,3.65343,-0.15031842879166613,0.12222499999999999,3.627775,-0.15065853084375422,0.1548075,3.5951925,-0.15602382679733776,0.20246,3.54754,-0.1635457443949218,0.23286250000000003,3.5171375,-0.17605938063915055,0.32679500000000006,3.423205,-0.1948706473879384,0.56206,3.18794,-0.16819807489845995,0.04166666666666668,3.7083333333333335,-0.13042355534265804,0.06944444444444448,3.6805555555555554,-0.14025851365471612,0.13444444444444448,3.6155555555555554,-0.13052867828792178,1.6205555555555557,2.1294444444444443,0.22063420202810152,2.325555555555556,1.4244444444444442,0.5088022549911297,2.7644444444444445,0.9855555555555555,0.5291400650901319,3.038333333333333,0.7116666666666669,0.509227167305134,44931729222.7983,-0.32417297329781447,10950177839.1879,-0.13167038671089057,81.64661519553,0.2967413492611813,2.1,0.33793352487061595,2.8,0.3190877950903984
20,DC,WASHINGTON,2015-10,4.35,Refinancing_Purchase of Apartments_Coops,0.13160454545454547,4.218395454545454,-0.15031842879166613,0.15531363636363638,4.194686363636364,-0.15065853084375422,0.19451136363636365,4.155488636363636,-0.15602382679733776,0.2514522727272726,4.098547727272727,-0.1635457443949218,0.32135909090909087,4.0286409090909086,-0.17605938063915055,0.5284272727272726,3.821572727272727,-0.1948706473879384,0.8378659090909092,3.5121340909090906,-0.16819807489845995,0.014285714285714287,4.335714285714285,-0.13042355534265804,0.11380952380952382,4.236190476190476,-0.14025851365471612,0.26333333333333336,4.086666666666666,-0.13052867828792178,1.3857142857142857,2.964285714285714,0.22063420202810152,2.0699999999999994,2.2800000000000002,0.5088022549911297,2.5028571428571427,1.847142857142857,0.5291400650901319,2.8880952380952376,1.461904761904762,0.509227167305134,48997735451.5931,-0.32417297329781447,11492007418.0579,-0.13167038671089057,82.75451956383341,0.2967413492611813,1.8,0.33793352487061595,2.1,0.3190877950903984
