,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-1),Corr with auto_vol(-1),student_vol(4),Corr with student_vol(4),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(-1),Corr with mortgage 30-89(-1),mortgage 90(-2),Corr with mortgage 90(-2)
0,2011-11,MI,SAGINAW,2011-11,3.9,"(-84.011721, 43.417101)",14875.98,Refinancing_Purchase of Apartments_Coops,0.14255090909090912,-0.28557364843407906,0.19244863636363635,-0.28372581727203267,0.2536463636363637,-0.3074508606321169,0.3593790909090909,-0.35037376570580503,0.47529181818181826,-0.43876305734001664,0.6805422727272729,-0.597350589044318,1.000305,-0.6587733325616266,0.013999999999999999,-0.2196422721430197,0.04650000000000002,-0.34121773732747473,0.11200000000000002,-0.4293516232259748,0.908,-0.02116048735115763,2.0134999999999996,0.6918211593038979,2.7180000000000004,0.846507139582556,3.0155000000000003,0.8480035058656684,34623712775.9563,-0.7262540945238345,11251067892.2966,-0.952149581401338,90.48744874686929,-0.5737553982565264,4.0,0.650020038145043,3.6,0.7434695791908355
1,2014-02,MI,SAGINAW,2014-02,4.4,"(-85.891425, 42.903542)",24297.92,Refinancing_Purchase of Apartments_Coops,0.08627,-0.28557364843407906,0.11939250000000004,-0.28372581727203267,0.155105,-0.3074508606321169,0.19663749999999997,-0.35037376570580503,0.23520249999999998,-0.43876305734001664,0.3308,-0.597350589044318,0.554605,-0.6587733325616266,0.046842105263157914,-0.2196422721430197,0.08105263157894738,-0.34121773732747473,0.11684210526315793,-0.4293516232259748,1.5157894736842106,-0.02116048735115763,2.7094736842105265,0.6918211593038979,3.3847368421052626,0.846507139582556,3.6626315789473685,0.8480035058656684,42151687038.4775,-0.7262540945238345,10121843859.6075,-0.952149581401338,80.910251046009,-0.5737553982565264,4.0,0.650020038145043,2.7,0.7434695791908355
2,2014-07,MI,SAGINAW,2014-07,3.65,"(-83.996424, 43.473197)",16413.95,Refinancing_Purchase of Apartments_Coops,0.09286956521739129,-0.28557364843407906,0.12270652173913045,-0.28372581727203267,0.15438695652173914,-0.3074508606321169,0.1955586956521739,-0.35037376570580503,0.23417391304347826,-0.43876305734001664,0.32826086956521744,-0.597350589044318,0.5557695652173912,-0.6587733325616266,0.024090909090909093,-0.2196422721430197,0.059545454545454575,-0.34121773732747473,0.11136363636363639,-0.4293516232259748,1.699545454545455,-0.02116048735115763,2.542272727272727,0.6918211593038979,3.071363636363636,0.846507139582556,3.3318181818181816,0.8480035058656684,43938467193.2505,-0.7262540945238345,11357071284.6333,-0.952149581401338,81.06604477988621,-0.5737553982565264,3.0,0.650020038145043,2.5,0.7434695791908355
3,2016-09,MI,SAGINAW,2016-09,3.18,"(-83.963667, 43.468785)",25435.8,Refinancing_Purchase of Apartments_Coops,0.42159363636363634,-0.28557364843407906,0.4495609090909092,-0.28372581727203267,0.5270018181818182,-0.3074508606321169,0.6625254545454545,-0.35037376570580503,0.8496804545454547,-0.43876305734001664,1.2471445454545458,-0.597350589044318,1.5560313636363639,-0.6587733325616266,0.1914285714285715,-0.2196422721430197,0.4671428571428572,-0.34121773732747473,0.5933333333333333,-0.4293516232259748,1.178095238095238,-0.02116048735115763,1.6304761904761906,0.6918211593038979,2.0152380952380957,0.846507139582556,2.350476190476191,0.8480035058656684,50596067254.1766,-0.7262540945238345,12351593318.9066,-0.952149581401338,88.43997566936979,-0.5737553982565264,3.5,0.650020038145043,1.4,0.7434695791908355
4,2016-10,MI,SAGINAW,2016-10,2.94,"(-83.982608, 43.448623)",19533.29,Refinancing_Purchase of Apartments_Coops,0.4307719047619048,-0.28557364843407906,0.457582380952381,-0.28372581727203267,0.5307795238095238,-0.3074508606321169,0.6609890476190475,-0.35037376570580503,0.8786828571428573,-0.43876305734001664,1.258856666666667,-0.597350589044318,1.577814761904762,-0.6587733325616266,0.24400000000000005,-0.2196422721430197,0.47700000000000004,-0.34121773732747473,0.6595000000000001,-0.4293516232259748,1.2719999999999998,-0.02116048735115763,1.7645000000000004,0.6918211593038979,2.1705,0.846507139582556,2.5004999999999997,0.8480035058656684,50249654907.7038,-0.7262540945238345,12722317795.1324,-0.952149581401338,89.2057504560787,-0.5737553982565264,3.2,0.650020038145043,1.3,0.7434695791908355
5,2017-02,MI,SAGINAW,2017-02,3.36,"(-83.942017, 43.479657)",21983.2,Refinancing_Purchase of Apartments_Coops,0.6863609999999999,-0.28557364843407906,0.7163664999999999,-0.28372581727203267,0.7767084999999999,-0.3074508606321169,0.8480275,-0.35037376570580503,1.0445964999999997,-0.43876305734001664,1.3514585000000001,-0.597350589044318,1.723958,-0.6587733325616266,0.48210526315789465,-0.2196422721430197,0.653157894736842,-0.34121773732747473,0.8205263157894739,-0.4293516232259748,1.9015789473684213,-0.02116048735115763,2.4189473684210525,0.6918211593038979,2.763684210526316,0.846507139582556,3.0321052631578946,0.8480035058656684,49588706606.1033,-0.7262540945238345,12745337772.3068,-0.952149581401338,88.7707153640316,-0.5737553982565264,3.6,0.650020038145043,1.4,0.7434695791908355
6,2017-03,MI,SAGINAW,2017-03,3.55,"(-83.963667, 43.468785)",30798.27,Refinancing_Purchase of Apartments_Coops,0.8095565217391305,-0.28557364843407906,0.8706386956521739,-0.28372581727203267,0.9286352173913045,-0.3074508606321169,0.982656956521739,-0.35037376570580503,1.134713043478261,-0.43876305734001664,1.4258673913043478,-0.597350589044318,1.8069104347826086,-0.6587733325616266,0.662608695652174,-0.2196422721430197,0.8856521739130436,-0.34121773732747473,1.0104347826086957,-0.4293516232259748,2.013478260869565,-0.02116048735115763,2.4817391304347827,0.6918211593038979,2.8317391304347823,0.846507139582556,3.0813043478260873,0.8480035058656684,48913265551.9221,-0.7262540945238345,11814606928.6527,-0.952149581401338,89.1200725980081,-0.5737553982565264,3.4,0.650020038145043,1.3,0.7434695791908355
