,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol,Corr with auto_vol,student_vol,Corr with student_vol,credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-3),Corr with mortgage 90(-3)
0,FL,SARASOTA,2009-11,3.73,Refinancing_Purchase of Apartments_Coops,0.1780742857142857,3.5519257142857144,0.616271166573322,0.21678666666666663,3.5132133333333333,0.6117939694391359,0.2378266666666667,3.492173333333333,0.6106769687702454,0.24931714285714288,3.480682857142857,0.6070838827336359,0.2681409523809524,3.4618590476190474,0.5935060940513717,0.516785238095238,3.213214761904762,0.5539490581349359,1.0843766666666663,2.645623333333334,0.5241126467963004,0.052631578947368446,3.6773684210526314,0.6346207503014151,0.15473684210526314,3.575263157894737,0.6090101185631013,0.3131578947368421,3.416842105263158,0.6086639244042279,2.230526315789474,1.499473684210526,0.7089418444279018,3.402631578947368,0.3273684210526322,0.4562642885557901,4.235263157894737,-0.5052631578947371,0.07355705137498401,4.314736842105263,-0.5847368421052628,-0.06422175780538364,25282528298.0118,0.5140647726989532,14438684843.1307,0.6732196296660415,97.8799778094334,-0.5372021388331719,3.9,-0.3255684586314346,6.3,-0.3925728706427809
1,FL,SARASOTA,2012-04,3.22,Refinancing_Purchase of Apartments_Coops,0.14868421052631575,3.0713157894736844,0.616271166573322,0.18980526315789473,3.0301947368421054,0.6117939694391359,0.23982894736842097,2.9801710526315794,0.6106769687702454,0.34777368421052635,2.872226315789474,0.6070838827336359,0.46680789473684203,2.753192105263158,0.5935060940513717,0.7313999999999999,2.4886000000000004,0.5539490581349359,1.048621052631579,2.1713789473684213,0.5241126467963004,0.0666666666666667,3.1533333333333333,0.6346207503014151,0.13904761904761903,3.080952380952381,0.6090101185631013,0.18333333333333335,3.036666666666667,0.6086639244042279,0.8947619047619045,2.3252380952380958,0.7089418444279018,2.0528571428571425,1.1671428571428577,0.4562642885557901,2.8166666666666664,0.40333333333333377,0.07355705137498401,3.1842857142857137,0.035714285714286476,-0.06422175780538364,36623269866.4569,0.5140647726989532,11641401212.0971,0.6732196296660415,89.02745876405929,-0.5372021388331719,2.7,-0.3255684586314346,7.5,-0.3925728706427809
2,FL,SARASOTA,2013-04,3.23,Refinancing_Purchase of Apartments_Coops,0.1539047619047619,3.076095238095238,0.616271166573322,0.17210476190476193,3.057895238095238,0.6117939694391359,0.19953333333333334,3.0304666666666664,0.6106769687702454,0.24005714285714277,2.9899428571428572,0.6070838827336359,0.27714285714285714,2.952857142857143,0.5935060940513717,0.4360190476190476,2.7939809523809522,0.5539490581349359,0.7168333333333334,2.5131666666666668,0.5241126467963004,0.049090909090909116,3.1809090909090907,0.6346207503014151,0.09409090909090913,3.1359090909090908,0.6090101185631013,0.12454545454545456,3.1054545454545455,0.6086639244042279,0.7104545454545454,2.5195454545454545,0.7089418444279018,1.7590909090909093,1.4709090909090907,0.4562642885557901,2.5500000000000003,0.6799999999999997,0.07355705137498401,2.9327272727272726,0.29727272727272736,-0.06422175780538364,40395555554.9932,0.5140647726989532,9123117418.53368,0.6732196296660415,90.32258801944451,-0.5372021388331719,2.9,-0.3255684586314346,5.5,-0.3925728706427809
3,FL,SARASOTA,2014-10,4.45,Refinancing_Purchase of Apartments_Coops,0.09059565217391304,4.3594043478260875,0.616271166573322,0.11953260869565213,4.330467391304348,0.6117939694391359,0.15351739130434783,4.296482608695652,0.6106769687702454,0.1974043478260869,4.252595652173913,0.6070838827336359,0.2313760869565217,4.218623913043478,0.5935060940513717,0.3236195652173913,4.126380434782609,0.5539490581349359,0.5523869565217392,3.8976130434782608,0.5241126467963004,0.020909090909090912,4.42909090909091,0.6346207503014151,0.05045454545454548,4.399545454545454,0.6090101185631013,0.10454545454545458,4.345454545454546,0.6086639244042279,1.5459090909090911,2.9040909090909093,0.7089418444279018,2.304090909090909,2.145909090909091,0.4562642885557901,2.7731818181818184,1.6768181818181818,0.07355705137498401,3.039999999999999,1.410000000000001,-0.06422175780538364,44591810060.8257,0.5140647726989532,10950177839.1879,0.6732196296660415,80.33849809561521,-0.5372021388331719,1.7,-0.3255684586314346,3.1,-0.3925728706427809
4,FL,SARASOTA,2017-03,3.565,Refinancing_Purchase of Apartments_Coops,0.8095565217391305,2.7554434782608697,0.616271166573322,0.8706386956521739,2.694361304347826,0.6117939694391359,0.9286352173913045,2.6363647826086956,0.6106769687702454,0.982656956521739,2.582343043478261,0.6070838827336359,1.134713043478261,2.430286956521739,0.5935060940513717,1.4258673913043478,2.139132608695652,0.5539490581349359,1.8069104347826086,1.7580895652173913,0.5241126467963004,0.662608695652174,2.9023913043478258,0.6346207503014151,0.8856521739130436,2.679347826086956,0.6090101185631013,1.0104347826086957,2.5545652173913043,0.6086639244042279,2.013478260869565,1.5515217391304348,0.7089418444279018,2.4817391304347827,1.0832608695652173,0.4562642885557901,2.8317391304347823,0.7332608695652176,0.07355705137498401,3.0813043478260873,0.48369565217391264,-0.06422175780538364,48441183549.9275,0.5140647726989532,12509011080.2031,0.6732196296660415,88.94830277813108,-0.5372021388331719,1.5,-0.3255684586314346,1.0,-0.3925728706427809
5,FL,SARASOTA,2017-06,3.67,Refinancing_Purchase of Apartments_Coops,1.0640909090909094,2.6059090909090905,0.616271166573322,1.1183336363636365,2.5516663636363637,0.6117939694391359,1.1714068181818182,2.4985931818181815,0.6106769687702454,1.2101513636363637,2.4598486363636365,0.6070838827336359,1.2624095454545452,2.4075904545454545,0.5935060940513717,1.4322822727272726,2.2377177272727273,0.5539490581349359,1.7322577272727273,1.9377422727272726,0.5241126467963004,0.8413636363636363,2.8286363636363636,0.6346207503014151,1.1095454545454546,2.5604545454545455,0.6090101185631013,1.200909090909091,2.469090909090909,0.6086639244042279,1.7740909090909094,1.8959090909090905,0.7089418444279018,2.186818181818182,1.483181818181818,0.4562642885557901,2.5399999999999996,1.1300000000000003,0.07355705137498401,2.796363636363637,0.8736363636363631,-0.06422175780538364,49068548953.9206,0.5140647726989532,12745337772.3068,0.6732196296660415,89.9213768261837,-0.5372021388331719,1.4,-0.3255684586314346,0.9,-0.3925728706427809
